# _root_ Εδώ δεν πρέπει όμως να ξεχάσουμε το εξής : το ευρώ δεν είναι μόνο ένα νομισματικό πρόγραμμα , αλλά ήταν ανέκαθεν και πολιτικό πρόγραμμα , αποτελώντας τμήμα της Πολιτικής Ένωσης της Ευρώπης .
#goldHeads=3,3,4,0,6,3,8,9,6,11,13,13,19,13,17,17,13,19,9,19,20,24,24,20,26,19,26,30,30,27,32,30,0,
#predictedHeads=3,3,4,0,6,4,11,6,13,11,6,13,19,13,17,17,13,19,4,19,22,24,22,20,26,20,26,30,30,27,32,30,0,
(0,1),-0.340126 # DEPENDENCYPART_ARC
(0,3),1.26031 # DEPENDENCYPART_ARC
(0,4),0.683906 # DEPENDENCYPART_ARC
(0,6),-1.00182 # DEPENDENCYPART_ARC
(0,8),-0.68531 # DEPENDENCYPART_ARC
(0,9),0.3996 # DEPENDENCYPART_ARC
(0,11),-1.43739 # DEPENDENCYPART_ARC
(0,13),-1.08216 # DEPENDENCYPART_ARC
(0,14),-1.15903 # DEPENDENCYPART_ARC
(0,16),-2.19205 # DEPENDENCYPART_ARC
(0,17),-1.62294 # DEPENDENCYPART_ARC
(0,18),0.0375884 # DEPENDENCYPART_ARC
(0,19),-0.551973 # DEPENDENCYPART_ARC
(0,20),-1.24291 # DEPENDENCYPART_ARC
(0,21),-1.9589 # DEPENDENCYPART_ARC
(0,22),-1.78918 # DEPENDENCYPART_ARC
(0,23),-2.04334 # DEPENDENCYPART_ARC
(0,24),-1.45257 # DEPENDENCYPART_ARC
(0,25),-0.340288 # DEPENDENCYPART_ARC
(0,26),-2.19482 # DEPENDENCYPART_ARC
(0,27),-1.59741 # DEPENDENCYPART_ARC
(0,29),-2.06531 # DEPENDENCYPART_ARC
(0,30),-2.05719 # DEPENDENCYPART_ARC
(0,32),-2.21524 # DEPENDENCYPART_ARC
(0,33),4.89921 # DEPENDENCYPART_ARC
(1,2),0.361525 # DEPENDENCYPART_ARC
(1,3),0.320255 # DEPENDENCYPART_ARC
(1,4),-0.307093 # DEPENDENCYPART_ARC
(1,6),-0.725311 # DEPENDENCYPART_ARC
(1,7),-1.68245 # DEPENDENCYPART_ARC
(1,8),-1.15699 # DEPENDENCYPART_ARC
