# _root_ Στην αρχή υπήρξαν , επίσης , προβλήματα στην κατανομή των πόρων του προγράμματος στις εθνικές υπηρεσίες .
#goldHeads=3,1,0,5,3,5,3,7,8,11,9,13,11,9,16,14,0,
#predictedHeads=3,1,0,5,3,5,3,3,8,11,9,13,11,9,16,14,0,
(0,1),-0.572525 # DEPENDENCYPART_ARC
(0,2),-0.257891 # DEPENDENCYPART_ARC
(0,3),1.23604 # DEPENDENCYPART_ARC
(0,4),-0.303921 # DEPENDENCYPART_ARC
(0,5),-1.00861 # DEPENDENCYPART_ARC
(0,6),-0.0439982 # DEPENDENCYPART_ARC
(0,7),-0.916369 # DEPENDENCYPART_ARC
(0,8),-1.36658 # DEPENDENCYPART_ARC
(0,9),-1.2065 # DEPENDENCYPART_ARC
(0,10),-1.91486 # DEPENDENCYPART_ARC
(0,11),-1.94634 # DEPENDENCYPART_ARC
(0,12),-1.97332 # DEPENDENCYPART_ARC
(0,13),-2.09379 # DEPENDENCYPART_ARC
(0,14),-1.66294 # DEPENDENCYPART_ARC
(0,15),-1.11484 # DEPENDENCYPART_ARC
(0,16),-1.55179 # DEPENDENCYPART_ARC
(0,17),2.8982 # DEPENDENCYPART_ARC
(1,2),3.68592 # DEPENDENCYPART_ARC
(1,3),-0.375149 # DEPENDENCYPART_ARC
(1,4),-0.207254 # DEPENDENCYPART_ARC
(1,5),-1.00761 # DEPENDENCYPART_ARC
(1,6),-0.431586 # DEPENDENCYPART_ARC
(1,7),-1.72285 # DEPENDENCYPART_ARC
(1,8),-1.18219 # DEPENDENCYPART_ARC
(1,9),-1.01083 # DEPENDENCYPART_ARC
(1,10),-2.49028 # DEPENDENCYPART_ARC
(1,11),-3.85241 # DEPENDENCYPART_ARC
(1,12),-2.12973 # DEPENDENCYPART_ARC
(1,13),-4.67063 # DEPENDENCYPART_ARC
(1,14),-1.73931 # DEPENDENCYPART_ARC
(1,15),-2.34202 # DEPENDENCYPART_ARC
(1,16),-4.26866 # DEPENDENCYPART_ARC
(1,17),-1.13788 # DEPENDENCYPART_ARC
(2,1),0.462874 # DEPENDENCYPART_ARC
(2,3),-0.347523 # DEPENDENCYPART_ARC
(2,4),-0.539759 # DEPENDENCYPART_ARC
(2,5),-0.795276 # DEPENDENCYPART_ARC
(2,6),-0.910129 # DEPENDENCYPART_ARC
(2,7),-2.12553 # DEPENDENCYPART_ARC
(2,8),-1.39193 # DEPENDENCYPART_ARC
(2,9),-2.72597 # DEPENDENCYPART_ARC
(2,10),-1.74259 # DEPENDENCYPART_ARC
(2,11),-1.75144 # DEPENDENCYPART_ARC
(2,12),-1.92497 # DEPENDENCYPART_ARC
(2,13),-2.35823 # DEPENDENCYPART_ARC
(2,14),-1.15823 # DEPENDENCYPART_ARC
(2,15),-2.40377 # DEPENDENCYPART_ARC
(2,16),-3.86359 # DEPENDENCYPART_ARC
(2,17),-0.668551 # DEPENDENCYPART_ARC
(3,1),2.12598 # DEPENDENCYPART_ARC
(3,2),0.451454 # DEPENDENCYPART_ARC
(3,4),0.709666 # DEPENDENCYPART_ARC
(3,5),1.4993 # DEPENDENCYPART_ARC
(3,6),0.553527 # DEPENDENCYPART_ARC
(3,7),1.42989 # DEPENDENCYPART_ARC
(3,8),1.76995 # DEPENDENCYPART_ARC
(3,9),-1.07527 # DEPENDENCYPART_ARC
(3,10),-3.10088 # DEPENDENCYPART_ARC
(3,11),-2.72852 # DEPENDENCYPART_ARC
(3,12),-3.23231 # DEPENDENCYPART_ARC
(3,13),-2.49367 # DEPENDENCYPART_ARC
(3,14),0.869535 # DEPENDENCYPART_ARC
(3,15),-2.04293 # DEPENDENCYPART_ARC
(3,16),-1.71762 # DEPENDENCYPART_ARC
(3,17),-0.0956993 # DEPENDENCYPART_ARC
(4,1),-0.304239 # DEPENDENCYPART_ARC
(4,2),-0.464574 # DEPENDENCYPART_ARC
(4,3),0.228088 # DEPENDENCYPART_ARC
(4,5),0.112959 # DEPENDENCYPART_ARC
(4,6),0.240298 # DEPENDENCYPART_ARC
(4,7),-0.0169802 # DEPENDENCYPART_ARC
(4,8),0.105777 # DEPENDENCYPART_ARC
