# _root_ Τα κράτη δεν μπορούν να διαθέτουν δύο ποινικούς κώδικες , έναν που θα εφαρμόζεται στη διακίνηση ναρκωτικών αποκλειστικά μέσα στα σύνορά τους , και έναν άλλο που θα εφαρμόζεται στη διακίνηση ναρκωτικών όταν αυτή έχει διασυνοριακή διάσταση .
#goldHeads=2,4,4,0,6,4,9,9,10,6,24,14,14,11,14,15,16,19,16,19,20,21,10,10,24,25,29,29,25,29,30,31,29,35,33,37,35,0,
#predictedHeads=2,4,4,0,6,4,9,9,6,14,12,14,14,9,14,15,16,19,14,19,20,21,24,14,26,24,29,29,24,29,30,31,29,37,33,37,35,0,
(0,1),-0.594183 # DEPENDENCYPART_ARC
(0,2),-0.639531 # DEPENDENCYPART_ARC
(0,3),-0.430231 # DEPENDENCYPART_ARC
(0,4),0.686162 # DEPENDENCYPART_ARC
(0,5),-1.22236 # DEPENDENCYPART_ARC
(0,6),-0.14338 # DEPENDENCYPART_ARC
(0,7),-1.86468 # DEPENDENCYPART_ARC
(0,8),-1.5085 # DEPENDENCYPART_ARC
(0,9),-1.48114 # DEPENDENCYPART_ARC
(0,10),-0.0551905 # DEPENDENCYPART_ARC
(0,11),-1.81024 # DEPENDENCYPART_ARC
(0,12),-1.66245 # DEPENDENCYPART_ARC
(0,13),-1.3766 # DEPENDENCYPART_ARC
(0,14),-0.546101 # DEPENDENCYPART_ARC
(0,15),-2.18289 # DEPENDENCYPART_ARC
(0,16),-1.71795 # DEPENDENCYPART_ARC
(0,17),-1.86808 # DEPENDENCYPART_ARC
(0,18),-1.08038 # DEPENDENCYPART_ARC
(0,19),-1.10455 # DEPENDENCYPART_ARC
(0,20),-2.40889 # DEPENDENCYPART_ARC
(0,21),-2.0194 # DEPENDENCYPART_ARC
(0,22),-2.0527 # DEPENDENCYPART_ARC
(0,23),-0.822679 # DEPENDENCYPART_ARC
(0,24),-0.671318 # DEPENDENCYPART_ARC
(0,25),-2.23237 # DEPENDENCYPART_ARC
(0,26),-2.03631 # DEPENDENCYPART_ARC
(0,27),-2.1157 # DEPENDENCYPART_ARC
(0,28),-1.78988 # DEPENDENCYPART_ARC
(0,29),-1.26338 # DEPENDENCYPART_ARC
(0,30),-3.39332 # DEPENDENCYPART_ARC
(0,31),-2.108 # DEPENDENCYPART_ARC
(0,32),-2.50584 # DEPENDENCYPART_ARC
(0,33),-2.83568 # DEPENDENCYPART_ARC
(0,34),-2.31592 # DEPENDENCYPART_ARC
(0,35),-1.71297 # DEPENDENCYPART_ARC
(0,36),-2.03906 # DEPENDENCYPART_ARC
(0,37),-2.2483 # DEPENDENCYPART_ARC
(0,38),4.79246 # DEPENDENCYPART_ARC
(1,2),0.0461731 # DEPENDENCYPART_ARC
(1,3),-0.384832 # DEPENDENCYPART_ARC
(1,4),-1.8887 # DEPENDENCYPART_ARC
(1,5),-1.21802 # DEPENDENCYPART_ARC
(1,6),-2.6491 # DEPENDENCYPART_ARC
(1,7),-1.98751 # DEPENDENCYPART_ARC
(1,8),-2.64499 # DEPENDENCYPART_ARC
(1,9),-2.30666 # DEPENDENCYPART_ARC
(1,10),-1.03624 # DEPENDENCYPART_ARC
(1,11),-2.14943 # DEPENDENCYPART_ARC
(1,12),-2.1292 # DEPENDENCYPART_ARC
(1,13),-1.60265 # DEPENDENCYPART_ARC
(1,14),-3.01092 # DEPENDENCYPART_ARC
(1,15),-1.8723 # DEPENDENCYPART_ARC
(1,16),-2.29381 # DEPENDENCYPART_ARC
(1,17),-2.18816 # DEPENDENCYPART_ARC
(1,18),-1.45522 # DEPENDENCYPART_ARC
(1,19),-1.44377 # DEPENDENCYPART_ARC
(1,20),-1.93073 # DEPENDENCYPART_ARC
(1,21),-2.49796 # DEPENDENCYPART_ARC
(1,22),-2.73045 # DEPENDENCYPART_ARC
(1,23),-1.53862 # DEPENDENCYPART_ARC
(1,24),-1.4374 # DEPENDENCYPART_ARC
(1,25),-2.58676 # DEPENDENCYPART_ARC
(1,26),-2.7452 # DEPENDENCYPART_ARC
(1,27),-2.48719 # DEPENDENCYPART_ARC
(1,28),-1.97355 # DEPENDENCYPART_ARC
(1,29),-3.45449 # DEPENDENCYPART_ARC
(1,30),-2.21047 # DEPENDENCYPART_ARC
(1,31),-2.53879 # DEPENDENCYPART_ARC
(1,32),-2.39346 # DEPENDENCYPART_ARC
(1,33),-1.82559 # DEPENDENCYPART_ARC
(1,34),-2.93645 # DEPENDENCYPART_ARC
(1,35),-3.86231 # DEPENDENCYPART_ARC
(1,36),-3.14987 # DEPENDENCYPART_ARC
(1,37),-2.78561 # DEPENDENCYPART_ARC
(1,38),-1.80593 # DEPENDENCYPART_ARC
(2,1),4.11898 # DEPENDENCYPART_ARC
(2,3),0.429985 # DEPENDENCYPART_ARC
(2,4),0.503472 # DEPENDENCYPART_ARC
(2,5),-0.491381 # DEPENDENCYPART_ARC
(2,6),-0.860003 # DEPENDENCYPART_ARC
(2,7),-1.59445 # DEPENDENCYPART_ARC
(2,8),-1.29738 # DEPENDENCYPART_ARC
(2,9),-1.62814 # DEPENDENCYPART_ARC
(2,10),-0.369234 # DEPENDENCYPART_ARC
(2,11),-2.20169 # DEPENDENCYPART_ARC
(2,12),-1.74486 # DEPENDENCYPART_ARC
(2,13),-1.24382 # DEPENDENCYPART_ARC
(2,14),-1.75107 # DEPENDENCYPART_ARC
(2,15),-1.86923 # DEPENDENCYPART_ARC
(2,16),-2.30728 # DEPENDENCYPART_ARC
(2,17),-1.89825 # DEPENDENCYPART_ARC
(2,18),-1.00302 # DEPENDENCYPART_ARC
(2,19),-1.08276 # DEPENDENCYPART_ARC
(2,20),-2.18243 # DEPENDENCYPART_ARC
(2,21),-3.24013 # DEPENDENCYPART_ARC
(2,22),-1.34837 # DEPENDENCYPART_ARC
(2,23),-0.892147 # DEPENDENCYPART_ARC
(2,24),-1.31333 # DEPENDENCYPART_ARC
(2,25),-2.76879 # DEPENDENCYPART_ARC
(2,26),-3.38586 # DEPENDENCYPART_ARC
(2,27),-3.68638 # DEPENDENCYPART_ARC
(2,28),-1.67116 # DEPENDENCYPART_ARC
(2,29),-2.02516 # DEPENDENCYPART_ARC
(2,30),-2.88617 # DEPENDENCYPART_ARC
(2,31),-4.22068 # DEPENDENCYPART_ARC
(2,32),-3.80853 # DEPENDENCYPART_ARC
(2,33),-1.74024 # DEPENDENCYPART_ARC
(2,34),-3.60567 # DEPENDENCYPART_ARC
(2,35),-2.63952 # DEPENDENCYPART_ARC
(2,36),-2.66881 # DEPENDENCYPART_ARC
(2,37),-4.70533 # DEPENDENCYPART_ARC
(2,38),-0.416637 # DEPENDENCYPART_ARC
(3,1),-0.684892 # DEPENDENCYPART_ARC
(3,2),-1.04563 # DEPENDENCYPART_ARC
(3,4),0.324042 # DEPENDENCYPART_ARC
(3,5),-0.731388 # DEPENDENCYPART_ARC
(3,6),-0.800889 # DEPENDENCYPART_ARC
(3,7),-1.11635 # DEPENDENCYPART_ARC
(3,8),-1.22104 # DEPENDENCYPART_ARC
(3,9),-1.51992 # DEPENDENCYPART_ARC
(3,10),-0.61789 # DEPENDENCYPART_ARC
(3,11),-1.54383 # DEPENDENCYPART_ARC
(3,12),-1.83456 # DEPENDENCYPART_ARC
(3,13),-1.37327 # DEPENDENCYPART_ARC
(3,14),-1.50372 # DEPENDENCYPART_ARC
(3,15),-1.43645 # DEPENDENCYPART_ARC
(3,16),-1.81977 # DEPENDENCYPART_ARC
(3,17),-1.73132 # DEPENDENCYPART_ARC
(3,18),-1.33217 # DEPENDENCYPART_ARC
(3,19),-1.55686 # DEPENDENCYPART_ARC
(3,20),-1.49493 # DEPENDENCYPART_ARC
(3,21),-1.76011 # DEPENDENCYPART_ARC
(3,22),-2.09701 # DEPENDENCYPART_ARC
(3,23),-1.03608 # DEPENDENCYPART_ARC
(3,24),-1.20695 # DEPENDENCYPART_ARC
(3,25),-1.94694 # DEPENDENCYPART_ARC
(3,26),-2.24564 # DEPENDENCYPART_ARC
(3,27),-2.20707 # DEPENDENCYPART_ARC
(3,28),-1.82808 # DEPENDENCYPART_ARC
(3,29),-1.92793 # DEPENDENCYPART_ARC
(3,30),-1.71973 # DEPENDENCYPART_ARC
(3,31),-2.0082 # DEPENDENCYPART_ARC
(3,32),-1.94211 # DEPENDENCYPART_ARC
(3,33),-1.27137 # DEPENDENCYPART_ARC
(3,34),-2.39575 # DEPENDENCYPART_ARC
(3,35),-2.16737 # DEPENDENCYPART_ARC
(3,36),-2.12633 # DEPENDENCYPART_ARC
(3,37),-2.11353 # DEPENDENCYPART_ARC
(3,38),-1.41331 # DEPENDENCYPART_ARC
(4,1),0.676354 # DEPENDENCYPART_ARC
(4,2),2.66211 # DEPENDENCYPART_ARC
(4,3),2.94287 # DEPENDENCYPART_ARC
(4,5),1.2478 # DEPENDENCYPART_ARC
(4,6),2.92554 # DEPENDENCYPART_ARC
(4,7),1.05123 # DEPENDENCYPART_ARC
(4,8),-0.395821 # DEPENDENCYPART_ARC
(4,9),1.53446 # DEPENDENCYPART_ARC
(4,10),0.86096 # DEPENDENCYPART_ARC
(4,11),-2.15516 # DEPENDENCYPART_ARC
(4,12),-1.95558 # DEPENDENCYPART_ARC
(4,13),-0.221953 # DEPENDENCYPART_ARC
(4,14),-0.806962 # DEPENDENCYPART_ARC
(4,15),-0.057082 # DEPENDENCYPART_ARC
(4,16),-1.19577 # DEPENDENCYPART_ARC
(4,17),-2.36658 # DEPENDENCYPART_ARC
(4,18),-0.0625846 # DEPENDENCYPART_ARC
(4,19),0.229923 # DEPENDENCYPART_ARC
(4,20),-0.840837 # DEPENDENCYPART_ARC
(4,21),-1.7113 # DEPENDENCYPART_ARC
(4,22),-3.43038 # DEPENDENCYPART_ARC
(4,23),0.857784 # DEPENDENCYPART_ARC
(4,24),0.277214 # DEPENDENCYPART_ARC
(4,25),-2.55945 # DEPENDENCYPART_ARC
(4,26),-2.45509 # DEPENDENCYPART_ARC
(4,27),-2.68522 # DEPENDENCYPART_ARC
(4,28),-0.409637 # DEPENDENCYPART_ARC
(4,29),-2.44784 # DEPENDENCYPART_ARC
(4,30),-1.82494 # DEPENDENCYPART_ARC
(4,31),-3.58204 # DEPENDENCYPART_ARC
(4,32),-4.814 # DEPENDENCYPART_ARC
(4,33),0.668044 # DEPENDENCYPART_ARC
(4,34),-4.10889 # DEPENDENCYPART_ARC
(4,35),-4.59742 # DEPENDENCYPART_ARC
(4,36),-4.32835 # DEPENDENCYPART_ARC
(4,37),-3.20434 # DEPENDENCYPART_ARC
(4,38),1.10412 # DEPENDENCYPART_ARC
(5,1),-0.899343 # DEPENDENCYPART_ARC
(5,2),-1.31302 # DEPENDENCYPART_ARC
(5,3),-0.510695 # DEPENDENCYPART_ARC
(5,4),-0.427454 # DEPENDENCYPART_ARC
(5,6),0.313333 # DEPENDENCYPART_ARC
(5,7),-0.668695 # DEPENDENCYPART_ARC
(5,8),-0.872929 # DEPENDENCYPART_ARC
(5,9),-0.950343 # DEPENDENCYPART_ARC
(5,10),-0.668148 # DEPENDENCYPART_ARC
(5,11),-1.43114 # DEPENDENCYPART_ARC
(5,12),-1.74922 # DEPENDENCYPART_ARC
(5,13),-1.37603 # DEPENDENCYPART_ARC
(5,14),-1.45837 # DEPENDENCYPART_ARC
(5,15),-1.21495 # DEPENDENCYPART_ARC
(5,16),-1.63318 # DEPENDENCYPART_ARC
(5,17),-1.60967 # DEPENDENCYPART_ARC
(5,18),-1.376 # DEPENDENCYPART_ARC
(5,19),-1.30942 # DEPENDENCYPART_ARC
(5,20),-1.35081 # DEPENDENCYPART_ARC
(5,21),-1.79082 # DEPENDENCYPART_ARC
(5,22),-1.9847 # DEPENDENCYPART_ARC
(5,23),-0.836211 # DEPENDENCYPART_ARC
(5,24),-1.04121 # DEPENDENCYPART_ARC
(5,25),-1.81426 # DEPENDENCYPART_ARC
(5,26),-2.067 # DEPENDENCYPART_ARC
(5,27),-2.15649 # DEPENDENCYPART_ARC
(5,28),-1.77738 # DEPENDENCYPART_ARC
(5,29),-1.77281 # DEPENDENCYPART_ARC
(5,30),-1.81645 # DEPENDENCYPART_ARC
(5,31),-1.96347 # DEPENDENCYPART_ARC
(5,32),-1.92837 # DEPENDENCYPART_ARC
(5,33),-1.43377 # DEPENDENCYPART_ARC
(5,34),-2.33201 # DEPENDENCYPART_ARC
(5,35),-1.89642 # DEPENDENCYPART_ARC
(5,36),-2.13703 # DEPENDENCYPART_ARC
(5,37),-2.07977 # DEPENDENCYPART_ARC
(5,38),-1.42812 # DEPENDENCYPART_ARC
(6,1),-0.216678 # DEPENDENCYPART_ARC
(6,2),1.86661 # DEPENDENCYPART_ARC
(6,3),1.21639 # DEPENDENCYPART_ARC
(6,4),-1.48316 # DEPENDENCYPART_ARC
(6,5),2.86907 # DEPENDENCYPART_ARC
(6,7),1.67012 # DEPENDENCYPART_ARC
(6,8),0.224279 # DEPENDENCYPART_ARC
(6,9),2.08075 # DEPENDENCYPART_ARC
(6,10),0.5167 # DEPENDENCYPART_ARC
(6,11),-2.16124 # DEPENDENCYPART_ARC
(6,12),-2.08527 # DEPENDENCYPART_ARC
(6,13),-0.367795 # DEPENDENCYPART_ARC
(6,14),-1.83131 # DEPENDENCYPART_ARC
(6,15),-0.261532 # DEPENDENCYPART_ARC
(6,16),-1.48496 # DEPENDENCYPART_ARC
(6,17),-2.76913 # DEPENDENCYPART_ARC
(6,18),-0.486901 # DEPENDENCYPART_ARC
(6,19),-0.250267 # DEPENDENCYPART_ARC
(6,20),-1.09614 # DEPENDENCYPART_ARC
