# _root_ Ο μικρός δωρικός ναός της Ίσιδος , βρίσκεται στο Ιερό των Ξένων Θεών , στούς πρόποδες του Κύνθου .
#goldHeads=4,4,4,8,6,4,8,0,14,9,13,13,10,8,14,15,18,16,0,
#predictedHeads=4,4,4,8,6,4,8,0,8,9,13,13,10,8,16,14,18,16,0,
(0,2),-1.20869 # DEPENDENCYPART_ARC
(0,3),-1.21338 # DEPENDENCYPART_ARC
(0,4),-1.24723 # DEPENDENCYPART_ARC
(0,6),-1.67163 # DEPENDENCYPART_ARC
(0,7),-0.351402 # DEPENDENCYPART_ARC
(0,8),1.14989 # DEPENDENCYPART_ARC
(0,9),-1.79512 # DEPENDENCYPART_ARC
(0,10),-1.74693 # DEPENDENCYPART_ARC
(0,12),-1.74271 # DEPENDENCYPART_ARC
(0,13),-2.30169 # DEPENDENCYPART_ARC
(0,14),-0.875852 # DEPENDENCYPART_ARC
(0,15),-1.9774 # DEPENDENCYPART_ARC
(0,16),-2.4691 # DEPENDENCYPART_ARC
(0,18),-2.44427 # DEPENDENCYPART_ARC
(0,19),3.26503 # DEPENDENCYPART_ARC
(1,4),-0.847077 # DEPENDENCYPART_ARC
(1,13),-2.29848 # DEPENDENCYPART_ARC
(1,16),-2.32603 # DEPENDENCYPART_ARC
(2,1),1.08876 # DEPENDENCYPART_ARC
(2,3),0.211536 # DEPENDENCYPART_ARC
(2,4),-0.49239 # DEPENDENCYPART_ARC
(2,5),-0.832943 # DEPENDENCYPART_ARC
(2,6),-0.795709 # DEPENDENCYPART_ARC
(2,7),-0.32358 # DEPENDENCYPART_ARC
(2,8),-1.95908 # DEPENDENCYPART_ARC
(2,9),-1.52114 # DEPENDENCYPART_ARC
(2,10),-2.64671 # DEPENDENCYPART_ARC
(2,11),-1.32092 # DEPENDENCYPART_ARC
(2,12),-2.08431 # DEPENDENCYPART_ARC
(2,13),-1.05063 # DEPENDENCYPART_ARC
(2,14),-0.917574 # DEPENDENCYPART_ARC
(2,15),-2.40038 # DEPENDENCYPART_ARC
(2,16),-2.718 # DEPENDENCYPART_ARC
(2,17),-2.42519 # DEPENDENCYPART_ARC
(2,18),-1.6872 # DEPENDENCYPART_ARC
(2,19),-1.00609 # DEPENDENCYPART_ARC
(3,1),1.22476 # DEPENDENCYPART_ARC
(3,2),1.74088 # DEPENDENCYPART_ARC
(3,4),0.178523 # DEPENDENCYPART_ARC
(3,5),-0.656759 # DEPENDENCYPART_ARC
(3,6),-0.767424 # DEPENDENCYPART_ARC
(3,7),-0.335891 # DEPENDENCYPART_ARC
(3,8),-1.91715 # DEPENDENCYPART_ARC
(3,9),-1.64195 # DEPENDENCYPART_ARC
(3,10),-2.74737 # DEPENDENCYPART_ARC
(3,11),-1.46071 # DEPENDENCYPART_ARC
(3,12),-2.31705 # DEPENDENCYPART_ARC
(3,13),-1.00959 # DEPENDENCYPART_ARC
(3,14),-0.996818 # DEPENDENCYPART_ARC
(3,15),-2.50257 # DEPENDENCYPART_ARC
(3,16),-2.62047 # DEPENDENCYPART_ARC
(3,17),-2.59242 # DEPENDENCYPART_ARC
(3,18),-1.65061 # DEPENDENCYPART_ARC
(3,19),-1.22168 # DEPENDENCYPART_ARC
(4,1),3.12459 # DEPENDENCYPART_ARC
(4,2),3.41483 # DEPENDENCYPART_ARC
(4,3),3.26714 # DEPENDENCYPART_ARC
(4,5),0.120522 # DEPENDENCYPART_ARC
