# _root_ Αποτελεί πρόκληση για όλους εμάς - το Κοινοβούλιο , την Επιτροπή και το Συμβούλιο - να θεσπίσουμε αυτά τα εχέγγυα , διότι είναι δύσκολο να εξακολουθήσουμε να συμφωνούμε ώσπου να τα αποκτήσουμε .
#goldHeads=0,1,1,5,6,3,8,12,12,11,12,6,14,12,6,17,1,20,20,17,17,1,22,23,26,23,28,26,28,32,32,29,0,
#predictedHeads=0,1,2,3,3,8,8,12,12,11,12,3,14,12,12,17,12,17,20,18,22,17,22,23,26,23,28,26,28,32,32,29,0,
(0,1),0.809638 # DEPENDENCYPART_ARC
(0,2),-0.852919 # DEPENDENCYPART_ARC
(0,3),-1.2858 # DEPENDENCYPART_ARC
(0,4),-1.39824 # DEPENDENCYPART_ARC
(0,5),-1.58108 # DEPENDENCYPART_ARC
(0,6),0.0741665 # DEPENDENCYPART_ARC
(0,7),-1.76175 # DEPENDENCYPART_ARC
(0,8),-1.49631 # DEPENDENCYPART_ARC
(0,9),-0.548639 # DEPENDENCYPART_ARC
(0,10),-1.70786 # DEPENDENCYPART_ARC
(0,11),-1.59179 # DEPENDENCYPART_ARC
(0,12),-0.59162 # DEPENDENCYPART_ARC
(0,13),-2.04778 # DEPENDENCYPART_ARC
(0,14),-1.4877 # DEPENDENCYPART_ARC
(0,15),-0.692167 # DEPENDENCYPART_ARC
(0,16),-1.73605 # DEPENDENCYPART_ARC
(0,17),-0.774726 # DEPENDENCYPART_ARC
(0,18),-1.78402 # DEPENDENCYPART_ARC
(0,19),-2.14504 # DEPENDENCYPART_ARC
(0,20),-2.04212 # DEPENDENCYPART_ARC
(0,21),-0.600255 # DEPENDENCYPART_ARC
(0,22),-1.4751 # DEPENDENCYPART_ARC
(0,23),-0.593136 # DEPENDENCYPART_ARC
(0,24),-2.52178 # DEPENDENCYPART_ARC
(0,25),-1.98477 # DEPENDENCYPART_ARC
(0,26),-1.57674 # DEPENDENCYPART_ARC
(0,27),-1.93696 # DEPENDENCYPART_ARC
(0,28),-1.42146 # DEPENDENCYPART_ARC
(0,29),-1.59045 # DEPENDENCYPART_ARC
(0,30),-1.95259 # DEPENDENCYPART_ARC
(0,31),-2.41623 # DEPENDENCYPART_ARC
(0,32),-2.69896 # DEPENDENCYPART_ARC
(0,33),4.83477 # DEPENDENCYPART_ARC
(1,2),3.21095 # DEPENDENCYPART_ARC
(1,3),1.26233 # DEPENDENCYPART_ARC
(1,4),-1.23995 # DEPENDENCYPART_ARC
(1,5),-0.159891 # DEPENDENCYPART_ARC
