# _root_ Akkoriban a cég — átmeneti sikerrel — megszerezte a Magyar_Nemzet , az Esti_Hírlap és az Expressz kiadói jogát , 1997 végén pedig megindította a Napi_Magyarország című napilapot .
#goldHeads=8,3,8,8,6,8,8,0,10,18,18,13,18,18,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
#predictedHeads=8,3,8,8,6,8,8,0,10,8,8,13,18,8,16,18,18,8,8,21,23,23,8,27,26,27,23,8,
(0,1),-2.0521 # DEPENDENCYPART_ARC
(0,3),-3.02116 # DEPENDENCYPART_ARC
(0,5),-2.57041 # DEPENDENCYPART_ARC
(0,6),-4.03289 # DEPENDENCYPART_ARC
(0,8),-0.476084 # DEPENDENCYPART_ARC
(0,10),-3.77428 # DEPENDENCYPART_ARC
(0,13),-4.37786 # DEPENDENCYPART_ARC
(0,14),-1.97331 # DEPENDENCYPART_ARC
(0,16),-4.1855 # DEPENDENCYPART_ARC
(0,17),-3.10641 # DEPENDENCYPART_ARC
(0,18),-5.38558 # DEPENDENCYPART_ARC
(0,20),-5.18424 # DEPENDENCYPART_ARC
(0,21),-5.6926 # DEPENDENCYPART_ARC
(0,22),-2.71558 # DEPENDENCYPART_ARC
(0,23),-2.14329 # DEPENDENCYPART_ARC
(0,25),-4.86509 # DEPENDENCYPART_ARC
(0,26),-3.70422 # DEPENDENCYPART_ARC
(0,27),-6.07096 # DEPENDENCYPART_ARC
(1,3),0.432876 # DEPENDENCYPART_ARC
(1,4),0.686073 # DEPENDENCYPART_ARC
(1,5),-0.369725 # DEPENDENCYPART_ARC
(1,6),-0.0971197 # DEPENDENCYPART_ARC
(1,7),0.497531 # DEPENDENCYPART_ARC
(1,8),-0.121304 # DEPENDENCYPART_ARC
(1,10),-0.911912 # DEPENDENCYPART_ARC
(1,11),-0.272589 # DEPENDENCYPART_ARC
(1,13),-1.85221 # DEPENDENCYPART_ARC
(1,14),-0.437807 # DEPENDENCYPART_ARC
(1,16),-1.8095 # DEPENDENCYPART_ARC
(1,17),-1.61076 # DEPENDENCYPART_ARC
(1,18),-1.46645 # DEPENDENCYPART_ARC
(1,19),-0.880352 # DEPENDENCYPART_ARC
(1,20),-0.823573 # DEPENDENCYPART_ARC
(1,21),-1.913 # DEPENDENCYPART_ARC
(1,22),-1.05206 # DEPENDENCYPART_ARC
(1,23),-0.940732 # DEPENDENCYPART_ARC
(1,25),-2.08079 # DEPENDENCYPART_ARC
(1,26),-2.03894 # DEPENDENCYPART_ARC
(1,27),-2.00943 # DEPENDENCYPART_ARC
(1,28),0.565288 # DEPENDENCYPART_ARC
(2,3),-0.344242 # DEPENDENCYPART_ARC
(2,4),-0.248336 # DEPENDENCYPART_ARC
(2,5),-0.441439 # DEPENDENCYPART_ARC
(2,6),-1.26281 # DEPENDENCYPART_ARC
(2,7),-0.483116 # DEPENDENCYPART_ARC
(2,10),-1.58682 # DEPENDENCYPART_ARC
(2,11),-0.686619 # DEPENDENCYPART_ARC
(2,13),-1.88553 # DEPENDENCYPART_ARC
(2,14),-1.68544 # DEPENDENCYPART_ARC
(2,16),-2.00439 # DEPENDENCYPART_ARC
(2,17),-1.88768 # DEPENDENCYPART_ARC
(2,18),-2.60324 # DEPENDENCYPART_ARC
