# _root_ Az érdekvédők továbbra is ragaszkodtak ahhoz , hogy az ÉT még április 9. , a részben helyébe lépő Gazdasági_Tanács összehívása előtt üljön össze .
#goldHeads=2,5,5,5,0,5,5,5,10,22,22,13,21,21,19,18,18,19,20,21,22,6,22,5,
#predictedHeads=2,5,5,5,0,5,5,5,10,13,5,13,5,5,19,18,18,19,20,21,22,6,22,5,
(0,2),-2.25864 # DEPENDENCYPART_ARC
(0,3),-2.01928 # DEPENDENCYPART_ARC
(0,4),-1.99602 # DEPENDENCYPART_ARC
(0,5),-0.736439 # DEPENDENCYPART_ARC
(0,6),-2.99837 # DEPENDENCYPART_ARC
(0,8),-1.1833 # DEPENDENCYPART_ARC
(0,10),-2.89635 # DEPENDENCYPART_ARC
(0,11),-2.63371 # DEPENDENCYPART_ARC
(0,12),-2.87644 # DEPENDENCYPART_ARC
(0,13),-3.27385 # DEPENDENCYPART_ARC
(0,16),-2.65331 # DEPENDENCYPART_ARC
(0,17),-3.28817 # DEPENDENCYPART_ARC
(0,18),-2.71807 # DEPENDENCYPART_ARC
(0,19),-3.30578 # DEPENDENCYPART_ARC
(0,20),-3.88885 # DEPENDENCYPART_ARC
(0,21),-4.92412 # DEPENDENCYPART_ARC
(0,22),-2.21672 # DEPENDENCYPART_ARC
(0,23),-3.08578 # DEPENDENCYPART_ARC
(1,2),-0.629716 # DEPENDENCYPART_ARC
(1,4),-0.989164 # DEPENDENCYPART_ARC
(1,7),-0.63057 # DEPENDENCYPART_ARC
(1,10),-1.80885 # DEPENDENCYPART_ARC
(1,12),-2.04875 # DEPENDENCYPART_ARC
(1,13),-2.3459 # DEPENDENCYPART_ARC
(1,14),-1.12465 # DEPENDENCYPART_ARC
(1,17),-2.59495 # DEPENDENCYPART_ARC
(1,18),-2.07561 # DEPENDENCYPART_ARC
(1,19),-2.241 # DEPENDENCYPART_ARC
(1,20),-2.51104 # DEPENDENCYPART_ARC
(2,1),3.16976 # DEPENDENCYPART_ARC
(2,3),-0.503668 # DEPENDENCYPART_ARC
(2,4),-0.70154 # DEPENDENCYPART_ARC
(2,5),-0.46532 # DEPENDENCYPART_ARC
(2,6),-1.42505 # DEPENDENCYPART_ARC
(2,7),-0.550823 # DEPENDENCYPART_ARC
(2,8),-0.644595 # DEPENDENCYPART_ARC
(2,9),-1.0541 # DEPENDENCYPART_ARC
(2,10),-2.43083 # DEPENDENCYPART_ARC
(2,11),-0.829377 # DEPENDENCYPART_ARC
(2,12),-2.47797 # DEPENDENCYPART_ARC
(2,13),-2.6655 # DEPENDENCYPART_ARC
(2,14),-0.632617 # DEPENDENCYPART_ARC
(2,15),-1.38629 # DEPENDENCYPART_ARC
(2,16),-0.824937 # DEPENDENCYPART_ARC
(2,17),-3.50484 # DEPENDENCYPART_ARC
(2,18),-1.90446 # DEPENDENCYPART_ARC
(2,19),-2.7526 # DEPENDENCYPART_ARC
(2,20),-3.12199 # DEPENDENCYPART_ARC
(2,21),-0.760778 # DEPENDENCYPART_ARC
(2,22),-2.0989 # DEPENDENCYPART_ARC
(2,23),-0.953634 # DEPENDENCYPART_ARC
(2,24),0.139959 # DEPENDENCYPART_ARC
(3,1),-0.451263 # DEPENDENCYPART_ARC
(3,2),0.00427907 # DEPENDENCYPART_ARC
(3,4),-0.446283 # DEPENDENCYPART_ARC
(3,5),-0.488867 # DEPENDENCYPART_ARC
(3,6),-1.03495 # DEPENDENCYPART_ARC
(3,7),-0.909587 # DEPENDENCYPART_ARC
(3,8),-0.567276 # DEPENDENCYPART_ARC
(3,9),-1.17236 # DEPENDENCYPART_ARC
(3,10),-1.78184 # DEPENDENCYPART_ARC
(3,11),-1.07593 # DEPENDENCYPART_ARC
(3,12),-2.14471 # DEPENDENCYPART_ARC
(3,13),-1.81125 # DEPENDENCYPART_ARC
(3,14),-1.1865 # DEPENDENCYPART_ARC
