# _root_ Az a kérdés , hogy sikerül -e az előtt tárgyalóasztalhoz ültetni Szlobodan_Milosevicset , hogy a jugoszláv hadsereg teljesen kiűzi az albánokat a tartományból .
#goldHeads=5,3,5,5,0,5,6,9,11,11,6,11,6,6,17,17,19,19,6,21,19,23,19,5,
#predictedHeads=3,3,5,5,0,19,6,10,11,11,6,11,6,6,17,17,19,19,1,21,19,23,19,5,
(0,1),-2.07722 # DEPENDENCYPART_ARC
(0,2),-2.2665 # DEPENDENCYPART_ARC
(0,3),-2.60453 # DEPENDENCYPART_ARC
(0,4),-2.5787 # DEPENDENCYPART_ARC
(0,5),-0.699796 # DEPENDENCYPART_ARC
(0,6),-0.69914 # DEPENDENCYPART_ARC
(0,7),-2.16384 # DEPENDENCYPART_ARC
(0,8),-2.55217 # DEPENDENCYPART_ARC
(0,9),-2.9949 # DEPENDENCYPART_ARC
(0,10),-3.23806 # DEPENDENCYPART_ARC
(0,11),-1.93272 # DEPENDENCYPART_ARC
(0,12),-3.084 # DEPENDENCYPART_ARC
(0,13),-3.19501 # DEPENDENCYPART_ARC
(0,14),-2.56528 # DEPENDENCYPART_ARC
(0,15),-3.01653 # DEPENDENCYPART_ARC
(0,16),-2.42753 # DEPENDENCYPART_ARC
(0,17),-3.43556 # DEPENDENCYPART_ARC
(0,18),-2.45364 # DEPENDENCYPART_ARC
(0,19),-1.00194 # DEPENDENCYPART_ARC
(0,20),-3.13102 # DEPENDENCYPART_ARC
(0,21),-4.70695 # DEPENDENCYPART_ARC
(0,22),-3.37019 # DEPENDENCYPART_ARC
(0,23),-5.19483 # DEPENDENCYPART_ARC
(0,24),-5.2751 # DEPENDENCYPART_ARC
(1,2),-0.208866 # DEPENDENCYPART_ARC
(1,3),0.756322 # DEPENDENCYPART_ARC
(1,4),0.659918 # DEPENDENCYPART_ARC
(1,5),0.372143 # DEPENDENCYPART_ARC
(1,6),1.1555 # DEPENDENCYPART_ARC
(1,7),0.648089 # DEPENDENCYPART_ARC
(1,8),-0.0171947 # DEPENDENCYPART_ARC
(1,9),0.431269 # DEPENDENCYPART_ARC
(1,10),-0.621843 # DEPENDENCYPART_ARC
(1,11),1.16673 # DEPENDENCYPART_ARC
(1,12),-0.587154 # DEPENDENCYPART_ARC
(1,13),0.952215 # DEPENDENCYPART_ARC
(1,14),0.375635 # DEPENDENCYPART_ARC
(1,15),-0.548088 # DEPENDENCYPART_ARC
(1,16),-0.236763 # DEPENDENCYPART_ARC
