# _root_ A menekültek között ugyanis főként nőket és gyermekeket látni , és ez is megerősíteni látszik az atlanti szövetséghez érkezett jelentéseket , miszerint a szerbek a koszovói albánokból állítanak " védőgyűrűt " .
#goldHeads=2,3,9,9,9,9,9,9,11,11,0,14,15,15,11,18,18,19,20,14,15,15,24,28,27,27,28,12,28,28,28,11,
#predictedHeads=2,3,9,9,9,9,9,9,11,11,0,14,14,15,11,18,18,19,20,14,28,15,24,28,27,27,28,9,30,28,30,15,
(0,2),-2.26269 # DEPENDENCYPART_ARC
(0,3),-2.47007 # DEPENDENCYPART_ARC
(0,4),-1.567 # DEPENDENCYPART_ARC
(0,5),-2.38432 # DEPENDENCYPART_ARC
(0,6),-3.04398 # DEPENDENCYPART_ARC
(0,7),-2.79051 # DEPENDENCYPART_ARC
(0,8),-3.07851 # DEPENDENCYPART_ARC
(0,9),-1.89823 # DEPENDENCYPART_ARC
(0,11),-0.51118 # DEPENDENCYPART_ARC
(0,12),-2.9372 # DEPENDENCYPART_ARC
(0,13),-1.8026 # DEPENDENCYPART_ARC
(0,14),-2.62626 # DEPENDENCYPART_ARC
(0,15),-0.92364 # DEPENDENCYPART_ARC
(0,17),-2.41785 # DEPENDENCYPART_ARC
(0,18),-3.05576 # DEPENDENCYPART_ARC
(0,19),-2.65642 # DEPENDENCYPART_ARC
(0,20),-3.81869 # DEPENDENCYPART_ARC
(0,22),-0.9161 # DEPENDENCYPART_ARC
(0,24),-3.64259 # DEPENDENCYPART_ARC
(0,26),-2.98166 # DEPENDENCYPART_ARC
(0,27),-4.54966 # DEPENDENCYPART_ARC
(0,28),-1.92716 # DEPENDENCYPART_ARC
(0,30),-4.54211 # DEPENDENCYPART_ARC
(1,2),-0.699245 # DEPENDENCYPART_ARC
(1,4),-0.942707 # DEPENDENCYPART_ARC
(1,6),-1.62199 # DEPENDENCYPART_ARC
(1,7),-1.21745 # DEPENDENCYPART_ARC
(1,8),-1.93377 # DEPENDENCYPART_ARC
(1,10),-0.962768 # DEPENDENCYPART_ARC
(1,11),-1.5065 # DEPENDENCYPART_ARC
(1,13),-1.66441 # DEPENDENCYPART_ARC
(1,17),-1.87552 # DEPENDENCYPART_ARC
(1,18),-2.35297 # DEPENDENCYPART_ARC
(1,19),-2.15773 # DEPENDENCYPART_ARC
(1,20),-2.51056 # DEPENDENCYPART_ARC
(1,21),-1.37135 # DEPENDENCYPART_ARC
(1,24),-2.64729 # DEPENDENCYPART_ARC
(1,26),-2.72003 # DEPENDENCYPART_ARC
(1,27),-2.94324 # DEPENDENCYPART_ARC
(1,29),-1.43784 # DEPENDENCYPART_ARC
(1,30),-3.021 # DEPENDENCYPART_ARC
(1,31),-1.5396 # DEPENDENCYPART_ARC
(2,1),3.13962 # DEPENDENCYPART_ARC
(2,3),-0.261181 # DEPENDENCYPART_ARC
(2,4),-1.12436 # DEPENDENCYPART_ARC
(2,5),-0.989625 # DEPENDENCYPART_ARC
(2,6),-2.16245 # DEPENDENCYPART_ARC
(2,7),-1.12246 # DEPENDENCYPART_ARC
(2,8),-2.58004 # DEPENDENCYPART_ARC
(2,9),-1.13908 # DEPENDENCYPART_ARC
(2,10),-1.03099 # DEPENDENCYPART_ARC
(2,11),-1.11882 # DEPENDENCYPART_ARC
(2,12),-1.88177 # DEPENDENCYPART_ARC
(2,13),-1.62488 # DEPENDENCYPART_ARC
(2,14),-1.70824 # DEPENDENCYPART_ARC
(2,15),-2.05671 # DEPENDENCYPART_ARC
(2,16),-1.74617 # DEPENDENCYPART_ARC
(2,17),-2.21783 # DEPENDENCYPART_ARC
(2,18),-3.72901 # DEPENDENCYPART_ARC
(2,19),-2.07994 # DEPENDENCYPART_ARC
(2,20),-3.74907 # DEPENDENCYPART_ARC
(2,21),-1.35116 # DEPENDENCYPART_ARC
(2,22),-1.79833 # DEPENDENCYPART_ARC
(2,23),-1.98516 # DEPENDENCYPART_ARC
(2,24),-4.02096 # DEPENDENCYPART_ARC
(2,25),-2.07978 # DEPENDENCYPART_ARC
(2,26),-2.35372 # DEPENDENCYPART_ARC
(2,27),-4.47738 # DEPENDENCYPART_ARC
(2,28),-2.54581 # DEPENDENCYPART_ARC
(2,29),-1.59318 # DEPENDENCYPART_ARC
(2,30),-4.71992 # DEPENDENCYPART_ARC
(2,31),-1.81855 # DEPENDENCYPART_ARC
(2,32),-0.156544 # DEPENDENCYPART_ARC
(3,1),0.474885 # DEPENDENCYPART_ARC
(3,2),3.51119 # DEPENDENCYPART_ARC
(3,4),-0.466418 # DEPENDENCYPART_ARC
(3,5),-0.594117 # DEPENDENCYPART_ARC
(3,6),-0.705629 # DEPENDENCYPART_ARC
(3,7),-0.610974 # DEPENDENCYPART_ARC
(3,8),-0.817483 # DEPENDENCYPART_ARC
(3,9),-0.434556 # DEPENDENCYPART_ARC
(3,10),-0.405782 # DEPENDENCYPART_ARC
(3,11),-0.607711 # DEPENDENCYPART_ARC
(3,12),-1.2447 # DEPENDENCYPART_ARC
(3,13),-0.667224 # DEPENDENCYPART_ARC
(3,14),-0.766328 # DEPENDENCYPART_ARC
(3,15),-0.796517 # DEPENDENCYPART_ARC
(3,16),-0.99536 # DEPENDENCYPART_ARC
(3,17),-1.16303 # DEPENDENCYPART_ARC
(3,18),-1.20333 # DEPENDENCYPART_ARC
(3,19),-1.11934 # DEPENDENCYPART_ARC
(3,20),-1.11247 # DEPENDENCYPART_ARC
(3,21),-0.712255 # DEPENDENCYPART_ARC
(3,23),-1.09433 # DEPENDENCYPART_ARC
(3,24),-1.30243 # DEPENDENCYPART_ARC
(3,25),-1.05524 # DEPENDENCYPART_ARC
(3,26),-1.32572 # DEPENDENCYPART_ARC
(3,27),-1.2032 # DEPENDENCYPART_ARC
(3,28),-1.28555 # DEPENDENCYPART_ARC
(3,29),-0.923481 # DEPENDENCYPART_ARC
(3,30),-1.34181 # DEPENDENCYPART_ARC
(3,31),-1.05487 # DEPENDENCYPART_ARC
(3,32),-0.318808 # DEPENDENCYPART_ARC
(4,1),-0.901492 # DEPENDENCYPART_ARC
(4,2),-0.692263 # DEPENDENCYPART_ARC
(4,3),0.0478796 # DEPENDENCYPART_ARC
(4,5),0.0861061 # DEPENDENCYPART_ARC
(4,6),-0.146005 # DEPENDENCYPART_ARC
(4,7),0.33051 # DEPENDENCYPART_ARC
(4,8),-0.71778 # DEPENDENCYPART_ARC
(4,9),-0.00532198 # DEPENDENCYPART_ARC
(4,10),0.40106 # DEPENDENCYPART_ARC
(4,11),0.269853 # DEPENDENCYPART_ARC
(4,12),-0.717189 # DEPENDENCYPART_ARC
(4,13),-0.062557 # DEPENDENCYPART_ARC
(4,14),-1.02778 # DEPENDENCYPART_ARC
(4,15),-0.742825 # DEPENDENCYPART_ARC
(4,16),-0.765484 # DEPENDENCYPART_ARC
(4,17),-0.605941 # DEPENDENCYPART_ARC
(4,18),-1.37254 # DEPENDENCYPART_ARC
(4,19),-0.541437 # DEPENDENCYPART_ARC
(4,20),-1.09171 # DEPENDENCYPART_ARC
(4,21),-0.111688 # DEPENDENCYPART_ARC
(4,22),-0.0201447 # DEPENDENCYPART_ARC
(4,23),-1.1795 # DEPENDENCYPART_ARC
(4,24),-1.4983 # DEPENDENCYPART_ARC
(4,25),-1.31764 # DEPENDENCYPART_ARC
(4,26),-0.672024 # DEPENDENCYPART_ARC
(4,27),-1.86595 # DEPENDENCYPART_ARC
(4,28),-1.5791 # DEPENDENCYPART_ARC
(4,29),-0.185133 # DEPENDENCYPART_ARC
(4,30),-1.82439 # DEPENDENCYPART_ARC
(4,31),-0.341187 # DEPENDENCYPART_ARC
(4,32),1.68504 # DEPENDENCYPART_ARC
(5,1),-0.682317 # DEPENDENCYPART_ARC
(5,2),-0.268202 # DEPENDENCYPART_ARC
(5,3),-0.160097 # DEPENDENCYPART_ARC
(5,4),0.304156 # DEPENDENCYPART_ARC
(5,6),-0.227923 # DEPENDENCYPART_ARC
(5,7),0.0183045 # DEPENDENCYPART_ARC
(5,8),-0.276916 # DEPENDENCYPART_ARC
(5,9),0.212782 # DEPENDENCYPART_ARC
(5,10),-0.423047 # DEPENDENCYPART_ARC
(5,11),-0.0982727 # DEPENDENCYPART_ARC
(5,12),-0.897151 # DEPENDENCYPART_ARC
(5,13),-0.588179 # DEPENDENCYPART_ARC
(5,14),-0.752878 # DEPENDENCYPART_ARC
(5,15),-0.765845 # DEPENDENCYPART_ARC
(5,16),-0.750209 # DEPENDENCYPART_ARC
(5,17),-1.10826 # DEPENDENCYPART_ARC
(5,18),-1.84147 # DEPENDENCYPART_ARC
(5,19),-1.13296 # DEPENDENCYPART_ARC
(5,20),-1.65782 # DEPENDENCYPART_ARC
(5,21),-1.15298 # DEPENDENCYPART_ARC
(5,22),-0.0846052 # DEPENDENCYPART_ARC
(5,23),-1.13937 # DEPENDENCYPART_ARC
(5,24),-2.22003 # DEPENDENCYPART_ARC
(5,25),-1.23841 # DEPENDENCYPART_ARC
(5,26),-1.6096 # DEPENDENCYPART_ARC
(5,27),-2.23674 # DEPENDENCYPART_ARC
(5,28),-1.13477 # DEPENDENCYPART_ARC
(5,29),-0.846572 # DEPENDENCYPART_ARC
(5,30),-2.34936 # DEPENDENCYPART_ARC
(5,31),-1.00826 # DEPENDENCYPART_ARC
(5,32),0.0527963 # DEPENDENCYPART_ARC
(6,1),0.480982 # DEPENDENCYPART_ARC
(6,2),-1.02767 # DEPENDENCYPART_ARC
(6,3),-0.340654 # DEPENDENCYPART_ARC
(6,4),0.570834 # DEPENDENCYPART_ARC
(6,5),0.583865 # DEPENDENCYPART_ARC
(6,7),-0.945683 # DEPENDENCYPART_ARC
(6,8),-1.32852 # DEPENDENCYPART_ARC
(6,9),-0.925298 # DEPENDENCYPART_ARC
(6,10),-0.972902 # DEPENDENCYPART_ARC
(6,11),-1.13354 # DEPENDENCYPART_ARC
(6,12),-2.31722 # DEPENDENCYPART_ARC
(6,13),-1.41531 # DEPENDENCYPART_ARC
(6,14),-1.59276 # DEPENDENCYPART_ARC
(6,15),-1.97063 # DEPENDENCYPART_ARC
(6,16),-1.68892 # DEPENDENCYPART_ARC
(6,17),-2.13109 # DEPENDENCYPART_ARC
(6,18),-3.79575 # DEPENDENCYPART_ARC
(6,19),-2.14274 # DEPENDENCYPART_ARC
(6,20),-3.11973 # DEPENDENCYPART_ARC
(6,21),-1.37575 # DEPENDENCYPART_ARC
(6,22),-1.69977 # DEPENDENCYPART_ARC
(6,23),-1.95547 # DEPENDENCYPART_ARC
(6,24),-3.97007 # DEPENDENCYPART_ARC
(6,25),-2.04847 # DEPENDENCYPART_ARC
(6,26),-2.39782 # DEPENDENCYPART_ARC
(6,27),-4.07295 # DEPENDENCYPART_ARC
(6,28),-2.80436 # DEPENDENCYPART_ARC
(6,29),-1.52933 # DEPENDENCYPART_ARC
(6,30),-4.17354 # DEPENDENCYPART_ARC
(6,31),-1.72806 # DEPENDENCYPART_ARC
(6,32),0.00819687 # DEPENDENCYPART_ARC
(7,1),-1.17155 # DEPENDENCYPART_ARC
(7,2),-0.53435 # DEPENDENCYPART_ARC
(7,3),-0.370315 # DEPENDENCYPART_ARC
(7,4),0.187013 # DEPENDENCYPART_ARC
(7,5),-0.196281 # DEPENDENCYPART_ARC
(7,6),-0.253233 # DEPENDENCYPART_ARC
(7,8),-0.128309 # DEPENDENCYPART_ARC
(7,9),0.184097 # DEPENDENCYPART_ARC
(7,10),0.170839 # DEPENDENCYPART_ARC
(7,11),-0.279314 # DEPENDENCYPART_ARC
(7,12),-0.92597 # DEPENDENCYPART_ARC
(7,13),-0.391758 # DEPENDENCYPART_ARC
(7,14),-1.11415 # DEPENDENCYPART_ARC
(7,15),-0.946683 # DEPENDENCYPART_ARC
(7,16),-0.824264 # DEPENDENCYPART_ARC
(7,17),-1.01678 # DEPENDENCYPART_ARC
(7,18),-0.996724 # DEPENDENCYPART_ARC
(7,19),-1.1773 # DEPENDENCYPART_ARC
(7,20),-0.965437 # DEPENDENCYPART_ARC
(7,21),-0.509742 # DEPENDENCYPART_ARC
(7,22),-0.745875 # DEPENDENCYPART_ARC
(7,23),-1.17426 # DEPENDENCYPART_ARC
(7,24),-1.51017 # DEPENDENCYPART_ARC
(7,25),-1.30933 # DEPENDENCYPART_ARC
(7,26),-1.77429 # DEPENDENCYPART_ARC
(7,27),-2.05065 # DEPENDENCYPART_ARC
(7,28),-2.70317 # DEPENDENCYPART_ARC
(7,29),-0.660702 # DEPENDENCYPART_ARC
(7,30),-2.38541 # DEPENDENCYPART_ARC
(7,31),-0.767287 # DEPENDENCYPART_ARC
(7,32),0.425261 # DEPENDENCYPART_ARC
(8,1),-0.0118305 # DEPENDENCYPART_ARC
(8,2),-1.25848 # DEPENDENCYPART_ARC
(8,3),-0.397809 # DEPENDENCYPART_ARC
(8,4),0.0623123 # DEPENDENCYPART_ARC
(8,5),-0.0693674 # DEPENDENCYPART_ARC
(8,6),0.382887 # DEPENDENCYPART_ARC
(8,7),1.02339 # DEPENDENCYPART_ARC
(8,9),-0.33664 # DEPENDENCYPART_ARC
(8,10),-0.574942 # DEPENDENCYPART_ARC
(8,11),-0.595457 # DEPENDENCYPART_ARC
(8,12),-1.89224 # DEPENDENCYPART_ARC
(8,13),-1.03031 # DEPENDENCYPART_ARC
(8,14),-1.05162 # DEPENDENCYPART_ARC
(8,15),-1.49163 # DEPENDENCYPART_ARC
(8,16),-1.33373 # DEPENDENCYPART_ARC
(8,17),-1.58467 # DEPENDENCYPART_ARC
(8,18),-2.75082 # DEPENDENCYPART_ARC
(8,19),-1.65485 # DEPENDENCYPART_ARC
(8,20),-2.3458 # DEPENDENCYPART_ARC
(8,21),-0.952117 # DEPENDENCYPART_ARC
(8,22),-1.31419 # DEPENDENCYPART_ARC
(8,23),-1.62481 # DEPENDENCYPART_ARC
(8,24),-3.20213 # DEPENDENCYPART_ARC
(8,25),-1.65392 # DEPENDENCYPART_ARC
(8,26),-1.89895 # DEPENDENCYPART_ARC
(8,27),-3.2128 # DEPENDENCYPART_ARC
(8,28),-2.35251 # DEPENDENCYPART_ARC
(8,29),-0.987311 # DEPENDENCYPART_ARC
(8,30),-3.44016 # DEPENDENCYPART_ARC
(8,31),-1.25142 # DEPENDENCYPART_ARC
(8,32),0.558465 # DEPENDENCYPART_ARC
(9,1),-0.192875 # DEPENDENCYPART_ARC
(9,2),-0.438826 # DEPENDENCYPART_ARC
(9,3),1.73653 # DEPENDENCYPART_ARC
(9,4),1.15939 # DEPENDENCYPART_ARC
(9,5),1.98447 # DEPENDENCYPART_ARC
(9,6),3.301 # DEPENDENCYPART_ARC
(9,7),1.60393 # DEPENDENCYPART_ARC
(9,8),5.09785 # DEPENDENCYPART_ARC
(9,10),1.29448 # DEPENDENCYPART_ARC
(9,11),0.797317 # DEPENDENCYPART_ARC
(9,12),0.0462448 # DEPENDENCYPART_ARC
(9,13),0.39447 # DEPENDENCYPART_ARC
(9,14),0.796959 # DEPENDENCYPART_ARC
(9,15),0.589309 # DEPENDENCYPART_ARC
(9,16),-0.549499 # DEPENDENCYPART_ARC
(9,17),-0.0220726 # DEPENDENCYPART_ARC
(9,18),-1.82118 # DEPENDENCYPART_ARC
(9,19),0.122197 # DEPENDENCYPART_ARC
(9,20),-0.0489199 # DEPENDENCYPART_ARC
(9,21),-0.04475 # DEPENDENCYPART_ARC
(9,22),0.289341 # DEPENDENCYPART_ARC
(9,23),-0.523212 # DEPENDENCYPART_ARC
(9,24),-3.18732 # DEPENDENCYPART_ARC
(9,25),-0.518352 # DEPENDENCYPART_ARC
(9,26),-0.704707 # DEPENDENCYPART_ARC
(9,27),-2.3873 # DEPENDENCYPART_ARC
(9,28),1.01765 # DEPENDENCYPART_ARC
(9,29),-0.641131 # DEPENDENCYPART_ARC
(9,30),-0.80283 # DEPENDENCYPART_ARC
(9,31),-0.571878 # DEPENDENCYPART_ARC
(9,32),1.39178 # DEPENDENCYPART_ARC
(11,1),-0.885411 # DEPENDENCYPART_ARC
(11,2),-0.605897 # DEPENDENCYPART_ARC
(11,3),0.121566 # DEPENDENCYPART_ARC
(11,4),1.03255 # DEPENDENCYPART_ARC
(11,5),0.0197622 # DEPENDENCYPART_ARC
(11,6),-0.596602 # DEPENDENCYPART_ARC
(11,7),0.96059 # DEPENDENCYPART_ARC
(11,8),-0.147589 # DEPENDENCYPART_ARC
(11,9),1.42493 # DEPENDENCYPART_ARC
(11,10),2.62351 # DEPENDENCYPART_ARC
(11,12),0.097256 # DEPENDENCYPART_ARC
(11,13),0.875593 # DEPENDENCYPART_ARC
(11,14),1.75726 # DEPENDENCYPART_ARC
(11,15),1.53778 # DEPENDENCYPART_ARC
(11,16),0.111911 # DEPENDENCYPART_ARC
(11,17),0.0199328 # DEPENDENCYPART_ARC
(11,18),-0.0912722 # DEPENDENCYPART_ARC
(11,19),-0.0567769 # DEPENDENCYPART_ARC
(11,20),-0.00300949 # DEPENDENCYPART_ARC
(11,21),0.471263 # DEPENDENCYPART_ARC
(11,22),0.835526 # DEPENDENCYPART_ARC
(11,23),-0.249402 # DEPENDENCYPART_ARC
(11,24),-0.908929 # DEPENDENCYPART_ARC
(11,25),-0.340428 # DEPENDENCYPART_ARC
(11,26),-0.809142 # DEPENDENCYPART_ARC
(11,27),-1.19105 # DEPENDENCYPART_ARC
(11,28),0.0343365 # DEPENDENCYPART_ARC
(11,29),0.182882 # DEPENDENCYPART_ARC
(11,30),-1.36122 # DEPENDENCYPART_ARC
(11,31),0.26341 # DEPENDENCYPART_ARC
(11,32),2.56333 # DEPENDENCYPART_ARC
(12,1),-1.14245 # DEPENDENCYPART_ARC
(12,2),-1.33858 # DEPENDENCYPART_ARC
(12,3),-1.18565 # DEPENDENCYPART_ARC
(12,4),-0.417713 # DEPENDENCYPART_ARC
(12,5),-0.654005 # DEPENDENCYPART_ARC
(12,6),-1.79121 # DEPENDENCYPART_ARC
(12,7),-0.714495 # DEPENDENCYPART_ARC
(12,8),-1.82824 # DEPENDENCYPART_ARC
(12,9),-0.917482 # DEPENDENCYPART_ARC
(12,10),-0.360912 # DEPENDENCYPART_ARC
(12,11),0.0337216 # DEPENDENCYPART_ARC
(12,13),-0.662749 # DEPENDENCYPART_ARC
(12,14),-0.607005 # DEPENDENCYPART_ARC
(12,15),1.01384 # DEPENDENCYPART_ARC
(12,16),-0.986893 # DEPENDENCYPART_ARC
(12,17),-0.543025 # DEPENDENCYPART_ARC
(12,18),-0.413177 # DEPENDENCYPART_ARC
(12,19),-0.443136 # DEPENDENCYPART_ARC
(12,20),-0.65143 # DEPENDENCYPART_ARC
(12,21),0.636411 # DEPENDENCYPART_ARC
(12,22),0.177656 # DEPENDENCYPART_ARC
(12,23),-1.23807 # DEPENDENCYPART_ARC
(12,24),-0.468609 # DEPENDENCYPART_ARC
(12,25),-1.35522 # DEPENDENCYPART_ARC
(12,26),-0.732411 # DEPENDENCYPART_ARC
(12,27),-0.800733 # DEPENDENCYPART_ARC
(12,28),0.995098 # DEPENDENCYPART_ARC
(12,29),0.0211136 # DEPENDENCYPART_ARC
(12,30),-1.28695 # DEPENDENCYPART_ARC
(12,31),-0.219834 # DEPENDENCYPART_ARC
(12,32),-0.121413 # DEPENDENCYPART_ARC
(13,1),-2.39301 # DEPENDENCYPART_ARC
(13,2),-2.36748 # DEPENDENCYPART_ARC
(13,3),-1.12265 # DEPENDENCYPART_ARC
(13,4),-0.735055 # DEPENDENCYPART_ARC
(13,5),-1.44139 # DEPENDENCYPART_ARC
(13,6),-2.52806 # DEPENDENCYPART_ARC
(13,7),-0.588316 # DEPENDENCYPART_ARC
