# _root_ Önkéntesek hordták a vizet és az élelmet , a törmelék elszállítását — ha kellett , puszta kézzel — maguk szervezték meg .
#goldHeads=2,0,4,2,2,7,2,2,10,11,20,13,20,13,14,17,14,13,20,2,20,2,
#predictedHeads=2,0,4,2,2,7,2,2,10,11,2,13,2,2,14,17,20,20,20,2,20,2,
(0,1),-2.42864 # DEPENDENCYPART_ARC
(0,2),-0.383261 # DEPENDENCYPART_ARC
(0,3),-2.81746 # DEPENDENCYPART_ARC
(0,4),-3.5101 # DEPENDENCYPART_ARC
(0,5),-1.50207 # DEPENDENCYPART_ARC
(0,6),-3.05465 # DEPENDENCYPART_ARC
(0,7),-3.99652 # DEPENDENCYPART_ARC
(0,8),-3.52569 # DEPENDENCYPART_ARC
(0,9),-3.3582 # DEPENDENCYPART_ARC
(0,10),-3.89177 # DEPENDENCYPART_ARC
(0,11),-4.38148 # DEPENDENCYPART_ARC
(0,12),-3.50395 # DEPENDENCYPART_ARC
(0,13),-1.9854 # DEPENDENCYPART_ARC
(0,14),-1.44335 # DEPENDENCYPART_ARC
(0,15),-3.98327 # DEPENDENCYPART_ARC
(0,16),-2.93314 # DEPENDENCYPART_ARC
(0,17),-4.63419 # DEPENDENCYPART_ARC
(0,18),-3.7733 # DEPENDENCYPART_ARC
(0,19),-3.69821 # DEPENDENCYPART_ARC
(0,20),-1.7872 # DEPENDENCYPART_ARC
(0,21),-3.00615 # DEPENDENCYPART_ARC
(0,22),-5.23749 # DEPENDENCYPART_ARC
(1,2),-0.277336 # DEPENDENCYPART_ARC
(1,3),-1.12104 # DEPENDENCYPART_ARC
(1,4),-1.78749 # DEPENDENCYPART_ARC
(1,5),-0.738436 # DEPENDENCYPART_ARC
(1,6),-1.26281 # DEPENDENCYPART_ARC
(1,7),-2.29066 # DEPENDENCYPART_ARC
(1,8),-0.634241 # DEPENDENCYPART_ARC
(1,9),-1.36921 # DEPENDENCYPART_ARC
(1,10),-1.98269 # DEPENDENCYPART_ARC
(1,11),-2.50521 # DEPENDENCYPART_ARC
(1,12),-0.812024 # DEPENDENCYPART_ARC
(1,13),-1.22592 # DEPENDENCYPART_ARC
(1,14),-1.0555 # DEPENDENCYPART_ARC
(1,15),-0.820383 # DEPENDENCYPART_ARC
(1,16),-1.70682 # DEPENDENCYPART_ARC
(1,17),-2.72701 # DEPENDENCYPART_ARC
(1,18),-0.754432 # DEPENDENCYPART_ARC
(1,19),-1.10994 # DEPENDENCYPART_ARC
(1,20),-1.30229 # DEPENDENCYPART_ARC
(1,21),-1.1699 # DEPENDENCYPART_ARC
(1,22),0.591261 # DEPENDENCYPART_ARC
(2,1),3.97938 # DEPENDENCYPART_ARC
(2,3),0.726794 # DEPENDENCYPART_ARC
(2,4),2.97477 # DEPENDENCYPART_ARC
(2,5),1.71484 # DEPENDENCYPART_ARC
(2,6),0.420495 # DEPENDENCYPART_ARC
(2,7),2.83492 # DEPENDENCYPART_ARC
(2,8),1.46262 # DEPENDENCYPART_ARC
(2,9),0.162104 # DEPENDENCYPART_ARC
(2,10),-0.545097 # DEPENDENCYPART_ARC
(2,11),2.45324 # DEPENDENCYPART_ARC
(2,12),0.699578 # DEPENDENCYPART_ARC
(2,13),1.39065 # DEPENDENCYPART_ARC
(2,14),2.19836 # DEPENDENCYPART_ARC
(2,15),0.623867 # DEPENDENCYPART_ARC
(2,16),-1.26692 # DEPENDENCYPART_ARC
(2,17),-0.845895 # DEPENDENCYPART_ARC
(2,18),0.856015 # DEPENDENCYPART_ARC
(2,19),-1.37165 # DEPENDENCYPART_ARC
(2,20),1.11516 # DEPENDENCYPART_ARC
(2,21),0.540837 # DEPENDENCYPART_ARC
(2,22),3.44382 # DEPENDENCYPART_ARC
(3,1),-2.36326 # DEPENDENCYPART_ARC
(3,2),-0.978635 # DEPENDENCYPART_ARC
(3,4),-0.350208 # DEPENDENCYPART_ARC
(3,5),-0.639597 # DEPENDENCYPART_ARC
(3,6),-0.720336 # DEPENDENCYPART_ARC
(3,7),-1.0295 # DEPENDENCYPART_ARC
(3,8),-0.375416 # DEPENDENCYPART_ARC
(3,9),-0.929251 # DEPENDENCYPART_ARC
(3,10),-1.38109 # DEPENDENCYPART_ARC
(3,11),-1.82645 # DEPENDENCYPART_ARC
(3,12),-0.461965 # DEPENDENCYPART_ARC
(3,13),-1.0357 # DEPENDENCYPART_ARC
(3,14),-1.51688 # DEPENDENCYPART_ARC
(3,15),-0.654161 # DEPENDENCYPART_ARC
(3,16),-1.68886 # DEPENDENCYPART_ARC
(3,17),-1.97309 # DEPENDENCYPART_ARC
(3,18),-0.66795 # DEPENDENCYPART_ARC
(3,19),-1.38656 # DEPENDENCYPART_ARC
(3,20),-1.69276 # DEPENDENCYPART_ARC
(3,21),-1.30211 # DEPENDENCYPART_ARC
(3,22),-1.92316 # DEPENDENCYPART_ARC
(4,1),-3.33311 # DEPENDENCYPART_ARC
(4,2),-0.546633 # DEPENDENCYPART_ARC
(4,3),2.98405 # DEPENDENCYPART_ARC
(4,5),-0.935442 # DEPENDENCYPART_ARC
(4,6),-1.43751 # DEPENDENCYPART_ARC
(4,7),-1.64719 # DEPENDENCYPART_ARC
(4,8),-0.823655 # DEPENDENCYPART_ARC
(4,9),-1.60108 # DEPENDENCYPART_ARC
(4,10),-2.21762 # DEPENDENCYPART_ARC
(4,11),-2.08091 # DEPENDENCYPART_ARC
(4,12),-1.00471 # DEPENDENCYPART_ARC
(4,13),-1.48754 # DEPENDENCYPART_ARC
(4,14),-1.17109 # DEPENDENCYPART_ARC
(4,15),-1.43958 # DEPENDENCYPART_ARC
(4,16),-2.33386 # DEPENDENCYPART_ARC
(4,17),-2.88455 # DEPENDENCYPART_ARC
(4,18),-1.37761 # DEPENDENCYPART_ARC
(4,19),-2.08368 # DEPENDENCYPART_ARC
(4,20),-1.98985 # DEPENDENCYPART_ARC
(4,21),-1.514 # DEPENDENCYPART_ARC
(4,22),-0.141942 # DEPENDENCYPART_ARC
(5,1),-0.376015 # DEPENDENCYPART_ARC
(5,2),0.5166 # DEPENDENCYPART_ARC
(5,3),-0.151994 # DEPENDENCYPART_ARC
(5,4),0.506216 # DEPENDENCYPART_ARC
(5,6),-0.125573 # DEPENDENCYPART_ARC
(5,7),1.11244 # DEPENDENCYPART_ARC
(5,8),-0.0615169 # DEPENDENCYPART_ARC
(5,9),-0.448401 # DEPENDENCYPART_ARC
(5,10),0.219128 # DEPENDENCYPART_ARC
(5,11),-0.235775 # DEPENDENCYPART_ARC
(5,12),-0.474578 # DEPENDENCYPART_ARC
(5,13),-0.104959 # DEPENDENCYPART_ARC
(5,14),0.315114 # DEPENDENCYPART_ARC
(5,15),-0.160899 # DEPENDENCYPART_ARC
(5,16),-1.09656 # DEPENDENCYPART_ARC
(5,17),-1.25256 # DEPENDENCYPART_ARC
(5,18),-0.400021 # DEPENDENCYPART_ARC
(5,19),-1.02983 # DEPENDENCYPART_ARC
(5,20),-1.10831 # DEPENDENCYPART_ARC
(5,21),-0.966626 # DEPENDENCYPART_ARC
(5,22),1.17283 # DEPENDENCYPART_ARC
(6,1),-2.40382 # DEPENDENCYPART_ARC
(6,2),-1.33376 # DEPENDENCYPART_ARC
(6,3),-0.795404 # DEPENDENCYPART_ARC
(6,4),-1.59823 # DEPENDENCYPART_ARC
(6,5),-0.13844 # DEPENDENCYPART_ARC
(6,7),-0.34106 # DEPENDENCYPART_ARC
(6,8),-0.104538 # DEPENDENCYPART_ARC
(6,9),-0.670729 # DEPENDENCYPART_ARC
(6,10),-1.01074 # DEPENDENCYPART_ARC
(6,11),-1.45425 # DEPENDENCYPART_ARC
(6,12),-0.352866 # DEPENDENCYPART_ARC
(6,13),-0.781034 # DEPENDENCYPART_ARC
(6,14),-1.10304 # DEPENDENCYPART_ARC
(6,15),-0.494986 # DEPENDENCYPART_ARC
(6,16),-1.07987 # DEPENDENCYPART_ARC
(6,17),-1.86509 # DEPENDENCYPART_ARC
(6,18),-0.549859 # DEPENDENCYPART_ARC
(6,19),-1.59834 # DEPENDENCYPART_ARC
(6,20),-1.32998 # DEPENDENCYPART_ARC
(6,21),-1.25981 # DEPENDENCYPART_ARC
(6,22),-1.42769 # DEPENDENCYPART_ARC
(7,1),-3.85916 # DEPENDENCYPART_ARC
(7,2),-1.27416 # DEPENDENCYPART_ARC
(7,3),0.523354 # DEPENDENCYPART_ARC
(7,4),-1.40887 # DEPENDENCYPART_ARC
(7,5),0.0893762 # DEPENDENCYPART_ARC
(7,6),3.41021 # DEPENDENCYPART_ARC
(7,8),0.270158 # DEPENDENCYPART_ARC
(7,9),-0.777809 # DEPENDENCYPART_ARC
(7,10),-0.877938 # DEPENDENCYPART_ARC
(7,11),-0.506985 # DEPENDENCYPART_ARC
(7,12),-0.211175 # DEPENDENCYPART_ARC
(7,13),-0.651761 # DEPENDENCYPART_ARC
(7,14),-0.226645 # DEPENDENCYPART_ARC
(7,15),-0.330459 # DEPENDENCYPART_ARC
(7,16),-1.39075 # DEPENDENCYPART_ARC
(7,17),-1.31306 # DEPENDENCYPART_ARC
(7,18),-0.530645 # DEPENDENCYPART_ARC
(7,19),-1.39292 # DEPENDENCYPART_ARC
(7,20),-1.08022 # DEPENDENCYPART_ARC
(7,21),-0.986215 # DEPENDENCYPART_ARC
