# _root_ Valószínű , hogy a többség továbbra is a legális , illetve illegális lerakókba kerül .
#goldHeads=3,3,0,5,14,14,14,13,13,13,13,13,14,3,3,
#predictedHeads=3,3,0,5,14,14,14,13,13,13,13,13,14,3,3,
(0,1),-1.79169 # DEPENDENCYPART_ARC
(0,3),-0.429363 # DEPENDENCYPART_ARC
(0,5),-3.30434 # DEPENDENCYPART_ARC
(0,6),-2.61603 # DEPENDENCYPART_ARC
(0,7),-2.32078 # DEPENDENCYPART_ARC
(0,9),-2.75188 # DEPENDENCYPART_ARC
(0,11),-2.47292 # DEPENDENCYPART_ARC
(0,12),-2.7464 # DEPENDENCYPART_ARC
(0,13),-4.31888 # DEPENDENCYPART_ARC
(0,14),-2.8592 # DEPENDENCYPART_ARC
(1,2),0.227619 # DEPENDENCYPART_ARC
(1,3),-0.449227 # DEPENDENCYPART_ARC
(1,4),-0.831011 # DEPENDENCYPART_ARC
(1,5),-0.860171 # DEPENDENCYPART_ARC
(1,6),-0.694161 # DEPENDENCYPART_ARC
(1,7),-0.645423 # DEPENDENCYPART_ARC
(1,8),-1.04144 # DEPENDENCYPART_ARC
(1,9),-1.11197 # DEPENDENCYPART_ARC
(1,10),-0.211687 # DEPENDENCYPART_ARC
(1,11),-0.583933 # DEPENDENCYPART_ARC
(1,12),-1.38331 # DEPENDENCYPART_ARC
(1,13),-2.30245 # DEPENDENCYPART_ARC
(1,14),-0.390122 # DEPENDENCYPART_ARC
(1,15),1.04528 # DEPENDENCYPART_ARC
(3,1),1.37146 # DEPENDENCYPART_ARC
(3,2),1.12847 # DEPENDENCYPART_ARC
(3,4),-0.678694 # DEPENDENCYPART_ARC
(3,5),-0.744559 # DEPENDENCYPART_ARC
(3,6),-0.135067 # DEPENDENCYPART_ARC
(3,7),0.092872 # DEPENDENCYPART_ARC
(3,8),-1.19307 # DEPENDENCYPART_ARC
(3,9),-0.551691 # DEPENDENCYPART_ARC
(3,10),-0.427441 # DEPENDENCYPART_ARC
(3,11),0.112941 # DEPENDENCYPART_ARC
(3,12),-0.943141 # DEPENDENCYPART_ARC
(3,13),-1.8862 # DEPENDENCYPART_ARC
(3,14),0.504086 # DEPENDENCYPART_ARC
(3,15),1.70125 # DEPENDENCYPART_ARC
(4,1),-1.85641 # DEPENDENCYPART_ARC
(4,2),-1.481 # DEPENDENCYPART_ARC
(4,5),-0.581679 # DEPENDENCYPART_ARC
(4,7),-0.901953 # DEPENDENCYPART_ARC
(4,9),-0.908969 # DEPENDENCYPART_ARC
(4,10),-0.586952 # DEPENDENCYPART_ARC
(4,11),-1.03529 # DEPENDENCYPART_ARC
(4,12),-1.2577 # DEPENDENCYPART_ARC
(4,13),-1.99547 # DEPENDENCYPART_ARC
(5,1),-1.39174 # DEPENDENCYPART_ARC
(5,2),-0.543591 # DEPENDENCYPART_ARC
(5,3),-1.27946 # DEPENDENCYPART_ARC
(5,4),2.93956 # DEPENDENCYPART_ARC
(5,6),-0.777448 # DEPENDENCYPART_ARC
(5,7),-0.929021 # DEPENDENCYPART_ARC
(5,8),-1.11441 # DEPENDENCYPART_ARC
(5,9),-1.16109 # DEPENDENCYPART_ARC
(5,10),-0.676873 # DEPENDENCYPART_ARC
(5,11),-0.788003 # DEPENDENCYPART_ARC
(5,12),-1.46175 # DEPENDENCYPART_ARC
(5,13),-2.23917 # DEPENDENCYPART_ARC
(5,14),-1.04148 # DEPENDENCYPART_ARC
(5,15),-0.580691 # DEPENDENCYPART_ARC
(6,1),-1.14647 # DEPENDENCYPART_ARC
(6,2),-0.742516 # DEPENDENCYPART_ARC
(6,3),-0.709177 # DEPENDENCYPART_ARC
(6,4),-0.667033 # DEPENDENCYPART_ARC
(6,5),-0.0763419 # DEPENDENCYPART_ARC
(6,7),-0.422014 # DEPENDENCYPART_ARC
(6,8),-1.07974 # DEPENDENCYPART_ARC
(6,9),-0.739982 # DEPENDENCYPART_ARC
(6,10),-0.815294 # DEPENDENCYPART_ARC
(6,11),-0.557253 # DEPENDENCYPART_ARC
(6,12),-1.22155 # DEPENDENCYPART_ARC
(6,13),-1.51513 # DEPENDENCYPART_ARC
(6,14),-0.914016 # DEPENDENCYPART_ARC
(6,15),-0.919699 # DEPENDENCYPART_ARC
(7,1),-0.825839 # DEPENDENCYPART_ARC
(7,2),-0.164477 # DEPENDENCYPART_ARC
(7,3),-0.151697 # DEPENDENCYPART_ARC
(7,4),-0.893559 # DEPENDENCYPART_ARC
(7,5),-0.434236 # DEPENDENCYPART_ARC
(7,6),0.186158 # DEPENDENCYPART_ARC
(7,8),-0.784013 # DEPENDENCYPART_ARC
(7,9),-0.301111 # DEPENDENCYPART_ARC
(7,10),-0.307116 # DEPENDENCYPART_ARC
(7,11),-0.619358 # DEPENDENCYPART_ARC
(7,12),-0.841165 # DEPENDENCYPART_ARC
(7,13),-0.702242 # DEPENDENCYPART_ARC
(7,14),-0.384503 # DEPENDENCYPART_ARC
(7,15),0.0780838 # DEPENDENCYPART_ARC
(8,1),-1.06709 # DEPENDENCYPART_ARC
(8,2),-0.262153 # DEPENDENCYPART_ARC
(8,5),-1.93874 # DEPENDENCYPART_ARC
(8,7),-0.0313519 # DEPENDENCYPART_ARC
(8,9),0.478653 # DEPENDENCYPART_ARC
(8,10),-0.0765662 # DEPENDENCYPART_ARC
(8,11),-0.425881 # DEPENDENCYPART_ARC
(8,12),-0.308536 # DEPENDENCYPART_ARC
(8,13),-1.24046 # DEPENDENCYPART_ARC
(9,1),-2.1458 # DEPENDENCYPART_ARC
(9,2),-1.0912 # DEPENDENCYPART_ARC
(9,3),-1.26237 # DEPENDENCYPART_ARC
(9,4),-1.36115 # DEPENDENCYPART_ARC
(9,5),-1.86791 # DEPENDENCYPART_ARC
(9,6),-0.734166 # DEPENDENCYPART_ARC
(9,7),-0.334509 # DEPENDENCYPART_ARC
(9,8),0.734232 # DEPENDENCYPART_ARC
(9,10),-0.236113 # DEPENDENCYPART_ARC
(9,11),-0.930475 # DEPENDENCYPART_ARC
(9,12),-1.19169 # DEPENDENCYPART_ARC
(9,13),-1.78136 # DEPENDENCYPART_ARC
