# _root_ Egyes hírek szerint S._József , akit ügyes jogásznak tartanak , a közelmúltban több állásajánlatot kapott a városban .
#goldHeads=2,3,15,15,15,9,8,9,15,15,12,15,14,15,0,17,15,15,
#predictedHeads=2,3,9,9,9,9,8,9,0,9,12,15,14,15,9,17,15,9,
(0,1),-1.82316 # DEPENDENCYPART_ARC
(0,2),-2.47502 # DEPENDENCYPART_ARC
(0,3),-2.82497 # DEPENDENCYPART_ARC
(0,4),-2.44429 # DEPENDENCYPART_ARC
(0,7),-3.01271 # DEPENDENCYPART_ARC
(0,8),-3.99959 # DEPENDENCYPART_ARC
(0,9),-1.22892 # DEPENDENCYPART_ARC
(0,12),-3.96438 # DEPENDENCYPART_ARC
(0,13),-4.1866 # DEPENDENCYPART_ARC
(0,14),-4.62758 # DEPENDENCYPART_ARC
(0,15),-1.49613 # DEPENDENCYPART_ARC
(0,17),-4.68575 # DEPENDENCYPART_ARC
(1,2),-1.0119 # DEPENDENCYPART_ARC
(1,3),-0.730267 # DEPENDENCYPART_ARC
(1,4),-1.36828 # DEPENDENCYPART_ARC
(1,5),-0.659242 # DEPENDENCYPART_ARC
(1,6),-2.13061 # DEPENDENCYPART_ARC
(1,7),-1.70751 # DEPENDENCYPART_ARC
(1,8),-2.04034 # DEPENDENCYPART_ARC
(1,9),-1.2026 # DEPENDENCYPART_ARC
(1,10),-0.921582 # DEPENDENCYPART_ARC
(1,11),-1.84676 # DEPENDENCYPART_ARC
(1,12),-2.18166 # DEPENDENCYPART_ARC
(1,13),-1.48256 # DEPENDENCYPART_ARC
(1,14),-2.8214 # DEPENDENCYPART_ARC
(1,15),-1.41986 # DEPENDENCYPART_ARC
(1,16),-1.96708 # DEPENDENCYPART_ARC
(1,17),-2.33482 # DEPENDENCYPART_ARC
(1,18),-0.382419 # DEPENDENCYPART_ARC
(2,1),2.97542 # DEPENDENCYPART_ARC
(2,3),-0.416405 # DEPENDENCYPART_ARC
(2,4),-1.10117 # DEPENDENCYPART_ARC
(2,5),-0.416116 # DEPENDENCYPART_ARC
(2,6),-2.02978 # DEPENDENCYPART_ARC
(2,7),-1.37824 # DEPENDENCYPART_ARC
(2,8),-2.28193 # DEPENDENCYPART_ARC
(2,9),-1.03215 # DEPENDENCYPART_ARC
(2,10),-0.843201 # DEPENDENCYPART_ARC
(2,11),-1.84626 # DEPENDENCYPART_ARC
(2,12),-2.58536 # DEPENDENCYPART_ARC
(2,13),-1.76796 # DEPENDENCYPART_ARC
(2,14),-2.77786 # DEPENDENCYPART_ARC
(2,15),-1.47494 # DEPENDENCYPART_ARC
(2,16),-2.0005 # DEPENDENCYPART_ARC
