# _root_ Szakmai ártalom talán , hogy jobb híján statisztikát készítek róluk magamban , hátha kiderül az élet e mindennapi jelenetéből valami .
#goldHeads=2,5,5,5,0,7,9,9,5,9,9,9,14,9,16,19,19,19,14,14,5,
#predictedHeads=2,5,5,5,0,8,9,9,5,9,9,9,14,9,16,14,19,19,14,14,9,
(0,1),-1.94652 # DEPENDENCYPART_ARC
(0,2),-2.41289 # DEPENDENCYPART_ARC
(0,3),-2.21976 # DEPENDENCYPART_ARC
(0,5),-0.897475 # DEPENDENCYPART_ARC
(0,6),-2.90099 # DEPENDENCYPART_ARC
(0,7),-3.27449 # DEPENDENCYPART_ARC
(0,8),-3.61331 # DEPENDENCYPART_ARC
(0,9),-1.90569 # DEPENDENCYPART_ARC
(0,10),-2.86528 # DEPENDENCYPART_ARC
(0,13),-2.79045 # DEPENDENCYPART_ARC
(0,14),-2.11606 # DEPENDENCYPART_ARC
(0,16),-3.89029 # DEPENDENCYPART_ARC
(0,17),-3.27372 # DEPENDENCYPART_ARC
(0,18),-3.26456 # DEPENDENCYPART_ARC
(0,19),-4.62757 # DEPENDENCYPART_ARC
(0,20),-3.32463 # DEPENDENCYPART_ARC
(1,2),-0.645303 # DEPENDENCYPART_ARC
(1,3),-1.049 # DEPENDENCYPART_ARC
(1,4),-0.752261 # DEPENDENCYPART_ARC
(1,5),-1.04918 # DEPENDENCYPART_ARC
(1,6),-1.50756 # DEPENDENCYPART_ARC
(1,7),-1.00851 # DEPENDENCYPART_ARC
(1,8),-2.2928 # DEPENDENCYPART_ARC
(1,9),-1.28659 # DEPENDENCYPART_ARC
(1,10),-1.45101 # DEPENDENCYPART_ARC
(1,11),-2.04396 # DEPENDENCYPART_ARC
(1,12),-1.00006 # DEPENDENCYPART_ARC
(1,13),-1.52656 # DEPENDENCYPART_ARC
(1,14),-1.43215 # DEPENDENCYPART_ARC
(1,15),-1.8783 # DEPENDENCYPART_ARC
(1,16),-2.46023 # DEPENDENCYPART_ARC
(1,17),-2.1124 # DEPENDENCYPART_ARC
(1,18),-2.09877 # DEPENDENCYPART_ARC
(1,19),-2.93703 # DEPENDENCYPART_ARC
(1,20),-2.14503 # DEPENDENCYPART_ARC
(1,21),-0.0830381 # DEPENDENCYPART_ARC
(2,1),3.39166 # DEPENDENCYPART_ARC
(2,3),-0.45356 # DEPENDENCYPART_ARC
(2,4),-0.20883 # DEPENDENCYPART_ARC
(2,5),-0.640292 # DEPENDENCYPART_ARC
(2,6),-0.733137 # DEPENDENCYPART_ARC
(2,7),-0.108486 # DEPENDENCYPART_ARC
(2,8),-1.7016 # DEPENDENCYPART_ARC
(2,9),-1.06785 # DEPENDENCYPART_ARC
(2,10),-0.693483 # DEPENDENCYPART_ARC
(2,11),-1.59204 # DEPENDENCYPART_ARC
(2,12),-0.580532 # DEPENDENCYPART_ARC
(2,13),-0.737268 # DEPENDENCYPART_ARC
(2,14),-0.929081 # DEPENDENCYPART_ARC
(2,15),-1.29833 # DEPENDENCYPART_ARC
(2,16),-2.45577 # DEPENDENCYPART_ARC
(2,17),-1.75963 # DEPENDENCYPART_ARC
(2,18),-1.79396 # DEPENDENCYPART_ARC
(2,19),-3.18779 # DEPENDENCYPART_ARC
(2,20),-1.83547 # DEPENDENCYPART_ARC
(2,21),1.03857 # DEPENDENCYPART_ARC
(3,1),0.198091 # DEPENDENCYPART_ARC
(3,2),0.943784 # DEPENDENCYPART_ARC
(3,4),-0.26354 # DEPENDENCYPART_ARC
(3,5),-0.137758 # DEPENDENCYPART_ARC
(3,6),-0.467337 # DEPENDENCYPART_ARC
(3,7),-0.12029 # DEPENDENCYPART_ARC
(3,8),-0.836916 # DEPENDENCYPART_ARC
(3,9),-0.406255 # DEPENDENCYPART_ARC
(3,10),-0.58873 # DEPENDENCYPART_ARC
(3,12),-0.53295 # DEPENDENCYPART_ARC
(3,13),-0.64923 # DEPENDENCYPART_ARC
(3,14),-0.928727 # DEPENDENCYPART_ARC
(3,15),-1.01388 # DEPENDENCYPART_ARC
(3,16),-2.11781 # DEPENDENCYPART_ARC
(3,17),-1.24242 # DEPENDENCYPART_ARC
(3,18),-1.30124 # DEPENDENCYPART_ARC
(3,19),-2.24169 # DEPENDENCYPART_ARC
(3,20),-1.29579 # DEPENDENCYPART_ARC
(3,21),0.551789 # DEPENDENCYPART_ARC
(5,1),0.867225 # DEPENDENCYPART_ARC
(5,2),1.39119 # DEPENDENCYPART_ARC
(5,3),1.02259 # DEPENDENCYPART_ARC
(5,4),0.946838 # DEPENDENCYPART_ARC
(5,6),-0.160428 # DEPENDENCYPART_ARC
(5,7),-0.0693219 # DEPENDENCYPART_ARC
(5,8),-1.2921 # DEPENDENCYPART_ARC
(5,9),1.15762 # DEPENDENCYPART_ARC
(5,10),-0.419997 # DEPENDENCYPART_ARC
(5,12),0.665703 # DEPENDENCYPART_ARC
(5,13),-0.353443 # DEPENDENCYPART_ARC
(5,14),0.189539 # DEPENDENCYPART_ARC
(5,15),-0.95719 # DEPENDENCYPART_ARC
(5,16),-2.1478 # DEPENDENCYPART_ARC
(5,17),-1.27517 # DEPENDENCYPART_ARC
(5,18),-0.711185 # DEPENDENCYPART_ARC
(5,19),-2.37647 # DEPENDENCYPART_ARC
(5,20),-1.4614 # DEPENDENCYPART_ARC
(5,21),2.57488 # DEPENDENCYPART_ARC
(6,1),-2.0036 # DEPENDENCYPART_ARC
(6,2),-2.55182 # DEPENDENCYPART_ARC
(6,3),-0.605476 # DEPENDENCYPART_ARC
(6,4),-0.532 # DEPENDENCYPART_ARC
(6,5),-0.495035 # DEPENDENCYPART_ARC
(6,7),-0.363448 # DEPENDENCYPART_ARC
(6,8),-1.22324 # DEPENDENCYPART_ARC
(6,9),-0.504908 # DEPENDENCYPART_ARC
(6,10),-1.17645 # DEPENDENCYPART_ARC
(6,11),-1.77861 # DEPENDENCYPART_ARC
(6,12),-0.698892 # DEPENDENCYPART_ARC
(6,13),-1.2433 # DEPENDENCYPART_ARC
(6,14),-0.723878 # DEPENDENCYPART_ARC
(6,15),-1.61063 # DEPENDENCYPART_ARC
(6,16),-1.99042 # DEPENDENCYPART_ARC
(6,17),-1.9021 # DEPENDENCYPART_ARC
(6,18),-1.83813 # DEPENDENCYPART_ARC
(6,19),-2.39373 # DEPENDENCYPART_ARC
(6,20),-2.00548 # DEPENDENCYPART_ARC
(6,21),0.354181 # DEPENDENCYPART_ARC
(7,1),-0.36908 # DEPENDENCYPART_ARC
