# _root_ Ez azért megoldható , mert a szív voltaképpen csupán egy pumpa , egyszerű izommunkát végez .
#goldHeads=5,5,5,5,0,7,9,9,5,11,9,9,14,15,9,5,
#predictedHeads=5,5,5,5,0,7,15,15,15,11,15,15,14,15,5,5,
(0,1),-2.18809 # DEPENDENCYPART_ARC
(0,2),-1.43914 # DEPENDENCYPART_ARC
(0,3),-1.60768 # DEPENDENCYPART_ARC
(0,4),-2.35253 # DEPENDENCYPART_ARC
(0,5),-0.68942 # DEPENDENCYPART_ARC
(0,6),-2.53725 # DEPENDENCYPART_ARC
(0,7),-3.12234 # DEPENDENCYPART_ARC
(0,8),-2.09335 # DEPENDENCYPART_ARC
(0,9),-1.9462 # DEPENDENCYPART_ARC
(0,10),-2.28773 # DEPENDENCYPART_ARC
(0,11),-3.28743 # DEPENDENCYPART_ARC
(0,12),-3.0815 # DEPENDENCYPART_ARC
(0,13),-2.50078 # DEPENDENCYPART_ARC
(0,14),-3.89652 # DEPENDENCYPART_ARC
(0,15),-1.24414 # DEPENDENCYPART_ARC
(0,16),-3.8348 # DEPENDENCYPART_ARC
(1,2),-0.10391 # DEPENDENCYPART_ARC
(1,3),-0.402351 # DEPENDENCYPART_ARC
(1,4),0.346787 # DEPENDENCYPART_ARC
(1,5),-0.249951 # DEPENDENCYPART_ARC
(1,6),-1.08807 # DEPENDENCYPART_ARC
(1,7),-0.518215 # DEPENDENCYPART_ARC
(1,8),-0.0159334 # DEPENDENCYPART_ARC
(1,9),-0.0284289 # DEPENDENCYPART_ARC
(1,10),-0.5113 # DEPENDENCYPART_ARC
(1,11),-0.645405 # DEPENDENCYPART_ARC
(1,12),-0.0236704 # DEPENDENCYPART_ARC
(1,13),-0.733083 # DEPENDENCYPART_ARC
(1,14),-1.08265 # DEPENDENCYPART_ARC
(1,15),0.147341 # DEPENDENCYPART_ARC
(1,16),0.115406 # DEPENDENCYPART_ARC
(2,1),0.679176 # DEPENDENCYPART_ARC
(2,3),0.374238 # DEPENDENCYPART_ARC
(2,4),0.0594197 # DEPENDENCYPART_ARC
(2,5),0.162059 # DEPENDENCYPART_ARC
(2,6),-0.430615 # DEPENDENCYPART_ARC
(2,7),-0.237623 # DEPENDENCYPART_ARC
(2,8),-0.218095 # DEPENDENCYPART_ARC
(2,9),-0.354603 # DEPENDENCYPART_ARC
(2,10),-0.619085 # DEPENDENCYPART_ARC
(2,11),-0.62607 # DEPENDENCYPART_ARC
(2,12),0.000101583 # DEPENDENCYPART_ARC
(2,13),-0.861717 # DEPENDENCYPART_ARC
(2,14),-1.05497 # DEPENDENCYPART_ARC
(2,15),0.0236778 # DEPENDENCYPART_ARC
(2,16),0.925913 # DEPENDENCYPART_ARC
(3,1),0.789419 # DEPENDENCYPART_ARC
(3,2),1.64698 # DEPENDENCYPART_ARC
(3,4),0.983895 # DEPENDENCYPART_ARC
(3,5),0.462156 # DEPENDENCYPART_ARC
(3,6),0.0469925 # DEPENDENCYPART_ARC
(3,7),0.0207804 # DEPENDENCYPART_ARC
(3,8),0.182888 # DEPENDENCYPART_ARC
(3,9),0.234666 # DEPENDENCYPART_ARC
(3,10),0.14161 # DEPENDENCYPART_ARC
(3,11),-0.264938 # DEPENDENCYPART_ARC
(3,12),0.697967 # DEPENDENCYPART_ARC
(3,13),-0.535587 # DEPENDENCYPART_ARC
(3,14),-1.07425 # DEPENDENCYPART_ARC
(3,15),0.18252 # DEPENDENCYPART_ARC
(3,16),1.5507 # DEPENDENCYPART_ARC
(4,1),-1.57135 # DEPENDENCYPART_ARC
(4,2),-1.2651 # DEPENDENCYPART_ARC
(4,3),-0.973198 # DEPENDENCYPART_ARC
(4,5),-1.20159 # DEPENDENCYPART_ARC
(4,6),-1.51435 # DEPENDENCYPART_ARC
(4,7),-2.17089 # DEPENDENCYPART_ARC
(4,8),-1.69005 # DEPENDENCYPART_ARC
(4,9),-1.77281 # DEPENDENCYPART_ARC
(4,10),-1.76923 # DEPENDENCYPART_ARC
(4,11),-2.68477 # DEPENDENCYPART_ARC
(4,12),-1.51764 # DEPENDENCYPART_ARC
(4,13),-2.06584 # DEPENDENCYPART_ARC
(4,14),-2.75061 # DEPENDENCYPART_ARC
(4,15),-1.99049 # DEPENDENCYPART_ARC
(4,16),-1.76137 # DEPENDENCYPART_ARC
(5,1),1.57838 # DEPENDENCYPART_ARC
(5,2),2.15479 # DEPENDENCYPART_ARC
(5,3),1.39723 # DEPENDENCYPART_ARC
(5,4),1.44036 # DEPENDENCYPART_ARC
(5,6),-0.501623 # DEPENDENCYPART_ARC
(5,7),-0.242228 # DEPENDENCYPART_ARC
(5,8),-0.104152 # DEPENDENCYPART_ARC
(5,9),0.156916 # DEPENDENCYPART_ARC
(5,10),-0.608733 # DEPENDENCYPART_ARC
(5,11),-0.846198 # DEPENDENCYPART_ARC
(5,12),0.138943 # DEPENDENCYPART_ARC
(5,13),-0.342884 # DEPENDENCYPART_ARC
(5,14),-1.4982 # DEPENDENCYPART_ARC
(5,15),1.06862 # DEPENDENCYPART_ARC
(5,16),2.03779 # DEPENDENCYPART_ARC
(6,1),-2.50931 # DEPENDENCYPART_ARC
(6,2),-1.70798 # DEPENDENCYPART_ARC
(6,3),-1.49679 # DEPENDENCYPART_ARC
(6,4),-1.17678 # DEPENDENCYPART_ARC
(6,5),-0.677951 # DEPENDENCYPART_ARC
(6,7),-0.428486 # DEPENDENCYPART_ARC
(6,8),-0.722812 # DEPENDENCYPART_ARC
(6,9),-0.867665 # DEPENDENCYPART_ARC
(6,10),-0.943688 # DEPENDENCYPART_ARC
(6,11),-1.20519 # DEPENDENCYPART_ARC
(6,12),-0.510435 # DEPENDENCYPART_ARC
(6,13),-1.10006 # DEPENDENCYPART_ARC
(6,14),-1.7753 # DEPENDENCYPART_ARC
(6,15),-1.53569 # DEPENDENCYPART_ARC
