# _root_ A Gazdasági_Minisztérium utasítja az ITD_Hungary vezérigazgatóját , hogy dolgozzanak ki olyan térségi programokat , amelyek lehetővé teszik a bányászok foglalkoztatását .
#goldHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
#predictedHeads=2,3,0,5,6,3,3,3,3,9,13,13,9,9,17,17,11,19,20,17,3,
(0,1),-2.07918 # DEPENDENCYPART_ARC
(0,2),-1.52073 # DEPENDENCYPART_ARC
(0,3),-0.063321 # DEPENDENCYPART_ARC
(0,4),-2.45443 # DEPENDENCYPART_ARC
(0,5),-2.21421 # DEPENDENCYPART_ARC
(0,6),-3.04712 # DEPENDENCYPART_ARC
(0,7),-2.9365 # DEPENDENCYPART_ARC
(0,8),-0.6128 # DEPENDENCYPART_ARC
(0,9),-1.629 # DEPENDENCYPART_ARC
(0,10),-2.4122 # DEPENDENCYPART_ARC
(0,11),-2.52786 # DEPENDENCYPART_ARC
(0,12),-2.4103 # DEPENDENCYPART_ARC
(0,13),-3.53169 # DEPENDENCYPART_ARC
(0,14),-3.38086 # DEPENDENCYPART_ARC
(0,15),-2.65988 # DEPENDENCYPART_ARC
(0,16),-2.8229 # DEPENDENCYPART_ARC
(0,17),-1.39738 # DEPENDENCYPART_ARC
(0,18),-3.1405 # DEPENDENCYPART_ARC
(0,19),-3.97425 # DEPENDENCYPART_ARC
(0,20),-4.65188 # DEPENDENCYPART_ARC
(0,21),-5.056 # DEPENDENCYPART_ARC
(1,2),-0.282809 # DEPENDENCYPART_ARC
(1,3),-0.833712 # DEPENDENCYPART_ARC
(1,4),-0.816306 # DEPENDENCYPART_ARC
(1,5),-1.0396 # DEPENDENCYPART_ARC
(1,6),-1.60157 # DEPENDENCYPART_ARC
(1,7),-0.488286 # DEPENDENCYPART_ARC
(1,8),-0.993905 # DEPENDENCYPART_ARC
(1,9),-1.42929 # DEPENDENCYPART_ARC
(1,10),-1.06587 # DEPENDENCYPART_ARC
(1,11),-1.32057 # DEPENDENCYPART_ARC
(1,12),-1.33512 # DEPENDENCYPART_ARC
(1,13),-1.95976 # DEPENDENCYPART_ARC
(1,14),-0.742355 # DEPENDENCYPART_ARC
(1,15),-1.41027 # DEPENDENCYPART_ARC
(1,16),-1.73015 # DEPENDENCYPART_ARC
(1,17),-1.69539 # DEPENDENCYPART_ARC
(1,18),-1.19221 # DEPENDENCYPART_ARC
(1,19),-2.05885 # DEPENDENCYPART_ARC
(1,20),-2.4455 # DEPENDENCYPART_ARC
(1,21),-2.48179 # DEPENDENCYPART_ARC
(2,1),2.38248 # DEPENDENCYPART_ARC
(2,3),0.0263074 # DEPENDENCYPART_ARC
(2,4),-1.02096 # DEPENDENCYPART_ARC
(2,5),-0.774741 # DEPENDENCYPART_ARC
(2,6),-1.0116 # DEPENDENCYPART_ARC
(2,7),-0.316352 # DEPENDENCYPART_ARC
(2,8),-0.684986 # DEPENDENCYPART_ARC
(2,9),-1.36127 # DEPENDENCYPART_ARC
(2,10),-0.729469 # DEPENDENCYPART_ARC
(2,11),-1.33687 # DEPENDENCYPART_ARC
(2,12),-1.22011 # DEPENDENCYPART_ARC
(2,13),-2.33462 # DEPENDENCYPART_ARC
(2,14),-0.353902 # DEPENDENCYPART_ARC
(2,15),-0.965447 # DEPENDENCYPART_ARC
(2,16),-1.5203 # DEPENDENCYPART_ARC
(2,17),-0.545189 # DEPENDENCYPART_ARC
(2,18),-1.4621 # DEPENDENCYPART_ARC
(2,19),-2.40023 # DEPENDENCYPART_ARC
(2,20),-2.70808 # DEPENDENCYPART_ARC
(2,21),0.802744 # DEPENDENCYPART_ARC
(3,1),-0.0222569 # DEPENDENCYPART_ARC
(3,2),3.91392 # DEPENDENCYPART_ARC
(3,4),-0.0379113 # DEPENDENCYPART_ARC
(3,5),1.51374 # DEPENDENCYPART_ARC
(3,6),3.57159 # DEPENDENCYPART_ARC
(3,7),1.74628 # DEPENDENCYPART_ARC
(3,8),2.6602 # DEPENDENCYPART_ARC
(3,9),1.70139 # DEPENDENCYPART_ARC
(3,10),0.864545 # DEPENDENCYPART_ARC
(3,11),-0.827153 # DEPENDENCYPART_ARC
(3,12),-0.756046 # DEPENDENCYPART_ARC
(3,13),0.67619 # DEPENDENCYPART_ARC
(3,14),1.47218 # DEPENDENCYPART_ARC
(3,15),-1.16795 # DEPENDENCYPART_ARC
(3,16),0.337815 # DEPENDENCYPART_ARC
(3,17),0.571704 # DEPENDENCYPART_ARC
(3,18),-0.970479 # DEPENDENCYPART_ARC
(3,19),-2.2398 # DEPENDENCYPART_ARC
(3,20),0.431653 # DEPENDENCYPART_ARC
(3,21),2.8758 # DEPENDENCYPART_ARC
(4,1),-1.14988 # DEPENDENCYPART_ARC
(4,2),-1.85797 # DEPENDENCYPART_ARC
(4,3),-0.461007 # DEPENDENCYPART_ARC
(4,5),0.103225 # DEPENDENCYPART_ARC
(4,6),-0.534344 # DEPENDENCYPART_ARC
(4,7),0.085484 # DEPENDENCYPART_ARC
(4,8),-0.6017 # DEPENDENCYPART_ARC
(4,9),-0.890213 # DEPENDENCYPART_ARC
(4,10),-0.781909 # DEPENDENCYPART_ARC
(4,11),-1.09752 # DEPENDENCYPART_ARC
(4,12),-0.766825 # DEPENDENCYPART_ARC
(4,13),-1.35867 # DEPENDENCYPART_ARC
(4,14),-0.316823 # DEPENDENCYPART_ARC
(4,15),-1.15508 # DEPENDENCYPART_ARC
(4,16),-0.982419 # DEPENDENCYPART_ARC
(4,17),-1.1996 # DEPENDENCYPART_ARC
(4,18),-0.915915 # DEPENDENCYPART_ARC
(4,19),-1.57619 # DEPENDENCYPART_ARC
(4,20),-1.98881 # DEPENDENCYPART_ARC
(4,21),-1.25978 # DEPENDENCYPART_ARC
(5,1),-0.473289 # DEPENDENCYPART_ARC
(5,2),-1.96666 # DEPENDENCYPART_ARC
(5,3),-0.357449 # DEPENDENCYPART_ARC
(5,4),2.76877 # DEPENDENCYPART_ARC
(5,6),-0.898769 # DEPENDENCYPART_ARC
(5,7),-0.567581 # DEPENDENCYPART_ARC
(5,8),-1.12685 # DEPENDENCYPART_ARC
(5,9),-1.46054 # DEPENDENCYPART_ARC
(5,10),-1.21436 # DEPENDENCYPART_ARC
(5,11),-1.72834 # DEPENDENCYPART_ARC
(5,12),-1.55236 # DEPENDENCYPART_ARC
(5,13),-2.6434 # DEPENDENCYPART_ARC
(5,14),-0.7822 # DEPENDENCYPART_ARC
(5,15),-1.29979 # DEPENDENCYPART_ARC
(5,16),-1.80391 # DEPENDENCYPART_ARC
(5,17),-0.933431 # DEPENDENCYPART_ARC
(5,18),-1.90206 # DEPENDENCYPART_ARC
(5,19),-2.84416 # DEPENDENCYPART_ARC
(5,20),-3.07315 # DEPENDENCYPART_ARC
(5,21),0.29341 # DEPENDENCYPART_ARC
(6,1),-1.13912 # DEPENDENCYPART_ARC
(6,2),-0.0668181 # DEPENDENCYPART_ARC
(6,3),-1.07347 # DEPENDENCYPART_ARC
(6,4),1.66791 # DEPENDENCYPART_ARC
(6,5),4.28353 # DEPENDENCYPART_ARC
(6,7),-0.10066 # DEPENDENCYPART_ARC
(6,8),-0.925364 # DEPENDENCYPART_ARC
(6,9),-2.00374 # DEPENDENCYPART_ARC
(6,10),-0.788053 # DEPENDENCYPART_ARC
(6,11),-2.31783 # DEPENDENCYPART_ARC
(6,12),-1.47606 # DEPENDENCYPART_ARC
(6,13),-1.58076 # DEPENDENCYPART_ARC
(6,14),-0.467364 # DEPENDENCYPART_ARC
(6,15),-1.68856 # DEPENDENCYPART_ARC
(6,16),-1.43547 # DEPENDENCYPART_ARC
(6,17),-1.61682 # DEPENDENCYPART_ARC
(6,18),-1.43636 # DEPENDENCYPART_ARC
(6,19),-2.39967 # DEPENDENCYPART_ARC
(6,20),-2.65392 # DEPENDENCYPART_ARC
(6,21),0.935236 # DEPENDENCYPART_ARC
(7,1),-2.45389 # DEPENDENCYPART_ARC
(7,2),-3.33714 # DEPENDENCYPART_ARC
(7,3),-2.36683 # DEPENDENCYPART_ARC
(7,4),-1.8845 # DEPENDENCYPART_ARC
(7,5),-2.55306 # DEPENDENCYPART_ARC
(7,6),-2.03952 # DEPENDENCYPART_ARC
(7,8),-1.37144 # DEPENDENCYPART_ARC
(7,9),-1.53962 # DEPENDENCYPART_ARC
(7,10),-1.79217 # DEPENDENCYPART_ARC
(7,11),-2.02285 # DEPENDENCYPART_ARC
(7,12),-2.0054 # DEPENDENCYPART_ARC
(7,13),-2.65225 # DEPENDENCYPART_ARC
(7,14),-1.62344 # DEPENDENCYPART_ARC
(7,15),-2.23712 # DEPENDENCYPART_ARC
(7,16),-2.2296 # DEPENDENCYPART_ARC
(7,17),-2.04467 # DEPENDENCYPART_ARC
(7,18),-2.0583 # DEPENDENCYPART_ARC
(7,19),-3.01973 # DEPENDENCYPART_ARC
(7,20),-3.15693 # DEPENDENCYPART_ARC
(7,21),-1.92727 # DEPENDENCYPART_ARC
(8,1),-0.497113 # DEPENDENCYPART_ARC
(8,2),0.415222 # DEPENDENCYPART_ARC
(8,3),0.306188 # DEPENDENCYPART_ARC
(8,4),0.358776 # DEPENDENCYPART_ARC
(8,5),1.55335 # DEPENDENCYPART_ARC
(8,6),0.75836 # DEPENDENCYPART_ARC
(8,7),1.33382 # DEPENDENCYPART_ARC
(8,9),1.15641 # DEPENDENCYPART_ARC
(8,10),-0.19246 # DEPENDENCYPART_ARC
(8,11),-0.710702 # DEPENDENCYPART_ARC
(8,12),-0.246466 # DEPENDENCYPART_ARC
(8,13),-1.21864 # DEPENDENCYPART_ARC
(8,14),0.579583 # DEPENDENCYPART_ARC
(8,15),-1.03346 # DEPENDENCYPART_ARC
(8,16),-0.671015 # DEPENDENCYPART_ARC
(8,17),0.517469 # DEPENDENCYPART_ARC
(8,18),-1.03749 # DEPENDENCYPART_ARC
(8,19),-1.51037 # DEPENDENCYPART_ARC
(8,20),-1.87909 # DEPENDENCYPART_ARC
(8,21),2.60644 # DEPENDENCYPART_ARC
(9,1),-1.93523 # DEPENDENCYPART_ARC
(9,2),-0.717466 # DEPENDENCYPART_ARC
(9,3),-1.40651 # DEPENDENCYPART_ARC
(9,4),-1.21203 # DEPENDENCYPART_ARC
(9,5),-0.546137 # DEPENDENCYPART_ARC
(9,6),-0.629028 # DEPENDENCYPART_ARC
(9,7),-0.0816095 # DEPENDENCYPART_ARC
(9,8),-0.557216 # DEPENDENCYPART_ARC
(9,10),2.64601 # DEPENDENCYPART_ARC
(9,11),1.25695 # DEPENDENCYPART_ARC
(9,12),0.439936 # DEPENDENCYPART_ARC
(9,13),3.38648 # DEPENDENCYPART_ARC
(9,14),1.81891 # DEPENDENCYPART_ARC
(9,15),-0.0500415 # DEPENDENCYPART_ARC
(9,16),1.37041 # DEPENDENCYPART_ARC
(9,17),1.23899 # DEPENDENCYPART_ARC
(9,18),0.137937 # DEPENDENCYPART_ARC
(9,19),0.396442 # DEPENDENCYPART_ARC
(9,20),1.29967 # DEPENDENCYPART_ARC
(9,21),2.56848 # DEPENDENCYPART_ARC
(10,1),-1.17667 # DEPENDENCYPART_ARC
(10,2),-0.785235 # DEPENDENCYPART_ARC
(10,3),-0.900863 # DEPENDENCYPART_ARC
(10,4),-0.686966 # DEPENDENCYPART_ARC
(10,5),-0.486605 # DEPENDENCYPART_ARC
(10,6),-0.682335 # DEPENDENCYPART_ARC
(10,7),-0.016327 # DEPENDENCYPART_ARC
(10,8),-0.17384 # DEPENDENCYPART_ARC
(10,9),0.392543 # DEPENDENCYPART_ARC
(10,11),-0.417579 # DEPENDENCYPART_ARC
(10,12),0.0613081 # DEPENDENCYPART_ARC
(10,13),0.00463336 # DEPENDENCYPART_ARC
(10,14),0.0928061 # DEPENDENCYPART_ARC
(10,15),-0.876188 # DEPENDENCYPART_ARC
(10,16),-0.757879 # DEPENDENCYPART_ARC
(10,17),-0.16664 # DEPENDENCYPART_ARC
(10,18),-0.949171 # DEPENDENCYPART_ARC
(10,19),-1.25751 # DEPENDENCYPART_ARC
(10,20),-1.15059 # DEPENDENCYPART_ARC
(10,21),0.353073 # DEPENDENCYPART_ARC
(11,1),-1.32217 # DEPENDENCYPART_ARC
(11,2),-1.51487 # DEPENDENCYPART_ARC
(11,3),-0.632923 # DEPENDENCYPART_ARC
(11,4),-1.19026 # DEPENDENCYPART_ARC
(11,5),-1.30553 # DEPENDENCYPART_ARC
(11,6),-2.29773 # DEPENDENCYPART_ARC
(11,7),-0.576208 # DEPENDENCYPART_ARC
(11,8),-0.654235 # DEPENDENCYPART_ARC
(11,9),-0.415565 # DEPENDENCYPART_ARC
(11,10),0.188469 # DEPENDENCYPART_ARC
(11,12),0.774149 # DEPENDENCYPART_ARC
(11,13),0.57688 # DEPENDENCYPART_ARC
(11,14),0.585584 # DEPENDENCYPART_ARC
(11,15),0.326274 # DEPENDENCYPART_ARC
(11,16),0.366812 # DEPENDENCYPART_ARC
(11,17),1.93926 # DEPENDENCYPART_ARC
(11,18),-0.14416 # DEPENDENCYPART_ARC
(11,19),0.448758 # DEPENDENCYPART_ARC
(11,20),-0.0528897 # DEPENDENCYPART_ARC
(11,21),0.920431 # DEPENDENCYPART_ARC
(12,1),-1.43525 # DEPENDENCYPART_ARC
(12,2),-1.83666 # DEPENDENCYPART_ARC
(12,3),-1.0996 # DEPENDENCYPART_ARC
(12,4),-0.809821 # DEPENDENCYPART_ARC
(12,5),-1.34306 # DEPENDENCYPART_ARC
(12,6),-1.41422 # DEPENDENCYPART_ARC
(12,7),-0.353902 # DEPENDENCYPART_ARC
(12,8),-0.231934 # DEPENDENCYPART_ARC
(12,9),0.279758 # DEPENDENCYPART_ARC
(12,10),0.973717 # DEPENDENCYPART_ARC
(12,11),1.70473 # DEPENDENCYPART_ARC
(12,13),-0.92036 # DEPENDENCYPART_ARC
(12,14),-0.257272 # DEPENDENCYPART_ARC
(12,15),-1.3714 # DEPENDENCYPART_ARC
(12,16),-1.08575 # DEPENDENCYPART_ARC
(12,17),-0.607139 # DEPENDENCYPART_ARC
(12,18),-1.38375 # DEPENDENCYPART_ARC
(12,19),-1.93584 # DEPENDENCYPART_ARC
(12,20),-2.30787 # DEPENDENCYPART_ARC
(12,21),-0.272222 # DEPENDENCYPART_ARC
(13,1),-0.167386 # DEPENDENCYPART_ARC
(13,2),-1.50364 # DEPENDENCYPART_ARC
(13,3),-1.45928 # DEPENDENCYPART_ARC
(13,4),0.924196 # DEPENDENCYPART_ARC
(13,5),-0.119157 # DEPENDENCYPART_ARC
(13,6),-3.05311 # DEPENDENCYPART_ARC
(13,7),-0.362385 # DEPENDENCYPART_ARC
(13,8),-0.0316023 # DEPENDENCYPART_ARC
(13,9),-0.495213 # DEPENDENCYPART_ARC
(13,10),0.845025 # DEPENDENCYPART_ARC
(13,11),2.98462 # DEPENDENCYPART_ARC
(13,12),4.02096 # DEPENDENCYPART_ARC
(13,14),0.397531 # DEPENDENCYPART_ARC
(13,15),-0.319278 # DEPENDENCYPART_ARC
(13,16),-0.161586 # DEPENDENCYPART_ARC
(13,17),-0.46128 # DEPENDENCYPART_ARC
(13,18),-0.604885 # DEPENDENCYPART_ARC
(13,19),-1.16088 # DEPENDENCYPART_ARC
(13,20),-1.37423 # DEPENDENCYPART_ARC
(13,21),0.824566 # DEPENDENCYPART_ARC
(14,1),-2.75238 # DEPENDENCYPART_ARC
(14,2),-3.87184 # DEPENDENCYPART_ARC
(14,3),-3.04345 # DEPENDENCYPART_ARC
(14,4),-2.6512 # DEPENDENCYPART_ARC
(14,5),-3.61907 # DEPENDENCYPART_ARC
(14,6),-3.73189 # DEPENDENCYPART_ARC
(14,7),-2.37392 # DEPENDENCYPART_ARC
(14,8),-2.30541 # DEPENDENCYPART_ARC
(14,9),-2.51893 # DEPENDENCYPART_ARC
(14,10),-2.06406 # DEPENDENCYPART_ARC
(14,11),-2.07383 # DEPENDENCYPART_ARC
(14,12),-2.03071 # DEPENDENCYPART_ARC
(14,13),-2.1751 # DEPENDENCYPART_ARC
(14,15),-1.31979 # DEPENDENCYPART_ARC
(14,16),-1.30468 # DEPENDENCYPART_ARC
(14,17),-1.44921 # DEPENDENCYPART_ARC
(14,18),-1.63456 # DEPENDENCYPART_ARC
(14,19),-2.28605 # DEPENDENCYPART_ARC
(14,20),-2.57879 # DEPENDENCYPART_ARC
(14,21),-1.55902 # DEPENDENCYPART_ARC
(15,1),-0.794919 # DEPENDENCYPART_ARC
(15,2),-1.23636 # DEPENDENCYPART_ARC
(15,3),-0.620302 # DEPENDENCYPART_ARC
(15,4),-0.72373 # DEPENDENCYPART_ARC
(15,5),-0.966984 # DEPENDENCYPART_ARC
(15,6),-1.68063 # DEPENDENCYPART_ARC
(15,7),-0.273861 # DEPENDENCYPART_ARC
(15,8),-0.238892 # DEPENDENCYPART_ARC
(15,9),-0.257883 # DEPENDENCYPART_ARC
(15,10),-0.169478 # DEPENDENCYPART_ARC
(15,11),-0.077898 # DEPENDENCYPART_ARC
(15,12),-0.653349 # DEPENDENCYPART_ARC
(15,13),-1.0746 # DEPENDENCYPART_ARC
(15,14),-0.140698 # DEPENDENCYPART_ARC
(15,16),-1.02432 # DEPENDENCYPART_ARC
(15,17),-0.956225 # DEPENDENCYPART_ARC
(15,18),-1.37289 # DEPENDENCYPART_ARC
(15,19),-0.516979 # DEPENDENCYPART_ARC
(15,20),-0.717846 # DEPENDENCYPART_ARC
(15,21),-0.213587 # DEPENDENCYPART_ARC
(16,1),-2.68395 # DEPENDENCYPART_ARC
(16,2),-4.99695 # DEPENDENCYPART_ARC
(16,3),-3.08819 # DEPENDENCYPART_ARC
(16,4),-2.003 # DEPENDENCYPART_ARC
(16,5),-4.5695 # DEPENDENCYPART_ARC
(16,6),-5.0582 # DEPENDENCYPART_ARC
(16,7),-2.09546 # DEPENDENCYPART_ARC
(16,8),-1.93975 # DEPENDENCYPART_ARC
(16,9),-2.10177 # DEPENDENCYPART_ARC
(16,10),-1.40999 # DEPENDENCYPART_ARC
(16,11),-0.855529 # DEPENDENCYPART_ARC
(16,12),-2.33928 # DEPENDENCYPART_ARC
(16,13),-3.15349 # DEPENDENCYPART_ARC
(16,14),-1.43922 # DEPENDENCYPART_ARC
(16,15),-0.154268 # DEPENDENCYPART_ARC
(16,17),-0.713986 # DEPENDENCYPART_ARC
(16,18),-1.36182 # DEPENDENCYPART_ARC
(16,19),-1.84101 # DEPENDENCYPART_ARC
(16,20),-2.51482 # DEPENDENCYPART_ARC
(16,21),-0.653833 # DEPENDENCYPART_ARC
(17,1),-1.21298 # DEPENDENCYPART_ARC
(17,2),-0.344493 # DEPENDENCYPART_ARC
(17,3),0.389711 # DEPENDENCYPART_ARC
(17,4),-0.533381 # DEPENDENCYPART_ARC
(17,5),-0.542591 # DEPENDENCYPART_ARC
(17,6),-0.436534 # DEPENDENCYPART_ARC
(17,7),0.149528 # DEPENDENCYPART_ARC
(17,8),0.682816 # DEPENDENCYPART_ARC
(17,9),0.118498 # DEPENDENCYPART_ARC
(17,10),0.604526 # DEPENDENCYPART_ARC
(17,11),-0.684603 # DEPENDENCYPART_ARC
(17,12),0.102168 # DEPENDENCYPART_ARC
(17,13),1.80291 # DEPENDENCYPART_ARC
(17,14),1.24478 # DEPENDENCYPART_ARC
