# _root_ Érdekes helyzet volt : a vezetőség nem nagyon éreztette , hogy szükség van rám , és én se nagyon forszíroztam a dolgot .
#goldHeads=2,3,0,3,6,9,9,9,16,9,9,13,9,13,16,3,20,20,20,16,22,20,3,
#predictedHeads=2,3,16,3,6,9,9,9,3,9,9,13,9,13,16,0,20,20,20,16,22,20,16,
(0,1),-1.76232 # DEPENDENCYPART_ARC
(0,2),-2.11488 # DEPENDENCYPART_ARC
(0,3),-0.584802 # DEPENDENCYPART_ARC
(0,4),-2.69001 # DEPENDENCYPART_ARC
(0,5),-2.8952 # DEPENDENCYPART_ARC
(0,6),-3.26486 # DEPENDENCYPART_ARC
(0,7),-2.16391 # DEPENDENCYPART_ARC
(0,8),-2.24668 # DEPENDENCYPART_ARC
(0,9),-0.976551 # DEPENDENCYPART_ARC
(0,10),-3.1659 # DEPENDENCYPART_ARC
(0,11),-1.78939 # DEPENDENCYPART_ARC
(0,12),-3.10949 # DEPENDENCYPART_ARC
(0,13),-1.78352 # DEPENDENCYPART_ARC
(0,14),-2.24707 # DEPENDENCYPART_ARC
(0,15),-3.47922 # DEPENDENCYPART_ARC
(0,16),0.128035 # DEPENDENCYPART_ARC
(0,17),-1.89699 # DEPENDENCYPART_ARC
(0,18),-3.70652 # DEPENDENCYPART_ARC
(0,19),-2.18405 # DEPENDENCYPART_ARC
(0,20),-1.55943 # DEPENDENCYPART_ARC
(0,21),-3.40578 # DEPENDENCYPART_ARC
(0,22),-3.83338 # DEPENDENCYPART_ARC
(0,23),-4.63102 # DEPENDENCYPART_ARC
(1,2),-0.411688 # DEPENDENCYPART_ARC
(1,3),-0.447788 # DEPENDENCYPART_ARC
(1,4),-0.362936 # DEPENDENCYPART_ARC
(1,5),-1.37729 # DEPENDENCYPART_ARC
(1,6),-1.42884 # DEPENDENCYPART_ARC
(1,7),-1.03183 # DEPENDENCYPART_ARC
(1,8),-1.13574 # DEPENDENCYPART_ARC
(1,9),-0.841707 # DEPENDENCYPART_ARC
(1,10),-0.797871 # DEPENDENCYPART_ARC
(1,11),-0.831032 # DEPENDENCYPART_ARC
(1,12),-2.03626 # DEPENDENCYPART_ARC
(1,13),-1.45805 # DEPENDENCYPART_ARC
(1,14),-1.30127 # DEPENDENCYPART_ARC
(1,15),-1.07824 # DEPENDENCYPART_ARC
(1,16),-0.967377 # DEPENDENCYPART_ARC
(1,17),-1.84667 # DEPENDENCYPART_ARC
(1,18),-1.27476 # DEPENDENCYPART_ARC
(1,19),-1.39876 # DEPENDENCYPART_ARC
(1,20),-1.4687 # DEPENDENCYPART_ARC
(1,21),-1.72822 # DEPENDENCYPART_ARC
(1,22),-3.24713 # DEPENDENCYPART_ARC
(1,23),0.433286 # DEPENDENCYPART_ARC
(2,1),3.51433 # DEPENDENCYPART_ARC
(2,3),-0.516344 # DEPENDENCYPART_ARC
(2,4),-0.503106 # DEPENDENCYPART_ARC
(2,5),-1.16135 # DEPENDENCYPART_ARC
(2,6),-1.09579 # DEPENDENCYPART_ARC
(2,7),-1.00282 # DEPENDENCYPART_ARC
(2,8),-0.82857 # DEPENDENCYPART_ARC
(2,9),-0.992484 # DEPENDENCYPART_ARC
(2,10),-0.564523 # DEPENDENCYPART_ARC
(2,11),-0.830159 # DEPENDENCYPART_ARC
(2,12),-1.77017 # DEPENDENCYPART_ARC
(2,13),-1.52251 # DEPENDENCYPART_ARC
(2,14),-0.916234 # DEPENDENCYPART_ARC
(2,15),-0.994621 # DEPENDENCYPART_ARC
(2,16),-0.943572 # DEPENDENCYPART_ARC
(2,17),-1.65738 # DEPENDENCYPART_ARC
(2,18),-0.977574 # DEPENDENCYPART_ARC
(2,19),-0.943148 # DEPENDENCYPART_ARC
(2,20),-1.8821 # DEPENDENCYPART_ARC
(2,21),-1.60726 # DEPENDENCYPART_ARC
(2,22),-4.16445 # DEPENDENCYPART_ARC
(2,23),0.46533 # DEPENDENCYPART_ARC
(3,1),1.41329 # DEPENDENCYPART_ARC
(3,2),4.28253 # DEPENDENCYPART_ARC
(3,4),2.1763 # DEPENDENCYPART_ARC
(3,5),0.378373 # DEPENDENCYPART_ARC
(3,6),-0.0486979 # DEPENDENCYPART_ARC
(3,7),0.920119 # DEPENDENCYPART_ARC
(3,8),0.552142 # DEPENDENCYPART_ARC
(3,9),1.68674 # DEPENDENCYPART_ARC
(3,10),1.5603 # DEPENDENCYPART_ARC
(3,11),1.99699 # DEPENDENCYPART_ARC
(3,12),-2.32018 # DEPENDENCYPART_ARC
(3,13),1.58003 # DEPENDENCYPART_ARC
(3,14),0.669462 # DEPENDENCYPART_ARC
(3,15),1.09949 # DEPENDENCYPART_ARC
(3,16),0.0630187 # DEPENDENCYPART_ARC
(3,17),-0.791798 # DEPENDENCYPART_ARC
(3,18),-0.373369 # DEPENDENCYPART_ARC
(3,19),-0.989703 # DEPENDENCYPART_ARC
(3,20),0.404774 # DEPENDENCYPART_ARC
(3,21),-1.11573 # DEPENDENCYPART_ARC
(3,22),-3.57333 # DEPENDENCYPART_ARC
(3,23),3.02309 # DEPENDENCYPART_ARC
(4,1),-1.97324 # DEPENDENCYPART_ARC
(4,2),-2.11186 # DEPENDENCYPART_ARC
(4,3),-0.817081 # DEPENDENCYPART_ARC
(4,5),-0.863882 # DEPENDENCYPART_ARC
(4,6),-1.2606 # DEPENDENCYPART_ARC
(4,7),-1.13402 # DEPENDENCYPART_ARC
(4,8),-1.22176 # DEPENDENCYPART_ARC
(4,9),-1.24035 # DEPENDENCYPART_ARC
(4,10),-0.948625 # DEPENDENCYPART_ARC
(4,11),-1.0136 # DEPENDENCYPART_ARC
(4,12),-2.08019 # DEPENDENCYPART_ARC
(4,13),-1.39404 # DEPENDENCYPART_ARC
(4,14),-1.31285 # DEPENDENCYPART_ARC
(4,15),-1.06398 # DEPENDENCYPART_ARC
(4,16),-1.13945 # DEPENDENCYPART_ARC
(4,17),-1.65779 # DEPENDENCYPART_ARC
(4,18),-1.41014 # DEPENDENCYPART_ARC
(4,19),-1.39164 # DEPENDENCYPART_ARC
(4,20),-1.5056 # DEPENDENCYPART_ARC
(4,21),-1.48092 # DEPENDENCYPART_ARC
(4,22),-2.51192 # DEPENDENCYPART_ARC
(4,23),-1.51824 # DEPENDENCYPART_ARC
(5,1),-2.2015 # DEPENDENCYPART_ARC
(5,2),-2.97373 # DEPENDENCYPART_ARC
(5,3),-1.89631 # DEPENDENCYPART_ARC
(5,4),-1.07672 # DEPENDENCYPART_ARC
(5,6),-0.412301 # DEPENDENCYPART_ARC
(5,7),-0.690031 # DEPENDENCYPART_ARC
(5,8),-0.811958 # DEPENDENCYPART_ARC
(5,9),-1.12812 # DEPENDENCYPART_ARC
(5,10),-0.531317 # DEPENDENCYPART_ARC
(5,11),-0.857611 # DEPENDENCYPART_ARC
(5,12),-1.49637 # DEPENDENCYPART_ARC
(5,13),-1.43646 # DEPENDENCYPART_ARC
(5,14),-1.06634 # DEPENDENCYPART_ARC
(5,15),-0.550525 # DEPENDENCYPART_ARC
(5,16),-1.20156 # DEPENDENCYPART_ARC
(5,17),-1.31007 # DEPENDENCYPART_ARC
(5,18),-1.1911 # DEPENDENCYPART_ARC
(5,19),-1.18826 # DEPENDENCYPART_ARC
(5,20),-1.61178 # DEPENDENCYPART_ARC
(5,21),-1.2333 # DEPENDENCYPART_ARC
(5,22),-1.99358 # DEPENDENCYPART_ARC
(5,23),-1.69855 # DEPENDENCYPART_ARC
(6,1),-1.48401 # DEPENDENCYPART_ARC
(6,2),-2.60686 # DEPENDENCYPART_ARC
(6,3),-1.06655 # DEPENDENCYPART_ARC
(6,4),-1.13255 # DEPENDENCYPART_ARC
(6,5),3.32 # DEPENDENCYPART_ARC
(6,7),-0.526428 # DEPENDENCYPART_ARC
(6,8),-0.598911 # DEPENDENCYPART_ARC
(6,9),-0.265647 # DEPENDENCYPART_ARC
(6,10),-0.281085 # DEPENDENCYPART_ARC
(6,11),-0.777962 # DEPENDENCYPART_ARC
