# _root_ A Dohány_utca_44. elé a következő rontásűző szöveget javaslom : " Hungária_fürdő , étterem , színház .
#goldHeads=2,3,8,7,7,7,8,0,8,8,8,8,8,8,8,8,
#predictedHeads=2,3,8,7,7,7,8,0,8,11,13,13,15,15,3,8,
(0,1),-2.05192 # DEPENDENCYPART_ARC
(0,2),-1.73269 # DEPENDENCYPART_ARC
(0,3),-2.04885 # DEPENDENCYPART_ARC
(0,4),-2.42158 # DEPENDENCYPART_ARC
(0,5),-2.01519 # DEPENDENCYPART_ARC
(0,6),-2.29732 # DEPENDENCYPART_ARC
(0,7),-3.31058 # DEPENDENCYPART_ARC
(0,8),-0.277788 # DEPENDENCYPART_ARC
(0,9),-2.53731 # DEPENDENCYPART_ARC
(0,10),-2.51031 # DEPENDENCYPART_ARC
(0,11),-2.94219 # DEPENDENCYPART_ARC
(0,12),-3.10592 # DEPENDENCYPART_ARC
(0,13),-3.43238 # DEPENDENCYPART_ARC
(0,14),-3.36919 # DEPENDENCYPART_ARC
(0,15),-3.84317 # DEPENDENCYPART_ARC
(0,16),-4.17192 # DEPENDENCYPART_ARC
(1,2),-0.252246 # DEPENDENCYPART_ARC
(1,3),-0.438101 # DEPENDENCYPART_ARC
(1,4),-0.725365 # DEPENDENCYPART_ARC
(1,5),-0.456828 # DEPENDENCYPART_ARC
(1,6),-0.47484 # DEPENDENCYPART_ARC
(1,7),-1.55958 # DEPENDENCYPART_ARC
(1,8),-1.26592 # DEPENDENCYPART_ARC
(1,9),-0.601886 # DEPENDENCYPART_ARC
(1,10),-0.566543 # DEPENDENCYPART_ARC
(1,11),-1.49403 # DEPENDENCYPART_ARC
(1,12),-0.653426 # DEPENDENCYPART_ARC
(1,13),-1.8304 # DEPENDENCYPART_ARC
(1,14),-0.767366 # DEPENDENCYPART_ARC
(1,15),-1.94037 # DEPENDENCYPART_ARC
(1,16),-1.93819 # DEPENDENCYPART_ARC
(2,1),2.2838 # DEPENDENCYPART_ARC
(2,3),-0.112928 # DEPENDENCYPART_ARC
(2,4),-0.462242 # DEPENDENCYPART_ARC
(2,5),-0.63397 # DEPENDENCYPART_ARC
(2,6),-0.752679 # DEPENDENCYPART_ARC
(2,7),-0.644888 # DEPENDENCYPART_ARC
(2,8),-0.670314 # DEPENDENCYPART_ARC
(2,9),-0.144258 # DEPENDENCYPART_ARC
(2,10),-0.281062 # DEPENDENCYPART_ARC
(2,11),-0.994989 # DEPENDENCYPART_ARC
(2,12),-0.53352 # DEPENDENCYPART_ARC
(2,13),-1.15996 # DEPENDENCYPART_ARC
