# _root_ A Kreml 234 szobáját egy 180_millió dolláros megrendelés keretében rekordidő , nyolc hónap alatt varázsolta újjá , s ezért magától Jelcintől vehetett át kitüntetést .
#goldHeads=2,4,4,15,8,7,8,9,15,14,14,13,14,15,18,15,18,0,22,22,22,18,22,22,18,
#predictedHeads=2,4,4,15,8,7,8,9,15,15,15,13,14,15,18,15,18,0,22,21,22,18,22,22,18,
(0,1),-2.07918 # DEPENDENCYPART_ARC
(0,2),-1.3159 # DEPENDENCYPART_ARC
(0,3),-1.87674 # DEPENDENCYPART_ARC
(0,4),-2.78573 # DEPENDENCYPART_ARC
(0,5),-2.39478 # DEPENDENCYPART_ARC
(0,6),-2.31559 # DEPENDENCYPART_ARC
(0,7),-2.56703 # DEPENDENCYPART_ARC
(0,8),-3.20598 # DEPENDENCYPART_ARC
(0,9),-3.28896 # DEPENDENCYPART_ARC
(0,10),-3.29864 # DEPENDENCYPART_ARC
(0,11),-3.41162 # DEPENDENCYPART_ARC
(0,12),-3.35513 # DEPENDENCYPART_ARC
(0,13),-3.97855 # DEPENDENCYPART_ARC
(0,14),-4.57398 # DEPENDENCYPART_ARC
(0,15),-0.890274 # DEPENDENCYPART_ARC
(0,16),-2.94904 # DEPENDENCYPART_ARC
(0,17),-3.6656 # DEPENDENCYPART_ARC
(0,18),0.604445 # DEPENDENCYPART_ARC
(0,19),-3.27877 # DEPENDENCYPART_ARC
(0,20),-3.69762 # DEPENDENCYPART_ARC
(0,21),-4.01605 # DEPENDENCYPART_ARC
(0,22),-1.64682 # DEPENDENCYPART_ARC
(0,23),-3.61833 # DEPENDENCYPART_ARC
(0,24),-4.39421 # DEPENDENCYPART_ARC
(0,25),-5.57384 # DEPENDENCYPART_ARC
(1,2),-0.281809 # DEPENDENCYPART_ARC
(1,3),-0.210801 # DEPENDENCYPART_ARC
(1,4),-1.33073 # DEPENDENCYPART_ARC
(1,5),-0.873088 # DEPENDENCYPART_ARC
(1,6),-0.625833 # DEPENDENCYPART_ARC
(1,7),-0.83932 # DEPENDENCYPART_ARC
(1,8),-1.50463 # DEPENDENCYPART_ARC
(1,9),-1.96468 # DEPENDENCYPART_ARC
(1,10),-1.56762 # DEPENDENCYPART_ARC
(1,11),-0.604269 # DEPENDENCYPART_ARC
(1,12),-1.00787 # DEPENDENCYPART_ARC
(1,13),-1.78858 # DEPENDENCYPART_ARC
(1,14),-1.32489 # DEPENDENCYPART_ARC
(1,15),-1.72127 # DEPENDENCYPART_ARC
(1,16),-1.25171 # DEPENDENCYPART_ARC
(1,17),-0.830472 # DEPENDENCYPART_ARC
(1,18),-1.52595 # DEPENDENCYPART_ARC
(1,19),-1.62789 # DEPENDENCYPART_ARC
(1,20),-1.57919 # DEPENDENCYPART_ARC
(1,21),-2.14031 # DEPENDENCYPART_ARC
(1,22),-1.99917 # DEPENDENCYPART_ARC
(1,23),-1.33107 # DEPENDENCYPART_ARC
(1,24),-2.30242 # DEPENDENCYPART_ARC
(1,25),-2.62691 # DEPENDENCYPART_ARC
(2,1),2.8595 # DEPENDENCYPART_ARC
(2,3),0.468313 # DEPENDENCYPART_ARC
(2,4),0.122517 # DEPENDENCYPART_ARC
(2,5),0.0314332 # DEPENDENCYPART_ARC
(2,6),0.27572 # DEPENDENCYPART_ARC
(2,7),0.0821358 # DEPENDENCYPART_ARC
(2,8),0.469441 # DEPENDENCYPART_ARC
(2,9),-0.253693 # DEPENDENCYPART_ARC
(2,10),0.466123 # DEPENDENCYPART_ARC
(2,11),0.782974 # DEPENDENCYPART_ARC
(2,12),0.100265 # DEPENDENCYPART_ARC
(2,13),0.104473 # DEPENDENCYPART_ARC
(2,14),0.0316288 # DEPENDENCYPART_ARC
(2,15),-0.268164 # DEPENDENCYPART_ARC
(2,16),-0.204242 # DEPENDENCYPART_ARC
(2,17),0.23307 # DEPENDENCYPART_ARC
(2,18),0.128746 # DEPENDENCYPART_ARC
(2,19),-0.910883 # DEPENDENCYPART_ARC
(2,20),-1.19245 # DEPENDENCYPART_ARC
(2,21),-2.05616 # DEPENDENCYPART_ARC
(2,22),-0.46825 # DEPENDENCYPART_ARC
(2,23),-0.316946 # DEPENDENCYPART_ARC
(2,24),-2.17427 # DEPENDENCYPART_ARC
(2,25),1.30756 # DEPENDENCYPART_ARC
(3,1),0.477169 # DEPENDENCYPART_ARC
(3,2),0.421223 # DEPENDENCYPART_ARC
(3,4),-0.88193 # DEPENDENCYPART_ARC
(3,5),-0.91031 # DEPENDENCYPART_ARC
(3,6),-0.977781 # DEPENDENCYPART_ARC
(3,7),-1.01373 # DEPENDENCYPART_ARC
(3,8),-0.92635 # DEPENDENCYPART_ARC
(3,9),-1.29534 # DEPENDENCYPART_ARC
(3,10),-1.23445 # DEPENDENCYPART_ARC
(3,11),-0.431345 # DEPENDENCYPART_ARC
(3,12),-1.22329 # DEPENDENCYPART_ARC
(3,13),-1.48516 # DEPENDENCYPART_ARC
(3,14),-1.22178 # DEPENDENCYPART_ARC
(3,15),-0.914597 # DEPENDENCYPART_ARC
(3,16),-1.65296 # DEPENDENCYPART_ARC
(3,17),-0.596651 # DEPENDENCYPART_ARC
(3,18),-0.973045 # DEPENDENCYPART_ARC
(3,19),-2.10385 # DEPENDENCYPART_ARC
(3,20),-2.09514 # DEPENDENCYPART_ARC
(3,21),-3.07192 # DEPENDENCYPART_ARC
(3,22),-1.40066 # DEPENDENCYPART_ARC
(3,23),-1.82059 # DEPENDENCYPART_ARC
(3,24),-3.16551 # DEPENDENCYPART_ARC
(3,25),0.271821 # DEPENDENCYPART_ARC
(4,1),1.23051 # DEPENDENCYPART_ARC
(4,2),3.00716 # DEPENDENCYPART_ARC
(4,3),3.21898 # DEPENDENCYPART_ARC
(4,5),0.171523 # DEPENDENCYPART_ARC
(4,6),0.0791353 # DEPENDENCYPART_ARC
(4,7),-0.249784 # DEPENDENCYPART_ARC
(4,8),-0.0340223 # DEPENDENCYPART_ARC
(4,9),-0.481693 # DEPENDENCYPART_ARC
(4,10),-0.130752 # DEPENDENCYPART_ARC
(4,11),0.628646 # DEPENDENCYPART_ARC
(4,12),-0.205507 # DEPENDENCYPART_ARC
(4,13),-0.375022 # DEPENDENCYPART_ARC
(4,14),0.182836 # DEPENDENCYPART_ARC
(4,15),-0.58523 # DEPENDENCYPART_ARC
(4,16),-0.238703 # DEPENDENCYPART_ARC
(4,17),0.0656303 # DEPENDENCYPART_ARC
(4,18),0.157631 # DEPENDENCYPART_ARC
(4,19),-1.72024 # DEPENDENCYPART_ARC
(4,20),-2.03056 # DEPENDENCYPART_ARC
(4,21),-1.46015 # DEPENDENCYPART_ARC
(4,22),-0.592603 # DEPENDENCYPART_ARC
(4,23),-0.268499 # DEPENDENCYPART_ARC
(4,24),-2.30664 # DEPENDENCYPART_ARC
(4,25),1.47142 # DEPENDENCYPART_ARC
(5,1),-0.607403 # DEPENDENCYPART_ARC
(5,2),-1.26158 # DEPENDENCYPART_ARC
(5,3),-0.413918 # DEPENDENCYPART_ARC
(5,4),-0.713521 # DEPENDENCYPART_ARC
(5,6),0.361586 # DEPENDENCYPART_ARC
(5,7),0.776057 # DEPENDENCYPART_ARC
(5,8),-0.404713 # DEPENDENCYPART_ARC
(5,9),-0.672779 # DEPENDENCYPART_ARC
(5,10),-0.583825 # DEPENDENCYPART_ARC
(5,11),0.172918 # DEPENDENCYPART_ARC
(5,12),-0.411304 # DEPENDENCYPART_ARC
(5,13),-0.893511 # DEPENDENCYPART_ARC
(5,14),-0.456453 # DEPENDENCYPART_ARC
(5,15),-0.494284 # DEPENDENCYPART_ARC
(5,16),-0.531055 # DEPENDENCYPART_ARC
(5,17),-0.0997231 # DEPENDENCYPART_ARC
(5,18),-0.657657 # DEPENDENCYPART_ARC
(5,19),-0.943814 # DEPENDENCYPART_ARC
(5,20),-0.926453 # DEPENDENCYPART_ARC
(5,21),-1.24691 # DEPENDENCYPART_ARC
(5,22),-0.754011 # DEPENDENCYPART_ARC
(5,23),-0.659513 # DEPENDENCYPART_ARC
(5,24),-1.29495 # DEPENDENCYPART_ARC
(5,25),-1.178 # DEPENDENCYPART_ARC
(6,1),-0.414364 # DEPENDENCYPART_ARC
(6,2),-0.644327 # DEPENDENCYPART_ARC
(6,3),-0.55518 # DEPENDENCYPART_ARC
(6,4),-1.42556 # DEPENDENCYPART_ARC
(6,5),0.657703 # DEPENDENCYPART_ARC
(6,7),-0.37343 # DEPENDENCYPART_ARC
(6,8),-0.20678 # DEPENDENCYPART_ARC
(6,9),-0.801783 # DEPENDENCYPART_ARC
(6,10),-0.805295 # DEPENDENCYPART_ARC
(6,11),-0.59704 # DEPENDENCYPART_ARC
(6,12),-1.1418 # DEPENDENCYPART_ARC
(6,13),-1.29513 # DEPENDENCYPART_ARC
(6,14),-0.988181 # DEPENDENCYPART_ARC
(6,15),-0.692643 # DEPENDENCYPART_ARC
(6,16),-1.36401 # DEPENDENCYPART_ARC
(6,17),-0.589487 # DEPENDENCYPART_ARC
(6,18),-0.896475 # DEPENDENCYPART_ARC
(6,19),-2.0397 # DEPENDENCYPART_ARC
(6,20),-2.05023 # DEPENDENCYPART_ARC
(6,21),-2.84829 # DEPENDENCYPART_ARC
(6,22),-1.37422 # DEPENDENCYPART_ARC
(6,23),-1.53003 # DEPENDENCYPART_ARC
(6,24),-2.88729 # DEPENDENCYPART_ARC
(6,25),0.151594 # DEPENDENCYPART_ARC
(7,1),0.153996 # DEPENDENCYPART_ARC
(7,2),-0.233438 # DEPENDENCYPART_ARC
(7,3),0.854444 # DEPENDENCYPART_ARC
(7,4),0.231365 # DEPENDENCYPART_ARC
(7,5),1.36792 # DEPENDENCYPART_ARC
(7,6),2.87234 # DEPENDENCYPART_ARC
(7,8),-0.437967 # DEPENDENCYPART_ARC
(7,9),-0.692156 # DEPENDENCYPART_ARC
(7,10),-0.907397 # DEPENDENCYPART_ARC
(7,11),-0.582124 # DEPENDENCYPART_ARC
(7,12),-0.923092 # DEPENDENCYPART_ARC
(7,13),-1.53183 # DEPENDENCYPART_ARC
(7,14),-0.890781 # DEPENDENCYPART_ARC
(7,15),-0.983664 # DEPENDENCYPART_ARC
(7,16),-1.21223 # DEPENDENCYPART_ARC
(7,17),-0.933786 # DEPENDENCYPART_ARC
(7,18),-1.22519 # DEPENDENCYPART_ARC
(7,19),-2.03125 # DEPENDENCYPART_ARC
(7,20),-1.98474 # DEPENDENCYPART_ARC
(7,21),-2.05126 # DEPENDENCYPART_ARC
(7,22),-1.42741 # DEPENDENCYPART_ARC
(7,23),-1.28295 # DEPENDENCYPART_ARC
(7,24),-2.82666 # DEPENDENCYPART_ARC
(7,25),-0.210022 # DEPENDENCYPART_ARC
(8,1),0.944448 # DEPENDENCYPART_ARC
(8,2),0.289943 # DEPENDENCYPART_ARC
(8,3),0.287023 # DEPENDENCYPART_ARC
(8,4),-3.18038 # DEPENDENCYPART_ARC
(8,5),2.74782 # DEPENDENCYPART_ARC
(8,6),1.81827 # DEPENDENCYPART_ARC
(8,7),3.71008 # DEPENDENCYPART_ARC
(8,9),-0.908302 # DEPENDENCYPART_ARC
(8,10),-0.341004 # DEPENDENCYPART_ARC
(8,11),-0.119348 # DEPENDENCYPART_ARC
(8,12),-0.97363 # DEPENDENCYPART_ARC
(8,13),-0.719442 # DEPENDENCYPART_ARC
(8,14),-0.539455 # DEPENDENCYPART_ARC
(8,15),-0.80129 # DEPENDENCYPART_ARC
(8,16),-0.928867 # DEPENDENCYPART_ARC
(8,17),-0.646289 # DEPENDENCYPART_ARC
(8,18),-0.612802 # DEPENDENCYPART_ARC
(8,19),-1.93747 # DEPENDENCYPART_ARC
(8,20),-2.20884 # DEPENDENCYPART_ARC
(8,21),-2.85944 # DEPENDENCYPART_ARC
