# _root_ Az ÁPTF 1997 szeptemberében nem járult hozzá , hogy Happy_Bank néven egy vállalkozás alakuljon , mivel semmilyen banki tevékenységet nem végzett volna .
#goldHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,6,6,19,19,21,21,6,21,6,
#predictedHeads=2,6,4,6,6,0,6,6,6,11,14,13,14,6,14,14,19,19,21,21,16,21,6,
(0,2),-1.64534 # DEPENDENCYPART_ARC
(0,3),-2.0956 # DEPENDENCYPART_ARC
(0,4),-2.87709 # DEPENDENCYPART_ARC
(0,5),-2.10206 # DEPENDENCYPART_ARC
(0,6),-0.796845 # DEPENDENCYPART_ARC
(0,7),-2.25378 # DEPENDENCYPART_ARC
(0,9),-1.15836 # DEPENDENCYPART_ARC
(0,10),-2.45051 # DEPENDENCYPART_ARC
(0,11),-2.90533 # DEPENDENCYPART_ARC
(0,13),-3.43142 # DEPENDENCYPART_ARC
(0,14),-1.55284 # DEPENDENCYPART_ARC
(0,16),-1.3248 # DEPENDENCYPART_ARC
(0,17),-3.0173 # DEPENDENCYPART_ARC
(0,18),-3.04285 # DEPENDENCYPART_ARC
(0,19),-3.87537 # DEPENDENCYPART_ARC
(0,20),-2.50645 # DEPENDENCYPART_ARC
(0,21),-1.68093 # DEPENDENCYPART_ARC
(0,22),-1.35046 # DEPENDENCYPART_ARC
(1,2),-0.404463 # DEPENDENCYPART_ARC
(1,4),-1.32041 # DEPENDENCYPART_ARC
(1,8),-0.61713 # DEPENDENCYPART_ARC
(1,10),-1.56879 # DEPENDENCYPART_ARC
(1,11),-1.73768 # DEPENDENCYPART_ARC
(1,13),-1.85276 # DEPENDENCYPART_ARC
(1,15),-0.866609 # DEPENDENCYPART_ARC
(1,18),-1.63524 # DEPENDENCYPART_ARC
(1,19),-2.10814 # DEPENDENCYPART_ARC
(2,1),2.76129 # DEPENDENCYPART_ARC
(2,3),0.132806 # DEPENDENCYPART_ARC
(2,4),-0.0987133 # DEPENDENCYPART_ARC
(2,5),-0.347855 # DEPENDENCYPART_ARC
(2,6),-0.245932 # DEPENDENCYPART_ARC
(2,8),0.0999108 # DEPENDENCYPART_ARC
(2,9),-0.375995 # DEPENDENCYPART_ARC
(2,10),-1.41515 # DEPENDENCYPART_ARC
(2,11),-1.92731 # DEPENDENCYPART_ARC
(2,12),-0.513395 # DEPENDENCYPART_ARC
(2,13),-1.36269 # DEPENDENCYPART_ARC
(2,14),-1.25317 # DEPENDENCYPART_ARC
(2,15),-0.0854191 # DEPENDENCYPART_ARC
(2,16),-0.789645 # DEPENDENCYPART_ARC
(2,18),-1.26348 # DEPENDENCYPART_ARC
(2,19),-2.24017 # DEPENDENCYPART_ARC
(2,20),-0.729467 # DEPENDENCYPART_ARC
(2,21),-0.846991 # DEPENDENCYPART_ARC
(2,23),0.66712 # DEPENDENCYPART_ARC
(3,1),0.104656 # DEPENDENCYPART_ARC
(3,2),0.216889 # DEPENDENCYPART_ARC
(3,4),-0.550903 # DEPENDENCYPART_ARC
(3,5),-1.03486 # DEPENDENCYPART_ARC
(3,6),-0.831802 # DEPENDENCYPART_ARC
(3,8),-0.687131 # DEPENDENCYPART_ARC
(3,9),-1.07157 # DEPENDENCYPART_ARC
(3,10),-2.18855 # DEPENDENCYPART_ARC
(3,11),-2.52414 # DEPENDENCYPART_ARC
(3,13),-1.93068 # DEPENDENCYPART_ARC
(3,14),-1.46072 # DEPENDENCYPART_ARC
(3,15),-0.832967 # DEPENDENCYPART_ARC
(3,16),-1.32481 # DEPENDENCYPART_ARC
(3,17),-1.85438 # DEPENDENCYPART_ARC
(3,18),-1.68675 # DEPENDENCYPART_ARC
(3,19),-3.02841 # DEPENDENCYPART_ARC
(3,20),-1.67486 # DEPENDENCYPART_ARC
(3,21),-1.82692 # DEPENDENCYPART_ARC
(3,22),-1.67186 # DEPENDENCYPART_ARC
(3,23),-0.130763 # DEPENDENCYPART_ARC
(4,1),0.496422 # DEPENDENCYPART_ARC
(4,2),1.99485 # DEPENDENCYPART_ARC
(4,3),2.48879 # DEPENDENCYPART_ARC
(4,5),-0.767527 # DEPENDENCYPART_ARC
(4,6),-0.769926 # DEPENDENCYPART_ARC
(4,7),-0.708113 # DEPENDENCYPART_ARC
(4,8),-0.464051 # DEPENDENCYPART_ARC
(4,9),-1.10241 # DEPENDENCYPART_ARC
(4,10),-1.42449 # DEPENDENCYPART_ARC
(4,11),-2.4705 # DEPENDENCYPART_ARC
(4,12),-1.03258 # DEPENDENCYPART_ARC
(4,13),-2.01805 # DEPENDENCYPART_ARC
(4,14),-2.55756 # DEPENDENCYPART_ARC
(4,15),-0.584725 # DEPENDENCYPART_ARC
(4,16),-1.35175 # DEPENDENCYPART_ARC
(4,17),-2.52893 # DEPENDENCYPART_ARC
(4,18),-2.05099 # DEPENDENCYPART_ARC
(4,19),-2.88465 # DEPENDENCYPART_ARC
(4,20),-1.2178 # DEPENDENCYPART_ARC
(4,21),-1.46507 # DEPENDENCYPART_ARC
(4,23),0.306984 # DEPENDENCYPART_ARC
(5,2),-0.214374 # DEPENDENCYPART_ARC
(5,4),0.600616 # DEPENDENCYPART_ARC
(5,6),-0.155761 # DEPENDENCYPART_ARC
(5,8),-0.706627 # DEPENDENCYPART_ARC
(5,9),-0.685723 # DEPENDENCYPART_ARC
(5,10),-1.46165 # DEPENDENCYPART_ARC
(5,11),-1.67344 # DEPENDENCYPART_ARC
(5,13),-1.84343 # DEPENDENCYPART_ARC
(5,14),-1.11166 # DEPENDENCYPART_ARC
(5,15),-1.1791 # DEPENDENCYPART_ARC
(5,16),-0.990651 # DEPENDENCYPART_ARC
(5,18),-1.62868 # DEPENDENCYPART_ARC
(5,19),-2.33768 # DEPENDENCYPART_ARC
(5,20),-1.39684 # DEPENDENCYPART_ARC
(5,21),-1.72091 # DEPENDENCYPART_ARC
(5,23),-0.948038 # DEPENDENCYPART_ARC
(6,1),0.457967 # DEPENDENCYPART_ARC
(6,2),3.0049 # DEPENDENCYPART_ARC
(6,3),1.25252 # DEPENDENCYPART_ARC
(6,4),3.72155 # DEPENDENCYPART_ARC
(6,5),4.06171 # DEPENDENCYPART_ARC
(6,7),3.19731 # DEPENDENCYPART_ARC
(6,8),2.3276 # DEPENDENCYPART_ARC
(6,9),2.97239 # DEPENDENCYPART_ARC
(6,10),0.271153 # DEPENDENCYPART_ARC
(6,11),1.30185 # DEPENDENCYPART_ARC
(6,12),-0.896977 # DEPENDENCYPART_ARC
(6,13),-0.344056 # DEPENDENCYPART_ARC
(6,14),1.77279 # DEPENDENCYPART_ARC
(6,15),1.30854 # DEPENDENCYPART_ARC
(6,16),1.83925 # DEPENDENCYPART_ARC
(6,17),-1.02322 # DEPENDENCYPART_ARC
(6,18),-0.852493 # DEPENDENCYPART_ARC
(6,19),-1.94291 # DEPENDENCYPART_ARC
(6,20),0.347101 # DEPENDENCYPART_ARC
(6,21),0.618036 # DEPENDENCYPART_ARC
(6,22),1.08415 # DEPENDENCYPART_ARC
(6,23),2.48899 # DEPENDENCYPART_ARC
(7,4),-0.0692179 # DEPENDENCYPART_ARC
(7,5),0.152583 # DEPENDENCYPART_ARC
(7,6),-0.00137536 # DEPENDENCYPART_ARC
(7,8),-0.365083 # DEPENDENCYPART_ARC
(7,9),-0.256781 # DEPENDENCYPART_ARC
(7,11),-0.827277 # DEPENDENCYPART_ARC
(7,13),-1.23358 # DEPENDENCYPART_ARC
(7,14),-0.123464 # DEPENDENCYPART_ARC
(7,15),-0.797263 # DEPENDENCYPART_ARC
(7,16),-0.562448 # DEPENDENCYPART_ARC
(7,18),-1.45246 # DEPENDENCYPART_ARC
(7,19),-2.07652 # DEPENDENCYPART_ARC
(7,20),-1.04305 # DEPENDENCYPART_ARC
(7,21),-0.912025 # DEPENDENCYPART_ARC
(7,23),0.181404 # DEPENDENCYPART_ARC
(9,1),-0.578407 # DEPENDENCYPART_ARC
(9,2),0.0648989 # DEPENDENCYPART_ARC
(9,3),0.29426 # DEPENDENCYPART_ARC
