# _root_ A francia hadseregben ma már mindenütt szolgálnak nők , még a haditengerészetnél és a légierőnél is , csak az idegenlégióban nem .
#goldHeads=3,3,7,7,7,7,0,7,7,16,12,13,16,15,13,7,7,21,20,21,7,7,
#predictedHeads=3,3,7,7,7,7,0,7,7,7,12,13,7,15,16,7,7,21,20,21,7,7,
(0,1),-2.09317 # DEPENDENCYPART_ARC
(0,2),-1.76895 # DEPENDENCYPART_ARC
(0,3),-2.13615 # DEPENDENCYPART_ARC
(0,4),-1.97332 # DEPENDENCYPART_ARC
(0,5),-1.4673 # DEPENDENCYPART_ARC
(0,6),-1.58873 # DEPENDENCYPART_ARC
(0,7),-0.916545 # DEPENDENCYPART_ARC
(0,8),-2.50145 # DEPENDENCYPART_ARC
(0,9),-2.87886 # DEPENDENCYPART_ARC
(0,10),-1.76285 # DEPENDENCYPART_ARC
(0,11),-2.81132 # DEPENDENCYPART_ARC
(0,12),-3.38014 # DEPENDENCYPART_ARC
(0,13),-1.62195 # DEPENDENCYPART_ARC
(0,14),-3.02072 # DEPENDENCYPART_ARC
(0,15),-3.58569 # DEPENDENCYPART_ARC
(0,16),-2.54267 # DEPENDENCYPART_ARC
(0,17),-3.40199 # DEPENDENCYPART_ARC
(0,18),-1.77672 # DEPENDENCYPART_ARC
(0,19),-2.60253 # DEPENDENCYPART_ARC
(0,20),-3.38446 # DEPENDENCYPART_ARC
(0,21),-1.67795 # DEPENDENCYPART_ARC
(0,22),-4.70287 # DEPENDENCYPART_ARC
(1,2),0.0917198 # DEPENDENCYPART_ARC
(1,3),-0.786593 # DEPENDENCYPART_ARC
(1,4),-0.8402 # DEPENDENCYPART_ARC
(1,5),-0.920113 # DEPENDENCYPART_ARC
(1,6),-1.00299 # DEPENDENCYPART_ARC
(1,7),-1.32978 # DEPENDENCYPART_ARC
(1,8),-1.56318 # DEPENDENCYPART_ARC
(1,9),-0.669084 # DEPENDENCYPART_ARC
(1,10),-1.13975 # DEPENDENCYPART_ARC
(1,11),-1.14387 # DEPENDENCYPART_ARC
(1,12),-1.97928 # DEPENDENCYPART_ARC
(1,13),-1.42583 # DEPENDENCYPART_ARC
(1,14),-1.31461 # DEPENDENCYPART_ARC
(1,15),-2.12635 # DEPENDENCYPART_ARC
(1,16),-1.63872 # DEPENDENCYPART_ARC
(1,17),-0.838025 # DEPENDENCYPART_ARC
(1,18),-1.24187 # DEPENDENCYPART_ARC
(1,19),-1.37191 # DEPENDENCYPART_ARC
(1,20),-2.1922 # DEPENDENCYPART_ARC
(1,21),-1.47698 # DEPENDENCYPART_ARC
(1,22),-2.18187 # DEPENDENCYPART_ARC
(2,1),0.863724 # DEPENDENCYPART_ARC
(2,3),-0.243277 # DEPENDENCYPART_ARC
(2,4),-0.964234 # DEPENDENCYPART_ARC
(2,5),-1.07829 # DEPENDENCYPART_ARC
(2,6),-1.18532 # DEPENDENCYPART_ARC
(2,7),-1.19094 # DEPENDENCYPART_ARC
(2,8),-1.8131 # DEPENDENCYPART_ARC
(2,9),-0.775522 # DEPENDENCYPART_ARC
(2,10),-1.30634 # DEPENDENCYPART_ARC
