# _root_ Nem véletlen , hogy a menedzserképzőn " szürke eminenciásnak " minősítettek , ami — megvallom — nem is áll messze tőlem .
#goldHeads=4,4,4,0,6,11,11,9,11,11,4,11,19,15,19,15,19,19,11,19,19,4,
#predictedHeads=4,4,9,19,6,11,11,9,11,11,15,11,15,15,0,15,19,19,15,19,19,11,
(0,1),-1.39759 # DEPENDENCYPART_ARC
(0,2),-1.5045 # DEPENDENCYPART_ARC
(0,3),-2.38824 # DEPENDENCYPART_ARC
(0,4),-0.079517 # DEPENDENCYPART_ARC
(0,5),-2.65624 # DEPENDENCYPART_ARC
(0,6),-3.31143 # DEPENDENCYPART_ARC
(0,7),-2.64796 # DEPENDENCYPART_ARC
(0,8),-2.48521 # DEPENDENCYPART_ARC
(0,9),-3.6251 # DEPENDENCYPART_ARC
(0,10),-2.83956 # DEPENDENCYPART_ARC
(0,11),-0.860625 # DEPENDENCYPART_ARC
(0,12),-3.2926 # DEPENDENCYPART_ARC
(0,13),-3.19783 # DEPENDENCYPART_ARC
(0,14),-3.04057 # DEPENDENCYPART_ARC
(0,15),-1.18304 # DEPENDENCYPART_ARC
(0,16),-3.02428 # DEPENDENCYPART_ARC
(0,17),-2.06719 # DEPENDENCYPART_ARC
(0,18),-3.63977 # DEPENDENCYPART_ARC
(0,19),-1.15333 # DEPENDENCYPART_ARC
(0,20),-2.32962 # DEPENDENCYPART_ARC
(0,21),-2.03373 # DEPENDENCYPART_ARC
(0,22),-3.6081 # DEPENDENCYPART_ARC
(1,2),0.0588045 # DEPENDENCYPART_ARC
(1,3),-0.380347 # DEPENDENCYPART_ARC
(1,4),-0.208558 # DEPENDENCYPART_ARC
(1,5),-0.904537 # DEPENDENCYPART_ARC
(1,6),-0.857841 # DEPENDENCYPART_ARC
(1,7),-0.228111 # DEPENDENCYPART_ARC
(1,8),-0.976987 # DEPENDENCYPART_ARC
(1,9),-1.166 # DEPENDENCYPART_ARC
(1,10),-0.386912 # DEPENDENCYPART_ARC
(1,11),-0.523498 # DEPENDENCYPART_ARC
(1,12),-0.570012 # DEPENDENCYPART_ARC
(1,13),-1.39325 # DEPENDENCYPART_ARC
(1,14),-0.701449 # DEPENDENCYPART_ARC
(1,15),-0.942858 # DEPENDENCYPART_ARC
(1,16),-0.590389 # DEPENDENCYPART_ARC
(1,17),-1.19785 # DEPENDENCYPART_ARC
(1,18),-1.54139 # DEPENDENCYPART_ARC
(1,19),-1.38245 # DEPENDENCYPART_ARC
(1,20),-1.02871 # DEPENDENCYPART_ARC
(1,21),-1.18589 # DEPENDENCYPART_ARC
(1,22),0.138355 # DEPENDENCYPART_ARC
(2,1),1.08275 # DEPENDENCYPART_ARC
(2,3),0.290615 # DEPENDENCYPART_ARC
(2,4),-0.18458 # DEPENDENCYPART_ARC
(2,5),-0.64458 # DEPENDENCYPART_ARC
(2,6),-0.204787 # DEPENDENCYPART_ARC
(2,7),0.141059 # DEPENDENCYPART_ARC
(2,8),-0.976546 # DEPENDENCYPART_ARC
(2,9),-0.877076 # DEPENDENCYPART_ARC
(2,10),0.0606893 # DEPENDENCYPART_ARC
(2,11),-0.0304406 # DEPENDENCYPART_ARC
(2,12),-0.103458 # DEPENDENCYPART_ARC
(2,13),-1.2692 # DEPENDENCYPART_ARC
(2,14),-0.14304 # DEPENDENCYPART_ARC
(2,15),-0.0651812 # DEPENDENCYPART_ARC
(2,16),-0.385546 # DEPENDENCYPART_ARC
(2,17),-0.409137 # DEPENDENCYPART_ARC
(2,18),-0.767031 # DEPENDENCYPART_ARC
(2,19),0.00239584 # DEPENDENCYPART_ARC
(2,20),-0.661903 # DEPENDENCYPART_ARC
(2,21),-0.67432 # DEPENDENCYPART_ARC
(2,22),1.90069 # DEPENDENCYPART_ARC
(3,1),-1.62355 # DEPENDENCYPART_ARC
(3,2),-1.33165 # DEPENDENCYPART_ARC
(3,4),-1.42421 # DEPENDENCYPART_ARC
(3,5),-1.73697 # DEPENDENCYPART_ARC
(3,6),-2.40586 # DEPENDENCYPART_ARC
(3,7),-1.61243 # DEPENDENCYPART_ARC
(3,8),-2.05314 # DEPENDENCYPART_ARC
(3,9),-2.79664 # DEPENDENCYPART_ARC
(3,10),-1.69575 # DEPENDENCYPART_ARC
(3,11),-2.07133 # DEPENDENCYPART_ARC
(3,12),-1.77418 # DEPENDENCYPART_ARC
(3,13),-2.28065 # DEPENDENCYPART_ARC
(3,14),-1.80155 # DEPENDENCYPART_ARC
(3,15),-2.22413 # DEPENDENCYPART_ARC
(3,16),-1.85322 # DEPENDENCYPART_ARC
(3,17),-2.11164 # DEPENDENCYPART_ARC
(3,18),-2.10539 # DEPENDENCYPART_ARC
(3,19),-2.23785 # DEPENDENCYPART_ARC
(3,20),-2.06617 # DEPENDENCYPART_ARC
(3,21),-2.17644 # DEPENDENCYPART_ARC
(3,22),-1.93629 # DEPENDENCYPART_ARC
(4,1),2.2428 # DEPENDENCYPART_ARC
(4,2),1.50011 # DEPENDENCYPART_ARC
(4,3),1.24913 # DEPENDENCYPART_ARC
(4,5),-0.525816 # DEPENDENCYPART_ARC
(4,6),-0.43437 # DEPENDENCYPART_ARC
(4,7),-0.227675 # DEPENDENCYPART_ARC
(4,8),-0.186885 # DEPENDENCYPART_ARC
(4,9),-0.935827 # DEPENDENCYPART_ARC
(4,10),-0.165986 # DEPENDENCYPART_ARC
(4,11),0.659742 # DEPENDENCYPART_ARC
(4,12),0.236164 # DEPENDENCYPART_ARC
(4,13),-1.06224 # DEPENDENCYPART_ARC
(4,14),0.0142435 # DEPENDENCYPART_ARC
(4,15),0.111233 # DEPENDENCYPART_ARC
(4,16),-0.343066 # DEPENDENCYPART_ARC
(4,17),-0.367564 # DEPENDENCYPART_ARC
(4,18),-0.605746 # DEPENDENCYPART_ARC
(4,19),-0.247082 # DEPENDENCYPART_ARC
(4,20),-0.429734 # DEPENDENCYPART_ARC
(4,21),-0.334167 # DEPENDENCYPART_ARC
(4,22),1.63275 # DEPENDENCYPART_ARC
(5,1),-1.8727 # DEPENDENCYPART_ARC
(5,2),-1.66369 # DEPENDENCYPART_ARC
(5,3),-1.34368 # DEPENDENCYPART_ARC
(5,4),-0.844856 # DEPENDENCYPART_ARC
