# _root_ Pihenni , világot látni , jókat enni ...
#goldHeads=0,1,4,1,1,7,1,1,
#predictedHeads=0,1,4,1,7,7,4,1,
(0,1),-1.40238 # DEPENDENCYPART_ARC
(0,3),-2.97666 # DEPENDENCYPART_ARC
(0,4),-2.35828 # DEPENDENCYPART_ARC
(0,6),-2.2723 # DEPENDENCYPART_ARC
(0,7),-2.58629 # DEPENDENCYPART_ARC
(1,2),1.65052 # DEPENDENCYPART_ARC
(1,3),1.83621 # DEPENDENCYPART_ARC
(1,4),1.79453 # DEPENDENCYPART_ARC
(1,5),1.28891 # DEPENDENCYPART_ARC
(1,6),-0.724118 # DEPENDENCYPART_ARC
(1,7),0.941225 # DEPENDENCYPART_ARC
(1,8),1.80214 # DEPENDENCYPART_ARC
(3,1),1.32862 # DEPENDENCYPART_ARC
(3,2),0.531469 # DEPENDENCYPART_ARC
(3,4),-0.0566574 # DEPENDENCYPART_ARC
(3,5),-0.16777 # DEPENDENCYPART_ARC
(3,6),-0.717904 # DEPENDENCYPART_ARC
(3,7),-0.402801 # DEPENDENCYPART_ARC
(3,8),-0.204839 # DEPENDENCYPART_ARC
(4,1),-0.187699 # DEPENDENCYPART_ARC
(4,2),1.07567 # DEPENDENCYPART_ARC
(4,3),5.0223 # DEPENDENCYPART_ARC
(4,5),1.04362 # DEPENDENCYPART_ARC
(4,6),0.168287 # DEPENDENCYPART_ARC
(4,7),1.12692 # DEPENDENCYPART_ARC
(4,8),1.26274 # DEPENDENCYPART_ARC
(6,1),-0.778179 # DEPENDENCYPART_ARC
(6,2),-0.984968 # DEPENDENCYPART_ARC
(6,3),-0.549932 # DEPENDENCYPART_ARC
(6,4),-0.337714 # DEPENDENCYPART_ARC
(6,5),-0.155051 # DEPENDENCYPART_ARC
(6,7),0.284624 # DEPENDENCYPART_ARC
(6,8),-0.615752 # DEPENDENCYPART_ARC
(7,1),-0.170867 # DEPENDENCYPART_ARC
(7,2),0.924291 # DEPENDENCYPART_ARC
(7,3),3.30531 # DEPENDENCYPART_ARC
(7,4),0.291938 # DEPENDENCYPART_ARC
(7,5),1.36829 # DEPENDENCYPART_ARC
(7,6),3.37859 # DEPENDENCYPART_ARC
(7,8),0.873927 # DEPENDENCYPART_ARC
