# _root_ A kiszolgálás pedig csikorog fájdalmasan , minden nehézkesnek , bonyodalmasnak és szögletesnek tűnik .
#goldHeads=2,4,4,0,4,4,13,13,13,13,13,13,4,4,
#predictedHeads=2,4,4,13,4,4,8,4,13,13,13,13,0,13,
(0,2),-2.2954 # DEPENDENCYPART_ARC
(0,3),-2.24113 # DEPENDENCYPART_ARC
(0,4),-0.735857 # DEPENDENCYPART_ARC
(0,5),-2.11866 # DEPENDENCYPART_ARC
(0,7),-2.74817 # DEPENDENCYPART_ARC
(0,8),-2.83491 # DEPENDENCYPART_ARC
(0,10),-2.95089 # DEPENDENCYPART_ARC
(0,11),-1.86706 # DEPENDENCYPART_ARC
(0,12),-2.83223 # DEPENDENCYPART_ARC
(0,13),-1.05544 # DEPENDENCYPART_ARC
(1,2),-0.735959 # DEPENDENCYPART_ARC
(1,3),-1.02636 # DEPENDENCYPART_ARC
(1,5),-1.18194 # DEPENDENCYPART_ARC
(1,6),-0.884128 # DEPENDENCYPART_ARC
(1,8),-1.40955 # DEPENDENCYPART_ARC
(1,9),-0.901775 # DEPENDENCYPART_ARC
(1,10),-1.51996 # DEPENDENCYPART_ARC
(1,11),-1.44063 # DEPENDENCYPART_ARC
(1,12),-1.78011 # DEPENDENCYPART_ARC
(2,1),3.10451 # DEPENDENCYPART_ARC
(2,3),-0.599293 # DEPENDENCYPART_ARC
(2,4),-0.444813 # DEPENDENCYPART_ARC
(2,5),-1.05071 # DEPENDENCYPART_ARC
(2,6),-0.239622 # DEPENDENCYPART_ARC
(2,7),-1.71086 # DEPENDENCYPART_ARC
(2,8),-1.31797 # DEPENDENCYPART_ARC
(2,9),-0.452142 # DEPENDENCYPART_ARC
(2,10),-1.26332 # DEPENDENCYPART_ARC
(2,11),-0.58976 # DEPENDENCYPART_ARC
(2,12),-1.32945 # DEPENDENCYPART_ARC
(2,13),-1.04598 # DEPENDENCYPART_ARC
(2,14),0.27032 # DEPENDENCYPART_ARC
(3,1),-0.464064 # DEPENDENCYPART_ARC
(3,2),0.0616112 # DEPENDENCYPART_ARC
(3,4),0.364819 # DEPENDENCYPART_ARC
(3,5),-0.690743 # DEPENDENCYPART_ARC
(3,6),0.171984 # DEPENDENCYPART_ARC
(3,7),-1.27634 # DEPENDENCYPART_ARC
(3,8),-1.06606 # DEPENDENCYPART_ARC
(3,9),-0.183788 # DEPENDENCYPART_ARC
(3,10),-1.35868 # DEPENDENCYPART_ARC
(3,11),-1.03844 # DEPENDENCYPART_ARC
(3,12),-1.56545 # DEPENDENCYPART_ARC
(3,13),-1.21864 # DEPENDENCYPART_ARC
(3,14),0.341156 # DEPENDENCYPART_ARC
(4,1),-0.624709 # DEPENDENCYPART_ARC
(4,2),1.99949 # DEPENDENCYPART_ARC
(4,3),2.81776 # DEPENDENCYPART_ARC
(4,5),2.00933 # DEPENDENCYPART_ARC
(4,6),1.30973 # DEPENDENCYPART_ARC
(4,7),-0.668331 # DEPENDENCYPART_ARC
(4,8),0.859812 # DEPENDENCYPART_ARC
(4,9),0.47218 # DEPENDENCYPART_ARC
(4,10),-0.0923923 # DEPENDENCYPART_ARC
(4,11),-0.25615 # DEPENDENCYPART_ARC
(4,12),-0.00814225 # DEPENDENCYPART_ARC
(4,13),-0.068217 # DEPENDENCYPART_ARC
(4,14),1.3232 # DEPENDENCYPART_ARC
(5,1),-0.772243 # DEPENDENCYPART_ARC
(5,2),-1.8611 # DEPENDENCYPART_ARC
(5,3),-0.128938 # DEPENDENCYPART_ARC
(5,4),-0.078681 # DEPENDENCYPART_ARC
(5,6),0.441856 # DEPENDENCYPART_ARC
(5,7),-0.721457 # DEPENDENCYPART_ARC
(5,8),-0.0706224 # DEPENDENCYPART_ARC
(5,9),-0.00228987 # DEPENDENCYPART_ARC
(5,10),-0.479183 # DEPENDENCYPART_ARC
(5,11),-0.345283 # DEPENDENCYPART_ARC
(5,12),-0.5651 # DEPENDENCYPART_ARC
(5,13),-0.386816 # DEPENDENCYPART_ARC
(5,14),0.292156 # DEPENDENCYPART_ARC
(7,2),-1.23439 # DEPENDENCYPART_ARC
(7,3),-0.221705 # DEPENDENCYPART_ARC
(7,6),0.0591078 # DEPENDENCYPART_ARC
(7,9),-0.810337 # DEPENDENCYPART_ARC
(7,11),-1.2066 # DEPENDENCYPART_ARC
(7,14),-0.268988 # DEPENDENCYPART_ARC
(8,1),-0.894786 # DEPENDENCYPART_ARC
(8,2),-2.40324 # DEPENDENCYPART_ARC
(8,3),-0.74981 # DEPENDENCYPART_ARC
(8,4),-1.37454 # DEPENDENCYPART_ARC
(8,5),-0.587587 # DEPENDENCYPART_ARC
(8,6),-0.290282 # DEPENDENCYPART_ARC
(8,7),0.830757 # DEPENDENCYPART_ARC
(8,9),0.0639583 # DEPENDENCYPART_ARC
(8,10),-0.215171 # DEPENDENCYPART_ARC
(8,11),-0.591586 # DEPENDENCYPART_ARC
(8,12),-0.502693 # DEPENDENCYPART_ARC
(8,13),-0.693234 # DEPENDENCYPART_ARC
