# _root_ Nyolc dolgot kifogásoltak , hétről kapásból kiderült , hogy nem jogos az óvás .
#goldHeads=2,3,0,3,7,7,3,7,7,7,7,13,7,3,
#predictedHeads=2,3,0,3,7,7,3,7,7,11,7,13,11,3,
(0,1),-1.23215 # DEPENDENCYPART_ARC
(0,2),-2.48535 # DEPENDENCYPART_ARC
(0,3),-0.790703 # DEPENDENCYPART_ARC
(0,5),-2.71719 # DEPENDENCYPART_ARC
(0,6),-3.40607 # DEPENDENCYPART_ARC
(0,7),-1.37921 # DEPENDENCYPART_ARC
(0,9),-1.75434 # DEPENDENCYPART_ARC
(0,10),-2.12609 # DEPENDENCYPART_ARC
(0,11),-2.63567 # DEPENDENCYPART_ARC
(0,13),-3.90545 # DEPENDENCYPART_ARC
(1,2),-1.0016 # DEPENDENCYPART_ARC
(1,3),-0.437751 # DEPENDENCYPART_ARC
(1,4),-0.276998 # DEPENDENCYPART_ARC
(1,5),-1.313 # DEPENDENCYPART_ARC
(1,6),-1.37156 # DEPENDENCYPART_ARC
(1,7),-0.659644 # DEPENDENCYPART_ARC
(1,8),-0.272611 # DEPENDENCYPART_ARC
(1,9),-1.00648 # DEPENDENCYPART_ARC
(1,10),-1.24412 # DEPENDENCYPART_ARC
(1,11),-1.33983 # DEPENDENCYPART_ARC
(1,12),-1.49418 # DEPENDENCYPART_ARC
(1,13),-1.95051 # DEPENDENCYPART_ARC
(1,14),0.36765 # DEPENDENCYPART_ARC
(2,1),3.21014 # DEPENDENCYPART_ARC
(2,3),-0.58819 # DEPENDENCYPART_ARC
(2,4),-0.386506 # DEPENDENCYPART_ARC
(2,5),-1.45539 # DEPENDENCYPART_ARC
(2,6),-1.8474 # DEPENDENCYPART_ARC
(2,7),-0.784927 # DEPENDENCYPART_ARC
(2,8),-0.17878 # DEPENDENCYPART_ARC
(2,9),-0.842331 # DEPENDENCYPART_ARC
(2,10),-1.0581 # DEPENDENCYPART_ARC
(2,11),-1.7023 # DEPENDENCYPART_ARC
(2,12),-1.27611 # DEPENDENCYPART_ARC
(2,13),-2.51242 # DEPENDENCYPART_ARC
(2,14),-0.0862659 # DEPENDENCYPART_ARC
(3,1),0.689153 # DEPENDENCYPART_ARC
(3,2),3.12688 # DEPENDENCYPART_ARC
(3,4),1.46948 # DEPENDENCYPART_ARC
(3,5),1.21066 # DEPENDENCYPART_ARC
(3,6),-0.359605 # DEPENDENCYPART_ARC
(3,7),1.44985 # DEPENDENCYPART_ARC
(3,8),1.23225 # DEPENDENCYPART_ARC
(3,9),1.70958 # DEPENDENCYPART_ARC
(3,10),-0.260382 # DEPENDENCYPART_ARC
(3,11),-0.709959 # DEPENDENCYPART_ARC
(3,12),-0.693667 # DEPENDENCYPART_ARC
(3,13),-1.89333 # DEPENDENCYPART_ARC
(3,14),2.04998 # DEPENDENCYPART_ARC
(5,1),-0.496132 # DEPENDENCYPART_ARC
(5,2),-1.34859 # DEPENDENCYPART_ARC
(5,3),0.045898 # DEPENDENCYPART_ARC
(5,4),0.0150402 # DEPENDENCYPART_ARC
(5,6),-0.478354 # DEPENDENCYPART_ARC
(5,7),-0.213155 # DEPENDENCYPART_ARC
(5,8),-0.585733 # DEPENDENCYPART_ARC
(5,9),-1.09976 # DEPENDENCYPART_ARC
(5,10),-1.41937 # DEPENDENCYPART_ARC
(5,11),-1.47429 # DEPENDENCYPART_ARC
(5,12),-1.52826 # DEPENDENCYPART_ARC
(5,13),-1.80889 # DEPENDENCYPART_ARC
(5,14),-0.755306 # DEPENDENCYPART_ARC
(6,1),0.279907 # DEPENDENCYPART_ARC
(6,2),-3.00829 # DEPENDENCYPART_ARC
(6,3),-0.82646 # DEPENDENCYPART_ARC
(6,4),-0.0992529 # DEPENDENCYPART_ARC
(6,5),1.12188 # DEPENDENCYPART_ARC
(6,7),-0.872401 # DEPENDENCYPART_ARC
