# _root_ Pontbegyűjtő , tömegrajtos városi tájfutó verseny lesz április 5-én , húsvéthétfőn Szentendrén .
#goldHeads=6,6,6,6,6,7,0,9,7,7,7,7,7,
#predictedHeads=6,6,6,6,6,7,0,9,7,7,7,7,7,
(0,1),-1.60762 # DEPENDENCYPART_ARC
(0,2),-2.51787 # DEPENDENCYPART_ARC
(0,3),-2.1496 # DEPENDENCYPART_ARC
(0,4),-2.528 # DEPENDENCYPART_ARC
(0,5),-2.70464 # DEPENDENCYPART_ARC
(0,6),-3.32628 # DEPENDENCYPART_ARC
(0,7),-1.28416 # DEPENDENCYPART_ARC
(0,8),-3.20161 # DEPENDENCYPART_ARC
(0,9),-3.65552 # DEPENDENCYPART_ARC
(0,10),-3.46713 # DEPENDENCYPART_ARC
(0,11),-3.71622 # DEPENDENCYPART_ARC
(0,12),-3.61446 # DEPENDENCYPART_ARC
(0,13),-4.51065 # DEPENDENCYPART_ARC
(1,2),0.433033 # DEPENDENCYPART_ARC
(1,3),-0.46386 # DEPENDENCYPART_ARC
(1,4),-0.636055 # DEPENDENCYPART_ARC
(1,5),-0.70149 # DEPENDENCYPART_ARC
(1,6),-0.61898 # DEPENDENCYPART_ARC
(1,7),-0.209546 # DEPENDENCYPART_ARC
(1,8),-1.02692 # DEPENDENCYPART_ARC
(1,9),-0.895223 # DEPENDENCYPART_ARC
(1,10),-0.0783083 # DEPENDENCYPART_ARC
(1,11),-1.0327 # DEPENDENCYPART_ARC
(1,12),-1.33563 # DEPENDENCYPART_ARC
(1,13),0.103654 # DEPENDENCYPART_ARC
(2,1),-0.900414 # DEPENDENCYPART_ARC
(2,3),-1.02819 # DEPENDENCYPART_ARC
(2,4),-1.18957 # DEPENDENCYPART_ARC
(2,5),-1.44383 # DEPENDENCYPART_ARC
(2,6),-1.98771 # DEPENDENCYPART_ARC
(2,7),-1.5505 # DEPENDENCYPART_ARC
(2,8),-2.27748 # DEPENDENCYPART_ARC
(2,9),-2.38529 # DEPENDENCYPART_ARC
(2,10),-1.35722 # DEPENDENCYPART_ARC
(2,11),-2.47907 # DEPENDENCYPART_ARC
(2,12),-2.55981 # DEPENDENCYPART_ARC
(2,13),-1.60092 # DEPENDENCYPART_ARC
(3,1),0.515796 # DEPENDENCYPART_ARC
(3,2),0.897627 # DEPENDENCYPART_ARC
(3,4),0.0127491 # DEPENDENCYPART_ARC
(3,5),-0.137814 # DEPENDENCYPART_ARC
(3,6),-0.042826 # DEPENDENCYPART_ARC
(3,7),-0.0611303 # DEPENDENCYPART_ARC
(3,8),-0.461821 # DEPENDENCYPART_ARC
(3,9),-0.357163 # DEPENDENCYPART_ARC
(3,10),0.234694 # DEPENDENCYPART_ARC
(3,11),-0.648077 # DEPENDENCYPART_ARC
(3,12),-0.805941 # DEPENDENCYPART_ARC
(3,13),0.0970286 # DEPENDENCYPART_ARC
(4,1),-0.0797977 # DEPENDENCYPART_ARC
(4,2),0.284814 # DEPENDENCYPART_ARC
(4,3),1.43774 # DEPENDENCYPART_ARC
(4,5),-0.492998 # DEPENDENCYPART_ARC
(4,6),-0.23325 # DEPENDENCYPART_ARC
(4,7),-0.484165 # DEPENDENCYPART_ARC
(4,8),-0.904344 # DEPENDENCYPART_ARC
(4,9),-0.749746 # DEPENDENCYPART_ARC
(4,10),-0.300508 # DEPENDENCYPART_ARC
(4,11),-1.12232 # DEPENDENCYPART_ARC
(4,12),-1.33803 # DEPENDENCYPART_ARC
(4,13),-0.420167 # DEPENDENCYPART_ARC
(5,1),-0.453017 # DEPENDENCYPART_ARC
(5,2),0.212751 # DEPENDENCYPART_ARC
(5,3),0.691782 # DEPENDENCYPART_ARC
(5,4),1.6535 # DEPENDENCYPART_ARC
(5,6),-0.37778 # DEPENDENCYPART_ARC
(5,7),-0.635593 # DEPENDENCYPART_ARC
(5,8),-1.11257 # DEPENDENCYPART_ARC
(5,9),-0.974401 # DEPENDENCYPART_ARC
(5,10),-0.569396 # DEPENDENCYPART_ARC
(5,11),-1.36817 # DEPENDENCYPART_ARC
(5,12),-1.63489 # DEPENDENCYPART_ARC
(5,13),-0.731905 # DEPENDENCYPART_ARC
(6,1),1.74375 # DEPENDENCYPART_ARC
(6,2),2.1581 # DEPENDENCYPART_ARC
(6,3),1.93515 # DEPENDENCYPART_ARC
(6,4),2.72627 # DEPENDENCYPART_ARC
(6,5),3.80077 # DEPENDENCYPART_ARC
(6,7),-0.370904 # DEPENDENCYPART_ARC
(6,8),-0.653667 # DEPENDENCYPART_ARC
(6,9),-1.48943 # DEPENDENCYPART_ARC
(6,10),-0.165004 # DEPENDENCYPART_ARC
(6,11),-1.83887 # DEPENDENCYPART_ARC
(6,12),-1.94089 # DEPENDENCYPART_ARC
(6,13),-0.151378 # DEPENDENCYPART_ARC
(7,1),0.0153117 # DEPENDENCYPART_ARC
(7,2),0.982593 # DEPENDENCYPART_ARC
(7,3),0.577051 # DEPENDENCYPART_ARC
(7,4),0.740688 # DEPENDENCYPART_ARC
(7,5),1.12601 # DEPENDENCYPART_ARC
(7,6),3.50106 # DEPENDENCYPART_ARC
(7,8),2.80511 # DEPENDENCYPART_ARC
(7,9),3.57055 # DEPENDENCYPART_ARC
(7,10),1.85225 # DEPENDENCYPART_ARC
(7,11),1.39198 # DEPENDENCYPART_ARC
(7,12),1.45034 # DEPENDENCYPART_ARC
(7,13),2.14513 # DEPENDENCYPART_ARC
(8,1),-1.70599 # DEPENDENCYPART_ARC
(8,2),-1.16642 # DEPENDENCYPART_ARC
(8,3),-1.41033 # DEPENDENCYPART_ARC
(8,4),-1.16725 # DEPENDENCYPART_ARC
(8,5),-0.812194 # DEPENDENCYPART_ARC
(8,6),-2.06832 # DEPENDENCYPART_ARC
(8,7),-0.665728 # DEPENDENCYPART_ARC
(8,9),-1.26529 # DEPENDENCYPART_ARC
(8,10),-0.315661 # DEPENDENCYPART_ARC
(8,11),-1.66356 # DEPENDENCYPART_ARC
(8,12),-1.76173 # DEPENDENCYPART_ARC
(8,13),-0.485439 # DEPENDENCYPART_ARC
(9,1),-0.749867 # DEPENDENCYPART_ARC
(9,2),0.0311652 # DEPENDENCYPART_ARC
(9,3),-0.56278 # DEPENDENCYPART_ARC
(9,4),-0.301354 # DEPENDENCYPART_ARC
(9,5),-0.147005 # DEPENDENCYPART_ARC
(9,6),0.290655 # DEPENDENCYPART_ARC
(9,7),-1.55603 # DEPENDENCYPART_ARC
(9,8),4.34445 # DEPENDENCYPART_ARC
(9,10),0.0675504 # DEPENDENCYPART_ARC
(9,11),-1.29887 # DEPENDENCYPART_ARC
(9,12),-0.681827 # DEPENDENCYPART_ARC
(9,13),-0.0974106 # DEPENDENCYPART_ARC
(10,1),-2.59005 # DEPENDENCYPART_ARC
(10,2),-1.92145 # DEPENDENCYPART_ARC
(10,3),-2.48192 # DEPENDENCYPART_ARC
(10,4),-2.40596 # DEPENDENCYPART_ARC
(10,5),-2.36445 # DEPENDENCYPART_ARC
(10,6),-2.72613 # DEPENDENCYPART_ARC
(10,7),-1.69319 # DEPENDENCYPART_ARC
(10,8),-2.03584 # DEPENDENCYPART_ARC
(10,9),-1.57237 # DEPENDENCYPART_ARC
(10,11),-1.61744 # DEPENDENCYPART_ARC
(10,12),-1.91371 # DEPENDENCYPART_ARC
(10,13),-1.54834 # DEPENDENCYPART_ARC
(11,1),-0.216393 # DEPENDENCYPART_ARC
(11,2),0.703327 # DEPENDENCYPART_ARC
(11,3),0.00392691 # DEPENDENCYPART_ARC
(11,4),0.200907 # DEPENDENCYPART_ARC
(11,5),0.378556 # DEPENDENCYPART_ARC
(11,6),-1.41394 # DEPENDENCYPART_ARC
(11,7),-1.34701 # DEPENDENCYPART_ARC
(11,8),0.988743 # DEPENDENCYPART_ARC
(11,9),-0.379882 # DEPENDENCYPART_ARC
(11,10),0.856351 # DEPENDENCYPART_ARC
(11,12),-0.332475 # DEPENDENCYPART_ARC
(11,13),-0.544137 # DEPENDENCYPART_ARC
(12,1),-0.986548 # DEPENDENCYPART_ARC
(12,2),0.0654188 # DEPENDENCYPART_ARC
(12,3),-0.957892 # DEPENDENCYPART_ARC
(12,4),-0.731084 # DEPENDENCYPART_ARC
(12,5),-0.817857 # DEPENDENCYPART_ARC
(12,6),-2.29093 # DEPENDENCYPART_ARC
(12,7),-1.51248 # DEPENDENCYPART_ARC
(12,8),0.510047 # DEPENDENCYPART_ARC
(12,9),-1.63734 # DEPENDENCYPART_ARC
(12,10),0.693447 # DEPENDENCYPART_ARC
(12,11),0.891282 # DEPENDENCYPART_ARC
(12,13),0.303308 # DEPENDENCYPART_ARC
(13,1),-3.29378 # DEPENDENCYPART_ARC
(13,2),-2.76201 # DEPENDENCYPART_ARC
(13,3),-3.247 # DEPENDENCYPART_ARC
(13,4),-3.22711 # DEPENDENCYPART_ARC
(13,5),-3.185 # DEPENDENCYPART_ARC
(13,6),-3.88158 # DEPENDENCYPART_ARC
(13,7),-2.74861 # DEPENDENCYPART_ARC
(13,8),-3.43534 # DEPENDENCYPART_ARC
(13,9),-3.32532 # DEPENDENCYPART_ARC
(13,10),-2.02212 # DEPENDENCYPART_ARC
(13,11),-2.83149 # DEPENDENCYPART_ARC
(13,12),-2.5141 # DEPENDENCYPART_ARC
