# _root_ A tervgazdaságban , ahol nem működik valódi gazdasági kalkuláció , a központi tervezőnek nincs eszköze a versengő beruházási javaslatok közötti ésszerű választáshoz .
#goldHeads=2,14,14,6,6,14,9,9,6,14,13,13,14,0,14,19,19,19,20,22,22,14,14,
#predictedHeads=2,6,6,6,6,0,9,9,6,6,13,13,14,6,14,19,19,19,20,22,22,14,6,
(0,1),-2.07918 # DEPENDENCYPART_ARC
(0,2),-1.68177 # DEPENDENCYPART_ARC
(0,3),-2.42218 # DEPENDENCYPART_ARC
(0,4),-1.75123 # DEPENDENCYPART_ARC
(0,5),-1.58736 # DEPENDENCYPART_ARC
(0,6),-0.872091 # DEPENDENCYPART_ARC
(0,7),-2.12946 # DEPENDENCYPART_ARC
(0,8),-2.46273 # DEPENDENCYPART_ARC
(0,9),-2.64174 # DEPENDENCYPART_ARC
(0,10),-3.01257 # DEPENDENCYPART_ARC
(0,11),-2.85666 # DEPENDENCYPART_ARC
(0,12),-2.60373 # DEPENDENCYPART_ARC
(0,13),-3.54761 # DEPENDENCYPART_ARC
(0,14),-1.11657 # DEPENDENCYPART_ARC
(0,15),-3.26821 # DEPENDENCYPART_ARC
(0,16),-3.09214 # DEPENDENCYPART_ARC
(0,17),-2.57799 # DEPENDENCYPART_ARC
(0,18),-2.88678 # DEPENDENCYPART_ARC
(0,19),-3.7381 # DEPENDENCYPART_ARC
(0,20),-2.76007 # DEPENDENCYPART_ARC
(0,21),-3.1697 # DEPENDENCYPART_ARC
(0,22),-4.80819 # DEPENDENCYPART_ARC
(0,23),-5.37184 # DEPENDENCYPART_ARC
(1,2),-0.560111 # DEPENDENCYPART_ARC
(1,3),-0.372102 # DEPENDENCYPART_ARC
(1,4),-0.91351 # DEPENDENCYPART_ARC
(1,5),-1.02935 # DEPENDENCYPART_ARC
(1,6),-1.32312 # DEPENDENCYPART_ARC
(1,7),-1.10999 # DEPENDENCYPART_ARC
(1,8),-1.11625 # DEPENDENCYPART_ARC
(1,9),-1.67305 # DEPENDENCYPART_ARC
(1,10),-0.750119 # DEPENDENCYPART_ARC
(1,11),-1.22069 # DEPENDENCYPART_ARC
(1,12),-1.56484 # DEPENDENCYPART_ARC
(1,13),-2.176 # DEPENDENCYPART_ARC
