# _root_ Éppen ezért a Simi_Kft.-vel szembeni kartell megalakítására hívja föl a vidéki csapatokat , a Nyíregyházát , a Pécset és a Százhalombattát .
#goldHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,19,19,18,19,8,21,19,8,
#predictedHeads=8,8,4,5,6,7,8,0,8,12,12,8,8,15,8,8,18,19,8,21,19,8,
(0,1),-1.78907 # DEPENDENCYPART_ARC
(0,2),-1.71316 # DEPENDENCYPART_ARC
(0,4),-2.85568 # DEPENDENCYPART_ARC
(0,5),-2.36963 # DEPENDENCYPART_ARC
(0,6),-3.31404 # DEPENDENCYPART_ARC
(0,7),-3.57318 # DEPENDENCYPART_ARC
(0,8),-0.791658 # DEPENDENCYPART_ARC
(0,9),-2.50725 # DEPENDENCYPART_ARC
(0,11),-2.6643 # DEPENDENCYPART_ARC
(0,12),-4.40164 # DEPENDENCYPART_ARC
(0,15),-4.4117 # DEPENDENCYPART_ARC
(0,18),-4.92412 # DEPENDENCYPART_ARC
(0,19),-1.91223 # DEPENDENCYPART_ARC
(0,21),-5.23034 # DEPENDENCYPART_ARC
(1,2),-0.386634 # DEPENDENCYPART_ARC
(1,3),-0.787129 # DEPENDENCYPART_ARC
(1,4),-0.567384 # DEPENDENCYPART_ARC
(1,5),-0.439761 # DEPENDENCYPART_ARC
(1,6),-0.719568 # DEPENDENCYPART_ARC
(1,7),-1.02405 # DEPENDENCYPART_ARC
(1,8),-0.308208 # DEPENDENCYPART_ARC
(1,9),-0.810425 # DEPENDENCYPART_ARC
(1,10),-1.19185 # DEPENDENCYPART_ARC
(1,11),-1.09591 # DEPENDENCYPART_ARC
(1,12),-1.39198 # DEPENDENCYPART_ARC
(1,13),-0.468377 # DEPENDENCYPART_ARC
(1,14),-1.3303 # DEPENDENCYPART_ARC
(1,15),-1.70605 # DEPENDENCYPART_ARC
(1,16),-0.626318 # DEPENDENCYPART_ARC
(1,17),-1.35148 # DEPENDENCYPART_ARC
(1,18),-2.144 # DEPENDENCYPART_ARC
(1,19),-1.11607 # DEPENDENCYPART_ARC
(1,20),-1.40791 # DEPENDENCYPART_ARC
