# _root_ Óriási tévedés azt gondolni , hogy szórólapot terjeszteni semmivel sem nehezebb , mint mondjuk influenzát .
#goldHeads=2,4,4,0,4,4,8,3,8,8,8,8,8,3,14,4,
#predictedHeads=2,4,4,0,4,4,8,3,8,13,3,3,3,3,14,4,
(0,1),-1.90435 # DEPENDENCYPART_ARC
(0,2),-2.40385 # DEPENDENCYPART_ARC
(0,3),-3.83018 # DEPENDENCYPART_ARC
(0,4),-1.84442 # DEPENDENCYPART_ARC
(0,6),-0.699149 # DEPENDENCYPART_ARC
(0,7),-3.64415 # DEPENDENCYPART_ARC
(0,8),-2.6976 # DEPENDENCYPART_ARC
(0,9),-3.89812 # DEPENDENCYPART_ARC
(0,10),-2.80742 # DEPENDENCYPART_ARC
(0,11),-2.95903 # DEPENDENCYPART_ARC
(0,13),-1.61517 # DEPENDENCYPART_ARC
(0,14),-2.73327 # DEPENDENCYPART_ARC
(0,15),-4.18179 # DEPENDENCYPART_ARC
(1,2),-0.679037 # DEPENDENCYPART_ARC
(1,3),-1.77112 # DEPENDENCYPART_ARC
(1,4),-0.868661 # DEPENDENCYPART_ARC
(1,5),-0.780713 # DEPENDENCYPART_ARC
(1,6),-1.25515 # DEPENDENCYPART_ARC
(1,7),-2.31073 # DEPENDENCYPART_ARC
(1,8),-1.30464 # DEPENDENCYPART_ARC
(1,9),-2.36484 # DEPENDENCYPART_ARC
(1,10),-1.52743 # DEPENDENCYPART_ARC
(1,11),-1.74198 # DEPENDENCYPART_ARC
(1,12),-0.899419 # DEPENDENCYPART_ARC
(1,13),-1.47868 # DEPENDENCYPART_ARC
(1,14),-1.76086 # DEPENDENCYPART_ARC
(1,15),-2.94189 # DEPENDENCYPART_ARC
(1,16),-0.359691 # DEPENDENCYPART_ARC
(2,1),3.42349 # DEPENDENCYPART_ARC
(2,3),-1.17208 # DEPENDENCYPART_ARC
(2,4),0.305551 # DEPENDENCYPART_ARC
(2,5),0.055059 # DEPENDENCYPART_ARC
(2,6),-0.447522 # DEPENDENCYPART_ARC
(2,7),-1.43863 # DEPENDENCYPART_ARC
(2,8),-0.107278 # DEPENDENCYPART_ARC
(2,9),-1.76854 # DEPENDENCYPART_ARC
(2,10),-0.464504 # DEPENDENCYPART_ARC
(2,11),-0.985419 # DEPENDENCYPART_ARC
(2,12),-0.174624 # DEPENDENCYPART_ARC
(2,13),-0.654183 # DEPENDENCYPART_ARC
(2,14),-1.46273 # DEPENDENCYPART_ARC
(2,15),-2.87154 # DEPENDENCYPART_ARC
(2,16),1.08825 # DEPENDENCYPART_ARC
(3,1),0.0316575 # DEPENDENCYPART_ARC
(3,2),-0.46223 # DEPENDENCYPART_ARC
(3,4),0.713044 # DEPENDENCYPART_ARC
(3,5),0.953049 # DEPENDENCYPART_ARC
(3,6),0.970185 # DEPENDENCYPART_ARC
(3,7),0.249824 # DEPENDENCYPART_ARC
(3,8),1.66344 # DEPENDENCYPART_ARC
(3,9),0.302316 # DEPENDENCYPART_ARC
(3,10),0.819774 # DEPENDENCYPART_ARC
(3,11),1.29407 # DEPENDENCYPART_ARC
(3,12),1.4409 # DEPENDENCYPART_ARC
(3,13),1.01588 # DEPENDENCYPART_ARC
(3,14),3.03254 # DEPENDENCYPART_ARC
(3,15),0.0247139 # DEPENDENCYPART_ARC
(3,16),0.38039 # DEPENDENCYPART_ARC
(4,1),1.37552 # DEPENDENCYPART_ARC
(4,2),1.71838 # DEPENDENCYPART_ARC
(4,3),4.44787 # DEPENDENCYPART_ARC
(4,5),2.18367 # DEPENDENCYPART_ARC
(4,6),1.88397 # DEPENDENCYPART_ARC
(4,7),0.514904 # DEPENDENCYPART_ARC
(4,8),0.69295 # DEPENDENCYPART_ARC
(4,9),-0.0542519 # DEPENDENCYPART_ARC
(4,10),-0.402076 # DEPENDENCYPART_ARC
(4,11),0.229256 # DEPENDENCYPART_ARC
(4,12),0.326142 # DEPENDENCYPART_ARC
(4,13),0.333022 # DEPENDENCYPART_ARC
(4,14),0.612601 # DEPENDENCYPART_ARC
(4,15),-0.729049 # DEPENDENCYPART_ARC
(4,16),1.98542 # DEPENDENCYPART_ARC
(6,1),0.295244 # DEPENDENCYPART_ARC
(6,2),0.397853 # DEPENDENCYPART_ARC
(6,3),-0.21471 # DEPENDENCYPART_ARC
(6,4),0.0556975 # DEPENDENCYPART_ARC
(6,5),1.16394 # DEPENDENCYPART_ARC
(6,7),-1.13869 # DEPENDENCYPART_ARC
(6,8),0.777864 # DEPENDENCYPART_ARC
(6,10),-0.426738 # DEPENDENCYPART_ARC
(6,11),-0.287851 # DEPENDENCYPART_ARC
(6,12),0.0565332 # DEPENDENCYPART_ARC
(6,13),0.269999 # DEPENDENCYPART_ARC
(6,14),-0.114526 # DEPENDENCYPART_ARC
(6,15),-2.32826 # DEPENDENCYPART_ARC
(6,16),1.73365 # DEPENDENCYPART_ARC
(7,1),-1.26437 # DEPENDENCYPART_ARC
(7,2),-2.32143 # DEPENDENCYPART_ARC
(7,3),-0.764789 # DEPENDENCYPART_ARC
(7,4),-0.357401 # DEPENDENCYPART_ARC
(7,5),-0.662396 # DEPENDENCYPART_ARC
(7,6),-0.804533 # DEPENDENCYPART_ARC
(7,8),-0.139859 # DEPENDENCYPART_ARC
(7,9),-2.11342 # DEPENDENCYPART_ARC
(7,10),-0.853247 # DEPENDENCYPART_ARC
(7,11),-1.0958 # DEPENDENCYPART_ARC
(7,12),-0.66359 # DEPENDENCYPART_ARC
(7,13),-0.953642 # DEPENDENCYPART_ARC
(7,14),-2.07502 # DEPENDENCYPART_ARC
(7,15),-2.40603 # DEPENDENCYPART_ARC
(7,16),0.0764112 # DEPENDENCYPART_ARC
(8,1),-0.134252 # DEPENDENCYPART_ARC
(8,2),-0.12974 # DEPENDENCYPART_ARC
(8,3),1.24558 # DEPENDENCYPART_ARC
(8,4),-0.437896 # DEPENDENCYPART_ARC
(8,5),0.984477 # DEPENDENCYPART_ARC
(8,6),0.0101824 # DEPENDENCYPART_ARC
(8,7),4.58741 # DEPENDENCYPART_ARC
(8,9),1.96625 # DEPENDENCYPART_ARC
(8,10),1.25898 # DEPENDENCYPART_ARC
(8,11),1.16657 # DEPENDENCYPART_ARC
(8,12),0.991367 # DEPENDENCYPART_ARC
(8,13),1.0136 # DEPENDENCYPART_ARC
(8,14),1.07674 # DEPENDENCYPART_ARC
(8,15),1.06073 # DEPENDENCYPART_ARC
(8,16),1.31326 # DEPENDENCYPART_ARC
(9,2),-1.64821 # DEPENDENCYPART_ARC
(9,5),-0.801443 # DEPENDENCYPART_ARC
(9,7),-1.72334 # DEPENDENCYPART_ARC
(9,10),-0.559574 # DEPENDENCYPART_ARC
(9,12),-0.232434 # DEPENDENCYPART_ARC
(9,15),-1.43902 # DEPENDENCYPART_ARC
(9,16),-0.480885 # DEPENDENCYPART_ARC
(10,1),-1.56896 # DEPENDENCYPART_ARC
(10,2),-1.70375 # DEPENDENCYPART_ARC
(10,3),-1.58937 # DEPENDENCYPART_ARC
(10,4),-1.27009 # DEPENDENCYPART_ARC
(10,5),-1.14189 # DEPENDENCYPART_ARC
(10,6),-0.856993 # DEPENDENCYPART_ARC
(10,7),-0.817837 # DEPENDENCYPART_ARC
(10,8),-0.765855 # DEPENDENCYPART_ARC
(10,11),-0.186056 # DEPENDENCYPART_ARC
(10,12),-0.360674 # DEPENDENCYPART_ARC
(10,13),-0.411685 # DEPENDENCYPART_ARC
(10,14),-0.343493 # DEPENDENCYPART_ARC
(10,15),-0.979896 # DEPENDENCYPART_ARC
(10,16),-0.175464 # DEPENDENCYPART_ARC
(11,1),-1.59984 # DEPENDENCYPART_ARC
(11,2),-2.4953 # DEPENDENCYPART_ARC
(11,3),-0.912173 # DEPENDENCYPART_ARC
(11,4),-0.864508 # DEPENDENCYPART_ARC
(11,5),-0.107968 # DEPENDENCYPART_ARC
(11,6),-0.324027 # DEPENDENCYPART_ARC
(11,7),-1.09839 # DEPENDENCYPART_ARC
(11,8),-0.123809 # DEPENDENCYPART_ARC
(11,9),0.952251 # DEPENDENCYPART_ARC
(11,10),1.1044 # DEPENDENCYPART_ARC
(11,12),-0.0041519 # DEPENDENCYPART_ARC
(11,13),-0.674334 # DEPENDENCYPART_ARC
(11,14),-0.428639 # DEPENDENCYPART_ARC
(11,15),-1.57151 # DEPENDENCYPART_ARC
(11,16),-0.123466 # DEPENDENCYPART_ARC
(13,1),-0.31946 # DEPENDENCYPART_ARC
(13,2),-0.465855 # DEPENDENCYPART_ARC
(13,3),-0.679224 # DEPENDENCYPART_ARC
(13,4),-0.675322 # DEPENDENCYPART_ARC
(13,5),0.388077 # DEPENDENCYPART_ARC
(13,6),0.112944 # DEPENDENCYPART_ARC
(13,7),-0.626179 # DEPENDENCYPART_ARC
(13,8),-0.198175 # DEPENDENCYPART_ARC
(13,10),1.42022 # DEPENDENCYPART_ARC
(13,11),1.02053 # DEPENDENCYPART_ARC
(13,12),0.91062 # DEPENDENCYPART_ARC
(13,14),1.03705 # DEPENDENCYPART_ARC
(13,15),-0.435518 # DEPENDENCYPART_ARC
(13,16),1.774 # DEPENDENCYPART_ARC
(14,1),-3.74562 # DEPENDENCYPART_ARC
(14,2),-3.69403 # DEPENDENCYPART_ARC
(14,3),-2.05759 # DEPENDENCYPART_ARC
(14,4),-1.85919 # DEPENDENCYPART_ARC
(14,5),-1.08788 # DEPENDENCYPART_ARC
(14,6),-1.11172 # DEPENDENCYPART_ARC
(14,7),-0.338742 # DEPENDENCYPART_ARC
(14,8),-1.60494 # DEPENDENCYPART_ARC
(14,9),-1.15178 # DEPENDENCYPART_ARC
(14,10),0.0322325 # DEPENDENCYPART_ARC
(14,11),-1.29736 # DEPENDENCYPART_ARC
(14,12),-0.320052 # DEPENDENCYPART_ARC
(14,13),-0.379024 # DEPENDENCYPART_ARC
(14,15),3.35511 # DEPENDENCYPART_ARC
(14,16),0.478924 # DEPENDENCYPART_ARC
(15,1),-1.37459 # DEPENDENCYPART_ARC
(15,2),-3.32819 # DEPENDENCYPART_ARC
(15,3),-1.50765 # DEPENDENCYPART_ARC
(15,4),-0.809467 # DEPENDENCYPART_ARC
(15,5),-1.53981 # DEPENDENCYPART_ARC
(15,6),-1.4701 # DEPENDENCYPART_ARC
(15,7),-3.9382 # DEPENDENCYPART_ARC
(15,8),-0.334267 # DEPENDENCYPART_ARC
(15,9),-1.51968 # DEPENDENCYPART_ARC
(15,10),-1.04698 # DEPENDENCYPART_ARC
(15,11),-0.407833 # DEPENDENCYPART_ARC
(15,12),-0.0193213 # DEPENDENCYPART_ARC
(15,13),-0.119218 # DEPENDENCYPART_ARC
(15,14),0.495628 # DEPENDENCYPART_ARC
(15,16),0.00463342 # DEPENDENCYPART_ARC
