# _root_ Non pago degli insulti , il corazziere avrebbe aggiunto anche la minaccia di un attentato , parlando di una bomba pronta a far saltare in aria il capo dello Stato .
#goldHeads=2,7,2,3,4,7,9,9,0,12,12,9,12,15,13,15,9,17,20,18,20,21,22,23,24,25,28,24,28,29,30,
#predictedHeads=2,7,2,3,4,7,9,9,0,12,12,9,12,15,13,15,9,17,20,18,20,17,22,23,24,25,28,24,28,29,30,
(0,1),-0.818379 # DEPENDENCYPART_ARC
(0,2),-0.433687 # DEPENDENCYPART_ARC
(0,3),-0.879925 # DEPENDENCYPART_ARC
(0,4),-0.123218 # DEPENDENCYPART_ARC
(0,5),-0.838404 # DEPENDENCYPART_ARC
(0,6),-1.13968 # DEPENDENCYPART_ARC
(0,7),-0.281457 # DEPENDENCYPART_ARC
(0,8),1.1753 # DEPENDENCYPART_ARC
(0,9),1.20527 # DEPENDENCYPART_ARC
(0,10),-1.01233 # DEPENDENCYPART_ARC
(0,11),-1.68247 # DEPENDENCYPART_ARC
(0,12),-0.59379 # DEPENDENCYPART_ARC
(0,13),-2.44311 # DEPENDENCYPART_ARC
(0,14),-1.57575 # DEPENDENCYPART_ARC
(0,15),-0.606867 # DEPENDENCYPART_ARC
(0,16),-1.01024 # DEPENDENCYPART_ARC
(0,17),-0.533667 # DEPENDENCYPART_ARC
(0,18),-2.72853 # DEPENDENCYPART_ARC
(0,19),-1.47174 # DEPENDENCYPART_ARC
(0,20),-0.984325 # DEPENDENCYPART_ARC
(0,21),-1.10316 # DEPENDENCYPART_ARC
(0,22),-3.07503 # DEPENDENCYPART_ARC
(0,23),-0.729416 # DEPENDENCYPART_ARC
(0,24),-0.931963 # DEPENDENCYPART_ARC
(0,25),-3.59989 # DEPENDENCYPART_ARC
(0,26),-1.12185 # DEPENDENCYPART_ARC
(0,27),-2.13997 # DEPENDENCYPART_ARC
(0,28),-1.05876 # DEPENDENCYPART_ARC
(0,29),-3.16167 # DEPENDENCYPART_ARC
(0,30),-1.95859 # DEPENDENCYPART_ARC
(0,31),-2.40461 # DEPENDENCYPART_ARC
(1,2),-0.0928297 # DEPENDENCYPART_ARC
(1,3),-1.08804 # DEPENDENCYPART_ARC
(1,4),-0.97878 # DEPENDENCYPART_ARC
(1,5),-0.791799 # DEPENDENCYPART_ARC
(1,6),-1.2608 # DEPENDENCYPART_ARC
(1,7),-1.74371 # DEPENDENCYPART_ARC
(1,8),-1.37464 # DEPENDENCYPART_ARC
(1,9),-1.58106 # DEPENDENCYPART_ARC
(1,10),-1.67142 # DEPENDENCYPART_ARC
(1,11),-1.68436 # DEPENDENCYPART_ARC
(1,12),-2.52238 # DEPENDENCYPART_ARC
(1,13),-2.24474 # DEPENDENCYPART_ARC
(1,14),-1.83982 # DEPENDENCYPART_ARC
(1,15),-2.60928 # DEPENDENCYPART_ARC
(1,16),-2.13055 # DEPENDENCYPART_ARC
(1,17),-2.31529 # DEPENDENCYPART_ARC
(1,18),-2.48751 # DEPENDENCYPART_ARC
(1,19),-2.02105 # DEPENDENCYPART_ARC
(1,20),-3.12491 # DEPENDENCYPART_ARC
(1,21),-2.59141 # DEPENDENCYPART_ARC
(1,22),-2.73985 # DEPENDENCYPART_ARC
(1,23),-2.51431 # DEPENDENCYPART_ARC
(1,24),-2.52566 # DEPENDENCYPART_ARC
(1,25),-2.73023 # DEPENDENCYPART_ARC
(1,26),-3.11376 # DEPENDENCYPART_ARC
(1,27),-1.89327 # DEPENDENCYPART_ARC
(1,28),-3.41347 # DEPENDENCYPART_ARC
(1,29),-2.86277 # DEPENDENCYPART_ARC
(1,30),-3.36011 # DEPENDENCYPART_ARC
(1,31),-3.78556 # DEPENDENCYPART_ARC
(2,1),2.17759 # DEPENDENCYPART_ARC
(2,3),2.43887 # DEPENDENCYPART_ARC
(2,4),1.24284 # DEPENDENCYPART_ARC
(2,5),0.854513 # DEPENDENCYPART_ARC
(2,6),0.157217 # DEPENDENCYPART_ARC
(2,7),0.630919 # DEPENDENCYPART_ARC
(2,8),-0.634991 # DEPENDENCYPART_ARC
(2,9),0.189666 # DEPENDENCYPART_ARC
(2,10),0.306908 # DEPENDENCYPART_ARC
(2,11),-0.49322 # DEPENDENCYPART_ARC
(2,12),-0.448296 # DEPENDENCYPART_ARC
(2,13),-0.0363208 # DEPENDENCYPART_ARC
(2,14),-0.422605 # DEPENDENCYPART_ARC
(2,15),-0.19505 # DEPENDENCYPART_ARC
(2,16),-0.505214 # DEPENDENCYPART_ARC
(2,17),-0.898171 # DEPENDENCYPART_ARC
(2,18),-0.372026 # DEPENDENCYPART_ARC
(2,19),-0.700015 # DEPENDENCYPART_ARC
(2,20),-0.710674 # DEPENDENCYPART_ARC
(2,21),-0.609252 # DEPENDENCYPART_ARC
(2,22),-0.268434 # DEPENDENCYPART_ARC
(2,23),-1.95163 # DEPENDENCYPART_ARC
(2,24),-2.14404 # DEPENDENCYPART_ARC
(2,25),-0.970454 # DEPENDENCYPART_ARC
(2,26),-1.10937 # DEPENDENCYPART_ARC
(2,27),-0.923361 # DEPENDENCYPART_ARC
(2,28),-0.8965 # DEPENDENCYPART_ARC
(2,29),-1.09835 # DEPENDENCYPART_ARC
(2,30),-0.932077 # DEPENDENCYPART_ARC
(2,31),-2.31885 # DEPENDENCYPART_ARC
(3,1),0.300206 # DEPENDENCYPART_ARC
(3,2),-0.372201 # DEPENDENCYPART_ARC
(3,4),4.54975 # DEPENDENCYPART_ARC
(3,5),0.434716 # DEPENDENCYPART_ARC
(3,6),-1.1542 # DEPENDENCYPART_ARC
(3,7),-0.863954 # DEPENDENCYPART_ARC
(3,8),-1.53743 # DEPENDENCYPART_ARC
(3,9),-1.28862 # DEPENDENCYPART_ARC
(3,10),-1.18671 # DEPENDENCYPART_ARC
(3,11),-1.94557 # DEPENDENCYPART_ARC
(3,12),-4.3524 # DEPENDENCYPART_ARC
(3,13),-1.64851 # DEPENDENCYPART_ARC
(3,14),-2.11646 # DEPENDENCYPART_ARC
(3,15),-4.94063 # DEPENDENCYPART_ARC
(3,16),-0.896714 # DEPENDENCYPART_ARC
(3,17),-2.4544 # DEPENDENCYPART_ARC
(3,18),-2.23312 # DEPENDENCYPART_ARC
(3,19),-2.48379 # DEPENDENCYPART_ARC
(3,20),-7.4541 # DEPENDENCYPART_ARC
(3,21),-2.84702 # DEPENDENCYPART_ARC
(3,22),-2.00176 # DEPENDENCYPART_ARC
(3,23),-2.58185 # DEPENDENCYPART_ARC
(3,24),-3.02545 # DEPENDENCYPART_ARC
(3,25),-2.76056 # DEPENDENCYPART_ARC
(3,26),-8.38527 # DEPENDENCYPART_ARC
(3,27),-2.57642 # DEPENDENCYPART_ARC
(3,28),-9.89079 # DEPENDENCYPART_ARC
(3,29),-2.78762 # DEPENDENCYPART_ARC
(3,30),-9.90482 # DEPENDENCYPART_ARC
(3,31),-2.80982 # DEPENDENCYPART_ARC
(4,1),-0.275641 # DEPENDENCYPART_ARC
(4,2),-0.391605 # DEPENDENCYPART_ARC
(4,3),1.07531 # DEPENDENCYPART_ARC
(4,5),2.27075 # DEPENDENCYPART_ARC
(4,6),-0.294214 # DEPENDENCYPART_ARC
(4,7),0.0462791 # DEPENDENCYPART_ARC
(4,8),-0.751553 # DEPENDENCYPART_ARC
(4,9),-0.701483 # DEPENDENCYPART_ARC
(4,10),-0.629492 # DEPENDENCYPART_ARC
(4,11),-0.84453 # DEPENDENCYPART_ARC
(4,12),-1.07872 # DEPENDENCYPART_ARC
(4,13),-0.268989 # DEPENDENCYPART_ARC
(4,14),-1.00686 # DEPENDENCYPART_ARC
(4,15),-1.09647 # DEPENDENCYPART_ARC
(4,16),0.294917 # DEPENDENCYPART_ARC
(4,17),-2.65205 # DEPENDENCYPART_ARC
(4,18),-1.11287 # DEPENDENCYPART_ARC
(4,19),-1.3318 # DEPENDENCYPART_ARC
(4,20),-1.63428 # DEPENDENCYPART_ARC
(4,21),-2.91637 # DEPENDENCYPART_ARC
(4,22),-1.62704 # DEPENDENCYPART_ARC
(4,23),-2.6346 # DEPENDENCYPART_ARC
(4,24),-3.05729 # DEPENDENCYPART_ARC
(4,25),-1.96412 # DEPENDENCYPART_ARC
(4,26),-2.49172 # DEPENDENCYPART_ARC
(4,27),-1.83142 # DEPENDENCYPART_ARC
(4,28),-2.96777 # DEPENDENCYPART_ARC
(4,29),-2.11141 # DEPENDENCYPART_ARC
(4,30),-2.75295 # DEPENDENCYPART_ARC
(4,31),-4.22171 # DEPENDENCYPART_ARC
(5,1),-1.9612 # DEPENDENCYPART_ARC
(5,2),-1.85033 # DEPENDENCYPART_ARC
(5,3),-1.14122 # DEPENDENCYPART_ARC
(5,4),-0.862648 # DEPENDENCYPART_ARC
(5,6),-0.824199 # DEPENDENCYPART_ARC
(5,7),-1.36373 # DEPENDENCYPART_ARC
(5,8),-1.50215 # DEPENDENCYPART_ARC
(5,9),-1.8584 # DEPENDENCYPART_ARC
(5,10),-2.19302 # DEPENDENCYPART_ARC
(5,11),-2.27339 # DEPENDENCYPART_ARC
(5,12),-2.51641 # DEPENDENCYPART_ARC
(5,13),-2.48109 # DEPENDENCYPART_ARC
(5,14),-2.40808 # DEPENDENCYPART_ARC
(5,15),-2.57239 # DEPENDENCYPART_ARC
(5,16),-1.34094 # DEPENDENCYPART_ARC
(5,17),-2.43452 # DEPENDENCYPART_ARC
(5,18),-2.73858 # DEPENDENCYPART_ARC
(5,19),-2.52082 # DEPENDENCYPART_ARC
(5,20),-2.8339 # DEPENDENCYPART_ARC
(5,21),-2.83941 # DEPENDENCYPART_ARC
(5,22),-2.78009 # DEPENDENCYPART_ARC
(5,23),-2.57476 # DEPENDENCYPART_ARC
(5,24),-2.65692 # DEPENDENCYPART_ARC
(5,25),-2.96506 # DEPENDENCYPART_ARC
(5,26),-3.02319 # DEPENDENCYPART_ARC
(5,27),-2.85596 # DEPENDENCYPART_ARC
(5,28),-3.03003 # DEPENDENCYPART_ARC
(5,29),-3.19786 # DEPENDENCYPART_ARC
(5,30),-3.12727 # DEPENDENCYPART_ARC
(5,31),-2.38801 # DEPENDENCYPART_ARC
(6,1),-1.84437 # DEPENDENCYPART_ARC
(6,2),-1.77404 # DEPENDENCYPART_ARC
(6,3),-1.64909 # DEPENDENCYPART_ARC
(6,4),-1.63954 # DEPENDENCYPART_ARC
(6,5),0.327436 # DEPENDENCYPART_ARC
