# _root_ Se il fulmine li avesse colpiti qualche minuto prima , quando erano ancora in vetta e ancora legati tra loro , forse si sarebbero salvati riportando magari soltanto delle ustioni .
#goldHeads=25,3,6,6,6,1,8,6,8,9,6,11,14,12,14,14,18,14,18,19,20,25,25,25,0,25,26,29,26,29,30,
#predictedHeads=6,3,6,6,6,0,8,6,8,9,6,11,12,12,14,14,18,6,18,19,20,25,24,25,6,25,26,26,26,29,30,
(0,1),-1.11485 # DEPENDENCYPART_ARC
(0,3),-0.708418 # DEPENDENCYPART_ARC
(0,4),-1.44017 # DEPENDENCYPART_ARC
(0,5),-0.952701 # DEPENDENCYPART_ARC
(0,6),0.214094 # DEPENDENCYPART_ARC
(0,8),-1.60183 # DEPENDENCYPART_ARC
(0,9),-0.886691 # DEPENDENCYPART_ARC
(0,10),-1.03661 # DEPENDENCYPART_ARC
(0,11),-1.46998 # DEPENDENCYPART_ARC
(0,12),-1.23379 # DEPENDENCYPART_ARC
(0,13),-1.69784 # DEPENDENCYPART_ARC
(0,14),-2.7324 # DEPENDENCYPART_ARC
(0,15),-1.95046 # DEPENDENCYPART_ARC
(0,16),-1.56824 # DEPENDENCYPART_ARC
(0,17),-1.52917 # DEPENDENCYPART_ARC
(0,18),-1.53251 # DEPENDENCYPART_ARC
(0,19),-3.16721 # DEPENDENCYPART_ARC
(0,20),-2.31132 # DEPENDENCYPART_ARC
(0,21),-1.56642 # DEPENDENCYPART_ARC
(0,22),-2.03065 # DEPENDENCYPART_ARC
(0,23),-2.34814 # DEPENDENCYPART_ARC
(0,24),-0.955924 # DEPENDENCYPART_ARC
(0,25),-1.82077 # DEPENDENCYPART_ARC
(0,26),-1.76181 # DEPENDENCYPART_ARC
(0,27),-2.31623 # DEPENDENCYPART_ARC
(0,28),-2.45414 # DEPENDENCYPART_ARC
(0,29),-3.22706 # DEPENDENCYPART_ARC
(0,30),-2.69228 # DEPENDENCYPART_ARC
(0,31),-2.41997 # DEPENDENCYPART_ARC
(1,3),0.333111 # DEPENDENCYPART_ARC
(1,4),-0.110569 # DEPENDENCYPART_ARC
(1,5),2.26014 # DEPENDENCYPART_ARC
(1,6),1.85028 # DEPENDENCYPART_ARC
(1,8),-0.779945 # DEPENDENCYPART_ARC
(1,9),-0.978096 # DEPENDENCYPART_ARC
(1,10),0.370466 # DEPENDENCYPART_ARC
(1,11),0.159255 # DEPENDENCYPART_ARC
(1,12),-0.292042 # DEPENDENCYPART_ARC
(1,13),-0.939743 # DEPENDENCYPART_ARC
(1,14),-0.862034 # DEPENDENCYPART_ARC
(1,15),-0.885174 # DEPENDENCYPART_ARC
(1,16),0.126164 # DEPENDENCYPART_ARC
(1,17),-1.13462 # DEPENDENCYPART_ARC
(1,18),-1.03237 # DEPENDENCYPART_ARC
(1,19),-0.684158 # DEPENDENCYPART_ARC
(1,20),-1.15245 # DEPENDENCYPART_ARC
(1,21),-0.540387 # DEPENDENCYPART_ARC
(1,22),-1.2589 # DEPENDENCYPART_ARC
(1,23),-1.25478 # DEPENDENCYPART_ARC
(1,24),-1.95912 # DEPENDENCYPART_ARC
(1,25),-2.39762 # DEPENDENCYPART_ARC
(1,26),-2.56615 # DEPENDENCYPART_ARC
(1,27),-1.28737 # DEPENDENCYPART_ARC
(1,28),-1.22968 # DEPENDENCYPART_ARC
(1,29),-1.02671 # DEPENDENCYPART_ARC
(1,30),-1.29087 # DEPENDENCYPART_ARC
(1,31),-1.56492 # DEPENDENCYPART_ARC
(2,3),0.978516 # DEPENDENCYPART_ARC
(2,5),-1.02868 # DEPENDENCYPART_ARC
(2,6),-1.51368 # DEPENDENCYPART_ARC
(2,8),-1.11672 # DEPENDENCYPART_ARC
