# _root_ A casa c' è soltanto la madre , che conferma : " Sì , Gabriella ieri sera è uscita con il suo ragazzo .
#goldHeads=4,1,4,0,7,7,4,7,10,7,10,13,19,13,19,19,16,19,10,19,23,23,20,23,
#predictedHeads=4,1,4,0,4,7,4,7,10,7,10,13,19,13,19,19,19,19,7,19,23,23,20,23,
(0,1),-0.52084 # DEPENDENCYPART_ARC
(0,2),-0.310737 # DEPENDENCYPART_ARC
(0,3),-0.799081 # DEPENDENCYPART_ARC
(0,4),1.44772 # DEPENDENCYPART_ARC
(0,5),-1.29328 # DEPENDENCYPART_ARC
(0,6),-1.36683 # DEPENDENCYPART_ARC
(0,7),-0.139919 # DEPENDENCYPART_ARC
(0,8),-0.571165 # DEPENDENCYPART_ARC
(0,9),-1.01079 # DEPENDENCYPART_ARC
(0,10),0.740544 # DEPENDENCYPART_ARC
(0,11),-0.919466 # DEPENDENCYPART_ARC
(0,12),-1.21892 # DEPENDENCYPART_ARC
(0,13),-0.618182 # DEPENDENCYPART_ARC
(0,14),-0.790054 # DEPENDENCYPART_ARC
(0,15),0.0601174 # DEPENDENCYPART_ARC
(0,16),-1.14115 # DEPENDENCYPART_ARC
(0,17),-0.668131 # DEPENDENCYPART_ARC
(0,18),0.280951 # DEPENDENCYPART_ARC
(0,19),0.258309 # DEPENDENCYPART_ARC
(0,20),-2.95048 # DEPENDENCYPART_ARC
(0,21),-1.81495 # DEPENDENCYPART_ARC
(0,22),-1.3405 # DEPENDENCYPART_ARC
(0,23),-1.05009 # DEPENDENCYPART_ARC
(0,24),-1.80063 # DEPENDENCYPART_ARC
(1,2),3.68067 # DEPENDENCYPART_ARC
(1,3),-0.145097 # DEPENDENCYPART_ARC
(1,4),-0.127612 # DEPENDENCYPART_ARC
(1,5),-0.975849 # DEPENDENCYPART_ARC
(1,6),-1.06877 # DEPENDENCYPART_ARC
(1,7),-1.95755 # DEPENDENCYPART_ARC
(1,8),-0.563557 # DEPENDENCYPART_ARC
(1,9),-1.81582 # DEPENDENCYPART_ARC
(1,10),-1.38205 # DEPENDENCYPART_ARC
(1,11),-1.33627 # DEPENDENCYPART_ARC
(1,12),-1.82848 # DEPENDENCYPART_ARC
(1,13),-1.81024 # DEPENDENCYPART_ARC
(1,14),-0.702028 # DEPENDENCYPART_ARC
(1,15),-4.67774 # DEPENDENCYPART_ARC
(1,16),-2.03281 # DEPENDENCYPART_ARC
(1,17),-6.10563 # DEPENDENCYPART_ARC
(1,18),-3.99108 # DEPENDENCYPART_ARC
(1,19),-3.3319 # DEPENDENCYPART_ARC
(1,20),-3.60758 # DEPENDENCYPART_ARC
(1,21),-1.93318 # DEPENDENCYPART_ARC
(1,22),-2.07009 # DEPENDENCYPART_ARC
(1,23),-8.05568 # DEPENDENCYPART_ARC
(1,24),-2.54734 # DEPENDENCYPART_ARC
(2,1),0.254982 # DEPENDENCYPART_ARC
(2,3),0.6313 # DEPENDENCYPART_ARC
(2,4),0.492869 # DEPENDENCYPART_ARC
(2,5),-0.40033 # DEPENDENCYPART_ARC
(2,6),-0.35892 # DEPENDENCYPART_ARC
(2,7),-0.363427 # DEPENDENCYPART_ARC
(2,8),0.486213 # DEPENDENCYPART_ARC
(2,9),-1.79086 # DEPENDENCYPART_ARC
(2,10),-0.400431 # DEPENDENCYPART_ARC
(2,11),-0.878823 # DEPENDENCYPART_ARC
(2,12),-1.51387 # DEPENDENCYPART_ARC
(2,13),-0.557761 # DEPENDENCYPART_ARC
(2,14),0.129691 # DEPENDENCYPART_ARC
(2,15),-0.60639 # DEPENDENCYPART_ARC
(2,16),-1.04763 # DEPENDENCYPART_ARC
(2,17),-0.725408 # DEPENDENCYPART_ARC
(2,18),-0.887452 # DEPENDENCYPART_ARC
(2,19),-0.43618 # DEPENDENCYPART_ARC
(2,20),-0.710673 # DEPENDENCYPART_ARC
(2,21),-1.6011 # DEPENDENCYPART_ARC
(2,22),-2.20221 # DEPENDENCYPART_ARC
(2,23),-1.23405 # DEPENDENCYPART_ARC
(2,24),-2.90169 # DEPENDENCYPART_ARC
(3,1),-0.44772 # DEPENDENCYPART_ARC
(3,2),-0.460809 # DEPENDENCYPART_ARC
(3,4),-0.122852 # DEPENDENCYPART_ARC
(3,5),-0.971195 # DEPENDENCYPART_ARC
(3,6),-1.16574 # DEPENDENCYPART_ARC
(3,7),-1.55408 # DEPENDENCYPART_ARC
(3,8),-1.17082 # DEPENDENCYPART_ARC
(3,9),-1.79684 # DEPENDENCYPART_ARC
(3,10),-1.48855 # DEPENDENCYPART_ARC
(3,11),-1.63768 # DEPENDENCYPART_ARC
(3,12),-2.20147 # DEPENDENCYPART_ARC
(3,13),-1.8528 # DEPENDENCYPART_ARC
(3,14),-1.63785 # DEPENDENCYPART_ARC
(3,15),-2.68897 # DEPENDENCYPART_ARC
(3,16),-1.9924 # DEPENDENCYPART_ARC
(3,17),-2.67434 # DEPENDENCYPART_ARC
(3,18),-2.42848 # DEPENDENCYPART_ARC
(3,19),-2.34078 # DEPENDENCYPART_ARC
(3,20),-2.66414 # DEPENDENCYPART_ARC
(3,21),-1.75532 # DEPENDENCYPART_ARC
(3,22),-2.40458 # DEPENDENCYPART_ARC
(3,23),-3.06532 # DEPENDENCYPART_ARC
