# _root_ La caccia , però , risulta molto problematica .
#goldHeads=2,6,2,6,4,0,8,6,8,
#predictedHeads=2,6,2,6,4,0,8,6,8,
(0,1),-0.57012 # DEPENDENCYPART_ARC
(0,2),-0.19078 # DEPENDENCYPART_ARC
(0,3),-0.445105 # DEPENDENCYPART_ARC
(0,4),-0.794517 # DEPENDENCYPART_ARC
(0,5),-0.6311 # DEPENDENCYPART_ARC
(0,6),1.84713 # DEPENDENCYPART_ARC
(0,7),-0.849558 # DEPENDENCYPART_ARC
(0,8),-0.763534 # DEPENDENCYPART_ARC
(0,9),-0.90281 # DEPENDENCYPART_ARC
(1,2),0.890757 # DEPENDENCYPART_ARC
(1,3),-0.19461 # DEPENDENCYPART_ARC
(1,4),-0.393202 # DEPENDENCYPART_ARC
(1,5),-0.456151 # DEPENDENCYPART_ARC
(1,6),-0.421888 # DEPENDENCYPART_ARC
(1,7),-1.30363 # DEPENDENCYPART_ARC
(1,8),-1.70788 # DEPENDENCYPART_ARC
(1,9),-0.810145 # DEPENDENCYPART_ARC
(2,1),3.59671 # DEPENDENCYPART_ARC
(2,3),1.91311 # DEPENDENCYPART_ARC
(2,4),0.368178 # DEPENDENCYPART_ARC
(2,5),0.527063 # DEPENDENCYPART_ARC
(2,6),-0.159714 # DEPENDENCYPART_ARC
(2,7),-0.527004 # DEPENDENCYPART_ARC
(2,8),0.521014 # DEPENDENCYPART_ARC
(2,9),-0.447206 # DEPENDENCYPART_ARC
(3,1),-0.843849 # DEPENDENCYPART_ARC
(3,2),-0.859649 # DEPENDENCYPART_ARC
(3,4),-1.3484 # DEPENDENCYPART_ARC
(3,5),-0.676722 # DEPENDENCYPART_ARC
(3,6),-1.83126 # DEPENDENCYPART_ARC
(3,7),-2.55663 # DEPENDENCYPART_ARC
(3,8),-2.56409 # DEPENDENCYPART_ARC
(3,9),-1.44677 # DEPENDENCYPART_ARC
(4,1),-0.887913 # DEPENDENCYPART_ARC
(4,2),-1.2519 # DEPENDENCYPART_ARC
(4,3),0.041763 # DEPENDENCYPART_ARC
(4,5),1.84362 # DEPENDENCYPART_ARC
(4,6),0.546342 # DEPENDENCYPART_ARC
(4,7),-1.06189 # DEPENDENCYPART_ARC
(4,8),-0.652396 # DEPENDENCYPART_ARC
(4,9),-0.43997 # DEPENDENCYPART_ARC
(5,1),-1.7435 # DEPENDENCYPART_ARC
(5,2),-1.98134 # DEPENDENCYPART_ARC
(5,3),-1.28772 # DEPENDENCYPART_ARC
(5,4),-0.615171 # DEPENDENCYPART_ARC
(5,6),-0.572037 # DEPENDENCYPART_ARC
(5,7),-1.83164 # DEPENDENCYPART_ARC
(5,8),-1.95573 # DEPENDENCYPART_ARC
(5,9),-1.11209 # DEPENDENCYPART_ARC
(6,1),-0.512549 # DEPENDENCYPART_ARC
(6,2),0.708306 # DEPENDENCYPART_ARC
(6,3),-1.07817 # DEPENDENCYPART_ARC
(6,4),1.50171 # DEPENDENCYPART_ARC
(6,5),0.523269 # DEPENDENCYPART_ARC
(6,7),1.73838 # DEPENDENCYPART_ARC
(6,8),2.77235 # DEPENDENCYPART_ARC
(6,9),0.450457 # DEPENDENCYPART_ARC
(7,1),-1.29433 # DEPENDENCYPART_ARC
(7,2),-2.15955 # DEPENDENCYPART_ARC
(7,3),-1.64192 # DEPENDENCYPART_ARC
(7,4),-0.894005 # DEPENDENCYPART_ARC
(7,5),-0.892811 # DEPENDENCYPART_ARC
(7,6),-0.471561 # DEPENDENCYPART_ARC
(7,8),0.460308 # DEPENDENCYPART_ARC
(7,9),0.0716232 # DEPENDENCYPART_ARC
(8,1),-0.758699 # DEPENDENCYPART_ARC
(8,2),-1.36755 # DEPENDENCYPART_ARC
(8,3),-1.29007 # DEPENDENCYPART_ARC
(8,4),-0.388382 # DEPENDENCYPART_ARC
(8,5),-0.721342 # DEPENDENCYPART_ARC
(8,6),-0.323119 # DEPENDENCYPART_ARC
(8,7),2.71287 # DEPENDENCYPART_ARC
(8,9),2.53109 # DEPENDENCYPART_ARC
(9,1),-1.94319 # DEPENDENCYPART_ARC
(9,2),-2.34396 # DEPENDENCYPART_ARC
(9,3),-1.98834 # DEPENDENCYPART_ARC
(9,4),-1.8763 # DEPENDENCYPART_ARC
(9,5),-1.81314 # DEPENDENCYPART_ARC
(9,6),-2.02987 # DEPENDENCYPART_ARC
(9,7),-1.16332 # DEPENDENCYPART_ARC
(9,8),-0.425365 # DEPENDENCYPART_ARC
