# _root_ " Certo , anche_se per loro è più semplice : gli Stati_Uniti sono un paese enorme , uno può andare dove vuole .
#goldHeads=2,7,2,7,7,5,0,9,7,9,12,13,0,15,13,15,13,20,20,13,20,21,22,
#predictedHeads=2,7,2,13,7,5,4,9,7,9,12,13,0,15,13,15,16,20,20,22,22,13,22,
(0,1),-0.480655 # DEPENDENCYPART_ARC
(0,2),-1.33678 # DEPENDENCYPART_ARC
(0,3),-0.693686 # DEPENDENCYPART_ARC
(0,4),-1.59941 # DEPENDENCYPART_ARC
(0,5),-1.13334 # DEPENDENCYPART_ARC
(0,6),-1.43171 # DEPENDENCYPART_ARC
(0,7),0.37244 # DEPENDENCYPART_ARC
(0,8),-1.87068 # DEPENDENCYPART_ARC
(0,9),-1.53979 # DEPENDENCYPART_ARC
(0,10),-1.043 # DEPENDENCYPART_ARC
(0,12),-1.08793 # DEPENDENCYPART_ARC
(0,13),0.412877 # DEPENDENCYPART_ARC
(0,15),-1.37542 # DEPENDENCYPART_ARC
(0,16),-1.66441 # DEPENDENCYPART_ARC
(0,17),-1.03241 # DEPENDENCYPART_ARC
(0,18),-1.97778 # DEPENDENCYPART_ARC
(0,19),-1.48889 # DEPENDENCYPART_ARC
(0,20),0.229407 # DEPENDENCYPART_ARC
(0,21),-2.05835 # DEPENDENCYPART_ARC
(0,22),-0.411574 # DEPENDENCYPART_ARC
(0,23),-1.81125 # DEPENDENCYPART_ARC
(1,3),0.627365 # DEPENDENCYPART_ARC
(1,10),-0.52574 # DEPENDENCYPART_ARC
(1,11),-0.969115 # DEPENDENCYPART_ARC
(1,14),-1.08569 # DEPENDENCYPART_ARC
(1,17),-1.01819 # DEPENDENCYPART_ARC
(1,23),-1.6193 # DEPENDENCYPART_ARC
(2,1),2.25398 # DEPENDENCYPART_ARC
(2,3),2.22509 # DEPENDENCYPART_ARC
(2,4),0.358804 # DEPENDENCYPART_ARC
(2,5),0.026841 # DEPENDENCYPART_ARC
(2,6),-0.279874 # DEPENDENCYPART_ARC
(2,7),0.00762799 # DEPENDENCYPART_ARC
(2,8),-0.416993 # DEPENDENCYPART_ARC
(2,9),-0.598269 # DEPENDENCYPART_ARC
(2,10),-0.163199 # DEPENDENCYPART_ARC
(2,11),-0.507919 # DEPENDENCYPART_ARC
(2,12),-1.07329 # DEPENDENCYPART_ARC
(2,13),-0.587929 # DEPENDENCYPART_ARC
(2,14),-0.609231 # DEPENDENCYPART_ARC
(2,15),-1.45337 # DEPENDENCYPART_ARC
(2,16),-0.815493 # DEPENDENCYPART_ARC
(2,17),-0.785108 # DEPENDENCYPART_ARC
(2,18),-1.12948 # DEPENDENCYPART_ARC
(2,19),-1.12648 # DEPENDENCYPART_ARC
(2,20),-1.24567 # DEPENDENCYPART_ARC
(2,21),-0.919149 # DEPENDENCYPART_ARC
(2,22),-1.20653 # DEPENDENCYPART_ARC
(2,23),-1.47711 # DEPENDENCYPART_ARC
(3,1),-0.827006 # DEPENDENCYPART_ARC
(3,10),-1.12252 # DEPENDENCYPART_ARC
(3,11),-1.56322 # DEPENDENCYPART_ARC
(3,14),-1.63911 # DEPENDENCYPART_ARC
(3,17),-1.5561 # DEPENDENCYPART_ARC
(3,23),-1.94079 # DEPENDENCYPART_ARC
(4,1),-0.833573 # DEPENDENCYPART_ARC
(4,2),-0.704949 # DEPENDENCYPART_ARC
(4,3),0.457637 # DEPENDENCYPART_ARC
(4,5),0.499644 # DEPENDENCYPART_ARC
(4,6),0.0307508 # DEPENDENCYPART_ARC
(4,7),2.47564 # DEPENDENCYPART_ARC
(4,8),-0.70976 # DEPENDENCYPART_ARC
