# _root_ Il film non era certo un granché , ma ricordo che insistetti con Guglielmi perché RaiTre lo producesse , cosa che poi non avvenne .
#goldHeads=2,4,4,0,4,7,4,4,4,4,10,11,12,13,12,18,18,15,18,18,24,24,24,20,24,
#predictedHeads=2,4,4,0,4,7,4,7,4,4,10,11,12,13,14,18,18,15,18,18,24,24,24,20,24,
(0,2),-0.361554 # DEPENDENCYPART_ARC
(0,3),-1.03747 # DEPENDENCYPART_ARC
(0,4),0.632833 # DEPENDENCYPART_ARC
(0,5),-1.11823 # DEPENDENCYPART_ARC
(0,7),-1.36524 # DEPENDENCYPART_ARC
(0,8),-0.627285 # DEPENDENCYPART_ARC
(0,9),-0.688333 # DEPENDENCYPART_ARC
(0,10),0.283082 # DEPENDENCYPART_ARC
(0,11),-0.995713 # DEPENDENCYPART_ARC
(0,12),-0.302985 # DEPENDENCYPART_ARC
(0,13),-2.4658 # DEPENDENCYPART_ARC
(0,14),-1.28601 # DEPENDENCYPART_ARC
(0,15),-1.83289 # DEPENDENCYPART_ARC
(0,16),-1.34384 # DEPENDENCYPART_ARC
(0,17),-1.8962 # DEPENDENCYPART_ARC
(0,18),-1.68823 # DEPENDENCYPART_ARC
(0,19),-1.03119 # DEPENDENCYPART_ARC
(0,20),-0.885705 # DEPENDENCYPART_ARC
(0,22),-1.80085 # DEPENDENCYPART_ARC
(0,23),-1.79569 # DEPENDENCYPART_ARC
(0,24),-0.692546 # DEPENDENCYPART_ARC
(0,25),-1.75135 # DEPENDENCYPART_ARC
(1,2),1.45886 # DEPENDENCYPART_ARC
(1,4),-0.918926 # DEPENDENCYPART_ARC
(1,8),-0.968713 # DEPENDENCYPART_ARC
(1,10),-1.61397 # DEPENDENCYPART_ARC
(1,12),-1.90468 # DEPENDENCYPART_ARC
(1,13),-1.60249 # DEPENDENCYPART_ARC
(1,18),-2.22172 # DEPENDENCYPART_ARC
(1,19),-1.46687 # DEPENDENCYPART_ARC
(1,20),-2.15395 # DEPENDENCYPART_ARC
(1,24),-2.01759 # DEPENDENCYPART_ARC
(1,25),-2.06794 # DEPENDENCYPART_ARC
(2,1),3.398 # DEPENDENCYPART_ARC
(2,3),0.692224 # DEPENDENCYPART_ARC
(2,4),0.705653 # DEPENDENCYPART_ARC
(2,5),-0.184624 # DEPENDENCYPART_ARC
(2,6),-0.132745 # DEPENDENCYPART_ARC
(2,7),-0.931596 # DEPENDENCYPART_ARC
(2,8),0.399603 # DEPENDENCYPART_ARC
(2,9),0.000448245 # DEPENDENCYPART_ARC
(2,10),-0.664405 # DEPENDENCYPART_ARC
(2,11),-0.728009 # DEPENDENCYPART_ARC
(2,12),-1.21341 # DEPENDENCYPART_ARC
(2,13),-0.313292 # DEPENDENCYPART_ARC
(2,14),-0.0333396 # DEPENDENCYPART_ARC
(2,15),-0.595347 # DEPENDENCYPART_ARC
(2,16),0.251696 # DEPENDENCYPART_ARC
(2,17),-0.380456 # DEPENDENCYPART_ARC
(2,18),-2.34224 # DEPENDENCYPART_ARC
(2,19),-0.730097 # DEPENDENCYPART_ARC
(2,20),-0.238102 # DEPENDENCYPART_ARC
(2,21),-2.29384 # DEPENDENCYPART_ARC
(2,22),-1.06309 # DEPENDENCYPART_ARC
(2,23),-1.42809 # DEPENDENCYPART_ARC
(2,24),-1.72872 # DEPENDENCYPART_ARC
(2,25),-2.90695 # DEPENDENCYPART_ARC
(3,1),-0.700373 # DEPENDENCYPART_ARC
(3,2),-1.14145 # DEPENDENCYPART_ARC
(3,4),-0.63485 # DEPENDENCYPART_ARC
(3,5),-1.64455 # DEPENDENCYPART_ARC
(3,6),-1.78337 # DEPENDENCYPART_ARC
(3,7),-2.04475 # DEPENDENCYPART_ARC
(3,8),-1.53134 # DEPENDENCYPART_ARC
(3,9),-1.71121 # DEPENDENCYPART_ARC
(3,10),-1.7402 # DEPENDENCYPART_ARC
(3,11),-1.72845 # DEPENDENCYPART_ARC
(3,12),-2.03809 # DEPENDENCYPART_ARC
(3,13),-2.58448 # DEPENDENCYPART_ARC
(3,14),-2.83978 # DEPENDENCYPART_ARC
(3,15),-2.22507 # DEPENDENCYPART_ARC
(3,16),-2.97783 # DEPENDENCYPART_ARC
(3,18),-2.48521 # DEPENDENCYPART_ARC
(3,19),-2.33592 # DEPENDENCYPART_ARC
(3,20),-3.15459 # DEPENDENCYPART_ARC
(3,22),-2.61113 # DEPENDENCYPART_ARC
(3,23),-2.66242 # DEPENDENCYPART_ARC
(3,24),-2.84329 # DEPENDENCYPART_ARC
(3,25),-3.31354 # DEPENDENCYPART_ARC
(4,1),-0.21201 # DEPENDENCYPART_ARC
(4,2),2.19061 # DEPENDENCYPART_ARC
(4,3),2.62804 # DEPENDENCYPART_ARC
(4,5),1.56158 # DEPENDENCYPART_ARC
(4,6),-0.694906 # DEPENDENCYPART_ARC
(4,7),0.491713 # DEPENDENCYPART_ARC
(4,8),1.21649 # DEPENDENCYPART_ARC
(4,9),1.32767 # DEPENDENCYPART_ARC
(4,10),2.00784 # DEPENDENCYPART_ARC
(4,11),0.497737 # DEPENDENCYPART_ARC
(4,12),2.10464 # DEPENDENCYPART_ARC
(4,13),-0.0525759 # DEPENDENCYPART_ARC
(4,14),-1.50988 # DEPENDENCYPART_ARC
(4,15),0.39597 # DEPENDENCYPART_ARC
(4,16),-2.04071 # DEPENDENCYPART_ARC
(4,17),-0.696653 # DEPENDENCYPART_ARC
(4,18),-0.182804 # DEPENDENCYPART_ARC
(4,19),0.0559002 # DEPENDENCYPART_ARC
(4,20),-2.48676 # DEPENDENCYPART_ARC
(4,21),-2.89519 # DEPENDENCYPART_ARC
(4,22),-0.846545 # DEPENDENCYPART_ARC
(4,23),-1.84739 # DEPENDENCYPART_ARC
(4,24),0.522788 # DEPENDENCYPART_ARC
(4,25),-2.21934 # DEPENDENCYPART_ARC
(5,1),-0.522864 # DEPENDENCYPART_ARC
(5,2),-1.1477 # DEPENDENCYPART_ARC
(5,3),0.253026 # DEPENDENCYPART_ARC
(5,4),-0.00969661 # DEPENDENCYPART_ARC
(5,6),0.711152 # DEPENDENCYPART_ARC
(5,7),0.227148 # DEPENDENCYPART_ARC
(5,8),0.640233 # DEPENDENCYPART_ARC
(5,9),0.0712733 # DEPENDENCYPART_ARC
(5,10),0.191482 # DEPENDENCYPART_ARC
(5,11),0.0893451 # DEPENDENCYPART_ARC
(5,12),-0.158535 # DEPENDENCYPART_ARC
(5,13),-0.744234 # DEPENDENCYPART_ARC
(5,14),-1.07905 # DEPENDENCYPART_ARC
(5,15),-0.497935 # DEPENDENCYPART_ARC
(5,16),-1.17339 # DEPENDENCYPART_ARC
(5,18),-0.678262 # DEPENDENCYPART_ARC
(5,19),-0.608972 # DEPENDENCYPART_ARC
(5,20),-1.60459 # DEPENDENCYPART_ARC
(5,22),-0.925913 # DEPENDENCYPART_ARC
(5,23),-1.08604 # DEPENDENCYPART_ARC
(5,24),-1.21005 # DEPENDENCYPART_ARC
(5,25),-1.24732 # DEPENDENCYPART_ARC
(6,8),0.351044 # DEPENDENCYPART_ARC
(6,13),-0.611193 # DEPENDENCYPART_ARC
(6,19),-0.627891 # DEPENDENCYPART_ARC
(6,25),-0.878658 # DEPENDENCYPART_ARC
(7,1),0.147693 # DEPENDENCYPART_ARC
(7,2),-0.951352 # DEPENDENCYPART_ARC
(7,3),-0.0412257 # DEPENDENCYPART_ARC
(7,4),-1.45093 # DEPENDENCYPART_ARC
(7,5),0.889311 # DEPENDENCYPART_ARC
(7,6),2.54779 # DEPENDENCYPART_ARC
(7,8),2.1218 # DEPENDENCYPART_ARC
(7,9),0.586112 # DEPENDENCYPART_ARC
(7,10),0.40084 # DEPENDENCYPART_ARC
(7,11),0.0810085 # DEPENDENCYPART_ARC
(7,12),-0.861556 # DEPENDENCYPART_ARC
(7,13),-0.514417 # DEPENDENCYPART_ARC
(7,14),-0.047598 # DEPENDENCYPART_ARC
(7,15),-0.0974785 # DEPENDENCYPART_ARC
(7,16),-0.0933473 # DEPENDENCYPART_ARC
(7,18),-0.959284 # DEPENDENCYPART_ARC
(7,19),-0.307338 # DEPENDENCYPART_ARC
(7,20),-0.639154 # DEPENDENCYPART_ARC
(7,22),-1.25177 # DEPENDENCYPART_ARC
(7,23),-1.16725 # DEPENDENCYPART_ARC
(7,24),-2.34162 # DEPENDENCYPART_ARC
(7,25),-0.779315 # DEPENDENCYPART_ARC
(8,1),-1.43937 # DEPENDENCYPART_ARC
(8,6),-0.304175 # DEPENDENCYPART_ARC
(8,19),-1.43187 # DEPENDENCYPART_ARC
(8,25),-1.53009 # DEPENDENCYPART_ARC
(9,2),-2.53479 # DEPENDENCYPART_ARC
(9,3),-1.92557 # DEPENDENCYPART_ARC
(9,4),-2.67468 # DEPENDENCYPART_ARC
(9,5),-1.53199 # DEPENDENCYPART_ARC
(9,8),0.0418272 # DEPENDENCYPART_ARC
(9,10),0.702297 # DEPENDENCYPART_ARC
(9,11),-0.738437 # DEPENDENCYPART_ARC
(9,12),-0.739171 # DEPENDENCYPART_ARC
(9,13),-1.70087 # DEPENDENCYPART_ARC
(9,14),-1.60661 # DEPENDENCYPART_ARC
(9,15),-0.739121 # DEPENDENCYPART_ARC
(9,16),-1.88652 # DEPENDENCYPART_ARC
(9,17),-1.98182 # DEPENDENCYPART_ARC
(9,18),-1.66105 # DEPENDENCYPART_ARC
(9,19),-1.10456 # DEPENDENCYPART_ARC
(9,20),-2.04221 # DEPENDENCYPART_ARC
(9,21),-1.90587 # DEPENDENCYPART_ARC
(9,22),-2.18168 # DEPENDENCYPART_ARC
(9,23),-1.99723 # DEPENDENCYPART_ARC
(9,24),-3.09065 # DEPENDENCYPART_ARC
(9,25),-1.69475 # DEPENDENCYPART_ARC
(10,1),-2.50938 # DEPENDENCYPART_ARC
(10,2),-1.98134 # DEPENDENCYPART_ARC
(10,3),-0.174161 # DEPENDENCYPART_ARC
(10,4),-4.01346 # DEPENDENCYPART_ARC
(10,5),-0.687358 # DEPENDENCYPART_ARC
(10,6),-1.55772 # DEPENDENCYPART_ARC
(10,7),-0.229659 # DEPENDENCYPART_ARC
(10,8),-1.45574 # DEPENDENCYPART_ARC
(10,9),0.853284 # DEPENDENCYPART_ARC
(10,11),2.55714 # DEPENDENCYPART_ARC
(10,12),2.1852 # DEPENDENCYPART_ARC
(10,13),1.16586 # DEPENDENCYPART_ARC
(10,14),-0.197823 # DEPENDENCYPART_ARC
(10,15),0.613263 # DEPENDENCYPART_ARC
(10,16),-1.3599 # DEPENDENCYPART_ARC
(10,17),-0.766825 # DEPENDENCYPART_ARC
(10,18),-1.25839 # DEPENDENCYPART_ARC
(10,19),0.528535 # DEPENDENCYPART_ARC
(10,20),-1.65158 # DEPENDENCYPART_ARC
(10,21),-2.04468 # DEPENDENCYPART_ARC
(10,22),-0.273789 # DEPENDENCYPART_ARC
(10,23),-0.95532 # DEPENDENCYPART_ARC
(10,24),-0.373693 # DEPENDENCYPART_ARC
(10,25),-1.28241 # DEPENDENCYPART_ARC
(11,2),-2.61421 # DEPENDENCYPART_ARC
(11,3),-2.02265 # DEPENDENCYPART_ARC
(11,4),-2.91194 # DEPENDENCYPART_ARC
(11,5),-2.01947 # DEPENDENCYPART_ARC
(11,8),-1.41417 # DEPENDENCYPART_ARC
(11,9),-1.07459 # DEPENDENCYPART_ARC
(11,10),-0.781792 # DEPENDENCYPART_ARC
(11,12),2.54309 # DEPENDENCYPART_ARC
(11,13),-0.575898 # DEPENDENCYPART_ARC
(11,14),-0.1913 # DEPENDENCYPART_ARC
(11,15),0.0920914 # DEPENDENCYPART_ARC
(11,16),-0.568622 # DEPENDENCYPART_ARC
(11,17),-0.801898 # DEPENDENCYPART_ARC
(11,18),1.10493 # DEPENDENCYPART_ARC
(11,19),0.362833 # DEPENDENCYPART_ARC
(11,20),-0.905 # DEPENDENCYPART_ARC
(11,21),-0.177921 # DEPENDENCYPART_ARC
(11,22),-1.24573 # DEPENDENCYPART_ARC
(11,23),-1.19393 # DEPENDENCYPART_ARC
(11,24),-0.0798694 # DEPENDENCYPART_ARC
(11,25),-0.753709 # DEPENDENCYPART_ARC
(12,1),-2.14728 # DEPENDENCYPART_ARC
(12,2),-2.05205 # DEPENDENCYPART_ARC
(12,3),-0.210621 # DEPENDENCYPART_ARC
(12,4),-4.23232 # DEPENDENCYPART_ARC
(12,5),-0.927125 # DEPENDENCYPART_ARC
(12,6),-1.34351 # DEPENDENCYPART_ARC
(12,7),0.0429806 # DEPENDENCYPART_ARC
(12,8),-2.37977 # DEPENDENCYPART_ARC
(12,9),-0.530409 # DEPENDENCYPART_ARC
(12,10),-0.363265 # DEPENDENCYPART_ARC
(12,11),0.922013 # DEPENDENCYPART_ARC
(12,13),2.85667 # DEPENDENCYPART_ARC
(12,14),1.41799 # DEPENDENCYPART_ARC
(12,15),1.20211 # DEPENDENCYPART_ARC
(12,16),-0.0834308 # DEPENDENCYPART_ARC
(12,17),0.42902 # DEPENDENCYPART_ARC
(12,18),-1.34068 # DEPENDENCYPART_ARC
(12,19),0.59276 # DEPENDENCYPART_ARC
(12,20),-1.40623 # DEPENDENCYPART_ARC
(12,21),-1.45168 # DEPENDENCYPART_ARC
(12,22),-0.239138 # DEPENDENCYPART_ARC
(12,23),-0.757455 # DEPENDENCYPART_ARC
(12,24),-0.086846 # DEPENDENCYPART_ARC
(12,25),-1.06773 # DEPENDENCYPART_ARC
(13,1),-2.29457 # DEPENDENCYPART_ARC
(13,2),-2.73106 # DEPENDENCYPART_ARC
(13,3),-1.64406 # DEPENDENCYPART_ARC
(13,4),-2.93742 # DEPENDENCYPART_ARC
(13,5),-1.79336 # DEPENDENCYPART_ARC
(13,6),-2.07303 # DEPENDENCYPART_ARC
(13,7),-2.22224 # DEPENDENCYPART_ARC
(13,8),-2.01367 # DEPENDENCYPART_ARC
(13,9),-1.61023 # DEPENDENCYPART_ARC
(13,10),-2.24587 # DEPENDENCYPART_ARC
(13,11),-1.01428 # DEPENDENCYPART_ARC
(13,12),-0.710111 # DEPENDENCYPART_ARC
(13,14),4.04608 # DEPENDENCYPART_ARC
(13,15),0.357267 # DEPENDENCYPART_ARC
(13,16),0.454734 # DEPENDENCYPART_ARC
(13,17),-0.457339 # DEPENDENCYPART_ARC
(13,18),-0.712628 # DEPENDENCYPART_ARC
(13,19),-0.226028 # DEPENDENCYPART_ARC
(13,20),-2.25143 # DEPENDENCYPART_ARC
(13,21),-2.18851 # DEPENDENCYPART_ARC
(13,22),-1.50416 # DEPENDENCYPART_ARC
(13,23),-2.00902 # DEPENDENCYPART_ARC
(13,24),-2.03641 # DEPENDENCYPART_ARC
(13,25),-1.35683 # DEPENDENCYPART_ARC
(14,1),-2.61443 # DEPENDENCYPART_ARC
(14,2),-2.47165 # DEPENDENCYPART_ARC
(14,3),-2.38838 # DEPENDENCYPART_ARC
(14,4),-3.72416 # DEPENDENCYPART_ARC
(14,5),-1.91149 # DEPENDENCYPART_ARC
(14,6),-1.67436 # DEPENDENCYPART_ARC
(14,7),-1.28515 # DEPENDENCYPART_ARC
(14,8),-2.86715 # DEPENDENCYPART_ARC
(14,9),-1.84568 # DEPENDENCYPART_ARC
(14,10),-2.5983 # DEPENDENCYPART_ARC
(14,11),-1.00691 # DEPENDENCYPART_ARC
