# _root_ Lui , circondato da una truppa di fan incantate , si rassegna a firmare autografi su autografi .
#goldHeads=12,1,12,3,6,4,6,7,8,9,12,0,12,13,14,15,16,17,
#predictedHeads=3,1,0,3,6,4,6,7,8,9,12,6,12,13,14,14,16,17,
(0,1),-0.707861 # DEPENDENCYPART_ARC
(0,2),-1.06985 # DEPENDENCYPART_ARC
(0,3),0.373804 # DEPENDENCYPART_ARC
(0,4),-1.85556 # DEPENDENCYPART_ARC
(0,5),-1.64201 # DEPENDENCYPART_ARC
(0,6),-0.356571 # DEPENDENCYPART_ARC
(0,7),-1.79039 # DEPENDENCYPART_ARC
(0,8),-0.58019 # DEPENDENCYPART_ARC
(0,9),-1.41938 # DEPENDENCYPART_ARC
(0,10),-0.940885 # DEPENDENCYPART_ARC
(0,11),-1.76567 # DEPENDENCYPART_ARC
(0,12),0.776394 # DEPENDENCYPART_ARC
(0,13),-2.24967 # DEPENDENCYPART_ARC
(0,14),-0.308604 # DEPENDENCYPART_ARC
(0,15),-0.686102 # DEPENDENCYPART_ARC
(0,16),-2.57472 # DEPENDENCYPART_ARC
(0,17),-0.999784 # DEPENDENCYPART_ARC
(0,18),-1.66766 # DEPENDENCYPART_ARC
(1,2),1.83551 # DEPENDENCYPART_ARC
(1,3),0.971062 # DEPENDENCYPART_ARC
(1,4),-0.299619 # DEPENDENCYPART_ARC
(1,5),-1.18206 # DEPENDENCYPART_ARC
(1,6),-0.212978 # DEPENDENCYPART_ARC
(1,7),-0.624048 # DEPENDENCYPART_ARC
(1,8),-0.360095 # DEPENDENCYPART_ARC
(1,9),-1.41982 # DEPENDENCYPART_ARC
(1,10),-0.258642 # DEPENDENCYPART_ARC
(1,11),-1.72383 # DEPENDENCYPART_ARC
(1,12),-0.951085 # DEPENDENCYPART_ARC
(1,13),-1.7625 # DEPENDENCYPART_ARC
(1,14),-1.67669 # DEPENDENCYPART_ARC
(1,15),-0.914234 # DEPENDENCYPART_ARC
(1,16),-2.02206 # DEPENDENCYPART_ARC
(1,17),-0.805714 # DEPENDENCYPART_ARC
(1,18),-1.22082 # DEPENDENCYPART_ARC
(2,1),-0.297269 # DEPENDENCYPART_ARC
(2,3),-0.537931 # DEPENDENCYPART_ARC
(2,4),-1.84964 # DEPENDENCYPART_ARC
(2,5),-1.81924 # DEPENDENCYPART_ARC
(2,6),-2.02082 # DEPENDENCYPART_ARC
(2,7),-2.182 # DEPENDENCYPART_ARC
(2,8),-2.21927 # DEPENDENCYPART_ARC
(2,9),-2.41269 # DEPENDENCYPART_ARC
(2,10),-1.1048 # DEPENDENCYPART_ARC
(2,11),-2.37618 # DEPENDENCYPART_ARC
(2,12),-2.07931 # DEPENDENCYPART_ARC
(2,13),-2.47877 # DEPENDENCYPART_ARC
(2,14),-2.32589 # DEPENDENCYPART_ARC
(2,15),-2.5976 # DEPENDENCYPART_ARC
(2,16),-2.6039 # DEPENDENCYPART_ARC
(2,17),-2.67826 # DEPENDENCYPART_ARC
(2,18),-1.69946 # DEPENDENCYPART_ARC
(3,1),1.71755 # DEPENDENCYPART_ARC
(3,2),-0.237415 # DEPENDENCYPART_ARC
(3,4),2.33189 # DEPENDENCYPART_ARC
(3,5),-1.40962 # DEPENDENCYPART_ARC
(3,6),0.928919 # DEPENDENCYPART_ARC
(3,7),0.409335 # DEPENDENCYPART_ARC
(3,8),-0.0770503 # DEPENDENCYPART_ARC
(3,9),-1.65392 # DEPENDENCYPART_ARC
(3,10),0.292627 # DEPENDENCYPART_ARC
(3,11),-1.54371 # DEPENDENCYPART_ARC
(3,12),-0.704172 # DEPENDENCYPART_ARC
(3,13),0.484327 # DEPENDENCYPART_ARC
(3,14),-1.02259 # DEPENDENCYPART_ARC
(3,15),-1.39444 # DEPENDENCYPART_ARC
(3,16),0.414898 # DEPENDENCYPART_ARC
(3,17),-1.89599 # DEPENDENCYPART_ARC
(3,18),-1.88812 # DEPENDENCYPART_ARC
(4,1),-1.26988 # DEPENDENCYPART_ARC
(4,2),-1.09317 # DEPENDENCYPART_ARC
(4,3),-0.334149 # DEPENDENCYPART_ARC
(4,5),0.907032 # DEPENDENCYPART_ARC
(4,6),3.29897 # DEPENDENCYPART_ARC
(4,7),0.182952 # DEPENDENCYPART_ARC
(4,8),1.27438 # DEPENDENCYPART_ARC
(4,9),0.573882 # DEPENDENCYPART_ARC
(4,10),0.197808 # DEPENDENCYPART_ARC
