# _root_ Domate temporaneamente le fan , Dillon elude il muro umano di vestitini a fiori , magliette attillate e Wonderbra .
#goldHeads=0,1,4,1,4,7,0,9,7,9,9,11,12,13,14,9,16,16,16,19,
#predictedHeads=4,1,4,7,4,7,0,9,7,9,9,11,12,13,14,14,16,16,14,19,
(0,1),0.598247 # DEPENDENCYPART_ARC
(0,2),-1.34595 # DEPENDENCYPART_ARC
(0,3),-1.28548 # DEPENDENCYPART_ARC
(0,4),-0.232033 # DEPENDENCYPART_ARC
(0,5),-0.97717 # DEPENDENCYPART_ARC
(0,6),0.407329 # DEPENDENCYPART_ARC
(0,7),1.40709 # DEPENDENCYPART_ARC
(0,8),-1.55619 # DEPENDENCYPART_ARC
(0,9),-0.0509533 # DEPENDENCYPART_ARC
(0,10),-0.82798 # DEPENDENCYPART_ARC
(0,11),-2.01704 # DEPENDENCYPART_ARC
(0,12),0.0481339 # DEPENDENCYPART_ARC
(0,13),-2.14104 # DEPENDENCYPART_ARC
(0,14),-0.103405 # DEPENDENCYPART_ARC
(0,15),-1.0701 # DEPENDENCYPART_ARC
(0,16),0.448618 # DEPENDENCYPART_ARC
(0,17),-1.32534 # DEPENDENCYPART_ARC
(0,18),-1.47845 # DEPENDENCYPART_ARC
(0,19),-0.51979 # DEPENDENCYPART_ARC
(0,20),-1.55238 # DEPENDENCYPART_ARC
(1,2),2.4341 # DEPENDENCYPART_ARC
(1,3),0.301312 # DEPENDENCYPART_ARC
(1,4),0.581883 # DEPENDENCYPART_ARC
(1,5),0.925946 # DEPENDENCYPART_ARC
(1,6),-0.478078 # DEPENDENCYPART_ARC
(1,7),-0.343607 # DEPENDENCYPART_ARC
(1,8),-1.64249 # DEPENDENCYPART_ARC
(1,9),-1.12557 # DEPENDENCYPART_ARC
(1,10),-1.12252 # DEPENDENCYPART_ARC
(1,11),-1.17166 # DEPENDENCYPART_ARC
(1,12),-1.04664 # DEPENDENCYPART_ARC
(1,13),0.384231 # DEPENDENCYPART_ARC
(1,14),-1.31864 # DEPENDENCYPART_ARC
(1,15),0.62662 # DEPENDENCYPART_ARC
(1,16),-1.29762 # DEPENDENCYPART_ARC
(1,17),-0.431279 # DEPENDENCYPART_ARC
(1,18),0.534643 # DEPENDENCYPART_ARC
(1,19),-2.94783 # DEPENDENCYPART_ARC
(1,20),-1.61684 # DEPENDENCYPART_ARC
(2,1),-0.170092 # DEPENDENCYPART_ARC
(2,3),0.674306 # DEPENDENCYPART_ARC
(2,4),0.332995 # DEPENDENCYPART_ARC
(2,5),0.537261 # DEPENDENCYPART_ARC
(2,6),-0.421888 # DEPENDENCYPART_ARC
(2,7),-0.13194 # DEPENDENCYPART_ARC
(2,8),-0.582023 # DEPENDENCYPART_ARC
(2,9),-1.27415 # DEPENDENCYPART_ARC
(2,10),-1.05756 # DEPENDENCYPART_ARC
(2,11),-0.824163 # DEPENDENCYPART_ARC
(2,12),-1.24638 # DEPENDENCYPART_ARC
(2,13),-1.05732 # DEPENDENCYPART_ARC
(2,14),-1.2533 # DEPENDENCYPART_ARC
(2,15),-0.869 # DEPENDENCYPART_ARC
(2,16),-1.48403 # DEPENDENCYPART_ARC
(2,17),-1.35067 # DEPENDENCYPART_ARC
(2,18),-0.810426 # DEPENDENCYPART_ARC
(2,19),-1.56126 # DEPENDENCYPART_ARC
(2,20),-1.56002 # DEPENDENCYPART_ARC
(3,1),-1.36829 # DEPENDENCYPART_ARC
(3,2),-0.291624 # DEPENDENCYPART_ARC
(3,4),0.710568 # DEPENDENCYPART_ARC
(3,5),-0.280075 # DEPENDENCYPART_ARC
(3,6),-0.63338 # DEPENDENCYPART_ARC
(3,7),-0.675584 # DEPENDENCYPART_ARC
(3,8),-1.7958 # DEPENDENCYPART_ARC
(3,9),-1.61555 # DEPENDENCYPART_ARC
(3,10),-2.76374 # DEPENDENCYPART_ARC
(3,11),-1.08388 # DEPENDENCYPART_ARC
(3,12),-1.26765 # DEPENDENCYPART_ARC
(3,13),-1.12618 # DEPENDENCYPART_ARC
(3,14),-1.27372 # DEPENDENCYPART_ARC
(3,15),-1.11553 # DEPENDENCYPART_ARC
(3,16),-1.20428 # DEPENDENCYPART_ARC
(3,17),-1.17993 # DEPENDENCYPART_ARC
(3,18),-1.01863 # DEPENDENCYPART_ARC
(3,19),-1.40588 # DEPENDENCYPART_ARC
(3,20),-1.3774 # DEPENDENCYPART_ARC
(4,1),0.641179 # DEPENDENCYPART_ARC
(4,2),1.29818 # DEPENDENCYPART_ARC
(4,3),3.57008 # DEPENDENCYPART_ARC
(4,5),2.08861 # DEPENDENCYPART_ARC
(4,6),1.57315 # DEPENDENCYPART_ARC
(4,7),0.909138 # DEPENDENCYPART_ARC
(4,8),-0.0977376 # DEPENDENCYPART_ARC
(4,9),0.747323 # DEPENDENCYPART_ARC
(4,10),0.218151 # DEPENDENCYPART_ARC
(4,11),0.696741 # DEPENDENCYPART_ARC
(4,12),0.00221801 # DEPENDENCYPART_ARC
(4,13),0.19282 # DEPENDENCYPART_ARC
(4,14),-0.0112382 # DEPENDENCYPART_ARC
(4,15),0.790818 # DEPENDENCYPART_ARC
(4,16),-0.252777 # DEPENDENCYPART_ARC
(4,17),-0.500968 # DEPENDENCYPART_ARC
(4,18),0.637908 # DEPENDENCYPART_ARC
(4,19),0.124637 # DEPENDENCYPART_ARC
(4,20),-2.06436 # DEPENDENCYPART_ARC
(5,1),-2.83506 # DEPENDENCYPART_ARC
(5,2),-1.85865 # DEPENDENCYPART_ARC
(5,3),-1.09516 # DEPENDENCYPART_ARC
(5,4),-1.13228 # DEPENDENCYPART_ARC
(5,6),-0.874399 # DEPENDENCYPART_ARC
(5,7),-1.58936 # DEPENDENCYPART_ARC
(5,8),-2.16719 # DEPENDENCYPART_ARC
(5,9),-2.40619 # DEPENDENCYPART_ARC
(5,10),-2.50496 # DEPENDENCYPART_ARC
(5,11),-2.58662 # DEPENDENCYPART_ARC
(5,12),-2.6655 # DEPENDENCYPART_ARC
(5,13),-2.66231 # DEPENDENCYPART_ARC
(5,14),-2.76417 # DEPENDENCYPART_ARC
(5,15),-1.62741 # DEPENDENCYPART_ARC
(5,16),-2.81781 # DEPENDENCYPART_ARC
(5,17),-2.88732 # DEPENDENCYPART_ARC
(5,18),-2.51005 # DEPENDENCYPART_ARC
(5,19),-2.79246 # DEPENDENCYPART_ARC
(5,20),-1.9115 # DEPENDENCYPART_ARC
(6,1),-0.161312 # DEPENDENCYPART_ARC
(6,2),-0.357406 # DEPENDENCYPART_ARC
(6,3),1.0437 # DEPENDENCYPART_ARC
(6,4),0.455028 # DEPENDENCYPART_ARC
(6,5),0.634411 # DEPENDENCYPART_ARC
(6,7),0.398116 # DEPENDENCYPART_ARC
(6,8),-0.661922 # DEPENDENCYPART_ARC
(6,9),0.00779621 # DEPENDENCYPART_ARC
(6,10),-0.614494 # DEPENDENCYPART_ARC
(6,11),0.452111 # DEPENDENCYPART_ARC
(6,12),-0.922747 # DEPENDENCYPART_ARC
(6,13),-0.0943197 # DEPENDENCYPART_ARC
(6,14),-1.23145 # DEPENDENCYPART_ARC
(6,15),-0.0817589 # DEPENDENCYPART_ARC
(6,16),-0.881439 # DEPENDENCYPART_ARC
(6,17),-1.55929 # DEPENDENCYPART_ARC
(6,18),-0.0344386 # DEPENDENCYPART_ARC
(6,19),-0.968992 # DEPENDENCYPART_ARC
(6,20),-2.66703 # DEPENDENCYPART_ARC
(7,1),0.184478 # DEPENDENCYPART_ARC
(7,2),1.01928 # DEPENDENCYPART_ARC
(7,3),-0.0046017 # DEPENDENCYPART_ARC
(7,4),1.68113 # DEPENDENCYPART_ARC
(7,5),-0.374678 # DEPENDENCYPART_ARC
(7,6),2.71666 # DEPENDENCYPART_ARC
(7,8),0.0469983 # DEPENDENCYPART_ARC
(7,9),2.84384 # DEPENDENCYPART_ARC
(7,10),0.571915 # DEPENDENCYPART_ARC
(7,11),0.318194 # DEPENDENCYPART_ARC
(7,12),1.03701 # DEPENDENCYPART_ARC
(7,13),1.29978 # DEPENDENCYPART_ARC
(7,14),0.261172 # DEPENDENCYPART_ARC
(7,15),0.589668 # DEPENDENCYPART_ARC
(7,16),0.157266 # DEPENDENCYPART_ARC
(7,17),-0.498554 # DEPENDENCYPART_ARC
(7,18),0.830238 # DEPENDENCYPART_ARC
(7,19),-0.455446 # DEPENDENCYPART_ARC
(7,20),-1.03438 # DEPENDENCYPART_ARC
(8,1),-3.42354 # DEPENDENCYPART_ARC
(8,2),-2.20158 # DEPENDENCYPART_ARC
(8,3),-1.86755 # DEPENDENCYPART_ARC
(8,4),-2.43287 # DEPENDENCYPART_ARC
(8,5),-1.43183 # DEPENDENCYPART_ARC
(8,6),-1.90795 # DEPENDENCYPART_ARC
(8,7),-1.02217 # DEPENDENCYPART_ARC
(8,9),0.801633 # DEPENDENCYPART_ARC
(8,10),-0.993399 # DEPENDENCYPART_ARC
(8,11),-0.131442 # DEPENDENCYPART_ARC
(8,12),-0.736807 # DEPENDENCYPART_ARC
(8,13),-0.536048 # DEPENDENCYPART_ARC
(8,14),-0.914721 # DEPENDENCYPART_ARC
(8,15),-0.787749 # DEPENDENCYPART_ARC
(8,16),-1.14472 # DEPENDENCYPART_ARC
(8,17),-2.59572 # DEPENDENCYPART_ARC
(8,18),-0.69649 # DEPENDENCYPART_ARC
(8,19),-0.576088 # DEPENDENCYPART_ARC
(8,20),-1.11259 # DEPENDENCYPART_ARC
(9,1),-0.651309 # DEPENDENCYPART_ARC
(9,2),-0.76526 # DEPENDENCYPART_ARC
(9,3),-1.06566 # DEPENDENCYPART_ARC
(9,4),-1.8755 # DEPENDENCYPART_ARC
(9,5),-1.80882 # DEPENDENCYPART_ARC
(9,6),-1.11504 # DEPENDENCYPART_ARC
(9,7),-0.487667 # DEPENDENCYPART_ARC
(9,8),3.30958 # DEPENDENCYPART_ARC
(9,10),3.62455 # DEPENDENCYPART_ARC
(9,11),2.31588 # DEPENDENCYPART_ARC
(9,12),1.19522 # DEPENDENCYPART_ARC
(9,13),1.20336 # DEPENDENCYPART_ARC
(9,14),0.802333 # DEPENDENCYPART_ARC
(9,15),1.03337 # DEPENDENCYPART_ARC
(9,16),0.600467 # DEPENDENCYPART_ARC
(9,17),0.245447 # DEPENDENCYPART_ARC
(9,18),1.18723 # DEPENDENCYPART_ARC
(9,19),1.04246 # DEPENDENCYPART_ARC
(9,20),-1.27596 # DEPENDENCYPART_ARC
(10,1),-2.69497 # DEPENDENCYPART_ARC
(10,2),-1.39302 # DEPENDENCYPART_ARC
(10,3),-1.1501 # DEPENDENCYPART_ARC
(10,4),-1.91598 # DEPENDENCYPART_ARC
(10,5),-1.55235 # DEPENDENCYPART_ARC
(10,6),-1.44122 # DEPENDENCYPART_ARC
(10,7),-0.924655 # DEPENDENCYPART_ARC
(10,8),0.154067 # DEPENDENCYPART_ARC
(10,9),0.279206 # DEPENDENCYPART_ARC
(10,11),0.865306 # DEPENDENCYPART_ARC
(10,12),0.543085 # DEPENDENCYPART_ARC
(10,13),0.220628 # DEPENDENCYPART_ARC
(10,14),0.110115 # DEPENDENCYPART_ARC
(10,15),-0.0506084 # DEPENDENCYPART_ARC
(10,16),-0.468727 # DEPENDENCYPART_ARC
(10,17),-1.11441 # DEPENDENCYPART_ARC
(10,18),0.130755 # DEPENDENCYPART_ARC
(10,19),0.0207724 # DEPENDENCYPART_ARC
(10,20),-0.673242 # DEPENDENCYPART_ARC
(11,1),-2.30208 # DEPENDENCYPART_ARC
(11,2),-1.42018 # DEPENDENCYPART_ARC
(11,3),-1.62109 # DEPENDENCYPART_ARC
(11,4),-1.70747 # DEPENDENCYPART_ARC
(11,5),-1.82929 # DEPENDENCYPART_ARC
(11,6),-1.59907 # DEPENDENCYPART_ARC
(11,7),-1.86832 # DEPENDENCYPART_ARC
(11,8),-0.78369 # DEPENDENCYPART_ARC
(11,9),-0.854778 # DEPENDENCYPART_ARC
(11,10),-0.0969825 # DEPENDENCYPART_ARC
(11,12),4.08274 # DEPENDENCYPART_ARC
(11,13),0.117752 # DEPENDENCYPART_ARC
(11,14),1.2556 # DEPENDENCYPART_ARC
(11,15),0.529935 # DEPENDENCYPART_ARC
(11,16),-0.645283 # DEPENDENCYPART_ARC
(11,17),-0.448275 # DEPENDENCYPART_ARC
(11,18),0.326678 # DEPENDENCYPART_ARC
(11,19),-1.80466 # DEPENDENCYPART_ARC
(11,20),-0.744085 # DEPENDENCYPART_ARC
(12,1),-1.74125 # DEPENDENCYPART_ARC
(12,2),-1.83186 # DEPENDENCYPART_ARC
(12,3),-2.17819 # DEPENDENCYPART_ARC
(12,4),-2.97158 # DEPENDENCYPART_ARC
(12,5),-3.15299 # DEPENDENCYPART_ARC
(12,6),-2.48301 # DEPENDENCYPART_ARC
(12,7),-3.69309 # DEPENDENCYPART_ARC
(12,8),-0.626221 # DEPENDENCYPART_ARC
(12,9),-1.87023 # DEPENDENCYPART_ARC
(12,10),-0.660605 # DEPENDENCYPART_ARC
(12,11),0.604837 # DEPENDENCYPART_ARC
(12,13),1.60468 # DEPENDENCYPART_ARC
(12,14),1.31659 # DEPENDENCYPART_ARC
(12,15),0.59911 # DEPENDENCYPART_ARC
(12,16),0.904641 # DEPENDENCYPART_ARC
(12,17),0.917046 # DEPENDENCYPART_ARC
(12,18),0.939075 # DEPENDENCYPART_ARC
(12,19),0.498828 # DEPENDENCYPART_ARC
(12,20),-1.24579 # DEPENDENCYPART_ARC
(13,1),-2.16539 # DEPENDENCYPART_ARC
(13,2),-1.351 # DEPENDENCYPART_ARC
(13,3),-1.51809 # DEPENDENCYPART_ARC
(13,4),-1.82524 # DEPENDENCYPART_ARC
(13,5),-1.68663 # DEPENDENCYPART_ARC
(13,6),-1.73121 # DEPENDENCYPART_ARC
(13,7),-1.92812 # DEPENDENCYPART_ARC
(13,8),-1.08409 # DEPENDENCYPART_ARC
(13,9),-1.36376 # DEPENDENCYPART_ARC
(13,10),-1.16203 # DEPENDENCYPART_ARC
(13,11),-0.0998024 # DEPENDENCYPART_ARC
(13,12),0.0129673 # DEPENDENCYPART_ARC
(13,14),4.48256 # DEPENDENCYPART_ARC
(13,15),0.0813424 # DEPENDENCYPART_ARC
(13,16),0.0215121 # DEPENDENCYPART_ARC
(13,17),-0.280218 # DEPENDENCYPART_ARC
(13,18),0.0481359 # DEPENDENCYPART_ARC
