# _root_ Ma la Rai , grazie_a una diretta telefonica , permette ai due coniugi di essere vicini nel momento più bello .
#goldHeads=10,3,10,3,10,7,5,7,8,0,10,13,11,10,14,15,15,17,20,18,20,
#predictedHeads=10,3,10,3,10,7,5,7,8,0,10,13,11,13,14,15,15,17,20,18,20,
(0,1),-0.686828 # DEPENDENCYPART_ARC
(0,3),-0.713388 # DEPENDENCYPART_ARC
(0,4),-0.742228 # DEPENDENCYPART_ARC
(0,5),-1.86634 # DEPENDENCYPART_ARC
(0,7),-0.359333 # DEPENDENCYPART_ARC
(0,8),-0.968959 # DEPENDENCYPART_ARC
(0,9),-0.577734 # DEPENDENCYPART_ARC
(0,10),1.62341 # DEPENDENCYPART_ARC
(0,11),-2.08244 # DEPENDENCYPART_ARC
(0,12),-1.79939 # DEPENDENCYPART_ARC
(0,13),-0.701003 # DEPENDENCYPART_ARC
(0,14),-2.35018 # DEPENDENCYPART_ARC
(0,15),-0.0389492 # DEPENDENCYPART_ARC
(0,16),-1.49141 # DEPENDENCYPART_ARC
(0,17),-2.04371 # DEPENDENCYPART_ARC
(0,18),-1.08936 # DEPENDENCYPART_ARC
(0,19),-2.01744 # DEPENDENCYPART_ARC
(0,20),-1.57187 # DEPENDENCYPART_ARC
(0,21),-1.64911 # DEPENDENCYPART_ARC
(1,3),-0.511855 # DEPENDENCYPART_ARC
(1,4),-0.196226 # DEPENDENCYPART_ARC
(1,5),-1.22028 # DEPENDENCYPART_ARC
(1,7),-1.56368 # DEPENDENCYPART_ARC
(1,8),-1.31193 # DEPENDENCYPART_ARC
(1,9),-0.759319 # DEPENDENCYPART_ARC
(1,10),-0.720628 # DEPENDENCYPART_ARC
(1,11),-1.70373 # DEPENDENCYPART_ARC
(1,12),-1.38578 # DEPENDENCYPART_ARC
(1,13),-1.73462 # DEPENDENCYPART_ARC
(1,14),-1.81741 # DEPENDENCYPART_ARC
(1,15),-1.40541 # DEPENDENCYPART_ARC
(1,16),-1.862 # DEPENDENCYPART_ARC
(1,17),-2.00884 # DEPENDENCYPART_ARC
(1,18),-1.9829 # DEPENDENCYPART_ARC
(1,19),-1.92838 # DEPENDENCYPART_ARC
(1,20),-1.90481 # DEPENDENCYPART_ARC
(1,21),-2.09654 # DEPENDENCYPART_ARC
(2,4),0.109212 # DEPENDENCYPART_ARC
(2,5),-0.142594 # DEPENDENCYPART_ARC
(2,7),-0.324724 # DEPENDENCYPART_ARC
(2,9),-0.209221 # DEPENDENCYPART_ARC
(2,10),-0.497668 # DEPENDENCYPART_ARC
(2,11),-0.851734 # DEPENDENCYPART_ARC
(2,12),-0.653419 # DEPENDENCYPART_ARC
(2,13),-0.82117 # DEPENDENCYPART_ARC
(2,14),-0.930064 # DEPENDENCYPART_ARC
(2,15),-1.17845 # DEPENDENCYPART_ARC
(2,17),-1.55794 # DEPENDENCYPART_ARC
(2,18),-1.33087 # DEPENDENCYPART_ARC
(2,21),-1.09774 # DEPENDENCYPART_ARC
(3,1),-0.303271 # DEPENDENCYPART_ARC
(3,2),2.91399 # DEPENDENCYPART_ARC
(3,4),1.77099 # DEPENDENCYPART_ARC
(3,5),0.177898 # DEPENDENCYPART_ARC
(3,6),-0.159692 # DEPENDENCYPART_ARC
(3,7),0.376814 # DEPENDENCYPART_ARC
(3,8),-0.101413 # DEPENDENCYPART_ARC
(3,9),-0.0302087 # DEPENDENCYPART_ARC
(3,10),-0.41914 # DEPENDENCYPART_ARC
(3,11),-1.75639 # DEPENDENCYPART_ARC
(3,12),-1.27994 # DEPENDENCYPART_ARC
(3,13),-0.828241 # DEPENDENCYPART_ARC
(3,14),-1.07616 # DEPENDENCYPART_ARC
(3,15),-1.4336 # DEPENDENCYPART_ARC
(3,16),-2.0696 # DEPENDENCYPART_ARC
(3,17),-0.789746 # DEPENDENCYPART_ARC
(3,18),-1.82841 # DEPENDENCYPART_ARC
(3,19),-2.17733 # DEPENDENCYPART_ARC
(3,20),-1.89597 # DEPENDENCYPART_ARC
(3,21),-3.22851 # DEPENDENCYPART_ARC
(4,2),0.0179909 # DEPENDENCYPART_ARC
(4,6),-0.726934 # DEPENDENCYPART_ARC
(4,9),-0.745217 # DEPENDENCYPART_ARC
(4,21),-1.64691 # DEPENDENCYPART_ARC
(5,1),-1.2453 # DEPENDENCYPART_ARC
(5,2),-1.10698 # DEPENDENCYPART_ARC
(5,3),-1.14254 # DEPENDENCYPART_ARC
(5,4),0.03279 # DEPENDENCYPART_ARC
(5,6),0.65904 # DEPENDENCYPART_ARC
(5,7),3.16902 # DEPENDENCYPART_ARC
(5,8),0.317735 # DEPENDENCYPART_ARC
(5,9),0.0821756 # DEPENDENCYPART_ARC
(5,10),-0.0948341 # DEPENDENCYPART_ARC
(5,11),-0.663295 # DEPENDENCYPART_ARC
(5,12),-0.718589 # DEPENDENCYPART_ARC
(5,13),-0.833384 # DEPENDENCYPART_ARC
(5,14),-0.906788 # DEPENDENCYPART_ARC
(5,15),-0.36964 # DEPENDENCYPART_ARC
(5,16),-0.818983 # DEPENDENCYPART_ARC
(5,17),-1.11627 # DEPENDENCYPART_ARC
(5,18),-2.28182 # DEPENDENCYPART_ARC
(5,19),-1.31707 # DEPENDENCYPART_ARC
(5,20),-1.00275 # DEPENDENCYPART_ARC
(5,21),-1.21798 # DEPENDENCYPART_ARC
(6,4),-1.05273 # DEPENDENCYPART_ARC
(6,5),-0.253349 # DEPENDENCYPART_ARC
(6,9),-0.00476465 # DEPENDENCYPART_ARC
(6,11),-0.496186 # DEPENDENCYPART_ARC
(6,14),-0.684944 # DEPENDENCYPART_ARC
(6,17),-1.3384 # DEPENDENCYPART_ARC
(6,21),-0.993315 # DEPENDENCYPART_ARC
(7,1),-1.487 # DEPENDENCYPART_ARC
(7,2),0.340203 # DEPENDENCYPART_ARC
(7,3),-2.02433 # DEPENDENCYPART_ARC
(7,4),-1.55679 # DEPENDENCYPART_ARC
(7,5),0.630943 # DEPENDENCYPART_ARC
(7,6),3.40757 # DEPENDENCYPART_ARC
(7,8),3.49475 # DEPENDENCYPART_ARC
(7,9),0.579953 # DEPENDENCYPART_ARC
(7,10),0.738017 # DEPENDENCYPART_ARC
(7,11),0.0387695 # DEPENDENCYPART_ARC
(7,12),-0.324414 # DEPENDENCYPART_ARC
(7,13),-0.417592 # DEPENDENCYPART_ARC
(7,14),0.234289 # DEPENDENCYPART_ARC
(7,15),-0.632896 # DEPENDENCYPART_ARC
(7,16),-1.80043 # DEPENDENCYPART_ARC
(7,17),0.853308 # DEPENDENCYPART_ARC
(7,18),-0.901656 # DEPENDENCYPART_ARC
(7,19),-1.33018 # DEPENDENCYPART_ARC
(7,20),-1.27501 # DEPENDENCYPART_ARC
(7,21),-2.01393 # DEPENDENCYPART_ARC
(8,1),-1.29008 # DEPENDENCYPART_ARC
(8,2),-0.952487 # DEPENDENCYPART_ARC
(8,3),-1.53576 # DEPENDENCYPART_ARC
(8,4),-1.04677 # DEPENDENCYPART_ARC
