# _root_ Due i motivi : la consistenza dell' avversario , di serie B , e soprattutto la cifra di un gioco non spettacolare ma incisivo .
#goldHeads=3,3,0,3,6,3,6,7,8,8,10,11,12,6,17,17,6,17,20,18,22,20,22,22,24,
#predictedHeads=3,3,0,3,6,3,6,7,8,8,10,11,12,3,17,17,6,17,20,18,22,20,22,22,24,
(0,1),0.431052 # DEPENDENCYPART_ARC
(0,3),0.249599 # DEPENDENCYPART_ARC
(0,4),-0.460329 # DEPENDENCYPART_ARC
(0,6),0.292696 # DEPENDENCYPART_ARC
(0,7),-0.933061 # DEPENDENCYPART_ARC
(0,8),-0.0264274 # DEPENDENCYPART_ARC
(0,9),-0.27664 # DEPENDENCYPART_ARC
(0,10),-1.31545 # DEPENDENCYPART_ARC
(0,11),0.296849 # DEPENDENCYPART_ARC
(0,12),0.275009 # DEPENDENCYPART_ARC
(0,13),-0.38232 # DEPENDENCYPART_ARC
(0,14),-1.4372 # DEPENDENCYPART_ARC
(0,15),-0.732736 # DEPENDENCYPART_ARC
(0,17),0.085612 # DEPENDENCYPART_ARC
(0,18),-2.34167 # DEPENDENCYPART_ARC
(0,20),-0.179309 # DEPENDENCYPART_ARC
(0,21),-0.989232 # DEPENDENCYPART_ARC
(0,22),-0.619062 # DEPENDENCYPART_ARC
(0,23),-1.31172 # DEPENDENCYPART_ARC
(0,24),-0.646427 # DEPENDENCYPART_ARC
(0,25),-1.16761 # DEPENDENCYPART_ARC
(1,2),0.925224 # DEPENDENCYPART_ARC
(1,3),0.415314 # DEPENDENCYPART_ARC
(1,4),0.451667 # DEPENDENCYPART_ARC
(1,5),-0.243184 # DEPENDENCYPART_ARC
(1,6),-0.3341 # DEPENDENCYPART_ARC
(1,7),-0.374101 # DEPENDENCYPART_ARC
(1,8),-0.35338 # DEPENDENCYPART_ARC
(1,9),-0.0463595 # DEPENDENCYPART_ARC
(1,10),-0.656454 # DEPENDENCYPART_ARC
(1,11),-0.439306 # DEPENDENCYPART_ARC
(1,12),-0.464242 # DEPENDENCYPART_ARC
(1,13),-0.540579 # DEPENDENCYPART_ARC
(1,14),0.194078 # DEPENDENCYPART_ARC
(1,15),-0.476378 # DEPENDENCYPART_ARC
(1,16),-0.655654 # DEPENDENCYPART_ARC
(1,17),-0.663721 # DEPENDENCYPART_ARC
(1,18),-1.16621 # DEPENDENCYPART_ARC
(1,19),-0.667492 # DEPENDENCYPART_ARC
(1,20),-0.778789 # DEPENDENCYPART_ARC
(1,21),-0.645825 # DEPENDENCYPART_ARC
(1,22),-1.13134 # DEPENDENCYPART_ARC
(1,23),0.33077 # DEPENDENCYPART_ARC
(1,24),-1.03767 # DEPENDENCYPART_ARC
(1,25),-1.50632 # DEPENDENCYPART_ARC
(2,1),0.205369 # DEPENDENCYPART_ARC
(2,3),1.21658 # DEPENDENCYPART_ARC
(2,4),-0.145696 # DEPENDENCYPART_ARC
(2,6),-0.882635 # DEPENDENCYPART_ARC
(2,7),-0.735193 # DEPENDENCYPART_ARC
(2,8),-1.0427 # DEPENDENCYPART_ARC
(2,9),-0.603031 # DEPENDENCYPART_ARC
(2,10),-0.693087 # DEPENDENCYPART_ARC
(2,11),-0.916847 # DEPENDENCYPART_ARC
(2,12),-0.306863 # DEPENDENCYPART_ARC
(2,13),-0.883975 # DEPENDENCYPART_ARC
(2,17),-1.7425 # DEPENDENCYPART_ARC
(2,18),-0.861969 # DEPENDENCYPART_ARC
(2,20),-1.67321 # DEPENDENCYPART_ARC
(2,25),-1.32129 # DEPENDENCYPART_ARC
(3,1),0.719285 # DEPENDENCYPART_ARC
(3,2),3.95437 # DEPENDENCYPART_ARC
(3,4),1.93014 # DEPENDENCYPART_ARC
(3,5),0.174484 # DEPENDENCYPART_ARC
(3,6),0.865149 # DEPENDENCYPART_ARC
(3,7),1.1932 # DEPENDENCYPART_ARC
(3,8),0.71305 # DEPENDENCYPART_ARC
(3,9),1.14059 # DEPENDENCYPART_ARC
(3,10),0.389078 # DEPENDENCYPART_ARC
(3,11),0.108359 # DEPENDENCYPART_ARC
(3,12),0.622675 # DEPENDENCYPART_ARC
(3,13),1.00045 # DEPENDENCYPART_ARC
(3,14),0.571267 # DEPENDENCYPART_ARC
(3,15),-1.26272 # DEPENDENCYPART_ARC
(3,16),-0.158627 # DEPENDENCYPART_ARC
(3,17),0.0949259 # DEPENDENCYPART_ARC
(3,18),-0.44502 # DEPENDENCYPART_ARC
(3,19),-0.455511 # DEPENDENCYPART_ARC
(3,20),-0.150293 # DEPENDENCYPART_ARC
(3,21),-1.81932 # DEPENDENCYPART_ARC
(3,22),-1.7478 # DEPENDENCYPART_ARC
(3,23),-0.189843 # DEPENDENCYPART_ARC
(3,24),-2.01286 # DEPENDENCYPART_ARC
(3,25),-3.22351 # DEPENDENCYPART_ARC
(4,2),-0.238295 # DEPENDENCYPART_ARC
(4,5),-0.251609 # DEPENDENCYPART_ARC
(4,9),-1.13868 # DEPENDENCYPART_ARC
(4,13),-1.59175 # DEPENDENCYPART_ARC
(4,16),-1.57948 # DEPENDENCYPART_ARC
(4,19),-1.69158 # DEPENDENCYPART_ARC
(4,25),-1.98284 # DEPENDENCYPART_ARC
(5,1),-2.43075 # DEPENDENCYPART_ARC
(5,3),-2.70497 # DEPENDENCYPART_ARC
(5,4),-0.328275 # DEPENDENCYPART_ARC
(5,6),1.31863 # DEPENDENCYPART_ARC
(5,7),-0.137642 # DEPENDENCYPART_ARC
(5,8),-0.316224 # DEPENDENCYPART_ARC
(5,9),-0.150555 # DEPENDENCYPART_ARC
(5,10),-0.409966 # DEPENDENCYPART_ARC
(5,11),0.201916 # DEPENDENCYPART_ARC
(5,12),0.203963 # DEPENDENCYPART_ARC
(5,13),-0.274505 # DEPENDENCYPART_ARC
(5,17),-0.780812 # DEPENDENCYPART_ARC
(5,18),-0.772178 # DEPENDENCYPART_ARC
(5,20),-1.24438 # DEPENDENCYPART_ARC
(5,25),-0.755074 # DEPENDENCYPART_ARC
(6,1),-0.542492 # DEPENDENCYPART_ARC
(6,2),-0.0621456 # DEPENDENCYPART_ARC
(6,3),-1.73738 # DEPENDENCYPART_ARC
