# _root_ Poi hanno raggiunto i loro amici , che già si stavano allontanando dalla zona , e sono spariti .
#goldHeads=3,3,0,6,6,3,6,12,12,12,12,6,12,13,14,3,18,3,18,
#predictedHeads=3,3,0,6,6,3,6,12,12,11,12,3,12,13,14,12,18,12,18,
(0,1),-0.659014 # DEPENDENCYPART_ARC
(0,2),0.675682 # DEPENDENCYPART_ARC
(0,3),1.09216 # DEPENDENCYPART_ARC
(0,4),-1.4102 # DEPENDENCYPART_ARC
(0,5),-1.28694 # DEPENDENCYPART_ARC
(0,6),-0.344764 # DEPENDENCYPART_ARC
(0,7),-0.612036 # DEPENDENCYPART_ARC
(0,8),-1.09692 # DEPENDENCYPART_ARC
(0,9),-1.38592 # DEPENDENCYPART_ARC
(0,10),-1.45808 # DEPENDENCYPART_ARC
(0,11),-0.546162 # DEPENDENCYPART_ARC
(0,12),0.044804 # DEPENDENCYPART_ARC
(0,13),-1.66242 # DEPENDENCYPART_ARC
(0,14),-1.04622 # DEPENDENCYPART_ARC
(0,15),-1.0854 # DEPENDENCYPART_ARC
(0,16),-0.105253 # DEPENDENCYPART_ARC
(0,17),-0.513921 # DEPENDENCYPART_ARC
(0,18),-0.0609288 # DEPENDENCYPART_ARC
(0,19),-1.47427 # DEPENDENCYPART_ARC
(1,2),0.333596 # DEPENDENCYPART_ARC
(1,3),-0.322136 # DEPENDENCYPART_ARC
(1,4),-1.05469 # DEPENDENCYPART_ARC
(1,5),-1.33952 # DEPENDENCYPART_ARC
(1,6),-1.56404 # DEPENDENCYPART_ARC
(1,7),-0.971836 # DEPENDENCYPART_ARC
(1,8),-1.75124 # DEPENDENCYPART_ARC
(1,9),-1.69741 # DEPENDENCYPART_ARC
(1,10),-1.83414 # DEPENDENCYPART_ARC
(1,11),-1.38796 # DEPENDENCYPART_ARC
(1,12),-1.71831 # DEPENDENCYPART_ARC
(1,13),-2.00022 # DEPENDENCYPART_ARC
(1,14),-2.29777 # DEPENDENCYPART_ARC
(1,15),-1.53571 # DEPENDENCYPART_ARC
(1,16),-1.22947 # DEPENDENCYPART_ARC
(1,17),-1.65796 # DEPENDENCYPART_ARC
(1,18),-1.83807 # DEPENDENCYPART_ARC
(1,19),-2.39439 # DEPENDENCYPART_ARC
(2,1),0.894004 # DEPENDENCYPART_ARC
(2,3),0.528759 # DEPENDENCYPART_ARC
(2,4),-1.07342 # DEPENDENCYPART_ARC
(2,5),-0.817663 # DEPENDENCYPART_ARC
(2,6),0.508317 # DEPENDENCYPART_ARC
(2,7),0.327659 # DEPENDENCYPART_ARC
(2,8),-1.76337 # DEPENDENCYPART_ARC
(2,9),-0.970201 # DEPENDENCYPART_ARC
(2,10),-1.34556 # DEPENDENCYPART_ARC
(2,11),-0.627376 # DEPENDENCYPART_ARC
(2,12),-0.427238 # DEPENDENCYPART_ARC
(2,13),-1.45607 # DEPENDENCYPART_ARC
(2,14),-1.8645 # DEPENDENCYPART_ARC
(2,15),0.177129 # DEPENDENCYPART_ARC
(2,16),0.574308 # DEPENDENCYPART_ARC
(2,17),0.0180167 # DEPENDENCYPART_ARC
(2,18),-0.786981 # DEPENDENCYPART_ARC
(2,19),-2.11771 # DEPENDENCYPART_ARC
(3,1),2.61514 # DEPENDENCYPART_ARC
(3,2),4.6236 # DEPENDENCYPART_ARC
(3,4),0.179765 # DEPENDENCYPART_ARC
(3,5),0.385947 # DEPENDENCYPART_ARC
(3,6),2.08005 # DEPENDENCYPART_ARC
(3,7),1.32961 # DEPENDENCYPART_ARC
(3,8),-0.5376 # DEPENDENCYPART_ARC
(3,9),0.665076 # DEPENDENCYPART_ARC
(3,10),-0.785166 # DEPENDENCYPART_ARC
(3,11),0.0616065 # DEPENDENCYPART_ARC
(3,12),1.62365 # DEPENDENCYPART_ARC
(3,13),0.804094 # DEPENDENCYPART_ARC
(3,14),-0.380508 # DEPENDENCYPART_ARC
(3,15),1.31546 # DEPENDENCYPART_ARC
(3,16),1.82116 # DEPENDENCYPART_ARC
(3,17),0.801924 # DEPENDENCYPART_ARC
(3,18),0.392648 # DEPENDENCYPART_ARC
(3,19),-0.687018 # DEPENDENCYPART_ARC
(4,1),-1.17868 # DEPENDENCYPART_ARC
(4,2),-1.76553 # DEPENDENCYPART_ARC
(4,3),-0.853191 # DEPENDENCYPART_ARC
(4,5),0.155936 # DEPENDENCYPART_ARC
(4,6),0.0741949 # DEPENDENCYPART_ARC
(4,7),-0.36634 # DEPENDENCYPART_ARC
(4,8),-1.15784 # DEPENDENCYPART_ARC
(4,9),-0.995301 # DEPENDENCYPART_ARC
(4,10),-1.43725 # DEPENDENCYPART_ARC
(4,11),-0.947771 # DEPENDENCYPART_ARC
(4,12),-0.957844 # DEPENDENCYPART_ARC
(4,13),-1.07237 # DEPENDENCYPART_ARC
(4,14),-1.63481 # DEPENDENCYPART_ARC
(4,15),-1.08821 # DEPENDENCYPART_ARC
(4,16),-0.972459 # DEPENDENCYPART_ARC
(4,17),-1.37425 # DEPENDENCYPART_ARC
(4,18),-1.05558 # DEPENDENCYPART_ARC
(4,19),-1.27058 # DEPENDENCYPART_ARC
