# _root_ Il secondo è la fine di una giornata di lavoro , studio , ecc. .
#goldHeads=2,3,0,5,3,5,8,6,8,9,10,10,10,10,14,
#predictedHeads=2,3,0,5,3,5,8,6,8,9,10,8,12,12,14,
(0,2),-0.684854 # DEPENDENCYPART_ARC
(0,3),1.78332 # DEPENDENCYPART_ARC
(0,5),-0.755039 # DEPENDENCYPART_ARC
(0,6),-2.05775 # DEPENDENCYPART_ARC
(0,8),0.0612171 # DEPENDENCYPART_ARC
(0,9),-2.14587 # DEPENDENCYPART_ARC
(0,10),-0.481698 # DEPENDENCYPART_ARC
(0,11),-0.638097 # DEPENDENCYPART_ARC
(0,12),0.259885 # DEPENDENCYPART_ARC
(0,13),-0.762221 # DEPENDENCYPART_ARC
(0,14),-0.761453 # DEPENDENCYPART_ARC
(0,15),-1.11864 # DEPENDENCYPART_ARC
(1,2),0.990371 # DEPENDENCYPART_ARC
(1,3),-0.419453 # DEPENDENCYPART_ARC
(1,5),-0.799147 # DEPENDENCYPART_ARC
(1,6),-0.527915 # DEPENDENCYPART_ARC
(1,8),-1.16409 # DEPENDENCYPART_ARC
(1,9),-0.640388 # DEPENDENCYPART_ARC
(1,10),-1.31479 # DEPENDENCYPART_ARC
(1,11),-1.00882 # DEPENDENCYPART_ARC
(1,12),-1.44647 # DEPENDENCYPART_ARC
(1,13),-1.17354 # DEPENDENCYPART_ARC
(1,15),-1.21956 # DEPENDENCYPART_ARC
(2,1),3.4794 # DEPENDENCYPART_ARC
(2,3),0.32318 # DEPENDENCYPART_ARC
(2,4),-0.904992 # DEPENDENCYPART_ARC
(2,5),-0.0788755 # DEPENDENCYPART_ARC
(2,6),0.547235 # DEPENDENCYPART_ARC
(2,7),-1.30601 # DEPENDENCYPART_ARC
(2,8),-0.601523 # DEPENDENCYPART_ARC
(2,9),0.139865 # DEPENDENCYPART_ARC
(2,10),-0.35129 # DEPENDENCYPART_ARC
(2,11),-0.0687395 # DEPENDENCYPART_ARC
(2,12),-0.339282 # DEPENDENCYPART_ARC
(2,13),-0.241121 # DEPENDENCYPART_ARC
(2,14),-0.455545 # DEPENDENCYPART_ARC
(2,15),-2.52189 # DEPENDENCYPART_ARC
(3,1),-0.198263 # DEPENDENCYPART_ARC
(3,2),2.26466 # DEPENDENCYPART_ARC
(3,4),-0.445482 # DEPENDENCYPART_ARC
(3,5),2.62396 # DEPENDENCYPART_ARC
(3,6),0.254376 # DEPENDENCYPART_ARC
(3,7),-1.59396 # DEPENDENCYPART_ARC
(3,8),1.12944 # DEPENDENCYPART_ARC
(3,9),-0.986201 # DEPENDENCYPART_ARC
(3,10),-0.680418 # DEPENDENCYPART_ARC
(3,11),-0.178122 # DEPENDENCYPART_ARC
(3,12),-1.04507 # DEPENDENCYPART_ARC
(3,13),-0.269599 # DEPENDENCYPART_ARC
