# _root_ Se strofini a lungo la pelle , per_esempio , puoi incrementare l' acne .
#goldHeads=11,1,2,3,6,2,6,2,8,11,0,13,11,13,
#predictedHeads=11,1,2,3,6,3,6,11,8,11,0,13,11,13,
(0,1),-1.35715 # DEPENDENCYPART_ARC
(0,2),0.562304 # DEPENDENCYPART_ARC
(0,3),-1.3792 # DEPENDENCYPART_ARC
(0,4),-0.827782 # DEPENDENCYPART_ARC
(0,5),-1.81472 # DEPENDENCYPART_ARC
(0,6),-0.92919 # DEPENDENCYPART_ARC
(0,7),-0.937336 # DEPENDENCYPART_ARC
(0,8),-1.24281 # DEPENDENCYPART_ARC
(0,9),-0.9944 # DEPENDENCYPART_ARC
(0,10),1.03748 # DEPENDENCYPART_ARC
(0,11),0.183142 # DEPENDENCYPART_ARC
(0,12),-1.9429 # DEPENDENCYPART_ARC
(0,13),-1.31113 # DEPENDENCYPART_ARC
(0,14),-1.47104 # DEPENDENCYPART_ARC
(1,2),2.83219 # DEPENDENCYPART_ARC
(1,3),-0.293693 # DEPENDENCYPART_ARC
(1,4),0.0242481 # DEPENDENCYPART_ARC
(1,5),-0.561046 # DEPENDENCYPART_ARC
(1,6),-0.433639 # DEPENDENCYPART_ARC
(1,7),0.150964 # DEPENDENCYPART_ARC
(1,8),-1.07622 # DEPENDENCYPART_ARC
(1,9),-0.255708 # DEPENDENCYPART_ARC
(1,10),-0.127436 # DEPENDENCYPART_ARC
(1,11),0.365374 # DEPENDENCYPART_ARC
(1,12),-0.925605 # DEPENDENCYPART_ARC
(1,13),-0.90297 # DEPENDENCYPART_ARC
(1,14),-0.874003 # DEPENDENCYPART_ARC
(2,1),1.30608 # DEPENDENCYPART_ARC
(2,3),2.72559 # DEPENDENCYPART_ARC
(2,4),0.480396 # DEPENDENCYPART_ARC
(2,5),-1.30959 # DEPENDENCYPART_ARC
(2,6),1.24755 # DEPENDENCYPART_ARC
(2,7),0.590613 # DEPENDENCYPART_ARC
(2,8),0.100777 # DEPENDENCYPART_ARC
(2,9),0.591129 # DEPENDENCYPART_ARC
(2,10),0.751266 # DEPENDENCYPART_ARC
(2,11),0.217557 # DEPENDENCYPART_ARC
(2,12),-1.77884 # DEPENDENCYPART_ARC
(2,13),-0.561457 # DEPENDENCYPART_ARC
(2,14),-0.997854 # DEPENDENCYPART_ARC
(3,1),-0.51901 # DEPENDENCYPART_ARC
(3,2),-0.0680579 # DEPENDENCYPART_ARC
(3,4),2.70911 # DEPENDENCYPART_ARC
(3,5),0.166976 # DEPENDENCYPART_ARC
(3,6),1.37461 # DEPENDENCYPART_ARC
(3,7),0.0869351 # DEPENDENCYPART_ARC
(3,8),-0.531729 # DEPENDENCYPART_ARC
(3,9),-0.11669 # DEPENDENCYPART_ARC
(3,10),-0.223682 # DEPENDENCYPART_ARC
(3,11),-0.698272 # DEPENDENCYPART_ARC
(3,12),-1.09239 # DEPENDENCYPART_ARC
(3,13),-2.32531 # DEPENDENCYPART_ARC
(3,14),-0.986082 # DEPENDENCYPART_ARC
(4,1),-1.24078 # DEPENDENCYPART_ARC
