# _root_ Ci si viene per riposar- si , curar- si , sarebbe quindi assurdo non approfittar- ne .
#goldHeads=3,3,0,3,4,5,3,3,8,3,3,11,11,15,11,15,16,
#predictedHeads=3,3,0,3,4,5,6,11,8,9,0,11,11,15,11,15,16,
(0,1),-0.438779 # DEPENDENCYPART_ARC
(0,2),-1.1241 # DEPENDENCYPART_ARC
(0,3),1.17965 # DEPENDENCYPART_ARC
(0,4),-1.45368 # DEPENDENCYPART_ARC
(0,5),-0.138866 # DEPENDENCYPART_ARC
(0,6),-1.30299 # DEPENDENCYPART_ARC
(0,7),-0.630263 # DEPENDENCYPART_ARC
(0,8),0.135653 # DEPENDENCYPART_ARC
(0,9),-1.5059 # DEPENDENCYPART_ARC
(0,10),-0.772562 # DEPENDENCYPART_ARC
(0,11),1.20019 # DEPENDENCYPART_ARC
(0,12),-1.53038 # DEPENDENCYPART_ARC
(0,13),-0.80875 # DEPENDENCYPART_ARC
(0,14),-1.70459 # DEPENDENCYPART_ARC
(0,15),-0.572479 # DEPENDENCYPART_ARC
(0,16),-1.54 # DEPENDENCYPART_ARC
(0,17),-1.28375 # DEPENDENCYPART_ARC
(1,2),0.0550148 # DEPENDENCYPART_ARC
(1,3),-0.318628 # DEPENDENCYPART_ARC
(1,4),-1.09277 # DEPENDENCYPART_ARC
(1,5),-0.654474 # DEPENDENCYPART_ARC
(1,6),-1.45808 # DEPENDENCYPART_ARC
(1,7),-0.608297 # DEPENDENCYPART_ARC
(1,8),-1.3367 # DEPENDENCYPART_ARC
(1,9),-1.79223 # DEPENDENCYPART_ARC
(1,10),-0.88765 # DEPENDENCYPART_ARC
(1,11),-1.66557 # DEPENDENCYPART_ARC
(1,12),-1.66116 # DEPENDENCYPART_ARC
(1,13),-2.15661 # DEPENDENCYPART_ARC
(1,14),-1.83938 # DEPENDENCYPART_ARC
(1,15),-1.68146 # DEPENDENCYPART_ARC
(1,16),-2.06011 # DEPENDENCYPART_ARC
(1,17),-2.03459 # DEPENDENCYPART_ARC
(2,1),0.0869072 # DEPENDENCYPART_ARC
(2,3),-0.395138 # DEPENDENCYPART_ARC
(2,4),-1.40246 # DEPENDENCYPART_ARC
(2,5),-1.32439 # DEPENDENCYPART_ARC
(2,6),-2.09264 # DEPENDENCYPART_ARC
(2,7),-1.26039 # DEPENDENCYPART_ARC
(2,8),-2.08143 # DEPENDENCYPART_ARC
(2,9),-2.47539 # DEPENDENCYPART_ARC
(2,10),-1.60263 # DEPENDENCYPART_ARC
(2,11),-2.98523 # DEPENDENCYPART_ARC
(2,12),-2.28427 # DEPENDENCYPART_ARC
(2,13),-2.13417 # DEPENDENCYPART_ARC
(2,14),-2.41451 # DEPENDENCYPART_ARC
