# _root_ Ogni medico è subito al_corrente_della diagnosi fatta dal suo collega ; il paziente , sempre preceduto dal suo dossier , è indirizzato da un servizio all' altro .
#goldHeads=2,3,0,3,3,5,6,7,10,8,10,13,22,13,16,13,16,19,17,19,22,0,22,25,23,22,26,27,
#predictedHeads=2,3,0,3,3,5,6,7,10,8,10,13,10,13,16,13,16,19,17,19,22,16,22,25,23,25,26,27,
(0,1),-0.523392 # DEPENDENCYPART_ARC
(0,2),-0.969759 # DEPENDENCYPART_ARC
(0,3),1.1235 # DEPENDENCYPART_ARC
(0,4),-1.17458 # DEPENDENCYPART_ARC
(0,5),-1.2451 # DEPENDENCYPART_ARC
(0,6),-0.596638 # DEPENDENCYPART_ARC
(0,7),0.420209 # DEPENDENCYPART_ARC
(0,8),-1.34806 # DEPENDENCYPART_ARC
(0,9),-0.947897 # DEPENDENCYPART_ARC
(0,10),-0.743417 # DEPENDENCYPART_ARC
(0,11),-1.08654 # DEPENDENCYPART_ARC
(0,12),-1.64412 # DEPENDENCYPART_ARC
(0,13),-0.718749 # DEPENDENCYPART_ARC
(0,14),-1.03631 # DEPENDENCYPART_ARC
(0,15),-1.57861 # DEPENDENCYPART_ARC
(0,16),-0.361883 # DEPENDENCYPART_ARC
(0,17),-1.75159 # DEPENDENCYPART_ARC
(0,18),-1.27474 # DEPENDENCYPART_ARC
(0,19),-1.04606 # DEPENDENCYPART_ARC
(0,20),-1.34819 # DEPENDENCYPART_ARC
(0,21),0.511908 # DEPENDENCYPART_ARC
(0,22),0.294926 # DEPENDENCYPART_ARC
(0,23),-3.16072 # DEPENDENCYPART_ARC
(0,24),-2.20779 # DEPENDENCYPART_ARC
(0,25),-1.10769 # DEPENDENCYPART_ARC
(0,26),-2.54149 # DEPENDENCYPART_ARC
(0,27),-1.51724 # DEPENDENCYPART_ARC
(0,28),-2.09436 # DEPENDENCYPART_ARC
(1,2),0.792571 # DEPENDENCYPART_ARC
(1,3),-0.20241 # DEPENDENCYPART_ARC
(1,4),-0.891993 # DEPENDENCYPART_ARC
(1,5),-0.722664 # DEPENDENCYPART_ARC
(1,6),-1.00845 # DEPENDENCYPART_ARC
(1,7),-0.379139 # DEPENDENCYPART_ARC
(1,8),-1.27308 # DEPENDENCYPART_ARC
(1,9),-1.23842 # DEPENDENCYPART_ARC
(1,10),-0.733274 # DEPENDENCYPART_ARC
(1,11),-0.939085 # DEPENDENCYPART_ARC
(1,12),-1.53881 # DEPENDENCYPART_ARC
(1,13),-0.858101 # DEPENDENCYPART_ARC
(1,14),-1.20702 # DEPENDENCYPART_ARC
(1,15),-1.44547 # DEPENDENCYPART_ARC
(1,16),-1.02493 # DEPENDENCYPART_ARC
(1,17),-1.57477 # DEPENDENCYPART_ARC
(1,18),-1.4056 # DEPENDENCYPART_ARC
(1,19),-1.25717 # DEPENDENCYPART_ARC
(1,20),-1.61401 # DEPENDENCYPART_ARC
(1,21),-1.76711 # DEPENDENCYPART_ARC
(1,22),-1.21646 # DEPENDENCYPART_ARC
(1,23),-1.4943 # DEPENDENCYPART_ARC
(1,24),-1.91526 # DEPENDENCYPART_ARC
(1,25),-1.67486 # DEPENDENCYPART_ARC
(1,26),-1.91938 # DEPENDENCYPART_ARC
(1,27),-1.71775 # DEPENDENCYPART_ARC
(1,28),-1.8011 # DEPENDENCYPART_ARC
(2,1),3.63622 # DEPENDENCYPART_ARC
(2,3),0.651429 # DEPENDENCYPART_ARC
(2,4),-0.432996 # DEPENDENCYPART_ARC
(2,5),0.161221 # DEPENDENCYPART_ARC
(2,6),-0.525017 # DEPENDENCYPART_ARC
(2,7),-0.742834 # DEPENDENCYPART_ARC
(2,8),-0.700429 # DEPENDENCYPART_ARC
(2,9),-1.02361 # DEPENDENCYPART_ARC
(2,10),-0.990028 # DEPENDENCYPART_ARC
(2,11),-1.3617 # DEPENDENCYPART_ARC
(2,12),-1.32907 # DEPENDENCYPART_ARC
(2,13),-1.24456 # DEPENDENCYPART_ARC
(2,14),-0.42827 # DEPENDENCYPART_ARC
(2,15),-1.58568 # DEPENDENCYPART_ARC
(2,16),-0.919724 # DEPENDENCYPART_ARC
(2,17),-1.86727 # DEPENDENCYPART_ARC
(2,18),-1.80926 # DEPENDENCYPART_ARC
(2,19),-1.86206 # DEPENDENCYPART_ARC
(2,20),-0.94001 # DEPENDENCYPART_ARC
(2,21),-2.67218 # DEPENDENCYPART_ARC
(2,22),-2.74455 # DEPENDENCYPART_ARC
(2,23),-1.57145 # DEPENDENCYPART_ARC
(2,24),-1.77128 # DEPENDENCYPART_ARC
(2,25),-2.59361 # DEPENDENCYPART_ARC
(2,26),-3.53638 # DEPENDENCYPART_ARC
(2,27),-1.70606 # DEPENDENCYPART_ARC
(2,28),-4.78075 # DEPENDENCYPART_ARC
(3,1),0.604968 # DEPENDENCYPART_ARC
(3,2),1.8697 # DEPENDENCYPART_ARC
(3,4),1.76864 # DEPENDENCYPART_ARC
(3,5),1.63144 # DEPENDENCYPART_ARC
(3,6),1.09427 # DEPENDENCYPART_ARC
(3,7),0.56855 # DEPENDENCYPART_ARC
(3,8),0.470101 # DEPENDENCYPART_ARC
(3,9),-0.357774 # DEPENDENCYPART_ARC
(3,10),0.0466002 # DEPENDENCYPART_ARC
(3,11),-0.467166 # DEPENDENCYPART_ARC
(3,12),-1.84527 # DEPENDENCYPART_ARC
(3,13),-0.392004 # DEPENDENCYPART_ARC
(3,14),0.440562 # DEPENDENCYPART_ARC
(3,15),-1.11413 # DEPENDENCYPART_ARC
(3,16),-0.697586 # DEPENDENCYPART_ARC
