# _root_ " Siamo piuttosto flessibili sulla questione del prezzo " , spiega Mark Brabes , il nuovo vicedirettore dell' equipe medica .
#goldHeads=2,11,2,2,4,5,6,7,8,9,0,13,11,13,17,17,13,17,18,19,20,
#predictedHeads=2,11,4,2,4,5,6,7,8,9,0,13,11,13,17,17,13,17,18,19,20,
(0,1),-0.51757 # DEPENDENCYPART_ARC
(0,2),1.03186 # DEPENDENCYPART_ARC
(0,3),-1.20221 # DEPENDENCYPART_ARC
(0,4),-1.3665 # DEPENDENCYPART_ARC
(0,5),-1.34368 # DEPENDENCYPART_ARC
(0,6),-0.438573 # DEPENDENCYPART_ARC
(0,7),-1.30209 # DEPENDENCYPART_ARC
(0,8),-0.478136 # DEPENDENCYPART_ARC
(0,9),-1.34617 # DEPENDENCYPART_ARC
(0,10),-0.920033 # DEPENDENCYPART_ARC
(0,11),2.67924 # DEPENDENCYPART_ARC
(0,12),-0.251269 # DEPENDENCYPART_ARC
(0,13),-0.579223 # DEPENDENCYPART_ARC
(0,14),-1.13655 # DEPENDENCYPART_ARC
(0,15),-1.83034 # DEPENDENCYPART_ARC
(0,16),-1.47367 # DEPENDENCYPART_ARC
(0,17),-0.523575 # DEPENDENCYPART_ARC
(0,18),-1.93952 # DEPENDENCYPART_ARC
(0,19),-0.677198 # DEPENDENCYPART_ARC
(0,20),-1.58479 # DEPENDENCYPART_ARC
(0,21),-1.86021 # DEPENDENCYPART_ARC
(1,2),-0.774871 # DEPENDENCYPART_ARC
(1,3),-1.98631 # DEPENDENCYPART_ARC
(1,4),-2.11635 # DEPENDENCYPART_ARC
(1,5),-2.36831 # DEPENDENCYPART_ARC
(1,6),-2.30531 # DEPENDENCYPART_ARC
(1,7),-2.52264 # DEPENDENCYPART_ARC
(1,8),-2.47376 # DEPENDENCYPART_ARC
(1,9),-1.50387 # DEPENDENCYPART_ARC
(1,10),-0.827683 # DEPENDENCYPART_ARC
(1,11),-2.37967 # DEPENDENCYPART_ARC
(1,12),-2.63157 # DEPENDENCYPART_ARC
(1,13),-2.68257 # DEPENDENCYPART_ARC
(1,14),-1.41612 # DEPENDENCYPART_ARC
(1,15),-2.55965 # DEPENDENCYPART_ARC
(1,16),-2.9412 # DEPENDENCYPART_ARC
(1,17),-2.71484 # DEPENDENCYPART_ARC
(1,18),-2.90802 # DEPENDENCYPART_ARC
(1,19),-2.78104 # DEPENDENCYPART_ARC
(1,20),-3.09055 # DEPENDENCYPART_ARC
(1,21),-1.91094 # DEPENDENCYPART_ARC
(2,1),1.94218 # DEPENDENCYPART_ARC
(2,3),1.61286 # DEPENDENCYPART_ARC
(2,4),2.32389 # DEPENDENCYPART_ARC
(2,5),0.650747 # DEPENDENCYPART_ARC
(2,6),0.638535 # DEPENDENCYPART_ARC
(2,7),-0.6161 # DEPENDENCYPART_ARC
(2,8),-0.153392 # DEPENDENCYPART_ARC
(2,9),-0.851888 # DEPENDENCYPART_ARC
(2,10),0.636725 # DEPENDENCYPART_ARC
(2,11),-0.705325 # DEPENDENCYPART_ARC
(2,12),-1.55009 # DEPENDENCYPART_ARC
(2,13),-1.32166 # DEPENDENCYPART_ARC
(2,14),0.372329 # DEPENDENCYPART_ARC
(2,15),-1.92871 # DEPENDENCYPART_ARC
(2,16),-1.96268 # DEPENDENCYPART_ARC
(2,17),-1.88065 # DEPENDENCYPART_ARC
(2,18),-3.09176 # DEPENDENCYPART_ARC
(2,19),-1.96651 # DEPENDENCYPART_ARC
(2,20),-1.87336 # DEPENDENCYPART_ARC
(2,21),-2.2544 # DEPENDENCYPART_ARC
(3,1),0.115548 # DEPENDENCYPART_ARC
(3,2),0.0914132 # DEPENDENCYPART_ARC
(3,4),0.862478 # DEPENDENCYPART_ARC
(3,5),0.00133731 # DEPENDENCYPART_ARC
(3,6),0.138505 # DEPENDENCYPART_ARC
(3,7),-0.267346 # DEPENDENCYPART_ARC
(3,8),-0.0557792 # DEPENDENCYPART_ARC
(3,9),-0.380715 # DEPENDENCYPART_ARC
(3,10),-0.109423 # DEPENDENCYPART_ARC
(3,11),-0.77286 # DEPENDENCYPART_ARC
(3,12),-0.960059 # DEPENDENCYPART_ARC
(3,13),-0.964318 # DEPENDENCYPART_ARC
(3,14),-0.648388 # DEPENDENCYPART_ARC
(3,15),-0.736834 # DEPENDENCYPART_ARC
(3,16),-1.25517 # DEPENDENCYPART_ARC
(3,17),-1.21029 # DEPENDENCYPART_ARC
(3,18),-1.2149 # DEPENDENCYPART_ARC
(3,19),-1.30588 # DEPENDENCYPART_ARC
(3,20),-1.37905 # DEPENDENCYPART_ARC
(3,21),-1.63602 # DEPENDENCYPART_ARC
(4,1),0.151404 # DEPENDENCYPART_ARC
(4,2),-0.965727 # DEPENDENCYPART_ARC
(4,3),2.40953 # DEPENDENCYPART_ARC
(4,5),2.10593 # DEPENDENCYPART_ARC
(4,6),0.183173 # DEPENDENCYPART_ARC
(4,7),0.649095 # DEPENDENCYPART_ARC
(4,8),0.125359 # DEPENDENCYPART_ARC
(4,9),-0.146197 # DEPENDENCYPART_ARC
(4,10),0.266712 # DEPENDENCYPART_ARC
(4,11),-0.534709 # DEPENDENCYPART_ARC
(4,12),-0.375136 # DEPENDENCYPART_ARC
(4,13),-0.396229 # DEPENDENCYPART_ARC
(4,14),-0.523792 # DEPENDENCYPART_ARC
(4,15),-0.919343 # DEPENDENCYPART_ARC
(4,16),-1.10582 # DEPENDENCYPART_ARC
(4,17),-0.819455 # DEPENDENCYPART_ARC
(4,18),-0.768858 # DEPENDENCYPART_ARC
(4,19),-0.9753 # DEPENDENCYPART_ARC
(4,20),-1.5695 # DEPENDENCYPART_ARC
(4,21),-1.43342 # DEPENDENCYPART_ARC
(5,1),-1.26056 # DEPENDENCYPART_ARC
(5,2),-2.13506 # DEPENDENCYPART_ARC
(5,3),-0.0630421 # DEPENDENCYPART_ARC
(5,4),-0.128798 # DEPENDENCYPART_ARC
(5,6),4.1602 # DEPENDENCYPART_ARC
(5,7),0.582727 # DEPENDENCYPART_ARC
(5,8),0.618515 # DEPENDENCYPART_ARC
(5,9),-0.583173 # DEPENDENCYPART_ARC
(5,10),-0.158359 # DEPENDENCYPART_ARC
(5,11),-1.67764 # DEPENDENCYPART_ARC
(5,12),-2.74477 # DEPENDENCYPART_ARC
(5,13),-3.05614 # DEPENDENCYPART_ARC
(5,14),-0.0436509 # DEPENDENCYPART_ARC
(5,15),-1.75188 # DEPENDENCYPART_ARC
(5,16),-2.42652 # DEPENDENCYPART_ARC
(5,17),-4.98362 # DEPENDENCYPART_ARC
(5,18),-1.2264 # DEPENDENCYPART_ARC
(5,19),-4.46983 # DEPENDENCYPART_ARC
(5,20),-1.85631 # DEPENDENCYPART_ARC
(5,21),-1.47806 # DEPENDENCYPART_ARC
(6,1),-1.58943 # DEPENDENCYPART_ARC
(6,2),-2.35088 # DEPENDENCYPART_ARC
(6,3),-0.364366 # DEPENDENCYPART_ARC
(6,4),0.131025 # DEPENDENCYPART_ARC
(6,5),0.860661 # DEPENDENCYPART_ARC
(6,7),2.79775 # DEPENDENCYPART_ARC
(6,8),1.10647 # DEPENDENCYPART_ARC
(6,9),-0.0808984 # DEPENDENCYPART_ARC
(6,10),0.124194 # DEPENDENCYPART_ARC
(6,11),0.0515616 # DEPENDENCYPART_ARC
(6,12),-0.296155 # DEPENDENCYPART_ARC
(6,13),0.297078 # DEPENDENCYPART_ARC
(6,14),0.526267 # DEPENDENCYPART_ARC
(6,15),-0.985976 # DEPENDENCYPART_ARC
(6,16),-1.35766 # DEPENDENCYPART_ARC
(6,17),-0.513231 # DEPENDENCYPART_ARC
(6,18),0.425027 # DEPENDENCYPART_ARC
(6,19),-0.515926 # DEPENDENCYPART_ARC
(6,20),0.169375 # DEPENDENCYPART_ARC
(6,21),-2.89648 # DEPENDENCYPART_ARC
(7,1),-1.8465 # DEPENDENCYPART_ARC
(7,2),-2.80941 # DEPENDENCYPART_ARC
(7,3),-0.987702 # DEPENDENCYPART_ARC
(7,4),-1.64141 # DEPENDENCYPART_ARC
(7,5),-0.775267 # DEPENDENCYPART_ARC
(7,6),-1.09772 # DEPENDENCYPART_ARC
(7,8),4.16781 # DEPENDENCYPART_ARC
(7,9),-0.342404 # DEPENDENCYPART_ARC
(7,10),0.010101 # DEPENDENCYPART_ARC
(7,11),-1.03596 # DEPENDENCYPART_ARC
(7,12),-1.56879 # DEPENDENCYPART_ARC
(7,13),-2.09624 # DEPENDENCYPART_ARC
