# _root_ Bilim , _ Aydınlanma mücadelesinde , _ insanlığın _ elindeki en _ önemli kazanımlardan _ _ biridir .
#goldHeads=17,0,4,5,17,0,8,10,10,14,13,13,14,17,16,17,18,0,
#predictedHeads=17,0,4,5,17,0,8,9,10,14,13,13,14,17,16,17,18,0,
(0,1),-0.434757 # DEPENDENCYPART_ARC
(0,2),2.12238 # DEPENDENCYPART_ARC
(0,3),-1.00822 # DEPENDENCYPART_ARC
(0,4),-0.612728 # DEPENDENCYPART_ARC
(0,5),-1.04661 # DEPENDENCYPART_ARC
(0,6),1.74702 # DEPENDENCYPART_ARC
(0,7),-0.663063 # DEPENDENCYPART_ARC
(0,8),-0.676346 # DEPENDENCYPART_ARC
(0,9),-1.12602 # DEPENDENCYPART_ARC
(0,10),-1.23145 # DEPENDENCYPART_ARC
(0,11),-1.2689 # DEPENDENCYPART_ARC
(0,12),-1.20492 # DEPENDENCYPART_ARC
(0,13),-1.56948 # DEPENDENCYPART_ARC
(0,14),-0.836508 # DEPENDENCYPART_ARC
(0,15),-2.25337 # DEPENDENCYPART_ARC
(0,16),-1.73924 # DEPENDENCYPART_ARC
(0,17),-1.27503 # DEPENDENCYPART_ARC
(0,18),3.29866 # DEPENDENCYPART_ARC
(1,2),0.118669 # DEPENDENCYPART_ARC
(1,3),-0.747219 # DEPENDENCYPART_ARC
(1,4),-0.44339 # DEPENDENCYPART_ARC
(1,5),-1.69347 # DEPENDENCYPART_ARC
(1,6),-0.513369 # DEPENDENCYPART_ARC
(1,7),-1.07955 # DEPENDENCYPART_ARC
(1,8),-1.21712 # DEPENDENCYPART_ARC
(1,9),-2.54912 # DEPENDENCYPART_ARC
(1,10),-0.938696 # DEPENDENCYPART_ARC
(1,11),-1.04962 # DEPENDENCYPART_ARC
(1,12),-1.87485 # DEPENDENCYPART_ARC
(1,13),-1.24697 # DEPENDENCYPART_ARC
(1,14),-3.1598 # DEPENDENCYPART_ARC
(1,15),-1.30515 # DEPENDENCYPART_ARC
(1,16),-2.43567 # DEPENDENCYPART_ARC
(1,17),-1.8509 # DEPENDENCYPART_ARC
(1,18),-1.35654 # DEPENDENCYPART_ARC
(2,1),0.620047 # DEPENDENCYPART_ARC
(2,3),-0.0252784 # DEPENDENCYPART_ARC
(2,4),-0.130363 # DEPENDENCYPART_ARC
(2,5),-0.208172 # DEPENDENCYPART_ARC
(2,6),-0.611411 # DEPENDENCYPART_ARC
(2,7),-0.666419 # DEPENDENCYPART_ARC
(2,8),-0.475302 # DEPENDENCYPART_ARC
(2,9),-0.868929 # DEPENDENCYPART_ARC
(2,10),-0.928572 # DEPENDENCYPART_ARC
(2,11),-0.79926 # DEPENDENCYPART_ARC
(2,12),-1.18295 # DEPENDENCYPART_ARC
(2,13),-1.06511 # DEPENDENCYPART_ARC
(2,14),-1.38717 # DEPENDENCYPART_ARC
