# _root_ Odaya en büyük yeğen yerleşti , işin beyni o _ olduğuna göre , _ münasiptir .
#goldHeads=5,3,4,5,6,14,8,10,10,11,12,14,0,15,16,0,
#predictedHeads=5,3,4,5,6,15,8,10,11,11,12,15,0,15,16,0,
(0,1),-0.621308 # DEPENDENCYPART_ARC
(0,4),-0.897388 # DEPENDENCYPART_ARC
(0,5),-1.50871 # DEPENDENCYPART_ARC
(0,6),0.831266 # DEPENDENCYPART_ARC
(0,7),-0.865031 # DEPENDENCYPART_ARC
(0,8),-1.29984 # DEPENDENCYPART_ARC
(0,10),-1.73503 # DEPENDENCYPART_ARC
(0,13),1.40348 # DEPENDENCYPART_ARC
(0,16),2.57517 # DEPENDENCYPART_ARC
(1,2),0.0882335 # DEPENDENCYPART_ARC
(1,3),-0.243728 # DEPENDENCYPART_ARC
(1,4),-1.37871 # DEPENDENCYPART_ARC
(1,5),-1.43206 # DEPENDENCYPART_ARC
(1,6),-0.304761 # DEPENDENCYPART_ARC
(1,7),-1.75527 # DEPENDENCYPART_ARC
(1,8),-1.66809 # DEPENDENCYPART_ARC
(1,9),-1.62707 # DEPENDENCYPART_ARC
(1,10),-1.59848 # DEPENDENCYPART_ARC
(1,11),-1.41851 # DEPENDENCYPART_ARC
(1,12),-1.1482 # DEPENDENCYPART_ARC
(1,13),-0.977888 # DEPENDENCYPART_ARC
(1,14),-1.59185 # DEPENDENCYPART_ARC
(1,15),-1.56898 # DEPENDENCYPART_ARC
(1,16),-1.33916 # DEPENDENCYPART_ARC
(2,1),0.363996 # DEPENDENCYPART_ARC
(2,3),-0.107567 # DEPENDENCYPART_ARC
(2,4),-0.6001 # DEPENDENCYPART_ARC
(2,5),-0.546312 # DEPENDENCYPART_ARC
(2,6),-0.526635 # DEPENDENCYPART_ARC
(2,7),-1.17898 # DEPENDENCYPART_ARC
(2,8),-1.20766 # DEPENDENCYPART_ARC
(2,9),-0.759089 # DEPENDENCYPART_ARC
(2,10),-0.970981 # DEPENDENCYPART_ARC
(2,11),-1.214 # DEPENDENCYPART_ARC
(2,12),-0.614927 # DEPENDENCYPART_ARC
(2,13),-1.05892 # DEPENDENCYPART_ARC
(2,14),-1.28947 # DEPENDENCYPART_ARC
(2,15),-1.11354 # DEPENDENCYPART_ARC
(2,16),-1.36041 # DEPENDENCYPART_ARC
(3,1),0.977153 # DEPENDENCYPART_ARC
(3,2),2.14591 # DEPENDENCYPART_ARC
(3,4),0.340871 # DEPENDENCYPART_ARC
(3,5),-0.248244 # DEPENDENCYPART_ARC
(3,6),-0.405247 # DEPENDENCYPART_ARC
(3,7),-0.443527 # DEPENDENCYPART_ARC
(3,8),-0.726676 # DEPENDENCYPART_ARC
(3,9),-0.521481 # DEPENDENCYPART_ARC
(3,10),-0.847656 # DEPENDENCYPART_ARC
(3,11),-0.751875 # DEPENDENCYPART_ARC
(3,12),-0.570785 # DEPENDENCYPART_ARC
(3,13),-0.897796 # DEPENDENCYPART_ARC
(3,14),-1.45544 # DEPENDENCYPART_ARC
(3,15),-1.02285 # DEPENDENCYPART_ARC
(3,16),-1.40047 # DEPENDENCYPART_ARC
(4,1),0.376073 # DEPENDENCYPART_ARC
(4,2),0.665272 # DEPENDENCYPART_ARC
(4,3),2.53704 # DEPENDENCYPART_ARC
(4,5),-0.335788 # DEPENDENCYPART_ARC
(4,6),0.539436 # DEPENDENCYPART_ARC
(4,7),-0.426181 # DEPENDENCYPART_ARC
(4,8),-0.513002 # DEPENDENCYPART_ARC
(4,9),-0.329861 # DEPENDENCYPART_ARC
(4,10),-1.13705 # DEPENDENCYPART_ARC
(4,11),-0.411853 # DEPENDENCYPART_ARC
(4,12),-0.601481 # DEPENDENCYPART_ARC
(4,13),-0.346283 # DEPENDENCYPART_ARC
(4,14),-0.600831 # DEPENDENCYPART_ARC
(4,15),-1.13289 # DEPENDENCYPART_ARC
(4,16),-0.885261 # DEPENDENCYPART_ARC
(5,1),2.3352 # DEPENDENCYPART_ARC
(5,2),0.906591 # DEPENDENCYPART_ARC
(5,3),1.44939 # DEPENDENCYPART_ARC
(5,4),3.67914 # DEPENDENCYPART_ARC
(5,6),-0.0506531 # DEPENDENCYPART_ARC
(5,7),-1.32752 # DEPENDENCYPART_ARC
(5,8),0.666801 # DEPENDENCYPART_ARC
(5,9),-0.785787 # DEPENDENCYPART_ARC
(5,10),-0.984202 # DEPENDENCYPART_ARC
(5,11),0.22309 # DEPENDENCYPART_ARC
(5,12),1.0029 # DEPENDENCYPART_ARC
(5,13),-0.85749 # DEPENDENCYPART_ARC
(5,14),-1.39005 # DEPENDENCYPART_ARC
(5,15),-0.648005 # DEPENDENCYPART_ARC
(5,16),-1.29649 # DEPENDENCYPART_ARC
(6,1),0.582956 # DEPENDENCYPART_ARC
