# _root_ Gündüz ayrı iş , gece ayrı iş ; can mı dayanır , diye _ söylendi saatine _ bakarken .
#goldHeads=3,3,4,7,7,7,8,0,11,9,12,13,15,15,19,17,18,15,0,
#predictedHeads=3,3,4,0,7,7,11,0,11,9,12,13,14,15,19,17,18,15,0,
(0,1),-0.849448 # DEPENDENCYPART_ARC
(0,3),-1.14945 # DEPENDENCYPART_ARC
(0,4),1.75174 # DEPENDENCYPART_ARC
(0,5),-1.18759 # DEPENDENCYPART_ARC
(0,7),-1.15338 # DEPENDENCYPART_ARC
(0,8),2.25818 # DEPENDENCYPART_ARC
(0,9),-0.865773 # DEPENDENCYPART_ARC
(0,11),-1.92335 # DEPENDENCYPART_ARC
(0,12),0.772676 # DEPENDENCYPART_ARC
(0,14),-1.73737 # DEPENDENCYPART_ARC
(0,15),-1.92692 # DEPENDENCYPART_ARC
(0,16),-1.14148 # DEPENDENCYPART_ARC
(0,17),-2.60125 # DEPENDENCYPART_ARC
(0,19),3.91064 # DEPENDENCYPART_ARC
(1,2),0.155928 # DEPENDENCYPART_ARC
(1,3),-0.460558 # DEPENDENCYPART_ARC
(1,4),-0.379098 # DEPENDENCYPART_ARC
(1,5),-1.14041 # DEPENDENCYPART_ARC
(1,6),-1.02177 # DEPENDENCYPART_ARC
(1,7),-1.3957 # DEPENDENCYPART_ARC
(1,8),-0.968709 # DEPENDENCYPART_ARC
(1,9),-1.65684 # DEPENDENCYPART_ARC
(1,10),-0.124811 # DEPENDENCYPART_ARC
(1,11),-1.70007 # DEPENDENCYPART_ARC
(1,12),-0.829142 # DEPENDENCYPART_ARC
(1,13),-1.03783 # DEPENDENCYPART_ARC
(1,14),-1.6526 # DEPENDENCYPART_ARC
(1,15),-1.9243 # DEPENDENCYPART_ARC
(1,16),-1.63981 # DEPENDENCYPART_ARC
(1,17),-2.37045 # DEPENDENCYPART_ARC
(1,18),-1.40984 # DEPENDENCYPART_ARC
(1,19),-1.55423 # DEPENDENCYPART_ARC
(2,1),1.39897 # DEPENDENCYPART_ARC
(2,3),0.440826 # DEPENDENCYPART_ARC
(2,4),-0.253101 # DEPENDENCYPART_ARC
(2,5),-0.520688 # DEPENDENCYPART_ARC
(2,6),-1.12489 # DEPENDENCYPART_ARC
(2,7),-0.715527 # DEPENDENCYPART_ARC
(2,8),-0.929792 # DEPENDENCYPART_ARC
(2,9),-0.932778 # DEPENDENCYPART_ARC
(2,10),-0.611065 # DEPENDENCYPART_ARC
(2,11),-0.893039 # DEPENDENCYPART_ARC
(2,12),-0.99561 # DEPENDENCYPART_ARC
(2,13),-0.794697 # DEPENDENCYPART_ARC
(2,14),-1.14664 # DEPENDENCYPART_ARC
(2,15),-1.22478 # DEPENDENCYPART_ARC
(2,16),-1.14055 # DEPENDENCYPART_ARC
(2,17),-1.27696 # DEPENDENCYPART_ARC
(2,18),-0.79275 # DEPENDENCYPART_ARC
(2,19),-1.56412 # DEPENDENCYPART_ARC
(3,1),1.63847 # DEPENDENCYPART_ARC
(3,2),2.6634 # DEPENDENCYPART_ARC
(3,4),0.14623 # DEPENDENCYPART_ARC
(3,5),-0.250984 # DEPENDENCYPART_ARC
(3,6),-0.716534 # DEPENDENCYPART_ARC
(3,7),-0.571993 # DEPENDENCYPART_ARC
(3,8),-0.961684 # DEPENDENCYPART_ARC
(3,9),-0.982164 # DEPENDENCYPART_ARC
(3,10),-0.200278 # DEPENDENCYPART_ARC
(3,11),-1.72534 # DEPENDENCYPART_ARC
(3,12),-0.728789 # DEPENDENCYPART_ARC
(3,13),-0.84503 # DEPENDENCYPART_ARC
(3,14),-1.41864 # DEPENDENCYPART_ARC
(3,15),-1.92806 # DEPENDENCYPART_ARC
(3,16),-1.19493 # DEPENDENCYPART_ARC
(3,17),-2.20262 # DEPENDENCYPART_ARC
(3,18),-1.22211 # DEPENDENCYPART_ARC
(3,19),-1.54121 # DEPENDENCYPART_ARC
(4,1),0.515061 # DEPENDENCYPART_ARC
(4,2),0.685957 # DEPENDENCYPART_ARC
(4,3),1.17915 # DEPENDENCYPART_ARC
(4,5),0.193539 # DEPENDENCYPART_ARC
(4,6),-0.829297 # DEPENDENCYPART_ARC
(4,7),-0.565236 # DEPENDENCYPART_ARC
(4,8),-0.417808 # DEPENDENCYPART_ARC
(4,9),-0.633203 # DEPENDENCYPART_ARC
(4,10),-0.743624 # DEPENDENCYPART_ARC
(4,11),-0.427902 # DEPENDENCYPART_ARC
(4,12),-1.17581 # DEPENDENCYPART_ARC
(4,13),-0.354261 # DEPENDENCYPART_ARC
