# _root_ On_altı yaşında av tezkeresi _ _ alabilen _ gençler , tüm yıl boyunca _ _ avlanabiliyor , askere gitmiyor ve vergi vermiyorlar .
#goldHeads=2,6,4,6,6,7,9,9,16,0,12,13,16,15,16,17,19,19,20,22,22,23,0,
#predictedHeads=2,19,4,6,6,7,9,9,16,0,12,13,16,15,16,17,22,19,20,22,22,23,0,
(0,1),0.20262 # DEPENDENCYPART_ARC
(0,2),-1.39054 # DEPENDENCYPART_ARC
(0,3),-0.895438 # DEPENDENCYPART_ARC
(0,4),-1.1481 # DEPENDENCYPART_ARC
(0,5),-1.45325 # DEPENDENCYPART_ARC
(0,6),-1.16627 # DEPENDENCYPART_ARC
(0,7),-1.1659 # DEPENDENCYPART_ARC
(0,8),-1.55699 # DEPENDENCYPART_ARC
(0,9),-1.30077 # DEPENDENCYPART_ARC
(0,10),2.14018 # DEPENDENCYPART_ARC
(0,11),-0.831317 # DEPENDENCYPART_ARC
(0,12),-1.32497 # DEPENDENCYPART_ARC
(0,13),-1.79922 # DEPENDENCYPART_ARC
(0,14),-1.67052 # DEPENDENCYPART_ARC
(0,15),-1.75253 # DEPENDENCYPART_ARC
(0,16),-1.60834 # DEPENDENCYPART_ARC
(0,17),1.3761 # DEPENDENCYPART_ARC
(0,18),-1.05048 # DEPENDENCYPART_ARC
(0,19),-1.47402 # DEPENDENCYPART_ARC
(0,20),-1.50137 # DEPENDENCYPART_ARC
(0,21),-1.75383 # DEPENDENCYPART_ARC
(0,22),-1.95285 # DEPENDENCYPART_ARC
(0,23),3.12449 # DEPENDENCYPART_ARC
(1,2),-0.0780434 # DEPENDENCYPART_ARC
(1,3),-0.41333 # DEPENDENCYPART_ARC
(1,4),-0.67243 # DEPENDENCYPART_ARC
(1,5),-0.267812 # DEPENDENCYPART_ARC
(1,6),-0.432812 # DEPENDENCYPART_ARC
(1,7),-0.688942 # DEPENDENCYPART_ARC
(1,8),-0.74209 # DEPENDENCYPART_ARC
(1,9),-0.929256 # DEPENDENCYPART_ARC
(1,10),-0.386405 # DEPENDENCYPART_ARC
(1,11),-0.624984 # DEPENDENCYPART_ARC
(1,12),-1.18956 # DEPENDENCYPART_ARC
(1,13),-0.64131 # DEPENDENCYPART_ARC
(1,14),-1.35116 # DEPENDENCYPART_ARC
(1,15),-0.774606 # DEPENDENCYPART_ARC
(1,16),-0.877007 # DEPENDENCYPART_ARC
(1,17),-0.827747 # DEPENDENCYPART_ARC
(1,18),-1.29513 # DEPENDENCYPART_ARC
(1,19),-0.845874 # DEPENDENCYPART_ARC
(1,20),-1.31468 # DEPENDENCYPART_ARC
(1,21),-1.69897 # DEPENDENCYPART_ARC
(1,22),-1.28037 # DEPENDENCYPART_ARC
(1,23),-1.44216 # DEPENDENCYPART_ARC
(2,1),2.35651 # DEPENDENCYPART_ARC
(2,3),0.276885 # DEPENDENCYPART_ARC
(2,4),0.113453 # DEPENDENCYPART_ARC
(2,5),-0.271594 # DEPENDENCYPART_ARC
(2,6),-0.328799 # DEPENDENCYPART_ARC
(2,7),-0.163647 # DEPENDENCYPART_ARC
(2,8),-0.362081 # DEPENDENCYPART_ARC
(2,9),-1.03859 # DEPENDENCYPART_ARC
(2,10),-0.398375 # DEPENDENCYPART_ARC
(2,11),-0.0384604 # DEPENDENCYPART_ARC
(2,12),-0.883284 # DEPENDENCYPART_ARC
(2,13),-0.459908 # DEPENDENCYPART_ARC
(2,14),-1.49494 # DEPENDENCYPART_ARC
(2,15),-1.01388 # DEPENDENCYPART_ARC
(2,16),-0.756736 # DEPENDENCYPART_ARC
(2,17),-0.457944 # DEPENDENCYPART_ARC
(2,18),-1.24975 # DEPENDENCYPART_ARC
(2,19),-0.568756 # DEPENDENCYPART_ARC
(2,20),-1.65536 # DEPENDENCYPART_ARC
(2,21),-2.01019 # DEPENDENCYPART_ARC
(2,22),-1.44861 # DEPENDENCYPART_ARC
(2,23),-1.78122 # DEPENDENCYPART_ARC
(3,1),0.851676 # DEPENDENCYPART_ARC
(3,2),1.46776 # DEPENDENCYPART_ARC
(3,4),-0.0688291 # DEPENDENCYPART_ARC
(3,5),-0.459028 # DEPENDENCYPART_ARC
(3,6),-0.570609 # DEPENDENCYPART_ARC
(3,7),-0.0749769 # DEPENDENCYPART_ARC
(3,8),-0.377578 # DEPENDENCYPART_ARC
(3,9),-0.620205 # DEPENDENCYPART_ARC
(3,10),-0.437947 # DEPENDENCYPART_ARC
(3,11),-0.221168 # DEPENDENCYPART_ARC
(3,12),-0.928972 # DEPENDENCYPART_ARC
(3,13),-0.280517 # DEPENDENCYPART_ARC
(3,14),-1.59326 # DEPENDENCYPART_ARC
(3,15),-1.38673 # DEPENDENCYPART_ARC
(3,16),-1.60223 # DEPENDENCYPART_ARC
(3,17),-0.465946 # DEPENDENCYPART_ARC
(3,18),-1.61948 # DEPENDENCYPART_ARC
(3,19),-1.35349 # DEPENDENCYPART_ARC
(3,20),-1.51665 # DEPENDENCYPART_ARC
(3,21),-2.22439 # DEPENDENCYPART_ARC
(3,22),-2.0209 # DEPENDENCYPART_ARC
(3,23),-1.72308 # DEPENDENCYPART_ARC
(4,1),0.208353 # DEPENDENCYPART_ARC
(4,2),0.737658 # DEPENDENCYPART_ARC
(4,3),3.28882 # DEPENDENCYPART_ARC
(4,5),-0.0681849 # DEPENDENCYPART_ARC
(4,6),-0.344262 # DEPENDENCYPART_ARC
(4,7),-0.0138679 # DEPENDENCYPART_ARC
(4,8),-0.221932 # DEPENDENCYPART_ARC
