# _root_ Dışişleri_Bakanlığı , Türkiye'nin devlet _ olarak dava sürecine müdahil _ olmama kararını , Yunan mevzuatına _ dayanarak aldı .
#goldHeads=18,0,12,5,6,11,8,11,11,11,12,18,0,15,17,17,18,19,0,
#predictedHeads=2,0,5,5,6,9,8,10,10,11,12,13,0,15,16,17,18,19,0,
(0,1),-1.04148 # DEPENDENCYPART_ARC
(0,2),2.27702 # DEPENDENCYPART_ARC
(0,3),-0.603887 # DEPENDENCYPART_ARC
(0,4),-0.361539 # DEPENDENCYPART_ARC
(0,5),-1.4433 # DEPENDENCYPART_ARC
(0,7),-0.669957 # DEPENDENCYPART_ARC
(0,8),-0.845188 # DEPENDENCYPART_ARC
(0,10),-1.44017 # DEPENDENCYPART_ARC
(0,12),-1.21257 # DEPENDENCYPART_ARC
(0,13),1.67767 # DEPENDENCYPART_ARC
(0,14),-0.710401 # DEPENDENCYPART_ARC
(0,15),-0.724671 # DEPENDENCYPART_ARC
(0,16),-2.29963 # DEPENDENCYPART_ARC
(0,18),-1.92185 # DEPENDENCYPART_ARC
(0,19),3.17803 # DEPENDENCYPART_ARC
(1,2),0.361841 # DEPENDENCYPART_ARC
(1,3),0.564972 # DEPENDENCYPART_ARC
(1,4),-0.686107 # DEPENDENCYPART_ARC
(1,5),-1.17834 # DEPENDENCYPART_ARC
(1,6),-0.968649 # DEPENDENCYPART_ARC
(1,7),-0.773531 # DEPENDENCYPART_ARC
(1,8),-0.83235 # DEPENDENCYPART_ARC
(1,9),-1.071 # DEPENDENCYPART_ARC
(1,10),-1.17154 # DEPENDENCYPART_ARC
(1,11),-0.752047 # DEPENDENCYPART_ARC
(1,12),-1.33909 # DEPENDENCYPART_ARC
(1,13),-0.754838 # DEPENDENCYPART_ARC
(1,14),-1.42279 # DEPENDENCYPART_ARC
(1,15),-1.3264 # DEPENDENCYPART_ARC
(1,16),-1.89483 # DEPENDENCYPART_ARC
(1,17),-1.39853 # DEPENDENCYPART_ARC
(1,18),-2.31452 # DEPENDENCYPART_ARC
(1,19),-1.39539 # DEPENDENCYPART_ARC
(2,1),0.734096 # DEPENDENCYPART_ARC
(2,3),0.369508 # DEPENDENCYPART_ARC
(2,4),0.145862 # DEPENDENCYPART_ARC
(2,5),-0.0389305 # DEPENDENCYPART_ARC
(2,6),-0.308197 # DEPENDENCYPART_ARC
(2,7),-0.271541 # DEPENDENCYPART_ARC
(2,8),-0.0182325 # DEPENDENCYPART_ARC
