# _root_ Bu _ gerçeklik içinde bir nesne gibi _ bakabiliriz ona , öznel bir nesne , bir _ gerçeklik _ görünüşü var .
#goldHeads=2,3,4,8,6,7,8,9,11,8,0,14,14,19,0,17,18,19,20,21,22,0,
#predictedHeads=3,3,4,8,6,7,8,9,11,9,0,14,14,15,0,17,18,20,20,21,22,0,
(0,3),-1.25166 # DEPENDENCYPART_ARC
(0,4),-1.36855 # DEPENDENCYPART_ARC
(0,6),-1.0031 # DEPENDENCYPART_ARC
(0,8),-1.25179 # DEPENDENCYPART_ARC
(0,9),-0.821729 # DEPENDENCYPART_ARC
(0,11),1.74346 # DEPENDENCYPART_ARC
(0,14),-1.37884 # DEPENDENCYPART_ARC
(0,15),1.62756 # DEPENDENCYPART_ARC
(0,17),-1.87336 # DEPENDENCYPART_ARC
(0,18),-1.40955 # DEPENDENCYPART_ARC
(0,19),-1.81777 # DEPENDENCYPART_ARC
(0,21),-1.82873 # DEPENDENCYPART_ARC
(0,22),2.2481 # DEPENDENCYPART_ARC
(1,2),0.0186467 # DEPENDENCYPART_ARC
(1,3),-0.400254 # DEPENDENCYPART_ARC
(1,4),-0.602743 # DEPENDENCYPART_ARC
(1,6),-0.870484 # DEPENDENCYPART_ARC
(1,11),-0.53174 # DEPENDENCYPART_ARC
(1,12),-0.944949 # DEPENDENCYPART_ARC
(1,14),-1.42839 # DEPENDENCYPART_ARC
(1,15),-0.827599 # DEPENDENCYPART_ARC
(1,17),-1.39245 # DEPENDENCYPART_ARC
(1,18),-1.40619 # DEPENDENCYPART_ARC
(1,22),-1.16231 # DEPENDENCYPART_ARC
(2,1),0.568483 # DEPENDENCYPART_ARC
(2,3),-0.0380748 # DEPENDENCYPART_ARC
(2,4),-0.487845 # DEPENDENCYPART_ARC
(2,5),-0.524767 # DEPENDENCYPART_ARC
(2,6),-0.760224 # DEPENDENCYPART_ARC
(2,7),-0.920946 # DEPENDENCYPART_ARC
(2,8),-1.17657 # DEPENDENCYPART_ARC
(2,9),-1.12552 # DEPENDENCYPART_ARC
(2,10),-0.70663 # DEPENDENCYPART_ARC
(2,11),-1.02304 # DEPENDENCYPART_ARC
(2,12),-1.56067 # DEPENDENCYPART_ARC
(2,13),-0.940901 # DEPENDENCYPART_ARC
(2,14),-1.27482 # DEPENDENCYPART_ARC
(2,15),-1.59947 # DEPENDENCYPART_ARC
(2,16),-0.922129 # DEPENDENCYPART_ARC
(2,17),-1.68505 # DEPENDENCYPART_ARC
(2,18),-1.79112 # DEPENDENCYPART_ARC
(2,19),-1.98594 # DEPENDENCYPART_ARC
(2,20),-1.79329 # DEPENDENCYPART_ARC
(2,21),-2.10615 # DEPENDENCYPART_ARC
(2,22),-2.16247 # DEPENDENCYPART_ARC
(3,1),1.8164 # DEPENDENCYPART_ARC
(3,2),2.45043 # DEPENDENCYPART_ARC
(3,4),-0.560478 # DEPENDENCYPART_ARC
(3,5),-0.527622 # DEPENDENCYPART_ARC
(3,6),-0.52656 # DEPENDENCYPART_ARC
(3,7),-1.00745 # DEPENDENCYPART_ARC
(3,8),-1.47534 # DEPENDENCYPART_ARC
(3,9),-1.13942 # DEPENDENCYPART_ARC
(3,10),-2.27409 # DEPENDENCYPART_ARC
(3,11),-0.986517 # DEPENDENCYPART_ARC
(3,12),-1.19115 # DEPENDENCYPART_ARC
(3,13),-0.921281 # DEPENDENCYPART_ARC
(3,14),-1.05771 # DEPENDENCYPART_ARC
(3,15),-1.42541 # DEPENDENCYPART_ARC
(3,16),-1.01692 # DEPENDENCYPART_ARC
(3,17),-1.6137 # DEPENDENCYPART_ARC
(3,18),-1.67363 # DEPENDENCYPART_ARC
(3,19),-2.19291 # DEPENDENCYPART_ARC
(3,20),-1.78503 # DEPENDENCYPART_ARC
(3,21),-2.11904 # DEPENDENCYPART_ARC
(3,22),-1.78274 # DEPENDENCYPART_ARC
(4,1),0.913299 # DEPENDENCYPART_ARC
(4,2),0.79613 # DEPENDENCYPART_ARC
(4,3),3.28747 # DEPENDENCYPART_ARC
(4,5),0.384323 # DEPENDENCYPART_ARC
(4,6),0.0865307 # DEPENDENCYPART_ARC
(4,7),-0.555388 # DEPENDENCYPART_ARC
(4,8),-0.753138 # DEPENDENCYPART_ARC
(4,9),-0.953227 # DEPENDENCYPART_ARC
(4,10),-1.11251 # DEPENDENCYPART_ARC
(4,11),-0.537784 # DEPENDENCYPART_ARC
(4,12),-0.900435 # DEPENDENCYPART_ARC
(4,13),-0.431564 # DEPENDENCYPART_ARC
(4,14),-0.582019 # DEPENDENCYPART_ARC
(4,15),-0.992651 # DEPENDENCYPART_ARC
(4,16),-0.515162 # DEPENDENCYPART_ARC
(4,17),-1.46968 # DEPENDENCYPART_ARC
(4,18),-1.0445 # DEPENDENCYPART_ARC
(4,19),-1.66445 # DEPENDENCYPART_ARC
(4,20),-1.41081 # DEPENDENCYPART_ARC
(4,21),-1.78103 # DEPENDENCYPART_ARC
(4,22),-1.45148 # DEPENDENCYPART_ARC
(5,2),-0.523378 # DEPENDENCYPART_ARC
(5,3),-0.440072 # DEPENDENCYPART_ARC
(5,4),0.263106 # DEPENDENCYPART_ARC
(5,6),0.0665447 # DEPENDENCYPART_ARC
(5,11),-0.378849 # DEPENDENCYPART_ARC
(5,12),-0.679873 # DEPENDENCYPART_ARC
(5,14),-0.67911 # DEPENDENCYPART_ARC
(5,15),-0.667941 # DEPENDENCYPART_ARC
(5,17),-0.943371 # DEPENDENCYPART_ARC
(5,18),-1.04675 # DEPENDENCYPART_ARC
(5,22),-1.04186 # DEPENDENCYPART_ARC
(6,1),0.789918 # DEPENDENCYPART_ARC
(6,2),-0.125582 # DEPENDENCYPART_ARC
(6,3),1.54742 # DEPENDENCYPART_ARC
(6,4),0.866225 # DEPENDENCYPART_ARC
(6,5),2.83595 # DEPENDENCYPART_ARC
(6,7),0.0134469 # DEPENDENCYPART_ARC
(6,8),-0.742117 # DEPENDENCYPART_ARC
(6,9),-1.18377 # DEPENDENCYPART_ARC
(6,10),-1.27072 # DEPENDENCYPART_ARC
(6,11),-0.567312 # DEPENDENCYPART_ARC
(6,12),-0.792938 # DEPENDENCYPART_ARC
(6,13),-0.662086 # DEPENDENCYPART_ARC
(6,14),-0.942558 # DEPENDENCYPART_ARC
(6,15),-0.969867 # DEPENDENCYPART_ARC
(6,16),-0.566736 # DEPENDENCYPART_ARC
(6,17),-1.49511 # DEPENDENCYPART_ARC
(6,18),-1.55639 # DEPENDENCYPART_ARC
(6,19),-1.94463 # DEPENDENCYPART_ARC
(6,20),-1.75222 # DEPENDENCYPART_ARC
(6,21),-2.24164 # DEPENDENCYPART_ARC
(6,22),-1.5498 # DEPENDENCYPART_ARC
(7,1),0.0697043 # DEPENDENCYPART_ARC
(7,2),-0.154089 # DEPENDENCYPART_ARC
(7,3),1.08246 # DEPENDENCYPART_ARC
(7,4),1.05986 # DEPENDENCYPART_ARC
(7,5),0.969103 # DEPENDENCYPART_ARC
(7,6),3.83831 # DEPENDENCYPART_ARC
(7,8),-0.042075 # DEPENDENCYPART_ARC
(7,9),-0.328181 # DEPENDENCYPART_ARC
(7,10),-0.535994 # DEPENDENCYPART_ARC
(7,11),-0.306079 # DEPENDENCYPART_ARC
(7,12),-0.818259 # DEPENDENCYPART_ARC
(7,13),-0.636282 # DEPENDENCYPART_ARC
(7,14),-0.389698 # DEPENDENCYPART_ARC
(7,15),-0.777664 # DEPENDENCYPART_ARC
(7,16),-0.585472 # DEPENDENCYPART_ARC
(7,17),-0.425282 # DEPENDENCYPART_ARC
(7,18),-0.69796 # DEPENDENCYPART_ARC
(7,19),-0.917929 # DEPENDENCYPART_ARC
(7,20),-1.01208 # DEPENDENCYPART_ARC
(7,21),-0.996718 # DEPENDENCYPART_ARC
(7,22),-0.85551 # DEPENDENCYPART_ARC
(8,1),0.0834299 # DEPENDENCYPART_ARC
(8,2),-2.67686 # DEPENDENCYPART_ARC
(8,3),1.15404 # DEPENDENCYPART_ARC
(8,4),1.76134 # DEPENDENCYPART_ARC
(8,5),0.0809467 # DEPENDENCYPART_ARC
(8,6),1.48267 # DEPENDENCYPART_ARC
(8,7),2.23184 # DEPENDENCYPART_ARC
(8,9),-0.178156 # DEPENDENCYPART_ARC
(8,10),1.24744 # DEPENDENCYPART_ARC
(8,11),-0.347862 # DEPENDENCYPART_ARC
(8,12),-0.573529 # DEPENDENCYPART_ARC
(8,13),-0.713172 # DEPENDENCYPART_ARC
(8,14),-0.621338 # DEPENDENCYPART_ARC
(8,15),-0.682256 # DEPENDENCYPART_ARC
(8,16),-0.789746 # DEPENDENCYPART_ARC
(8,17),-1.8831 # DEPENDENCYPART_ARC
(8,18),-1.29692 # DEPENDENCYPART_ARC
(8,19),-1.72729 # DEPENDENCYPART_ARC
(8,20),-2.2743 # DEPENDENCYPART_ARC
(8,21),-1.35221 # DEPENDENCYPART_ARC
(8,22),-1.40415 # DEPENDENCYPART_ARC
(9,1),0.342415 # DEPENDENCYPART_ARC
(9,2),-2.8402 # DEPENDENCYPART_ARC
(9,3),1.37856 # DEPENDENCYPART_ARC
(9,4),1.25617 # DEPENDENCYPART_ARC
(9,5),0.231392 # DEPENDENCYPART_ARC
(9,6),1.16 # DEPENDENCYPART_ARC
(9,7),1.22452 # DEPENDENCYPART_ARC
(9,8),2.14856 # DEPENDENCYPART_ARC
(9,10),2.25359 # DEPENDENCYPART_ARC
(9,11),0.23054 # DEPENDENCYPART_ARC
(9,12),0.0253074 # DEPENDENCYPART_ARC
(9,13),-0.184407 # DEPENDENCYPART_ARC
(9,14),0.511508 # DEPENDENCYPART_ARC
(9,15),-0.207673 # DEPENDENCYPART_ARC
(9,16),-0.32466 # DEPENDENCYPART_ARC
(9,17),-0.75708 # DEPENDENCYPART_ARC
(9,18),-0.237003 # DEPENDENCYPART_ARC
(9,19),-0.876399 # DEPENDENCYPART_ARC
(9,20),-0.462626 # DEPENDENCYPART_ARC
(9,21),0.0298512 # DEPENDENCYPART_ARC
(9,22),-0.788487 # DEPENDENCYPART_ARC
(10,1),-0.151567 # DEPENDENCYPART_ARC
(10,2),-0.362332 # DEPENDENCYPART_ARC
(10,3),0.286333 # DEPENDENCYPART_ARC
(10,4),-1.19237 # DEPENDENCYPART_ARC
(10,5),-0.0721901 # DEPENDENCYPART_ARC
(10,6),-1.31803 # DEPENDENCYPART_ARC
(10,11),0.0933231 # DEPENDENCYPART_ARC
(10,12),-0.490614 # DEPENDENCYPART_ARC
(10,13),-0.563269 # DEPENDENCYPART_ARC
(10,14),-0.538352 # DEPENDENCYPART_ARC
(10,15),-0.720538 # DEPENDENCYPART_ARC
(10,16),-0.642453 # DEPENDENCYPART_ARC
(10,17),-0.759526 # DEPENDENCYPART_ARC
(10,18),-1.2049 # DEPENDENCYPART_ARC
(10,20),-0.645274 # DEPENDENCYPART_ARC
(10,22),-0.934322 # DEPENDENCYPART_ARC
(11,1),-0.0998596 # DEPENDENCYPART_ARC
(11,2),-2.47786 # DEPENDENCYPART_ARC
(11,3),0.722496 # DEPENDENCYPART_ARC
(11,4),0.767542 # DEPENDENCYPART_ARC
(11,5),0.0620815 # DEPENDENCYPART_ARC
(11,6),0.89836 # DEPENDENCYPART_ARC
(11,7),0.503834 # DEPENDENCYPART_ARC
(11,8),-0.182258 # DEPENDENCYPART_ARC
(11,9),1.68047 # DEPENDENCYPART_ARC
(11,10),0.68755 # DEPENDENCYPART_ARC
(11,12),-0.473711 # DEPENDENCYPART_ARC
(11,13),-0.494869 # DEPENDENCYPART_ARC
(11,14),-0.399904 # DEPENDENCYPART_ARC
(11,15),-0.330027 # DEPENDENCYPART_ARC
(11,16),-0.858646 # DEPENDENCYPART_ARC
(11,17),-0.804826 # DEPENDENCYPART_ARC
(11,18),-0.629949 # DEPENDENCYPART_ARC
(11,19),-1.02624 # DEPENDENCYPART_ARC
(11,20),-0.513393 # DEPENDENCYPART_ARC
(11,21),-0.682861 # DEPENDENCYPART_ARC
(11,22),-1.67323 # DEPENDENCYPART_ARC
(12,1),-1.09208 # DEPENDENCYPART_ARC
(12,2),-3.39501 # DEPENDENCYPART_ARC
(12,3),-0.93783 # DEPENDENCYPART_ARC
(12,4),-1.19047 # DEPENDENCYPART_ARC
(12,5),-1.0774 # DEPENDENCYPART_ARC
(12,6),-0.907517 # DEPENDENCYPART_ARC
(12,7),-0.865477 # DEPENDENCYPART_ARC
(12,8),-0.873969 # DEPENDENCYPART_ARC
(12,9),-0.838166 # DEPENDENCYPART_ARC
