# _root_ " Bankalar öyle bir izlenim yarattı ki sanki _ _ verilen hizmetler hava , su gibi _ _ ücretsiz _ olabilir " _ diyen Demiray , bundan_sonra _ _ verilen hizmetlerden ücret _ alınacağını _ bildirdi .
#goldHeads=0,6,5,5,6,7,8,20,10,11,12,20,16,0,16,18,18,19,20,21,22,23,24,25,35,0,30,29,30,31,33,33,34,35,36,37,0,
#predictedHeads=0,6,5,5,6,11,6,10,10,11,12,13,14,0,16,17,18,19,21,21,22,0,24,25,36,0,30,29,30,31,33,34,34,36,36,37,0,
(0,1),4.27838 # DEPENDENCYPART_ARC
(0,2),-0.631998 # DEPENDENCYPART_ARC
(0,3),-0.985721 # DEPENDENCYPART_ARC
(0,4),-0.55706 # DEPENDENCYPART_ARC
(0,5),-0.829257 # DEPENDENCYPART_ARC
(0,6),-1.25251 # DEPENDENCYPART_ARC
(0,7),-0.886263 # DEPENDENCYPART_ARC
(0,8),-1.37853 # DEPENDENCYPART_ARC
(0,9),-0.985961 # DEPENDENCYPART_ARC
(0,10),-1.25092 # DEPENDENCYPART_ARC
(0,11),-1.52915 # DEPENDENCYPART_ARC
(0,12),-1.49194 # DEPENDENCYPART_ARC
(0,13),-1.21093 # DEPENDENCYPART_ARC
(0,14),2.33915 # DEPENDENCYPART_ARC
(0,15),-1.15898 # DEPENDENCYPART_ARC
(0,16),-2.25023 # DEPENDENCYPART_ARC
(0,17),-1.74705 # DEPENDENCYPART_ARC
(0,18),-2.48622 # DEPENDENCYPART_ARC
(0,19),-1.2167 # DEPENDENCYPART_ARC
(0,20),-1.89053 # DEPENDENCYPART_ARC
(0,21),-1.60356 # DEPENDENCYPART_ARC
(0,22),2.41725 # DEPENDENCYPART_ARC
(0,23),-2.31361 # DEPENDENCYPART_ARC
(0,24),-2.38308 # DEPENDENCYPART_ARC
(0,25),-1.47749 # DEPENDENCYPART_ARC
(0,26),2.04819 # DEPENDENCYPART_ARC
(0,27),-2.36771 # DEPENDENCYPART_ARC
(0,28),-2.12851 # DEPENDENCYPART_ARC
(0,29),-2.31188 # DEPENDENCYPART_ARC
(0,30),-2.62958 # DEPENDENCYPART_ARC
(0,31),-1.79936 # DEPENDENCYPART_ARC
(0,32),-1.26733 # DEPENDENCYPART_ARC
(0,33),-2.62519 # DEPENDENCYPART_ARC
(0,34),-1.74933 # DEPENDENCYPART_ARC
(0,35),-2.36062 # DEPENDENCYPART_ARC
(0,36),-1.88832 # DEPENDENCYPART_ARC
(0,37),4.40986 # DEPENDENCYPART_ARC
(1,2),-0.345981 # DEPENDENCYPART_ARC
(1,3),-0.519937 # DEPENDENCYPART_ARC
(1,4),-0.561557 # DEPENDENCYPART_ARC
(1,5),-0.629529 # DEPENDENCYPART_ARC
(1,6),-0.719026 # DEPENDENCYPART_ARC
(1,7),-0.785112 # DEPENDENCYPART_ARC
(1,8),-0.803573 # DEPENDENCYPART_ARC
(1,9),-0.996564 # DEPENDENCYPART_ARC
(1,10),-0.813416 # DEPENDENCYPART_ARC
(1,11),-1.11834 # DEPENDENCYPART_ARC
