# _root_ Netameli uçaklardan _ sonuncusunun _ _ iade_edilişiyle birlikte , deve _ kurban_eden ve _ kanlı deve parçalarıyla personele fotoğraflar _ _ _ çektirten kişi , başka nasıl biri _ olabilir ?
#goldHeads=2,4,4,6,6,7,8,11,0,11,12,13,23,15,17,17,22,22,22,21,22,23,24,30,0,27,28,30,30,31,0,
#predictedHeads=2,6,4,6,6,7,8,28,0,11,12,13,14,15,16,17,22,22,20,21,22,23,24,30,0,28,28,29,30,31,0,
(0,1),-0.43088 # DEPENDENCYPART_ARC
(0,2),-1.23971 # DEPENDENCYPART_ARC
(0,3),-1.22836 # DEPENDENCYPART_ARC
(0,4),-1.46258 # DEPENDENCYPART_ARC
(0,5),-1.10924 # DEPENDENCYPART_ARC
(0,6),-1.2047 # DEPENDENCYPART_ARC
(0,7),-1.52483 # DEPENDENCYPART_ARC
(0,8),-1.50339 # DEPENDENCYPART_ARC
(0,9),2.05062 # DEPENDENCYPART_ARC
(0,10),-0.938803 # DEPENDENCYPART_ARC
(0,11),-1.68742 # DEPENDENCYPART_ARC
(0,12),-1.8166 # DEPENDENCYPART_ARC
(0,13),-1.48847 # DEPENDENCYPART_ARC
(0,14),-2.0848 # DEPENDENCYPART_ARC
(0,15),-2.2248 # DEPENDENCYPART_ARC
(0,16),-1.86499 # DEPENDENCYPART_ARC
(0,17),-2.20933 # DEPENDENCYPART_ARC
(0,18),-1.60301 # DEPENDENCYPART_ARC
(0,19),-1.70323 # DEPENDENCYPART_ARC
(0,20),-2.15356 # DEPENDENCYPART_ARC
(0,21),-2.40059 # DEPENDENCYPART_ARC
(0,22),-2.65166 # DEPENDENCYPART_ARC
(0,23),-2.8959 # DEPENDENCYPART_ARC
(0,24),-2.20355 # DEPENDENCYPART_ARC
(0,25),1.77013 # DEPENDENCYPART_ARC
(0,26),-2.89993 # DEPENDENCYPART_ARC
(0,27),-2.96359 # DEPENDENCYPART_ARC
(0,28),-2.3304 # DEPENDENCYPART_ARC
(0,29),-2.67985 # DEPENDENCYPART_ARC
(0,30),-1.98344 # DEPENDENCYPART_ARC
(0,31),3.75034 # DEPENDENCYPART_ARC
(1,2),0.500987 # DEPENDENCYPART_ARC
(1,3),-0.262623 # DEPENDENCYPART_ARC
(1,4),-0.120932 # DEPENDENCYPART_ARC
(1,5),-0.381178 # DEPENDENCYPART_ARC
(1,6),-0.489769 # DEPENDENCYPART_ARC
(1,7),-0.103114 # DEPENDENCYPART_ARC
(1,8),-0.211542 # DEPENDENCYPART_ARC
(1,9),-0.518233 # DEPENDENCYPART_ARC
(1,10),-0.444123 # DEPENDENCYPART_ARC
(1,11),-0.712584 # DEPENDENCYPART_ARC
(1,12),-1.1524 # DEPENDENCYPART_ARC
(1,13),-0.953835 # DEPENDENCYPART_ARC
(1,14),-1.35519 # DEPENDENCYPART_ARC
(1,15),-1.40495 # DEPENDENCYPART_ARC
(1,16),-1.37617 # DEPENDENCYPART_ARC
(1,17),-1.45173 # DEPENDENCYPART_ARC
(1,18),-1.52896 # DEPENDENCYPART_ARC
(1,19),-1.62543 # DEPENDENCYPART_ARC
(1,20),-1.35916 # DEPENDENCYPART_ARC
(1,21),-1.36861 # DEPENDENCYPART_ARC
(1,22),-1.55614 # DEPENDENCYPART_ARC
(1,23),-1.71127 # DEPENDENCYPART_ARC
(1,24),-1.57948 # DEPENDENCYPART_ARC
(1,25),-1.42172 # DEPENDENCYPART_ARC
(1,26),-1.71069 # DEPENDENCYPART_ARC
(1,27),-1.73185 # DEPENDENCYPART_ARC
(1,28),-0.511314 # DEPENDENCYPART_ARC
(1,29),-1.63574 # DEPENDENCYPART_ARC
(1,30),-1.52089 # DEPENDENCYPART_ARC
(1,31),-1.47469 # DEPENDENCYPART_ARC
(2,1),2.49942 # DEPENDENCYPART_ARC
(2,3),0.270491 # DEPENDENCYPART_ARC
(2,4),-0.205344 # DEPENDENCYPART_ARC
(2,5),-0.361823 # DEPENDENCYPART_ARC
(2,6),-0.646803 # DEPENDENCYPART_ARC
(2,7),-1.03058 # DEPENDENCYPART_ARC
