# _root_ Ormanda atını oradan oraya sürmüş ve kuleye varmış sonunda . Fakat sağa bakmış , sola bakmış , ne merdiven görmüş ne de yukarıya _ _ çıkılacak başka bir şey .
#goldHeads=5,5,5,5,6,8,8,10,8,13,13,13,14,16,16,17,20,19,20,30,29,21,24,25,26,29,29,29,18,0,
#predictedHeads=2,5,5,5,6,8,8,10,8,0,13,13,14,16,16,17,20,21,20,21,26,21,25,25,26,29,29,29,30,0,
(0,1),-0.73049 # DEPENDENCYPART_ARC
(0,2),-0.94011 # DEPENDENCYPART_ARC
(0,3),-0.720754 # DEPENDENCYPART_ARC
(0,4),-0.341108 # DEPENDENCYPART_ARC
(0,5),-1.41732 # DEPENDENCYPART_ARC
(0,6),-1.09665 # DEPENDENCYPART_ARC
(0,7),-0.771396 # DEPENDENCYPART_ARC
(0,8),-1.54148 # DEPENDENCYPART_ARC
(0,10),3.08385 # DEPENDENCYPART_ARC
(0,11),-1.18503 # DEPENDENCYPART_ARC
(0,12),-1.00141 # DEPENDENCYPART_ARC
(0,13),-1.77675 # DEPENDENCYPART_ARC
(0,14),1.10142 # DEPENDENCYPART_ARC
(0,15),-0.953854 # DEPENDENCYPART_ARC
(0,16),-1.90456 # DEPENDENCYPART_ARC
(0,17),1.32023 # DEPENDENCYPART_ARC
(0,18),-1.41466 # DEPENDENCYPART_ARC
(0,19),-1.09879 # DEPENDENCYPART_ARC
(0,20),-1.92145 # DEPENDENCYPART_ARC
(0,21),-1.76829 # DEPENDENCYPART_ARC
(0,22),-2.31395 # DEPENDENCYPART_ARC
(0,23),-1.53827 # DEPENDENCYPART_ARC
(0,24),-2.61546 # DEPENDENCYPART_ARC
(0,25),-2.91132 # DEPENDENCYPART_ARC
(0,29),-1.95481 # DEPENDENCYPART_ARC
(0,30),3.9752 # DEPENDENCYPART_ARC
(1,2),0.0329031 # DEPENDENCYPART_ARC
(1,3),-1.04031 # DEPENDENCYPART_ARC
(1,4),-0.599057 # DEPENDENCYPART_ARC
(1,5),-0.516772 # DEPENDENCYPART_ARC
(1,6),-0.757488 # DEPENDENCYPART_ARC
(1,7),-1.03801 # DEPENDENCYPART_ARC
(1,8),-1.04475 # DEPENDENCYPART_ARC
(1,9),-0.951236 # DEPENDENCYPART_ARC
(1,10),-0.845695 # DEPENDENCYPART_ARC
(1,11),-1.37285 # DEPENDENCYPART_ARC
(1,12),-1.29966 # DEPENDENCYPART_ARC
(1,13),-1.39815 # DEPENDENCYPART_ARC
(1,14),-0.768073 # DEPENDENCYPART_ARC
(1,15),-1.66912 # DEPENDENCYPART_ARC
(1,16),-1.53034 # DEPENDENCYPART_ARC
(1,17),-0.8221 # DEPENDENCYPART_ARC
(1,18),-1.7488 # DEPENDENCYPART_ARC
(1,19),-1.77412 # DEPENDENCYPART_ARC
(1,20),-1.57292 # DEPENDENCYPART_ARC
(1,21),-2.07675 # DEPENDENCYPART_ARC
(1,22),-2.00591 # DEPENDENCYPART_ARC
(1,23),-1.99829 # DEPENDENCYPART_ARC
(1,24),-2.26358 # DEPENDENCYPART_ARC
(1,25),-2.40011 # DEPENDENCYPART_ARC
(1,26),-1.3212 # DEPENDENCYPART_ARC
(1,27),-1.53886 # DEPENDENCYPART_ARC
(1,28),-0.618296 # DEPENDENCYPART_ARC
(1,29),-2.36504 # DEPENDENCYPART_ARC
(1,30),-1.90431 # DEPENDENCYPART_ARC
(2,1),2.53707 # DEPENDENCYPART_ARC
(2,3),-0.393958 # DEPENDENCYPART_ARC
(2,4),-0.137959 # DEPENDENCYPART_ARC
(2,5),-1.23554 # DEPENDENCYPART_ARC
(2,6),-0.632934 # DEPENDENCYPART_ARC
(2,7),-0.819458 # DEPENDENCYPART_ARC
(2,8),-1.77311 # DEPENDENCYPART_ARC
(2,9),-1.0647 # DEPENDENCYPART_ARC
(2,10),-1.14636 # DEPENDENCYPART_ARC
(2,11),-1.35852 # DEPENDENCYPART_ARC
(2,12),-0.855042 # DEPENDENCYPART_ARC
(2,13),-2.11851 # DEPENDENCYPART_ARC
(2,14),-0.979712 # DEPENDENCYPART_ARC
(2,15),-1.47296 # DEPENDENCYPART_ARC
(2,16),-2.21049 # DEPENDENCYPART_ARC
(2,17),-1.01727 # DEPENDENCYPART_ARC
(2,18),-1.80116 # DEPENDENCYPART_ARC
(2,19),-1.65934 # DEPENDENCYPART_ARC
(2,20),-2.3763 # DEPENDENCYPART_ARC
(2,21),-2.12272 # DEPENDENCYPART_ARC
(2,22),-1.94544 # DEPENDENCYPART_ARC
(2,23),-1.76049 # DEPENDENCYPART_ARC
(2,24),-2.41798 # DEPENDENCYPART_ARC
(2,25),-2.79813 # DEPENDENCYPART_ARC
(2,26),-1.36173 # DEPENDENCYPART_ARC
(2,27),-1.65038 # DEPENDENCYPART_ARC
(2,28),-0.704054 # DEPENDENCYPART_ARC
(2,29),-2.15 # DEPENDENCYPART_ARC
(2,30),-2.15342 # DEPENDENCYPART_ARC
(3,1),0.0357834 # DEPENDENCYPART_ARC
(3,2),0.732465 # DEPENDENCYPART_ARC
(3,4),-0.587848 # DEPENDENCYPART_ARC
(3,5),-0.971756 # DEPENDENCYPART_ARC
(3,6),-0.408616 # DEPENDENCYPART_ARC
(3,7),-1.33318 # DEPENDENCYPART_ARC
(3,8),-1.71794 # DEPENDENCYPART_ARC
(3,9),-0.916484 # DEPENDENCYPART_ARC
(3,10),-0.958505 # DEPENDENCYPART_ARC
(3,11),-1.31958 # DEPENDENCYPART_ARC
(3,12),-1.47135 # DEPENDENCYPART_ARC
(3,13),-1.97398 # DEPENDENCYPART_ARC
(3,14),-0.913797 # DEPENDENCYPART_ARC
(3,15),-2.03967 # DEPENDENCYPART_ARC
(3,16),-2.35226 # DEPENDENCYPART_ARC
(3,17),-0.927022 # DEPENDENCYPART_ARC
(3,18),-1.60183 # DEPENDENCYPART_ARC
(3,19),-2.12313 # DEPENDENCYPART_ARC
(3,20),-2.33724 # DEPENDENCYPART_ARC
(3,21),-1.9888 # DEPENDENCYPART_ARC
(3,22),-1.66306 # DEPENDENCYPART_ARC
(3,23),-2.362 # DEPENDENCYPART_ARC
(3,24),-2.25345 # DEPENDENCYPART_ARC
(3,25),-2.61206 # DEPENDENCYPART_ARC
(3,26),-1.34625 # DEPENDENCYPART_ARC
(3,27),-1.55639 # DEPENDENCYPART_ARC
(3,28),-0.625469 # DEPENDENCYPART_ARC
(3,29),-2.55876 # DEPENDENCYPART_ARC
(3,30),-2.07934 # DEPENDENCYPART_ARC
(4,1),-1.34744 # DEPENDENCYPART_ARC
