# _root_ Asked what stocks the computer bought , the money manager says , `` I do n't know . ''
#goldHeads=11,3,6,5,6,1,11,10,10,11,0,11,15,15,11,15,15,11,11,
#predictedHeads=11,3,1,5,3,3,11,10,10,11,0,11,11,15,11,15,15,15,15,
(0,1),-2.80272 # DEPENDENCYPART_ARC
(0,3),-1.34434 # DEPENDENCYPART_ARC
(0,6),-2.06249 # DEPENDENCYPART_ARC
(0,11),-0.38528 # DEPENDENCYPART_ARC
(0,15),-3.2831 # DEPENDENCYPART_ARC
(1,2),-0.725313 # DEPENDENCYPART_ARC
(1,3),-0.7959 # DEPENDENCYPART_ARC
(1,4),-2.07452 # DEPENDENCYPART_ARC
(1,5),-1.08477 # DEPENDENCYPART_ARC
(1,6),-1.12183 # DEPENDENCYPART_ARC
(1,7),-1.78358 # DEPENDENCYPART_ARC
(1,9),-1.79013 # DEPENDENCYPART_ARC
(1,10),-1.77528 # DEPENDENCYPART_ARC
(1,11),-1.87021 # DEPENDENCYPART_ARC
(1,12),-2.1058 # DEPENDENCYPART_ARC
(1,13),-2.10149 # DEPENDENCYPART_ARC
(1,15),-2.33586 # DEPENDENCYPART_ARC
(1,16),-2.35257 # DEPENDENCYPART_ARC
(1,17),-2.58845 # DEPENDENCYPART_ARC
(1,18),-2.86497 # DEPENDENCYPART_ARC
(1,19),-1.90405 # DEPENDENCYPART_ARC
(2,1),-1.24626 # DEPENDENCYPART_ARC
(2,3),-0.665948 # DEPENDENCYPART_ARC
(2,5),-2.1269 # DEPENDENCYPART_ARC
(2,6),-1.8949 # DEPENDENCYPART_ARC
(2,7),-2.26202 # DEPENDENCYPART_ARC
(3,1),-1.36396 # DEPENDENCYPART_ARC
(3,2),1.65647 # DEPENDENCYPART_ARC
(3,4),-0.623236 # DEPENDENCYPART_ARC
(3,5),0.486589 # DEPENDENCYPART_ARC
(3,6),-0.175281 # DEPENDENCYPART_ARC
(3,7),-1.30858 # DEPENDENCYPART_ARC
(3,9),-1.28717 # DEPENDENCYPART_ARC
(3,10),-1.36551 # DEPENDENCYPART_ARC
(3,11),-0.998317 # DEPENDENCYPART_ARC
(3,12),-1.12877 # DEPENDENCYPART_ARC
(3,13),-1.21881 # DEPENDENCYPART_ARC
(3,15),-1.35449 # DEPENDENCYPART_ARC
(3,16),-2.11164 # DEPENDENCYPART_ARC
(3,17),-2.17874 # DEPENDENCYPART_ARC
(3,18),-1.20352 # DEPENDENCYPART_ARC
(3,19),-0.958493 # DEPENDENCYPART_ARC
(4,1),-2.88277 # DEPENDENCYPART_ARC
(4,2),-2.21811 # DEPENDENCYPART_ARC
(4,3),-1.98935 # DEPENDENCYPART_ARC
(4,6),-1.44017 # DEPENDENCYPART_ARC
(5,1),-1.82775 # DEPENDENCYPART_ARC
(5,2),-1.04866 # DEPENDENCYPART_ARC
(5,3),-1.49369 # DEPENDENCYPART_ARC
(5,4),1.26599 # DEPENDENCYPART_ARC
(5,6),-0.839531 # DEPENDENCYPART_ARC
(5,7),-1.9789 # DEPENDENCYPART_ARC
(5,10),-2.20538 # DEPENDENCYPART_ARC
(5,11),-1.73127 # DEPENDENCYPART_ARC
(5,12),-2.08967 # DEPENDENCYPART_ARC
(5,13),-2.06767 # DEPENDENCYPART_ARC
(5,15),-2.23519 # DEPENDENCYPART_ARC
(5,18),-2.3931 # DEPENDENCYPART_ARC
(5,19),-2.22748 # DEPENDENCYPART_ARC
(6,1),-1.94927 # DEPENDENCYPART_ARC
(6,2),-0.539857 # DEPENDENCYPART_ARC
(6,3),-1.38046 # DEPENDENCYPART_ARC
(6,4),-1.43421 # DEPENDENCYPART_ARC
(6,5),0.411293 # DEPENDENCYPART_ARC
(6,7),-0.254572 # DEPENDENCYPART_ARC
(6,8),-2.12658 # DEPENDENCYPART_ARC
(6,9),-1.36722 # DEPENDENCYPART_ARC
(6,10),-1.51131 # DEPENDENCYPART_ARC
(6,11),-1.09819 # DEPENDENCYPART_ARC
(6,12),-1.16427 # DEPENDENCYPART_ARC
(6,13),-1.6133 # DEPENDENCYPART_ARC
(6,14),-2.54831 # DEPENDENCYPART_ARC
(6,15),-1.38352 # DEPENDENCYPART_ARC
(6,16),-2.17294 # DEPENDENCYPART_ARC
(6,17),-2.40805 # DEPENDENCYPART_ARC
(6,18),-1.77389 # DEPENDENCYPART_ARC
(6,19),-1.12737 # DEPENDENCYPART_ARC
(8,7),-2.12089 # DEPENDENCYPART_ARC
(8,9),-1.46545 # DEPENDENCYPART_ARC
(8,11),-1.45524 # DEPENDENCYPART_ARC
(8,15),-2.32333 # DEPENDENCYPART_ARC
(9,8),-0.711726 # DEPENDENCYPART_ARC
(9,10),-0.946151 # DEPENDENCYPART_ARC
(9,11),-0.9903 # DEPENDENCYPART_ARC
(9,12),-1.69263 # DEPENDENCYPART_ARC
(9,13),-1.94212 # DEPENDENCYPART_ARC
(9,15),-1.8233 # DEPENDENCYPART_ARC
(9,18),-2.28343 # DEPENDENCYPART_ARC
(9,19),-2.105 # DEPENDENCYPART_ARC
(10,1),-2.16084 # DEPENDENCYPART_ARC
(10,2),-2.01047 # DEPENDENCYPART_ARC
(10,3),-2.38933 # DEPENDENCYPART_ARC
(10,4),-2.35628 # DEPENDENCYPART_ARC
(10,5),-1.27356 # DEPENDENCYPART_ARC
(10,6),-1.74479 # DEPENDENCYPART_ARC
(10,7),-1.52014 # DEPENDENCYPART_ARC
(10,8),0.560529 # DEPENDENCYPART_ARC
(10,9),1.46975 # DEPENDENCYPART_ARC
(10,11),-0.505988 # DEPENDENCYPART_ARC
(10,12),-1.62238 # DEPENDENCYPART_ARC
(10,13),-1.38718 # DEPENDENCYPART_ARC
(10,15),-1.33767 # DEPENDENCYPART_ARC
(10,18),-1.80471 # DEPENDENCYPART_ARC
(10,19),-1.50344 # DEPENDENCYPART_ARC
(11,1),-1.87719 # DEPENDENCYPART_ARC
(11,2),-1.44783 # DEPENDENCYPART_ARC
(11,3),-1.23644 # DEPENDENCYPART_ARC
(11,5),-1.82789 # DEPENDENCYPART_ARC
(11,6),-1.51844 # DEPENDENCYPART_ARC
(11,7),-0.290301 # DEPENDENCYPART_ARC
(11,8),-2.06891 # DEPENDENCYPART_ARC
(11,9),-1.19612 # DEPENDENCYPART_ARC
(11,10),0.440789 # DEPENDENCYPART_ARC
(11,12),0.591124 # DEPENDENCYPART_ARC
(11,13),-0.384913 # DEPENDENCYPART_ARC
(11,14),-1.70201 # DEPENDENCYPART_ARC
(11,15),-0.608166 # DEPENDENCYPART_ARC
(11,16),-1.66241 # DEPENDENCYPART_ARC
(11,17),-1.98783 # DEPENDENCYPART_ARC
(11,18),-1.78992 # DEPENDENCYPART_ARC
(11,19),-1.22236 # DEPENDENCYPART_ARC
(13,10),-2.80059 # DEPENDENCYPART_ARC
(13,12),-1.96822 # DEPENDENCYPART_ARC
(13,14),-2.01851 # DEPENDENCYPART_ARC
(13,15),-2.12174 # DEPENDENCYPART_ARC
(14,10),-2.83557 # DEPENDENCYPART_ARC
(14,13),-1.62962 # DEPENDENCYPART_ARC
(14,16),-2.02895 # DEPENDENCYPART_ARC
(14,17),-2.59894 # DEPENDENCYPART_ARC
(15,1),-2.16444 # DEPENDENCYPART_ARC
(15,2),-1.36893 # DEPENDENCYPART_ARC
(15,3),-1.97717 # DEPENDENCYPART_ARC
(15,5),-1.8784 # DEPENDENCYPART_ARC
(15,6),-1.82299 # DEPENDENCYPART_ARC
(15,7),-1.8965 # DEPENDENCYPART_ARC
(15,8),-2.08841 # DEPENDENCYPART_ARC
(15,9),-1.60988 # DEPENDENCYPART_ARC
(15,10),-1.82388 # DEPENDENCYPART_ARC
