# _root_ While Mayor Norman found the market 's performance Monday reassuring , he says , he remains uneasy .
#goldHeads=16,3,4,1,6,8,6,4,10,4,13,13,0,13,16,13,16,16,
#predictedHeads=16,3,4,1,6,8,6,4,4,4,13,13,0,13,16,13,16,16,
(0,1),-3.94925 # DEPENDENCYPART_ARC
(0,4),-1.26401 # DEPENDENCYPART_ARC
(0,13),0.412704 # DEPENDENCYPART_ARC
(0,16),-1.54362 # DEPENDENCYPART_ARC
(1,2),-1.01327 # DEPENDENCYPART_ARC
(1,3),-1.03815 # DEPENDENCYPART_ARC
(1,4),1.24787 # DEPENDENCYPART_ARC
(1,6),-2.66684 # DEPENDENCYPART_ARC
(1,8),-2.95829 # DEPENDENCYPART_ARC
(1,9),-3.61032 # DEPENDENCYPART_ARC
(1,10),-1.92349 # DEPENDENCYPART_ARC
(1,11),-1.37206 # DEPENDENCYPART_ARC
(1,13),-0.754964 # DEPENDENCYPART_ARC
(1,14),-1.51441 # DEPENDENCYPART_ARC
(1,16),-1.43924 # DEPENDENCYPART_ARC
(1,18),-2.69302 # DEPENDENCYPART_ARC
(2,1),-2.00406 # DEPENDENCYPART_ARC
(2,3),-0.800573 # DEPENDENCYPART_ARC
(2,4),-2.04533 # DEPENDENCYPART_ARC
(2,6),-2.72902 # DEPENDENCYPART_ARC
(2,7),-2.91743 # DEPENDENCYPART_ARC
(2,8),-3.30805 # DEPENDENCYPART_ARC
(2,11),-2.02737 # DEPENDENCYPART_ARC
(3,1),-1.57686 # DEPENDENCYPART_ARC
(3,2),1.38104 # DEPENDENCYPART_ARC
(3,4),-1.35655 # DEPENDENCYPART_ARC
(3,6),-2.20243 # DEPENDENCYPART_ARC
(3,7),-1.88037 # DEPENDENCYPART_ARC
(3,8),-2.69698 # DEPENDENCYPART_ARC
(3,11),-1.74006 # DEPENDENCYPART_ARC
(4,1),-0.357677 # DEPENDENCYPART_ARC
(4,2),-0.90934 # DEPENDENCYPART_ARC
(4,3),0.447309 # DEPENDENCYPART_ARC
(4,5),-0.71775 # DEPENDENCYPART_ARC
(4,6),0.250215 # DEPENDENCYPART_ARC
(4,7),-1.37572 # DEPENDENCYPART_ARC
(4,8),-0.341041 # DEPENDENCYPART_ARC
(4,9),-0.662742 # DEPENDENCYPART_ARC
(4,10),-0.748847 # DEPENDENCYPART_ARC
(4,11),-1.43706 # DEPENDENCYPART_ARC
(4,12),-1.89651 # DEPENDENCYPART_ARC
(4,13),-0.796945 # DEPENDENCYPART_ARC
