# _root_ That move , along with the return to the Manpower name , could bolster the company 's prospects during possibly difficult times for temporary help .
#goldHeads=2,13,13,13,4,7,5,7,11,11,8,13,0,13,16,18,16,14,14,21,22,19,22,25,23,13,
#predictedHeads=2,13,13,13,4,7,5,7,11,11,8,13,0,13,16,18,16,14,14,22,22,19,22,25,23,13,
(0,2),-3.45739 # DEPENDENCYPART_ARC
(0,13),-2.01946 # DEPENDENCYPART_ARC
(0,14),-4.3993 # DEPENDENCYPART_ARC
(1,3),-2.13189 # DEPENDENCYPART_ARC
(1,4),-1.87055 # DEPENDENCYPART_ARC
(1,5),-1.80456 # DEPENDENCYPART_ARC
(1,12),-2.26313 # DEPENDENCYPART_ARC
(1,13),-0.783833 # DEPENDENCYPART_ARC
(2,1),0.749244 # DEPENDENCYPART_ARC
(2,3),-0.939756 # DEPENDENCYPART_ARC
(2,4),-0.970167 # DEPENDENCYPART_ARC
(2,5),-1.39306 # DEPENDENCYPART_ARC
(2,7),-1.92533 # DEPENDENCYPART_ARC
(2,8),-1.20386 # DEPENDENCYPART_ARC
(2,11),-1.91206 # DEPENDENCYPART_ARC
(2,12),-1.15081 # DEPENDENCYPART_ARC
(2,13),-2.12119 # DEPENDENCYPART_ARC
(2,26),-2.65826 # DEPENDENCYPART_ARC
(3,2),-2.34829 # DEPENDENCYPART_ARC
(3,4),-2.04989 # DEPENDENCYPART_ARC
(4,1),-2.04379 # DEPENDENCYPART_ARC
(4,2),-2.1841 # DEPENDENCYPART_ARC
(4,3),-1.46561 # DEPENDENCYPART_ARC
(4,5),1.00346 # DEPENDENCYPART_ARC
(4,6),-1.88029 # DEPENDENCYPART_ARC
(4,7),-0.782472 # DEPENDENCYPART_ARC
(4,8),-1.3219 # DEPENDENCYPART_ARC
(4,11),-1.85777 # DEPENDENCYPART_ARC
(4,12),-1.62099 # DEPENDENCYPART_ARC
(4,13),-0.866955 # DEPENDENCYPART_ARC
(4,14),-2.03932 # DEPENDENCYPART_ARC
(4,19),-1.58592 # DEPENDENCYPART_ARC
(4,26),-3.35275 # DEPENDENCYPART_ARC
(5,2),-2.20297 # DEPENDENCYPART_ARC
(5,3),-2.40719 # DEPENDENCYPART_ARC
(5,4),-1.30034 # DEPENDENCYPART_ARC
(5,6),-1.48686 # DEPENDENCYPART_ARC
(5,7),0.478691 # DEPENDENCYPART_ARC
(5,8),-1.45303 # DEPENDENCYPART_ARC
(5,10),-1.94989 # DEPENDENCYPART_ARC
(5,11),-1.23682 # DEPENDENCYPART_ARC
