# _root_ But analysts , while applauding the acquisition , say Applied 's chief executive faces a tough challenge in integrating the two companies .
#goldHeads=9,9,9,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
#predictedHeads=9,9,2,9,4,7,5,9,0,13,10,13,14,9,17,17,14,17,18,22,22,19,9,
(0,9),0.641502 # DEPENDENCYPART_ARC
(0,14),-1.08488 # DEPENDENCYPART_ARC
(1,2),-1.35613 # DEPENDENCYPART_ARC
(1,3),-2.60091 # DEPENDENCYPART_ARC
(1,14),-2.77038 # DEPENDENCYPART_ARC
(2,1),-1.74089 # DEPENDENCYPART_ARC
(2,3),-0.996861 # DEPENDENCYPART_ARC
(2,4),-1.51231 # DEPENDENCYPART_ARC
(2,5),-1.49068 # DEPENDENCYPART_ARC
(2,7),-1.82985 # DEPENDENCYPART_ARC
(2,8),-0.735888 # DEPENDENCYPART_ARC
(2,9),-2.12308 # DEPENDENCYPART_ARC
(2,10),-2.69926 # DEPENDENCYPART_ARC
(2,11),-2.23 # DEPENDENCYPART_ARC
(2,13),-3.04555 # DEPENDENCYPART_ARC
(2,14),-2.26246 # DEPENDENCYPART_ARC
(2,22),-3.63493 # DEPENDENCYPART_ARC
(3,1),-2.66828 # DEPENDENCYPART_ARC
(3,2),-2.1761 # DEPENDENCYPART_ARC
(3,4),-2.24894 # DEPENDENCYPART_ARC
(4,1),-2.17594 # DEPENDENCYPART_ARC
(4,2),-2.28691 # DEPENDENCYPART_ARC
(4,3),-1.62521 # DEPENDENCYPART_ARC
(4,5),1.36929 # DEPENDENCYPART_ARC
(4,7),-1.40898 # DEPENDENCYPART_ARC
(4,8),-1.41985 # DEPENDENCYPART_ARC
(4,9),-0.247878 # DEPENDENCYPART_ARC
(4,14),-0.100298 # DEPENDENCYPART_ARC
(4,19),-1.46135 # DEPENDENCYPART_ARC
(5,1),-2.3004 # DEPENDENCYPART_ARC
(5,2),-1.73289 # DEPENDENCYPART_ARC
(5,3),-1.9987 # DEPENDENCYPART_ARC
(5,4),-1.22759 # DEPENDENCYPART_ARC
(5,6),-0.649534 # DEPENDENCYPART_ARC
(5,7),0.72803 # DEPENDENCYPART_ARC
(5,8),-0.949355 # DEPENDENCYPART_ARC
(5,9),-0.738187 # DEPENDENCYPART_ARC
(5,10),-1.26439 # DEPENDENCYPART_ARC
(5,11),-2.08298 # DEPENDENCYPART_ARC
(5,12),-1.58559 # DEPENDENCYPART_ARC
(5,13),-0.793228 # DEPENDENCYPART_ARC
(5,14),-1.35966 # DEPENDENCYPART_ARC
(5,17),-1.24253 # DEPENDENCYPART_ARC
(5,18),-1.48355 # DEPENDENCYPART_ARC
(5,19),-1.66507 # DEPENDENCYPART_ARC
(5,22),-1.8351 # DEPENDENCYPART_ARC
(6,1),-3.30981 # DEPENDENCYPART_ARC
(6,3),-2.64306 # DEPENDENCYPART_ARC
(6,9),-1.88891 # DEPENDENCYPART_ARC
(7,1),-3.04414 # DEPENDENCYPART_ARC
(7,2),-2.17709 # DEPENDENCYPART_ARC
(7,3),-2.42925 # DEPENDENCYPART_ARC
(7,4),-1.47924 # DEPENDENCYPART_ARC
(7,5),-1.16882 # DEPENDENCYPART_ARC
(7,6),1.54721 # DEPENDENCYPART_ARC
(7,8),-0.883981 # DEPENDENCYPART_ARC
(7,9),-1.32799 # DEPENDENCYPART_ARC
(7,10),-2.00512 # DEPENDENCYPART_ARC
(7,11),-2.01538 # DEPENDENCYPART_ARC
(7,12),-2.17446 # DEPENDENCYPART_ARC
(7,13),-2.33758 # DEPENDENCYPART_ARC
(7,14),-2.0906 # DEPENDENCYPART_ARC
(7,17),-2.82342 # DEPENDENCYPART_ARC
(7,18),-2.34461 # DEPENDENCYPART_ARC
(7,19),-2.76624 # DEPENDENCYPART_ARC
(7,22),-3.04877 # DEPENDENCYPART_ARC
(7,23),-3.05184 # DEPENDENCYPART_ARC
(9,1),-1.69123 # DEPENDENCYPART_ARC
(9,2),-0.566637 # DEPENDENCYPART_ARC
(9,3),-1.31846 # DEPENDENCYPART_ARC
(9,4),-1.21642 # DEPENDENCYPART_ARC
(9,5),-1.49856 # DEPENDENCYPART_ARC
(9,6),-1.39149 # DEPENDENCYPART_ARC
(9,7),-1.29514 # DEPENDENCYPART_ARC
(9,8),0.0576709 # DEPENDENCYPART_ARC
(9,10),-0.0776659 # DEPENDENCYPART_ARC
(9,11),-0.502254 # DEPENDENCYPART_ARC
(9,12),-1.11659 # DEPENDENCYPART_ARC
(9,13),-1.08084 # DEPENDENCYPART_ARC
(9,14),0.0446328 # DEPENDENCYPART_ARC
(9,17),-1.84109 # DEPENDENCYPART_ARC
(9,18),-1.2208 # DEPENDENCYPART_ARC
(9,19),-1.43662 # DEPENDENCYPART_ARC
(9,22),-2.16983 # DEPENDENCYPART_ARC
(9,23),1.1328 # DEPENDENCYPART_ARC
(10,1),-3.53349 # DEPENDENCYPART_ARC
(10,2),-2.90809 # DEPENDENCYPART_ARC
(10,3),-3.48602 # DEPENDENCYPART_ARC
(10,4),-2.6358 # DEPENDENCYPART_ARC
(10,5),-2.26618 # DEPENDENCYPART_ARC
(10,6),-1.52245 # DEPENDENCYPART_ARC
(10,7),-1.85562 # DEPENDENCYPART_ARC
(10,8),-1.46232 # DEPENDENCYPART_ARC
(10,9),-0.712434 # DEPENDENCYPART_ARC
(10,11),2.03389 # DEPENDENCYPART_ARC
(10,12),-0.941597 # DEPENDENCYPART_ARC
(10,13),-1.53033 # DEPENDENCYPART_ARC
(10,14),-1.10517 # DEPENDENCYPART_ARC
(10,17),-2.47193 # DEPENDENCYPART_ARC
(11,1),-2.50917 # DEPENDENCYPART_ARC
(11,2),-2.43643 # DEPENDENCYPART_ARC
(11,4),-1.91427 # DEPENDENCYPART_ARC
(11,8),-1.73025 # DEPENDENCYPART_ARC
(11,9),-1.61986 # DEPENDENCYPART_ARC
(11,12),-1.65797 # DEPENDENCYPART_ARC
(12,4),-2.38774 # DEPENDENCYPART_ARC
(12,8),-2.28508 # DEPENDENCYPART_ARC
(12,10),-1.54638 # DEPENDENCYPART_ARC
(12,11),-1.67958 # DEPENDENCYPART_ARC
(12,13),-1.09793 # DEPENDENCYPART_ARC
(12,14),-1.07879 # DEPENDENCYPART_ARC
(12,17),-2.47697 # DEPENDENCYPART_ARC
(13,2),-2.47738 # DEPENDENCYPART_ARC
(13,3),-2.81098 # DEPENDENCYPART_ARC
(13,4),-2.05521 # DEPENDENCYPART_ARC
(13,5),-1.96168 # DEPENDENCYPART_ARC
(13,6),-1.9724 # DEPENDENCYPART_ARC
(13,7),-1.7928 # DEPENDENCYPART_ARC
(13,8),-1.87962 # DEPENDENCYPART_ARC
(13,9),-1.65067 # DEPENDENCYPART_ARC
(13,10),0.200886 # DEPENDENCYPART_ARC
(13,11),-0.668762 # DEPENDENCYPART_ARC
(13,12),1.43691 # DEPENDENCYPART_ARC
(13,14),-0.778353 # DEPENDENCYPART_ARC
(13,17),-1.50328 # DEPENDENCYPART_ARC
(13,18),-1.35049 # DEPENDENCYPART_ARC
(13,19),-1.70142 # DEPENDENCYPART_ARC
(13,22),-2.00156 # DEPENDENCYPART_ARC
(14,1),-1.36031 # DEPENDENCYPART_ARC
(14,2),-2.38815 # DEPENDENCYPART_ARC
(14,3),-1.4526 # DEPENDENCYPART_ARC
(14,4),-0.341999 # DEPENDENCYPART_ARC
(14,5),-0.880667 # DEPENDENCYPART_ARC
(14,7),-1.28941 # DEPENDENCYPART_ARC
(14,8),-1.04347 # DEPENDENCYPART_ARC
(14,9),-1.5353 # DEPENDENCYPART_ARC
(14,10),-1.35004 # DEPENDENCYPART_ARC
(14,11),-1.19351 # DEPENDENCYPART_ARC
(14,12),-1.20981 # DEPENDENCYPART_ARC
(14,13),0.543224 # DEPENDENCYPART_ARC
(14,15),-0.907617 # DEPENDENCYPART_ARC
(14,16),-0.645809 # DEPENDENCYPART_ARC
(14,17),0.201476 # DEPENDENCYPART_ARC
(14,18),-0.229505 # DEPENDENCYPART_ARC
(14,19),-1.022 # DEPENDENCYPART_ARC
(14,22),-1.18105 # DEPENDENCYPART_ARC
(14,23),0.00199351 # DEPENDENCYPART_ARC
(15,18),-1.62997 # DEPENDENCYPART_ARC
(16,13),-1.9278 # DEPENDENCYPART_ARC
(16,15),-0.766311 # DEPENDENCYPART_ARC
(16,18),-1.43335 # DEPENDENCYPART_ARC
(17,7),-2.49326 # DEPENDENCYPART_ARC
(17,10),-1.84193 # DEPENDENCYPART_ARC
(17,12),-0.84181 # DEPENDENCYPART_ARC
(17,13),-1.24402 # DEPENDENCYPART_ARC
(17,15),1.42737 # DEPENDENCYPART_ARC
(17,16),1.72276 # DEPENDENCYPART_ARC
(17,18),0.0958761 # DEPENDENCYPART_ARC
(17,19),-0.887636 # DEPENDENCYPART_ARC
(17,21),-1.60443 # DEPENDENCYPART_ARC
(17,22),-1.45081 # DEPENDENCYPART_ARC
(17,23),-1.88443 # DEPENDENCYPART_ARC
(18,17),-1.6219 # DEPENDENCYPART_ARC
(18,19),1.64795 # DEPENDENCYPART_ARC
(18,21),-1.84288 # DEPENDENCYPART_ARC
(18,22),-0.128392 # DEPENDENCYPART_ARC
(19,17),-2.22662 # DEPENDENCYPART_ARC
(19,18),-1.44158 # DEPENDENCYPART_ARC
(19,20),-0.683642 # DEPENDENCYPART_ARC
(19,21),-0.769244 # DEPENDENCYPART_ARC
(19,22),0.0623646 # DEPENDENCYPART_ARC
(19,23),-1.7511 # DEPENDENCYPART_ARC
(20,21),-1.28354 # DEPENDENCYPART_ARC
(21,19),-2.0747 # DEPENDENCYPART_ARC
(21,20),-0.541171 # DEPENDENCYPART_ARC
(22,10),-2.27416 # DEPENDENCYPART_ARC
(22,12),-1.85843 # DEPENDENCYPART_ARC
(22,13),-2.2233 # DEPENDENCYPART_ARC
(22,15),-2.03869 # DEPENDENCYPART_ARC
(22,16),-1.47258 # DEPENDENCYPART_ARC
(22,17),-1.94112 # DEPENDENCYPART_ARC
(22,18),-1.61779 # DEPENDENCYPART_ARC
(22,19),-1.03126 # DEPENDENCYPART_ARC
(22,20),1.52904 # DEPENDENCYPART_ARC
(22,21),1.63552 # DEPENDENCYPART_ARC
(22,23),-1.46149 # DEPENDENCYPART_ARC
(23,22),-2.68694 # DEPENDENCYPART_ARC
(0,9),(0,14),-1.26341 # DEPENDENCYPART_SIBL
(1,2),(1,3),-0.17697 # DEPENDENCYPART_SIBL
(1,2),(1,14),-0.411507 # DEPENDENCYPART_SIBL
(1,3),(1,14),0.291292 # DEPENDENCYPART_SIBL
(2,1),(2,3),-0.0377179 # DEPENDENCYPART_SIBL
(2,1),(2,4),-0.118757 # DEPENDENCYPART_SIBL
(2,1),(2,5),-0.13065 # DEPENDENCYPART_SIBL
(2,1),(2,7),-0.0390199 # DEPENDENCYPART_SIBL
(2,1),(2,8),-0.0377179 # DEPENDENCYPART_SIBL
