# _root_ Now in its 13th day , the strike has idled about 55,000 machinists and has started to delay delivery of some jetliners .
#goldHeads=2,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
#predictedHeads=9,9,5,5,2,9,8,9,0,9,13,11,10,9,14,15,16,17,18,19,22,20,9,
(0,1),-3.23194 # DEPENDENCYPART_ARC
(0,2),-4.09738 # DEPENDENCYPART_ARC
(0,8),-4.26974 # DEPENDENCYPART_ARC
(0,9),-1.65343 # DEPENDENCYPART_ARC
(0,10),-3.98409 # DEPENDENCYPART_ARC
(0,15),-2.06519 # DEPENDENCYPART_ARC
(1,2),-0.765403 # DEPENDENCYPART_ARC
(1,3),-1.89499 # DEPENDENCYPART_ARC
(1,4),-1.65721 # DEPENDENCYPART_ARC
(1,5),-2.21966 # DEPENDENCYPART_ARC
(1,6),-2.15859 # DEPENDENCYPART_ARC
(1,9),-1.95844 # DEPENDENCYPART_ARC
(1,14),-1.8185 # DEPENDENCYPART_ARC
(1,23),-2.00306 # DEPENDENCYPART_ARC
(2,1),-0.751026 # DEPENDENCYPART_ARC
(2,3),-1.00746 # DEPENDENCYPART_ARC
(2,4),-0.86755 # DEPENDENCYPART_ARC
(2,5),0.549896 # DEPENDENCYPART_ARC
(2,6),-1.31985 # DEPENDENCYPART_ARC
(2,8),-1.57536 # DEPENDENCYPART_ARC
(2,9),-1.59597 # DEPENDENCYPART_ARC
(2,10),-1.85267 # DEPENDENCYPART_ARC
(2,11),-2.56411 # DEPENDENCYPART_ARC
(2,14),-1.76364 # DEPENDENCYPART_ARC
(2,23),-1.75388 # DEPENDENCYPART_ARC
(3,1),-2.68413 # DEPENDENCYPART_ARC
(3,4),-1.61168 # DEPENDENCYPART_ARC
(3,6),-2.00727 # DEPENDENCYPART_ARC
(4,1),-2.29561 # DEPENDENCYPART_ARC
(4,3),-0.971962 # DEPENDENCYPART_ARC
(4,6),-2.02672 # DEPENDENCYPART_ARC
(5,1),-1.17279 # DEPENDENCYPART_ARC
(5,2),-1.30728 # DEPENDENCYPART_ARC
(5,3),1.2657 # DEPENDENCYPART_ARC
(5,4),1.40062 # DEPENDENCYPART_ARC
(5,6),-0.963317 # DEPENDENCYPART_ARC
(5,7),-2.33163 # DEPENDENCYPART_ARC
(5,8),-1.83552 # DEPENDENCYPART_ARC
(5,9),-1.89484 # DEPENDENCYPART_ARC
(5,10),-2.18828 # DEPENDENCYPART_ARC
(5,11),-2.03613 # DEPENDENCYPART_ARC
(5,13),-2.15193 # DEPENDENCYPART_ARC
(5,14),-2.30737 # DEPENDENCYPART_ARC
(5,15),-2.66735 # DEPENDENCYPART_ARC
(5,16),-2.88288 # DEPENDENCYPART_ARC
(5,20),-2.93584 # DEPENDENCYPART_ARC
(5,23),-3.26301 # DEPENDENCYPART_ARC
(7,5),-2.86888 # DEPENDENCYPART_ARC
(7,6),-2.09108 # DEPENDENCYPART_ARC
(8,3),-0.939221 # DEPENDENCYPART_ARC
(8,4),-1.64859 # DEPENDENCYPART_ARC
(8,5),-1.92219 # DEPENDENCYPART_ARC
(8,6),-1.34343 # DEPENDENCYPART_ARC
(8,7),1.09902 # DEPENDENCYPART_ARC
(8,9),-0.725275 # DEPENDENCYPART_ARC
(8,10),-1.0798 # DEPENDENCYPART_ARC
(8,11),-1.41466 # DEPENDENCYPART_ARC
