# _root_ Leery of the costs -- and , critics say , competition -- the airlines have sought to gain leverage over the city of Denver .
#goldHeads=15,1,4,2,9,9,9,9,4,9,9,9,14,15,0,15,16,17,18,19,22,20,22,23,15,
#predictedHeads=9,1,4,2,11,1,9,9,0,9,15,11,14,15,9,15,16,17,18,19,22,20,22,23,9,
(0,1),-3.35192 # DEPENDENCYPART_ARC
(0,2),-4.08578 # DEPENDENCYPART_ARC
(0,4),-3.49943 # DEPENDENCYPART_ARC
(0,9),-0.0705379 # DEPENDENCYPART_ARC
(0,15),-1.69663 # DEPENDENCYPART_ARC
(1,2),0.748262 # DEPENDENCYPART_ARC
(1,3),-1.42857 # DEPENDENCYPART_ARC
(1,4),-1.06232 # DEPENDENCYPART_ARC
(1,5),-0.768106 # DEPENDENCYPART_ARC
(1,6),-0.707366 # DEPENDENCYPART_ARC
(1,7),-0.905849 # DEPENDENCYPART_ARC
(1,8),-1.76221 # DEPENDENCYPART_ARC
(1,9),-1.36097 # DEPENDENCYPART_ARC
(1,10),-0.939663 # DEPENDENCYPART_ARC
(1,11),-1.96229 # DEPENDENCYPART_ARC
(1,12),-0.778854 # DEPENDENCYPART_ARC
(1,15),-1.56593 # DEPENDENCYPART_ARC
(1,20),-1.92521 # DEPENDENCYPART_ARC
(2,1),-1.64611 # DEPENDENCYPART_ARC
(2,3),-1.03685 # DEPENDENCYPART_ARC
(2,4),1.35489 # DEPENDENCYPART_ARC
(2,5),-0.940212 # DEPENDENCYPART_ARC
(2,6),-1.46501 # DEPENDENCYPART_ARC
(2,7),-1.69497 # DEPENDENCYPART_ARC
(2,8),-1.54098 # DEPENDENCYPART_ARC
(2,9),-1.23582 # DEPENDENCYPART_ARC
(2,10),-1.63122 # DEPENDENCYPART_ARC
(2,12),-1.43351 # DEPENDENCYPART_ARC
(2,15),-2.33622 # DEPENDENCYPART_ARC
(2,25),-2.28046 # DEPENDENCYPART_ARC
(3,5),-2.10944 # DEPENDENCYPART_ARC
(3,6),-1.8952 # DEPENDENCYPART_ARC
(4,1),-1.6191 # DEPENDENCYPART_ARC
(4,2),-1.31932 # DEPENDENCYPART_ARC
(4,3),1.65602 # DEPENDENCYPART_ARC
(4,5),-0.443241 # DEPENDENCYPART_ARC
(4,6),-0.854983 # DEPENDENCYPART_ARC
(4,7),-1.45702 # DEPENDENCYPART_ARC
(4,8),-1.38868 # DEPENDENCYPART_ARC
(4,9),-1.52115 # DEPENDENCYPART_ARC
(4,10),-1.80054 # DEPENDENCYPART_ARC
(4,11),-2.39586 # DEPENDENCYPART_ARC
(4,12),-0.795196 # DEPENDENCYPART_ARC
(4,14),-2.39815 # DEPENDENCYPART_ARC
(4,15),-2.65878 # DEPENDENCYPART_ARC
(4,16),-2.50393 # DEPENDENCYPART_ARC
(4,22),-3.29499 # DEPENDENCYPART_ARC
(4,25),-3.01238 # DEPENDENCYPART_ARC
(5,1),-3.02529 # DEPENDENCYPART_ARC
(5,2),-2.23661 # DEPENDENCYPART_ARC
(5,4),-2.00995 # DEPENDENCYPART_ARC
(5,6),-1.348 # DEPENDENCYPART_ARC
(5,7),-2.13824 # DEPENDENCYPART_ARC
(5,12),-0.64584 # DEPENDENCYPART_ARC
(6,1),-2.77025 # DEPENDENCYPART_ARC
(6,2),-2.07444 # DEPENDENCYPART_ARC
(6,4),-1.93592 # DEPENDENCYPART_ARC
(6,5),-1.39404 # DEPENDENCYPART_ARC
(6,7),-0.282618 # DEPENDENCYPART_ARC
(6,8),0.11875 # DEPENDENCYPART_ARC
(6,9),-0.221716 # DEPENDENCYPART_ARC
(6,10),-1.29227 # DEPENDENCYPART_ARC
(6,11),-1.29105 # DEPENDENCYPART_ARC
(6,12),-1.36429 # DEPENDENCYPART_ARC
(6,14),-2.33159 # DEPENDENCYPART_ARC
(6,15),-1.29382 # DEPENDENCYPART_ARC
(6,16),-1.8479 # DEPENDENCYPART_ARC
(6,17),-1.808 # DEPENDENCYPART_ARC
(8,1),-3.40989 # DEPENDENCYPART_ARC
(8,3),-1.57076 # DEPENDENCYPART_ARC
(8,4),-2.59592 # DEPENDENCYPART_ARC
(8,5),-2.28002 # DEPENDENCYPART_ARC
