# _root_ وَ وَقَعَت الهَزَّةُ فِي الساعَةِ 10,30 بِ التَوْقِيتِ المَحَلِّيِّ ( 1,30 تغ ) فِي هٰذِهِ الجَزِيرَةِ الَّتِي تَقَعُ عَلَى بُعْدِ 150 كلم جَنُوبَ طُوكِيُو وَ تُؤْوِي 3100 نَسَمَةٍ .
#goldHeads=0,0,2,2,4,5,6,7,8,5,5,11,5,2,16,14,16,25,18,19,20,21,18,23,16,25,26,27,0,
#predictedHeads=0,0,2,2,4,5,2,7,8,7,10,11,10,2,16,14,16,25,18,19,20,21,21,23,14,25,26,27,0,
(0,1),3.01821 # DEPENDENCYPART_ARC
(0,2),1.06359 # DEPENDENCYPART_ARC
(0,3),-2.19099 # DEPENDENCYPART_ARC
(0,4),-1.82243 # DEPENDENCYPART_ARC
(0,6),-1.3841 # DEPENDENCYPART_ARC
(0,7),-1.55605 # DEPENDENCYPART_ARC
(0,10),-0.911068 # DEPENDENCYPART_ARC
(0,12),-1.03288 # DEPENDENCYPART_ARC
(0,13),-0.795724 # DEPENDENCYPART_ARC
(0,15),-1.59998 # DEPENDENCYPART_ARC
(0,18),-2.53873 # DEPENDENCYPART_ARC
(0,20),-2.15186 # DEPENDENCYPART_ARC
(0,21),-2.2042 # DEPENDENCYPART_ARC
(0,22),-1.46422 # DEPENDENCYPART_ARC
(0,24),-0.844303 # DEPENDENCYPART_ARC
(0,25),-1.17862 # DEPENDENCYPART_ARC
(0,26),-1.18733 # DEPENDENCYPART_ARC
(0,27),-2.62531 # DEPENDENCYPART_ARC
(0,28),-1.66983 # DEPENDENCYPART_ARC
(0,29),3.65971 # DEPENDENCYPART_ARC
(1,2),-1.07915 # DEPENDENCYPART_ARC
(1,4),-1.231 # DEPENDENCYPART_ARC
(1,6),-2.10666 # DEPENDENCYPART_ARC
(2,1),0.31489 # DEPENDENCYPART_ARC
(2,3),3.15013 # DEPENDENCYPART_ARC
(2,4),1.8484 # DEPENDENCYPART_ARC
(2,5),-1.21041 # DEPENDENCYPART_ARC
(2,6),0.545781 # DEPENDENCYPART_ARC
(2,7),1.35476 # DEPENDENCYPART_ARC
(2,8),-1.66888 # DEPENDENCYPART_ARC
(2,9),-1.96583 # DEPENDENCYPART_ARC
(2,10),-0.27401 # DEPENDENCYPART_ARC
(2,11),-0.357459 # DEPENDENCYPART_ARC
(2,13),-0.468028 # DEPENDENCYPART_ARC
(2,14),1.10578 # DEPENDENCYPART_ARC
(2,16),-2.34478 # DEPENDENCYPART_ARC
(2,17),-1.22092 # DEPENDENCYPART_ARC
(2,19),-0.484561 # DEPENDENCYPART_ARC
(2,20),-3.0259 # DEPENDENCYPART_ARC
(2,21),-1.0609 # DEPENDENCYPART_ARC
(2,23),-1.74563 # DEPENDENCYPART_ARC
(2,25),-1.68489 # DEPENDENCYPART_ARC
(2,28),-4.82077 # DEPENDENCYPART_ARC
(2,29),-1.29922 # DEPENDENCYPART_ARC
(3,1),-0.786323 # DEPENDENCYPART_ARC
(3,4),1.40453 # DEPENDENCYPART_ARC
(3,5),-0.655556 # DEPENDENCYPART_ARC
(3,6),-0.527995 # DEPENDENCYPART_ARC
(3,7),0.101319 # DEPENDENCYPART_ARC
(3,9),-2.16408 # DEPENDENCYPART_ARC
(3,12),-0.981044 # DEPENDENCYPART_ARC
(3,14),-0.896609 # DEPENDENCYPART_ARC
(3,17),-0.160057 # DEPENDENCYPART_ARC
(3,18),-1.04387 # DEPENDENCYPART_ARC
(4,1),-0.979011 # DEPENDENCYPART_ARC
(4,3),0.238679 # DEPENDENCYPART_ARC
(4,5),1.77295 # DEPENDENCYPART_ARC
(4,6),-0.0574163 # DEPENDENCYPART_ARC
(4,7),-0.768006 # DEPENDENCYPART_ARC
(4,8),0.211664 # DEPENDENCYPART_ARC
(4,9),-1.1939 # DEPENDENCYPART_ARC
(5,1),-1.09952 # DEPENDENCYPART_ARC
(5,3),-2.25638 # DEPENDENCYPART_ARC
(5,6),1.61152 # DEPENDENCYPART_ARC
(5,7),0.587386 # DEPENDENCYPART_ARC
(5,8),-1.31758 # DEPENDENCYPART_ARC
(5,9),-1.29401 # DEPENDENCYPART_ARC
(5,10),0.142161 # DEPENDENCYPART_ARC
(5,11),-0.314893 # DEPENDENCYPART_ARC
(5,12),-0.736809 # DEPENDENCYPART_ARC
(5,14),-0.64996 # DEPENDENCYPART_ARC
(5,17),0.254299 # DEPENDENCYPART_ARC
(5,18),-0.546837 # DEPENDENCYPART_ARC
(6,3),-0.43806 # DEPENDENCYPART_ARC
(6,4),-0.0457971 # DEPENDENCYPART_ARC
(6,5),0.341261 # DEPENDENCYPART_ARC
(6,7),1.35364 # DEPENDENCYPART_ARC
(6,8),0.708394 # DEPENDENCYPART_ARC
(6,9),0.303754 # DEPENDENCYPART_ARC
(6,10),-0.178716 # DEPENDENCYPART_ARC
(6,13),-0.29442 # DEPENDENCYPART_ARC
(6,14),-0.984387 # DEPENDENCYPART_ARC
(6,17),-0.428259 # DEPENDENCYPART_ARC
(6,18),-0.339696 # DEPENDENCYPART_ARC
(7,1),-0.552486 # DEPENDENCYPART_ARC
(7,3),-0.842971 # DEPENDENCYPART_ARC
(7,4),-1.08284 # DEPENDENCYPART_ARC
(7,5),-0.556468 # DEPENDENCYPART_ARC
(7,6),-0.349166 # DEPENDENCYPART_ARC
(7,8),2.53462 # DEPENDENCYPART_ARC
(7,9),0.211364 # DEPENDENCYPART_ARC
(7,10),0.664646 # DEPENDENCYPART_ARC
(7,11),-0.215127 # DEPENDENCYPART_ARC
(7,15),-0.340905 # DEPENDENCYPART_ARC
(7,16),-0.546221 # DEPENDENCYPART_ARC
(8,6),-0.465757 # DEPENDENCYPART_ARC
(8,9),3.05638 # DEPENDENCYPART_ARC
(8,10),0.367072 # DEPENDENCYPART_ARC
(8,11),-0.0410898 # DEPENDENCYPART_ARC
