# _root_ joseba_egibarrek , berriz , " juan maria_jauregi hil zutenek gaiztokeriaz " jokatu zutela ziurtatu zuen .
#goldHeads=14,1,0,3,4,8,6,12,8,12,10,14,12,0,14,15,
#predictedHeads=12,1,0,3,4,8,6,12,8,12,10,14,12,0,14,15,
(0,1),-1.29468 # DEPENDENCYPART_ARC
(0,2),-1.25722 # DEPENDENCYPART_ARC
(0,3),1.61845 # DEPENDENCYPART_ARC
(0,4),-1.29165 # DEPENDENCYPART_ARC
(0,5),-0.781838 # DEPENDENCYPART_ARC
(0,6),-0.826554 # DEPENDENCYPART_ARC
(0,7),-1.1699 # DEPENDENCYPART_ARC
(0,8),-0.9479 # DEPENDENCYPART_ARC
(0,10),-1.42033 # DEPENDENCYPART_ARC
(0,11),-1.84711 # DEPENDENCYPART_ARC
(0,12),0.219345 # DEPENDENCYPART_ARC
(0,13),-1.20069 # DEPENDENCYPART_ARC
(0,14),0.0593881 # DEPENDENCYPART_ARC
(0,15),-0.950415 # DEPENDENCYPART_ARC
(0,16),-2.19373 # DEPENDENCYPART_ARC
(1,2),0.441306 # DEPENDENCYPART_ARC
(2,1),-1.20076 # DEPENDENCYPART_ARC
(2,10),-0.814495 # DEPENDENCYPART_ARC
(2,14),-1.4066 # DEPENDENCYPART_ARC
(3,2),-0.355582 # DEPENDENCYPART_ARC
(3,4),1.50303 # DEPENDENCYPART_ARC
(3,8),-1.35031 # DEPENDENCYPART_ARC
(3,12),-1.70906 # DEPENDENCYPART_ARC
(4,1),-1.36401 # DEPENDENCYPART_ARC
(4,5),1.17249 # DEPENDENCYPART_ARC
(4,8),-1.51384 # DEPENDENCYPART_ARC
(4,10),-1.19089 # DEPENDENCYPART_ARC
(4,12),-1.87841 # DEPENDENCYPART_ARC
(4,14),-1.70229 # DEPENDENCYPART_ARC
(5,1),-1.62459 # DEPENDENCYPART_ARC
(5,8),-1.4719 # DEPENDENCYPART_ARC
(5,12),-2.1493 # DEPENDENCYPART_ARC
(5,14),-2.02622 # DEPENDENCYPART_ARC
(6,5),-0.987487 # DEPENDENCYPART_ARC
(6,7),2.72273 # DEPENDENCYPART_ARC
(6,8),0.0689146 # DEPENDENCYPART_ARC
(6,10),0.69252 # DEPENDENCYPART_ARC
(7,6),0.27352 # DEPENDENCYPART_ARC
(7,8),-0.301916 # DEPENDENCYPART_ARC
(7,10),-0.930646 # DEPENDENCYPART_ARC
(8,1),-1.36051 # DEPENDENCYPART_ARC
(8,2),-1.65204 # DEPENDENCYPART_ARC
(8,3),-0.983351 # DEPENDENCYPART_ARC
(8,4),-1.68636 # DEPENDENCYPART_ARC
(8,6),0.285086 # DEPENDENCYPART_ARC
(8,7),1.16045 # DEPENDENCYPART_ARC
(8,9),0.200305 # DEPENDENCYPART_ARC
(8,10),0.561816 # DEPENDENCYPART_ARC
(8,12),-0.8461 # DEPENDENCYPART_ARC
(8,13),-0.3618 # DEPENDENCYPART_ARC
(8,14),-1.05853 # DEPENDENCYPART_ARC
(8,15),-1.31176 # DEPENDENCYPART_ARC
(9,7),-0.619866 # DEPENDENCYPART_ARC
(10,4),-1.65251 # DEPENDENCYPART_ARC
(10,6),-1.12723 # DEPENDENCYPART_ARC
(10,7),-1.55558 # DEPENDENCYPART_ARC
(10,8),-0.726024 # DEPENDENCYPART_ARC
(10,11),1.54835 # DEPENDENCYPART_ARC
(10,12),-1.40174 # DEPENDENCYPART_ARC
(10,13),-0.785295 # DEPENDENCYPART_ARC
(10,14),-1.96772 # DEPENDENCYPART_ARC
(10,15),-1.16904 # DEPENDENCYPART_ARC
(10,16),-0.485975 # DEPENDENCYPART_ARC
