# _root_ " garai benetan korapilatsu eta zailak bizitzen ari_gara , eta ezin_dugu horrela bizitzen jarraitu , elkarrekin bizitzen ikasi behar_dugu .
#goldHeads=0,7,4,5,2,5,8,10,8,0,10,13,14,11,14,17,18,19,10,19,
#predictedHeads=0,7,4,5,14,5,8,10,8,0,10,13,14,11,14,17,18,19,0,19,
(0,1),0.805007 # DEPENDENCYPART_ARC
(0,2),-1.09162 # DEPENDENCYPART_ARC
(0,3),-1.10853 # DEPENDENCYPART_ARC
(0,4),-1.36205 # DEPENDENCYPART_ARC
(0,5),-1.30165 # DEPENDENCYPART_ARC
(0,7),-0.866502 # DEPENDENCYPART_ARC
(0,8),-0.601645 # DEPENDENCYPART_ARC
(0,9),-0.785062 # DEPENDENCYPART_ARC
(0,10),0.577854 # DEPENDENCYPART_ARC
(0,11),0.334916 # DEPENDENCYPART_ARC
(0,12),-0.417631 # DEPENDENCYPART_ARC
(0,13),-1.35103 # DEPENDENCYPART_ARC
(0,14),-1.14501 # DEPENDENCYPART_ARC
(0,15),-0.625675 # DEPENDENCYPART_ARC
(0,17),-1.57016 # DEPENDENCYPART_ARC
(0,18),-0.195989 # DEPENDENCYPART_ARC
(0,19),0.00727749 # DEPENDENCYPART_ARC
(0,20),-2.05833 # DEPENDENCYPART_ARC
(2,1),-0.828325 # DEPENDENCYPART_ARC
(2,3),0.250866 # DEPENDENCYPART_ARC
(2,4),0.150487 # DEPENDENCYPART_ARC
(2,5),0.257193 # DEPENDENCYPART_ARC
(2,6),-0.160722 # DEPENDENCYPART_ARC
(3,2),-0.382205 # DEPENDENCYPART_ARC
(3,4),-0.307272 # DEPENDENCYPART_ARC
(3,9),-0.693234 # DEPENDENCYPART_ARC
(3,12),-1.1641 # DEPENDENCYPART_ARC
(4,2),-0.625862 # DEPENDENCYPART_ARC
(4,3),0.878833 # DEPENDENCYPART_ARC
(4,6),-0.65669 # DEPENDENCYPART_ARC
(5,2),-0.368569 # DEPENDENCYPART_ARC
(5,3),-0.391029 # DEPENDENCYPART_ARC
(5,4),1.83959 # DEPENDENCYPART_ARC
(5,6),2.02884 # DEPENDENCYPART_ARC
(5,7),-0.345088 # DEPENDENCYPART_ARC
(5,8),0.313417 # DEPENDENCYPART_ARC
(5,9),-0.738084 # DEPENDENCYPART_ARC
(5,10),-0.322015 # DEPENDENCYPART_ARC
(5,11),-0.174221 # DEPENDENCYPART_ARC
(5,13),-1.09457 # DEPENDENCYPART_ARC
(5,14),-1.48602 # DEPENDENCYPART_ARC
(5,17),-1.6918 # DEPENDENCYPART_ARC
(5,18),-1.93391 # DEPENDENCYPART_ARC
(5,19),-1.90812 # DEPENDENCYPART_ARC
(6,7),-1.08897 # DEPENDENCYPART_ARC
(6,9),-0.506114 # DEPENDENCYPART_ARC
(7,2),0.605707 # DEPENDENCYPART_ARC
(7,3),0.0813935 # DEPENDENCYPART_ARC
(7,4),-0.239889 # DEPENDENCYPART_ARC
(7,5),-0.0216415 # DEPENDENCYPART_ARC
(7,6),0.347422 # DEPENDENCYPART_ARC
(7,8),0.358666 # DEPENDENCYPART_ARC
(7,9),-0.3537 # DEPENDENCYPART_ARC
(7,10),-0.622534 # DEPENDENCYPART_ARC
(7,11),-1.74843 # DEPENDENCYPART_ARC
(7,12),-1.34952 # DEPENDENCYPART_ARC
(7,15),-0.945004 # DEPENDENCYPART_ARC
(8,2),-0.230568 # DEPENDENCYPART_ARC
(8,3),0.00616432 # DEPENDENCYPART_ARC
(8,4),-0.303913 # DEPENDENCYPART_ARC
(8,5),0.00320069 # DEPENDENCYPART_ARC
(8,6),0.0212521 # DEPENDENCYPART_ARC
(8,7),2.52993 # DEPENDENCYPART_ARC
(8,9),1.69233 # DEPENDENCYPART_ARC
(8,10),-0.675941 # DEPENDENCYPART_ARC
(8,11),-1.136 # DEPENDENCYPART_ARC
(8,13),-0.76512 # DEPENDENCYPART_ARC
(8,14),-0.169903 # DEPENDENCYPART_ARC
(8,17),-1.09207 # DEPENDENCYPART_ARC
(8,18),-1.38988 # DEPENDENCYPART_ARC
(8,19),-1.88011 # DEPENDENCYPART_ARC
(9,7),-0.762477 # DEPENDENCYPART_ARC
(9,8),-0.317908 # DEPENDENCYPART_ARC
(10,2),-1.44457 # DEPENDENCYPART_ARC
(10,3),-0.679754 # DEPENDENCYPART_ARC
(10,5),-0.429749 # DEPENDENCYPART_ARC
(10,6),-0.565803 # DEPENDENCYPART_ARC
(10,7),0.57502 # DEPENDENCYPART_ARC
(10,8),1.51197 # DEPENDENCYPART_ARC
(10,9),-0.304716 # DEPENDENCYPART_ARC
(10,11),1.68555 # DEPENDENCYPART_ARC
(10,12),-0.707814 # DEPENDENCYPART_ARC
(10,13),0.22089 # DEPENDENCYPART_ARC
(10,14),0.145882 # DEPENDENCYPART_ARC
(10,15),-0.736662 # DEPENDENCYPART_ARC
(10,17),-0.659193 # DEPENDENCYPART_ARC
(10,18),-0.599718 # DEPENDENCYPART_ARC
(10,19),-0.322413 # DEPENDENCYPART_ARC
(11,2),-1.85605 # DEPENDENCYPART_ARC
(11,8),-2.29277 # DEPENDENCYPART_ARC
(11,10),-0.768716 # DEPENDENCYPART_ARC
(11,12),0.948125 # DEPENDENCYPART_ARC
(11,13),0.00946787 # DEPENDENCYPART_ARC
(11,14),0.977056 # DEPENDENCYPART_ARC
(11,17),-0.633617 # DEPENDENCYPART_ARC
(11,18),-0.510149 # DEPENDENCYPART_ARC
(11,19),-1.92531 # DEPENDENCYPART_ARC
(12,11),-0.341859 # DEPENDENCYPART_ARC
(12,13),-0.553862 # DEPENDENCYPART_ARC
(12,15),-0.859012 # DEPENDENCYPART_ARC
(13,2),-0.327077 # DEPENDENCYPART_ARC
(13,3),-0.897634 # DEPENDENCYPART_ARC
(13,4),-1.14717 # DEPENDENCYPART_ARC
