# _root_ gobernuak , hilabete sari aurrezki planaren_bidez , pentsio fondoak " ehortzi " dituela zehaztu zuen .
#goldHeads=14,3,4,5,6,11,6,9,11,9,14,11,11,0,14,15,
#predictedHeads=11,3,4,5,6,11,6,9,11,9,14,11,11,0,14,15,
(0,1),-1.17816 # DEPENDENCYPART_ARC
(0,2),-1.29234 # DEPENDENCYPART_ARC
(0,3),-0.893669 # DEPENDENCYPART_ARC
(0,4),-0.963629 # DEPENDENCYPART_ARC
(0,5),-1.06703 # DEPENDENCYPART_ARC
(0,6),-1.55886 # DEPENDENCYPART_ARC
(0,7),-1.5197 # DEPENDENCYPART_ARC
(0,9),-1.73487 # DEPENDENCYPART_ARC
(0,10),-2.92884 # DEPENDENCYPART_ARC
(0,11),-0.133346 # DEPENDENCYPART_ARC
(0,12),-3.12503 # DEPENDENCYPART_ARC
(0,13),-1.54209 # DEPENDENCYPART_ARC
(0,14),-0.791568 # DEPENDENCYPART_ARC
(0,15),-1.34444 # DEPENDENCYPART_ARC
(0,16),-2.81548 # DEPENDENCYPART_ARC
(1,2),-1.07036 # DEPENDENCYPART_ARC
(1,3),-0.52236 # DEPENDENCYPART_ARC
(1,4),-1.2319 # DEPENDENCYPART_ARC
(1,5),-1.37203 # DEPENDENCYPART_ARC
(1,6),-2.46327 # DEPENDENCYPART_ARC
(1,11),-1.67328 # DEPENDENCYPART_ARC
(1,14),-2.22963 # DEPENDENCYPART_ARC
(2,1),-0.822848 # DEPENDENCYPART_ARC
(2,3),-0.312571 # DEPENDENCYPART_ARC
(2,11),-1.91071 # DEPENDENCYPART_ARC
(2,14),-1.81266 # DEPENDENCYPART_ARC
(3,1),-0.770473 # DEPENDENCYPART_ARC
(3,2),-0.594249 # DEPENDENCYPART_ARC
(3,4),0.789697 # DEPENDENCYPART_ARC
(3,5),-0.167295 # DEPENDENCYPART_ARC
(3,6),-0.579318 # DEPENDENCYPART_ARC
(3,8),-1.01309 # DEPENDENCYPART_ARC
(4,1),-1.88494 # DEPENDENCYPART_ARC
(4,2),-1.32523 # DEPENDENCYPART_ARC
(4,3),1.2176 # DEPENDENCYPART_ARC
(4,5),0.627854 # DEPENDENCYPART_ARC
(4,6),-0.894478 # DEPENDENCYPART_ARC
(4,7),-0.665036 # DEPENDENCYPART_ARC
(4,8),-0.906976 # DEPENDENCYPART_ARC
(4,9),-1.30364 # DEPENDENCYPART_ARC
(5,1),-2.15152 # DEPENDENCYPART_ARC
(5,2),-1.63142 # DEPENDENCYPART_ARC
(5,3),0.212933 # DEPENDENCYPART_ARC
(5,4),1.35281 # DEPENDENCYPART_ARC
(5,6),-0.136302 # DEPENDENCYPART_ARC
(5,7),-0.126769 # DEPENDENCYPART_ARC
(5,8),-0.729116 # DEPENDENCYPART_ARC
(5,9),-1.19856 # DEPENDENCYPART_ARC
(6,1),-3.70729 # DEPENDENCYPART_ARC
(6,2),-1.82234 # DEPENDENCYPART_ARC
(6,3),-0.716441 # DEPENDENCYPART_ARC
(6,4),0.124235 # DEPENDENCYPART_ARC
