# _root_ " sakabanaketa_bezalako legez kanpoko tresna presoen_kontra erabiltzeaz gain , orain espetxe_barruko errepresioa gogortzen ari_dira " , salatu dute aabek .
#goldHeads=0,5,5,3,7,7,13,7,8,13,12,13,0,0,14,15,0,17,17,19,
#predictedHeads=0,3,14,5,7,7,14,7,8,14,12,13,14,17,14,15,0,17,17,19,
(0,1),0.805007 # DEPENDENCYPART_ARC
(0,2),-0.792226 # DEPENDENCYPART_ARC
(0,3),-0.531564 # DEPENDENCYPART_ARC
(0,4),-1.01836 # DEPENDENCYPART_ARC
(0,5),-0.449371 # DEPENDENCYPART_ARC
(0,6),-1.74689 # DEPENDENCYPART_ARC
(0,7),-1.82282 # DEPENDENCYPART_ARC
(0,8),-1.09391 # DEPENDENCYPART_ARC
(0,9),-1.58408 # DEPENDENCYPART_ARC
(0,10),-2.35354 # DEPENDENCYPART_ARC
(0,11),-1.36968 # DEPENDENCYPART_ARC
(0,12),-1.63157 # DEPENDENCYPART_ARC
(0,13),-1.65086 # DEPENDENCYPART_ARC
(0,14),-0.763483 # DEPENDENCYPART_ARC
(0,15),-3.7057 # DEPENDENCYPART_ARC
(0,16),-1.80357 # DEPENDENCYPART_ARC
(0,17),1.11452 # DEPENDENCYPART_ARC
(0,18),-1.16214 # DEPENDENCYPART_ARC
(0,19),-2.21836 # DEPENDENCYPART_ARC
(0,20),-3.49547 # DEPENDENCYPART_ARC
(2,1),-0.978781 # DEPENDENCYPART_ARC
(2,3),-0.10852 # DEPENDENCYPART_ARC
(2,4),-0.781535 # DEPENDENCYPART_ARC
(2,5),-1.67729 # DEPENDENCYPART_ARC
(3,2),0.933722 # DEPENDENCYPART_ARC
(3,4),0.731468 # DEPENDENCYPART_ARC
(3,5),-0.353654 # DEPENDENCYPART_ARC
(3,6),-0.813391 # DEPENDENCYPART_ARC
(4,2),-1.43503 # DEPENDENCYPART_ARC
(4,3),-0.669931 # DEPENDENCYPART_ARC
(4,5),-1.42412 # DEPENDENCYPART_ARC
(4,6),-2.50721 # DEPENDENCYPART_ARC
(5,2),-0.877822 # DEPENDENCYPART_ARC
(5,3),-0.49732 # DEPENDENCYPART_ARC
(5,4),1.93649 # DEPENDENCYPART_ARC
(5,6),-0.563751 # DEPENDENCYPART_ARC
(5,10),-1.40738 # DEPENDENCYPART_ARC
(6,2),-1.24335 # DEPENDENCYPART_ARC
(6,3),-2.42522 # DEPENDENCYPART_ARC
(6,4),1.18401 # DEPENDENCYPART_ARC
(6,5),-0.776254 # DEPENDENCYPART_ARC
(6,7),-2.09815 # DEPENDENCYPART_ARC
(6,8),-0.664222 # DEPENDENCYPART_ARC
(6,9),-0.606246 # DEPENDENCYPART_ARC
(6,10),-1.15745 # DEPENDENCYPART_ARC
(6,11),-2.14112 # DEPENDENCYPART_ARC
(6,14),-2.28448 # DEPENDENCYPART_ARC
(7,2),-0.644052 # DEPENDENCYPART_ARC
(7,3),-0.635601 # DEPENDENCYPART_ARC
(7,4),-1.49826 # DEPENDENCYPART_ARC
(7,5),1.24259 # DEPENDENCYPART_ARC
(7,6),1.40316 # DEPENDENCYPART_ARC
(7,8),1.45413 # DEPENDENCYPART_ARC
(7,9),-0.834084 # DEPENDENCYPART_ARC
(7,10),-1.34259 # DEPENDENCYPART_ARC
(7,11),-0.748556 # DEPENDENCYPART_ARC
(7,12),-2.0668 # DEPENDENCYPART_ARC
(7,13),-2.12286 # DEPENDENCYPART_ARC
(7,14),-2.94051 # DEPENDENCYPART_ARC
(7,16),-1.57978 # DEPENDENCYPART_ARC
(7,17),-3.67371 # DEPENDENCYPART_ARC
(7,18),-4.45446 # DEPENDENCYPART_ARC
(8,2),-0.955764 # DEPENDENCYPART_ARC
(8,3),-1.45337 # DEPENDENCYPART_ARC
(8,4),-0.338619 # DEPENDENCYPART_ARC
(8,5),-2.07302 # DEPENDENCYPART_ARC
(8,6),0.91646 # DEPENDENCYPART_ARC
(8,7),-0.603006 # DEPENDENCYPART_ARC
(8,9),1.29612 # DEPENDENCYPART_ARC
(8,10),-0.424022 # DEPENDENCYPART_ARC
(8,11),-1.64001 # DEPENDENCYPART_ARC
(8,12),-1.50706 # DEPENDENCYPART_ARC
(8,13),-0.924879 # DEPENDENCYPART_ARC
(8,14),-0.911386 # DEPENDENCYPART_ARC
(8,17),-1.26659 # DEPENDENCYPART_ARC
(8,20),-0.170288 # DEPENDENCYPART_ARC
(9,7),-0.540909 # DEPENDENCYPART_ARC
(9,8),-0.271928 # DEPENDENCYPART_ARC
(9,11),-0.77132 # DEPENDENCYPART_ARC
(9,12),-0.549575 # DEPENDENCYPART_ARC
(9,13),-0.969572 # DEPENDENCYPART_ARC
(9,14),-1.07731 # DEPENDENCYPART_ARC
(9,17),-1.39037 # DEPENDENCYPART_ARC
(10,7),-1.11219 # DEPENDENCYPART_ARC
(10,8),-1.08025 # DEPENDENCYPART_ARC
(10,9),-0.448532 # DEPENDENCYPART_ARC
(10,11),-0.0250713 # DEPENDENCYPART_ARC
(10,12),-0.689388 # DEPENDENCYPART_ARC
(10,16),-0.629457 # DEPENDENCYPART_ARC
(11,6),-1.4309 # DEPENDENCYPART_ARC
(11,7),-2.76805 # DEPENDENCYPART_ARC
(11,8),-2.104 # DEPENDENCYPART_ARC
(11,9),-1.5229 # DEPENDENCYPART_ARC
(11,10),-0.892629 # DEPENDENCYPART_ARC
(11,12),0.372448 # DEPENDENCYPART_ARC
(11,13),-1.18044 # DEPENDENCYPART_ARC
(11,18),-1.92404 # DEPENDENCYPART_ARC
(11,20),-0.86806 # DEPENDENCYPART_ARC
(12,7),-2.37662 # DEPENDENCYPART_ARC
(12,8),-1.80729 # DEPENDENCYPART_ARC
(12,9),-1.21818 # DEPENDENCYPART_ARC
(12,10),-0.545908 # DEPENDENCYPART_ARC
(12,11),1.86557 # DEPENDENCYPART_ARC
(12,13),-0.320104 # DEPENDENCYPART_ARC
(12,14),-1.31887 # DEPENDENCYPART_ARC
(12,17),-2.18133 # DEPENDENCYPART_ARC
